Time,Minnesota,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
3:09.0,Loose ball foul by A. Edwards (drawn by C. Martin),105-109, ,,4,109,105,4,2691.0
2:50.0, ,105-109,K. Lowry misses 2-pt layup from 3 ft,,4,109,105,4,2710.0
2:50.0, ,105-109,Offensive rebound by O. Robinson,,4,109,105,4,2710.0
2:45.0, ,105-111,O. Robinson makes 2-pt layup from 3 ft,,4,111,105,6,2715.0
2:35.0,Turnover by N. Reid (bad pass; steal by O. Robinson),105-111, ,,4,111,105,6,2725.0
2:30.0, ,105-111,C. Martin misses 2-pt jump shot from 3 ft (block by N. Reid),,4,111,105,6,2730.0
2:24.0, ,105-111,Offensive rebound by C. Martin,,4,111,105,6,2736.0
2:17.0,Violation by Team (kicked ball),105-111, ,,4,111,105,6,2743.0
2:10.0, ,105-111,T. Herro misses 3-pt jump shot from 27 ft,,4,111,105,6,2750.0
2:10.0,Defensive rebound by Team,105-111, ,,4,111,105,6,2750.0
1:54.0,N. Reid misses 2-pt layup from 3 ft (block by O. Robinson),105-111, ,,4,111,105,6,2766.0
1:52.0,Offensive rebound by J. McDaniels,105-111, ,,4,111,105,6,2768.0
1:52.0,A. Rivers makes 3-pt jump shot from 23 ft (assist by J. McDaniels),108-111, ,,4,111,108,3,2768.0
1:34.0, ,108-111,T. Herro misses 2-pt jump shot from 13 ft,,4,111,108,3,2786.0
1:33.0, ,108-111,Offensive rebound by Team,,4,111,108,3,2787.0
1:30.0,Loose ball foul by J. McDaniels (drawn by O. Robinson),108-111, ,,4,111,108,3,2790.0
1:19.0, ,108-111,K. Lowry misses 3-pt jump shot from 26 ft,,4,111,108,3,2801.0
1:15.0,Defensive rebound by J. McDaniels,108-111, ,,4,111,108,3,2805.0
1:00.0,A. Rivers misses 2-pt layup from 4 ft,108-111, ,,4,111,108,3,2820.0
0:55.0, ,108-111,Defensive rebound by C. Martin,,4,111,108,3,2825.0
0:39.0, ,108-111,K. Lowry misses 2-pt layup from 4 ft (block by A. Edwards),,4,111,108,3,2841.0
0:38.0, ,108-111,Offensive rebound by Team,,4,111,108,3,2842.0
0:38.0,R. Gobert enters the game for N. Reid,108-111, ,,4,111,108,3,2842.0
0:33.0, ,108-113,T. Herro makes 2-pt jump shot from 20 ft,,4,113,108,5,2847.0
0:33.0,Minnesota full timeout,108-113, ,,4,113,108,5,2847.0
0:33.0,N. Reid enters the game for R. Gobert,108-113, ,,4,113,108,5,2847.0
0:33.0, ,108-113,H. Highsmith enters the game for T. Herro,,4,113,108,5,2847.0
0:33.0, ,108-113,V. Oladipo enters the game for O. Robinson,,4,113,108,5,2847.0
0:28.0,A. Edwards makes 2-pt jump shot from 13 ft,110-113, ,,4,113,110,3,2852.0
0:28.0,Shooting foul by K. Lowry (drawn by A. Edwards),110-113, ,,4,113,110,3,2852.0
0:28.0, ,110-113,Miami full timeout,,4,113,110,3,2852.0
0:28.0, ,110-113,Instant Replay (Challenge: Stands),,4,113,110,3,2852.0
0:28.0,R. Gobert enters the game for D. Russell,110-113, ,,4,113,110,3,2852.0
0:28.0, ,110-113,T. Herro enters the game for H. Highsmith,,4,113,110,3,2852.0
0:28.0, ,110-113,O. Robinson enters the game for V. Oladipo,,4,113,110,3,2852.0
0:28.0,A. Edwards misses free throw 1 of 1,110-113, ,,4,113,110,3,2852.0
0:26.0, ,110-113,Defensive rebound by M. Strus,,4,113,110,3,2854.0
0:03.0, ,110-113,C. Martin misses 3-pt jump shot from 29 ft,,4,113,110,3,2877.0
0:02.0,Defensive rebound by N. Reid,110-113, ,,4,113,110,3,2878.0
0:02.0,Minnesota full timeout,110-113, ,,4,113,110,3,2878.0
0:02.0,J. Nowell enters the game for R. Gobert,110-113, ,,4,113,110,3,2878.0
0:02.0,D. Russell enters the game for A. Rivers,110-113, ,,4,113,110,3,2878.0
0:02.0, ,110-113,H. Highsmith enters the game for T. Herro,,4,113,110,3,2878.0
0:02.0, ,110-113,V. Oladipo enters the game for O. Robinson,,4,113,110,3,2878.0
0:02.0, ,110-113,G. Vincent enters the game for M. Strus,,4,113,110,3,2878.0
0:00.0,Turnover by D. Russell (lost ball; steal by K. Lowry),110-113, ,,4,113,110,3,2880.0
0:00.0,End of 4th quarter,110-113,,,4,113,110,3,2880.0
