Time,Miami,Score,Cleveland,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Allen (E. Mobley gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,E. Mobley misses 2-pt jump shot from 8 ft,,1,0,0,0,19.0
11:38.0,Defensive rebound by B. Adebayo,0-0, ,,1,0,0,0,22.0
11:16.0,K. Lowry misses 3-pt jump shot from 35 ft,0-0, ,,1,0,0,0,44.0
11:12.0, ,0-0,Defensive rebound by D. Mitchell,,1,0,0,0,48.0
11:07.0, ,0-2,D. Mitchell makes 2-pt layup at rim,,1,0,2,-2,53.0
10:51.0,Turnover by C. Martin (lost ball; steal by D. Mitchell),0-2, ,,1,0,2,-2,69.0
10:45.0, ,0-4,I. Okoro makes 2-pt layup from 1 ft (assist by D. Garland),,1,0,4,-4,75.0
10:26.0,K. Lowry misses 3-pt jump shot from 27 ft,0-4, ,,1,0,4,-4,94.0
10:24.0, ,0-4,Defensive rebound by E. Mobley,,1,0,4,-4,96.0
10:19.0, ,0-4,D. Mitchell misses 3-pt jump shot from 31 ft,,1,0,4,-4,101.0
10:16.0,Defensive rebound by C. Martin,0-4, ,,1,0,4,-4,104.0
10:08.0,Def 3 sec tech foul by Team,0-4, ,,1,0,4,-4,112.0
10:08.0,J. Butler misses technical free throw,0-4, ,,1,0,4,-4,112.0
10:08.0,Offensive rebound by Team,0-4, ,,1,0,4,-4,112.0
9:53.0,Turnover by Team (shot clock),0-4, ,,1,0,4,-4,127.0
9:42.0, ,0-4,D. Mitchell misses 3-pt jump shot from 27 ft,,1,0,4,-4,138.0
9:38.0,Defensive rebound by C. Martin,0-4, ,,1,0,4,-4,142.0
9:31.0,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Herro),3-4, ,,1,3,4,-1,149.0
9:15.0, ,3-4,D. Garland misses 3-pt jump shot from 25 ft,,1,3,4,-1,165.0
9:12.0,Defensive rebound by C. Martin,3-4, ,,1,3,4,-1,168.0
8:57.0,Turnover by T. Herro (bad pass),3-4, ,,1,3,4,-1,183.0
8:57.0,Loose ball foul by K. Lowry (drawn by D. Garland),3-4, ,,1,3,4,-1,183.0
8:40.0, ,3-6,J. Allen makes 2-pt layup at rim (assist by D. Garland),,1,3,6,-3,200.0
8:26.0,T. Herro makes 2-pt jump shot from 17 ft,5-6, ,,1,5,6,-1,214.0
8:10.0, ,5-9,D. Mitchell makes 3-pt jump shot from 26 ft (assist by D. Garland),,1,5,9,-4,230.0
8:05.0,Turnover by K. Lowry (bad pass; steal by D. Garland),5-9, ,,1,5,9,-4,235.0
8:05.0, ,5-9,Personal foul by B. Adebayo (drawn by D. Garland),,1,5,9,-4,235.0
7:43.0, ,5-9,D. Garland misses 2-pt jump shot from 18 ft,,1,5,9,-4,257.0
7:40.0,Defensive rebound by J. Butler,5-9, ,,1,5,9,-4,260.0
7:23.0,T. Herro misses 2-pt jump shot from 20 ft (block by I. Okoro),5-9, ,,1,5,9,-4,277.0
