Time,New York,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Robinson vs. B. Adebayo (J. Randle gains possession),0-0,,,1,0,0,0,0.0
11:37.0,J. Randle misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,23.0
11:34.0, ,0-0,Defensive rebound by K. Love,,1,0,0,0,26.0
11:30.0, ,0-3,T. Herro makes 3-pt jump shot from 26 ft (assist by G. Vincent),,1,3,0,3,30.0
11:07.0,R. Barrett makes 2-pt jump shot from 10 ft,2-3, ,,1,3,2,1,53.0
11:01.0, ,2-3,Turnover by B. Adebayo (out of bounds lost ball),,1,3,2,1,59.0
10:41.0,R. Barrett misses 2-pt jump shot from 7 ft,2-3, ,,1,3,2,1,79.0
10:37.0, ,2-3,Defensive rebound by K. Love,,1,3,2,1,83.0
10:33.0, ,2-3,Turnover by T. Herro (bad pass; steal by J. Brunson),,1,3,2,1,87.0
10:26.0,J. Randle makes 3-pt jump shot from 26 ft (assist by J. Brunson),5-3, ,Lead change,1,3,5,-2,94.0
10:07.0, ,5-6,J. Butler makes 3-pt jump shot from 26 ft,Lead change,1,6,5,1,113.0
9:44.0,R. Barrett misses 3-pt jump shot from 26 ft,5-6, ,,1,6,5,1,136.0
9:40.0, ,5-6,Defensive rebound by B. Adebayo,,1,6,5,1,140.0
9:34.0, ,5-6,Offensive foul by G. Vincent (drawn by J. Brunson),,1,6,5,1,146.0
9:34.0, ,5-6,Turnover by G. Vincent (offensive foul),,1,6,5,1,146.0
9:23.0,Shooting foul by B. Adebayo (drawn by J. Randle),5-6, ,,1,6,5,1,157.0
9:23.0,J. Randle makes free throw 1 of 2,6-6, ,Tie,1,6,6,0,157.0
9:23.0,J. Randle makes free throw 2 of 2,7-6, ,Lead change,1,6,7,-1,157.0
8:59.0, ,7-6,Shooting foul by R. Barrett (drawn by J. Butler),,1,6,7,-1,181.0
8:59.0, ,7-7,J. Butler makes free throw 1 of 2,Tie,1,7,7,0,181.0
8:59.0, ,7-8,J. Butler makes free throw 2 of 2,Lead change,1,8,7,1,181.0
8:50.0,J. Brunson makes 3-pt jump shot from 27 ft,10-8, ,Lead change,1,8,10,-2,190.0
8:39.0, ,10-8,K. Love misses 3-pt jump shot from 26 ft,,1,8,10,-2,201.0
8:33.0,Defensive rebound by J. Brunson,10-8, ,,1,8,10,-2,207.0
8:31.0,R. Barrett makes 2-pt layup from 2 ft (assist by J. Brunson),12-8, ,,1,8,12,-4,209.0
8:17.0, ,12-8,B. Adebayo misses 2-pt jump shot from 10 ft,,1,8,12,-4,223.0
8:12.0, ,12-8,Offensive rebound by K. Love,,1,8,12,-4,228.0
8:12.0, ,12-10,K. Love makes 2-pt layup at rim,,1,10,12,-2,228.0
7:58.0,J. Brunson misses 3-pt jump shot from 23 ft,12-10, ,,1,10,12,-2,242.0
7:53.0, ,12-10,Defensive rebound by T. Herro,,1,10,12,-2,247.0
7:53.0, ,12-10,Shooting foul by M. Robinson (drawn by J. Butler),,1,10,12,-2,247.0
7:53.0, ,12-11,J. Butler makes free throw 1 of 2,,1,11,12,-1,247.0
7:53.0, ,12-12,J. Butler makes free throw 2 of 2,Tie,1,12,12,0,247.0
7:31.0,Turnover by R. Barrett (lost ball; steal by J. Butler),12-12, ,,1,12,12,0,269.0
7:25.0, ,12-12,G. Vincent misses 2-pt layup from 5 ft,,1,12,12,0,275.0
7:25.0, ,12-12,Offensive rebound by Team,,1,12,12,0,275.0
