Time,Miami,Score,Denver,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. N. Jokić (J. Murray gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-0,N. Jokić misses 2-pt jump shot from 14 ft,,1,0,0,0,15.0
11:43.0,Defensive rebound by J. Butler,0-0, ,,1,0,0,0,17.0
11:21.0,J. Butler misses 2-pt jump shot from 15 ft,0-0, ,,1,0,0,0,39.0
11:18.0, ,0-0,Defensive rebound by A. Gordon,,1,0,0,0,42.0
11:14.0, ,0-0,Turnover by A. Gordon (bad pass; steal by H. Highsmith),,1,0,0,0,46.0
11:09.0,T. Herro misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,51.0
11:05.0, ,0-0,Defensive rebound by A. Gordon,,1,0,0,0,55.0
10:58.0, ,0-3,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by M. Porter),,1,0,3,-3,62.0
10:41.0, ,0-3,Violation by Team (kicked ball),,1,0,3,-3,79.0
10:32.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by T. Herro),3-3, ,Tie,1,3,3,0,88.0
10:11.0, ,3-5,J. Murray makes 2-pt layup from 3 ft (assist by N. Jokić),,1,3,5,-2,109.0
9:59.0, ,3-5,Violation by Team (kicked ball),,1,3,5,-2,121.0
9:53.0,H. Highsmith makes 3-pt jump shot from 26 ft (assist by T. Herro),6-5, ,Lead change,1,6,5,1,127.0
9:28.0, ,6-5,M. Porter misses 2-pt jump shot from 16 ft,,1,6,5,1,152.0
9:26.0,Defensive rebound by T. Herro,6-5, ,,1,6,5,1,154.0
9:09.0,B. Adebayo misses 2-pt jump shot from 15 ft,6-5, ,,1,6,5,1,171.0
9:06.0, ,6-5,Defensive rebound by M. Porter,,1,6,5,1,174.0
8:57.0, ,6-7,N. Jokić makes 2-pt jump shot from 6 ft (assist by A. Gordon),Lead change,1,6,7,-1,183.0
8:44.0,B. Adebayo misses 2-pt jump shot from 8 ft,6-7, ,,1,6,7,-1,196.0
8:43.0, ,6-7,Defensive rebound by N. Jokić,,1,6,7,-1,197.0
8:39.0, ,6-7,Shooting foul by K. Lowry (drawn by J. Murray),,1,6,7,-1,201.0
8:39.0, ,6-8,J. Murray makes free throw 1 of 2,,1,6,8,-2,201.0
8:39.0, ,6-9,J. Murray makes free throw 2 of 2,,1,6,9,-3,201.0
8:21.0,Turnover by H. Highsmith (traveling),6-9, ,,1,6,9,-3,219.0
8:05.0, ,6-9,M. Porter misses 3-pt jump shot from 25 ft,,1,6,9,-3,235.0
8:03.0,Defensive rebound by B. Adebayo,6-9, ,,1,6,9,-3,237.0
7:58.0,T. Herro misses 2-pt jump shot from 6 ft,6-9, ,,1,6,9,-3,242.0
7:53.0,Offensive rebound by B. Adebayo,6-9, ,,1,6,9,-3,247.0
7:53.0,B. Adebayo misses 2-pt layup at rim,6-9, ,,1,6,9,-3,247.0
7:51.0,Offensive rebound by T. Herro,6-9, ,,1,6,9,-3,249.0
7:51.0,T. Herro makes 2-pt layup at rim,8-9, ,,1,8,9,-1,249.0
7:46.0, ,8-9,Turnover by A. Gordon (lost ball; steal by H. Highsmith),,1,8,9,-1,254.0
7:41.0,H. Highsmith misses 2-pt layup from 3 ft (block by N. Jokić),8-9, ,,1,8,9,-1,259.0
7:41.0, ,8-9,Defensive rebound by M. Porter,,1,8,9,-1,259.0
7:35.0, ,8-9,A. Gordon misses 3-pt jump shot from 25 ft,,1,8,9,-1,265.0
7:33.0,Defensive rebound by T. Herro,8-9, ,,1,8,9,-1,267.0
7:28.0,K. Lowry misses 3-pt jump shot from 23 ft,8-9, ,,1,8,9,-1,272.0
7:24.0, ,8-9,Defensive rebound by N. Jokić,,1,8,9,-1,276.0
7:19.0, ,8-11,K. Caldwell-Pope makes 2-pt layup from 3 ft (assist by N. Jokić),,1,8,11,-3,281.0
7:12.0,J. Butler misses 2-pt layup from 4 ft,8-11, ,,1,8,11,-3,288.0
7:12.0, ,8-11,Defensive rebound by A. Gordon,,1,8,11,-3,288.0
7:06.0, ,8-11,M. Porter misses 3-pt jump shot from 23 ft,,1,8,11,-3,294.0
7:06.0,Defensive rebound by T. Herro,8-11, ,,1,8,11,-3,294.0
6:53.0,T. Herro misses 2-pt jump shot from 16 ft,8-11, ,,1,8,11,-3,307.0
6:51.0, ,8-11,Defensive rebound by N. Jokić,,1,8,11,-3,309.0
6:43.0, ,8-13,N. Jokić makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),,1,8,13,-5,317.0
6:43.0,Miami full timeout,8-13, ,,1,8,13,-5,317.0
6:43.0, ,8-13,B. Brown enters the game for J. Murray,,1,8,13,-5,317.0
6:30.0,H. Highsmith misses 3-pt jump shot from 26 ft,8-13, ,,1,8,13,-5,330.0
6:26.0,Offensive rebound by B. Adebayo,8-13, ,,1,8,13,-5,334.0
6:25.0,B. Adebayo misses 2-pt layup from 5 ft,8-13, ,,1,8,13,-5,335.0
6:24.0, ,8-13,Defensive rebound by Team,,1,8,13,-5,336.0
6:24.0,M. Strus enters the game for J. Butler,8-13, ,,1,8,13,-5,336.0
6:06.0, ,8-13,B. Brown misses 3-pt jump shot from 23 ft,,1,8,13,-5,354.0
6:02.0,Defensive rebound by T. Herro,8-13, ,,1,8,13,-5,358.0
5:58.0, ,8-13,Violation by Team (kicked ball),,1,8,13,-5,362.0
5:46.0,M. Strus misses 3-pt jump shot from 26 ft,8-13, ,,1,8,13,-5,374.0
5:42.0, ,8-13,Defensive rebound by N. Jokić,,1,8,13,-5,378.0
5:37.0, ,8-13,A. Gordon misses 2-pt layup from 5 ft (block by K. Lowry),,1,8,13,-5,383.0
5:34.0,Defensive rebound by B. Adebayo,8-13, ,,1,8,13,-5,386.0
