Time,Miami,Score,Houston,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
11:41.0, ,86-87,T. Eason makes 2-pt dunk from 2 ft (assist by T. Washington),Lead change,4,86,87,-1,2179.0
11:21.0,D. Robinson misses 3-pt jump shot from 23 ft,86-87, ,,4,86,87,-1,2199.0
11:18.0,Offensive rebound by T. Herro,86-87, ,,4,86,87,-1,2202.0
11:15.0,T. Herro makes 3-pt jump shot from 26 ft (assist by D. Robinson),89-87, ,Lead change,4,89,87,2,2205.0
11:04.0, ,89-87,E. Gordon misses 3-pt jump shot from 25 ft,,4,89,87,2,2216.0
11:03.0,Defensive rebound by D. Robinson,89-87, ,,4,89,87,2,2217.0
10:54.0,T. Herro makes 3-pt jump shot from 25 ft,92-87, ,,4,92,87,5,2226.0
10:51.0, ,92-87,Houston full timeout,,4,92,87,5,2229.0
10:51.0, ,92-87,A. Sengun enters the game for U. Garuba,,4,92,87,5,2229.0
10:28.0, ,92-87,T. Eason misses 2-pt layup from 2 ft,,4,92,87,5,2252.0
10:26.0, ,92-87,Offensive rebound by T. Eason,,4,92,87,5,2254.0
10:26.0, ,92-87,T. Eason misses 2-pt layup at rim,,4,92,87,5,2254.0
10:26.0, ,92-87,Offensive rebound by A. Sengun,,4,92,87,5,2254.0
10:26.0, ,92-87,Personal foul by D. Robinson (drawn by A. Sengun),,4,92,87,5,2254.0
10:19.0, ,92-89,A. Sengun makes 2-pt jump shot from 12 ft (assist by T. Washington),,4,92,89,3,2261.0
10:08.0,Shooting foul by K. Martin (drawn by C. Martin),92-89, ,,4,92,89,3,2272.0
10:08.0,C. Martin makes free throw 1 of 2,93-89, ,,4,93,89,4,2272.0
10:08.0,C. Martin makes free throw 2 of 2,94-89, ,,4,94,89,5,2272.0
9:54.0, ,94-91,K. Martin makes 2-pt dunk from 1 ft (assist by A. Sengun),,4,94,91,3,2286.0
9:27.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by T. Herro),97-91, ,,4,97,91,6,2313.0
9:15.0, ,97-91,Turnover by E. Gordon (bad pass),,4,97,91,6,2325.0
9:15.0,M. Strus enters the game for D. Robinson,97-91, ,,4,97,91,6,2325.0
9:00.0,C. Martin misses 2-pt layup from 5 ft (block by A. Sengun),97-91, ,,4,97,91,6,2340.0
8:56.0, ,97-91,Defensive rebound by T. Washington,,4,97,91,6,2344.0
8:53.0, ,97-91,Personal foul by C. Martin (drawn by E. Gordon),,4,97,91,6,2347.0
8:49.0, ,97-91,Personal foul by O. Robinson (drawn by E. Gordon),,4,97,91,6,2351.0
8:35.0, ,97-91,E. Gordon misses 2-pt jump shot from 16 ft,,4,97,91,6,2365.0
8:35.0, ,97-91,Offensive rebound by Team,,4,97,91,6,2365.0
8:35.0, ,97-91,Turnover by Team (shot clock),,4,97,91,6,2365.0
8:23.0,Shooting foul by T. Eason (drawn by O. Robinson),97-91, ,,4,97,91,6,2377.0
8:23.0,O. Robinson makes free throw 1 of 2,98-91, ,,4,98,91,7,2377.0
8:23.0,O. Robinson misses free throw 2 of 2,98-91, ,,4,98,91,7,2377.0
8:23.0,Offensive rebound by C. Martin,98-91, ,,4,98,91,7,2377.0
8:11.0,T. Herro makes 2-pt jump shot from 21 ft,100-91, ,,4,100,91,9,2389.0
7:53.0, ,100-94,K. Martin makes 3-pt jump shot from 26 ft (assist by T. Washington),,4,100,94,6,2407.0
7:33.0,M. Strus misses 3-pt jump shot from 22 ft,100-94, ,,4,100,94,6,2427.0
7:32.0, ,100-94,Defensive rebound by T. Washington,,4,100,94,6,2428.0
7:23.0, ,100-97,E. Gordon makes 3-pt jump shot from 26 ft (assist by K. Martin),,4,100,97,3,2437.0
7:22.0,Miami full timeout,100-97, ,,4,100,97,3,2438.0
7:22.0,J. Butler enters the game for H. Highsmith,100-97, ,,4,100,97,3,2438.0
7:22.0, ,100-97,J. Green enters the game for T. Eason,,4,100,97,3,2438.0
7:22.0, ,100-97,K. Porter enters the game for E. Gordon,,4,100,97,3,2438.0
7:22.0, ,100-97,J. Smith enters the game for T. Washington,,4,100,97,3,2438.0
7:04.0,Shooting foul by A. Sengun (drawn by O. Robinson),100-97, ,,4,100,97,3,2456.0
7:04.0,O. Robinson makes free throw 1 of 2,101-97, ,,4,101,97,4,2456.0
7:04.0,O. Robinson makes free throw 2 of 2,102-97, ,,4,102,97,5,2456.0
6:52.0, ,102-97,Turnover by J. Green (bad pass; steal by J. Butler),,4,102,97,5,2468.0
6:49.0,J. Butler makes 2-pt layup from 2 ft,104-97, ,,4,104,97,7,2471.0
6:26.0, ,104-99,K. Porter makes 2-pt jump shot from 4 ft,,4,104,99,5,2494.0
6:08.0,M. Strus makes 2-pt layup from 2 ft (assist by J. Butler),106-99, ,,4,106,99,7,2512.0
5:53.0, ,106-99,A. Sengun misses 2-pt layup from 3 ft (block by J. Butler),,4,106,99,7,2527.0
5:52.0,Defensive rebound by Team,106-99, ,,4,106,99,7,2528.0
5:48.0,Jump ball: O. Robinson vs. A. Sengun (M. Strus gains possession),106-99,,,4,106,99,7,2532.0
5:32.0,M. Strus makes 3-pt jump shot from 23 ft (assist by J. Butler),109-99, ,,4,109,99,10,2548.0
5:13.0, ,109-99,K. Martin misses 3-pt jump shot from 26 ft,,4,109,99,10,2567.0
5:12.0,Defensive rebound by O. Robinson,109-99, ,,4,109,99,10,2568.0
5:03.0,M. Strus misses 3-pt jump shot from 26 ft,109-99, ,,4,109,99,10,2577.0
5:02.0,Offensive rebound by O. Robinson,109-99, ,,4,109,99,10,2578.0
5:00.0,O. Robinson makes 2-pt layup from 2 ft,111-99, ,,4,111,99,12,2580.0
4:54.0, ,111-99,Houston full timeout,,4,111,99,12,2586.0
4:54.0, ,111-99,U. Garuba enters the game for A. Sengun,,4,111,99,12,2586.0
4:43.0, ,111-101,J. Smith makes 2-pt jump shot from 9 ft (assist by K. Porter),,4,111,101,10,2597.0
4:15.0,Turnover by C. Martin (lost ball; steal by K. Porter),111-101, ,,4,111,101,10,2625.0
4:10.0, ,111-101,J. Smith misses 3-pt jump shot from 25 ft,,4,111,101,10,2630.0
4:08.0, ,111-101,Offensive rebound by K. Porter,,4,111,101,10,2632.0
4:05.0, ,111-103,K. Porter makes 2-pt dunk at rim,,4,111,103,8,2635.0
3:58.0,Miami full timeout,111-103, ,,4,111,103,8,2642.0
3:58.0,H. Highsmith enters the game for C. Martin,111-103, ,,4,111,103,8,2642.0
3:58.0,Personal foul by J. Smith (drawn by H. Highsmith),111-103, ,,4,111,103,8,2642.0
3:43.0,O. Robinson misses 3-pt jump shot from 26 ft,111-103, ,,4,111,103,8,2657.0
3:41.0, ,111-103,Defensive rebound by K. Porter,,4,111,103,8,2659.0
3:38.0, ,111-103,Turnover by K. Porter (lost ball; steal by J. Butler),,4,111,103,8,2662.0
3:38.0,Personal foul by K. Porter (drawn by J. Butler),111-103, ,,4,111,103,8,2662.0
3:38.0,J. Butler misses free throw 1 of 2,111-103, ,,4,111,103,8,2662.0
3:38.0,Offensive rebound by Team,111-103, ,,4,111,103,8,2662.0
3:38.0, ,111-103,E. Gordon enters the game for K. Martin,,4,111,103,8,2662.0
3:38.0,J. Butler misses free throw 2 of 2,111-103, ,,4,111,103,8,2662.0
3:38.0, ,111-103,Defensive rebound by U. Garuba,,4,111,103,8,2662.0
3:17.0, ,111-103,E. Gordon misses 2-pt jump shot from 9 ft,,4,111,103,8,2683.0
3:15.0, ,111-103,Offensive rebound by U. Garuba,,4,111,103,8,2685.0
3:15.0, ,111-103,Personal foul by O. Robinson (drawn by U. Garuba),,4,111,103,8,2685.0
3:05.0, ,111-103,Turnover by K. Porter (lost ball; steal by H. Highsmith),,4,111,103,8,2695.0
3:00.0,Turnover by J. Butler (bad pass; steal by J. Smith),111-103, ,,4,111,103,8,2700.0
2:55.0, ,111-106,J. Smith makes 3-pt jump shot from 24 ft (assist by K. Porter),,4,111,106,5,2705.0
2:32.0, ,111-106,Houston full timeout,,4,111,106,5,2728.0
2:32.0, ,111-106,Instant Replay (Challenge: Ruling Stands),,4,111,106,5,2728.0
2:27.0,Jump ball: J. Smith vs. O. Robinson (K. Porter gains possession),111-106,,,4,111,106,5,2733.0
2:18.0, ,111-106,K. Porter misses 2-pt layup from 3 ft,,4,111,106,5,2742.0
2:16.0,Defensive rebound by J. Butler,111-106, ,,4,111,106,5,2744.0
1:53.0,T. Herro misses 3-pt jump shot from 26 ft,111-106, ,,4,111,106,5,2767.0
1:52.0, ,111-106,Defensive rebound by J. Smith,,4,111,106,5,2768.0
1:43.0, ,111-106,J. Smith misses 3-pt jump shot from 28 ft,,4,111,106,5,2777.0
1:42.0,Defensive rebound by J. Butler,111-106, ,,4,111,106,5,2778.0
1:32.0,J. Butler misses 2-pt jump shot from 12 ft,111-106, ,,4,111,106,5,2788.0
1:31.0, ,111-106,Defensive rebound by J. Green,,4,111,106,5,2789.0
1:18.0, ,111-106,J. Green misses 2-pt layup from 2 ft,,4,111,106,5,2802.0
1:16.0, ,111-106,Offensive rebound by U. Garuba,,4,111,106,5,2804.0
1:15.0, ,111-106,Shooting foul by H. Highsmith (drawn by U. Garuba),,4,111,106,5,2805.0
1:15.0, ,111-106,U. Garuba misses free throw 1 of 2,,4,111,106,5,2805.0
1:15.0, ,111-106,Offensive rebound by Team,,4,111,106,5,2805.0
1:15.0, ,111-106,U. Garuba misses free throw 2 of 2,,4,111,106,5,2805.0
1:15.0,Defensive rebound by J. Butler,111-106, ,,4,111,106,5,2805.0
0:54.0,Turnover by J. Butler (lost ball; steal by K. Porter),111-106, ,,4,111,106,5,2826.0
0:49.0, ,111-106,E. Gordon misses 3-pt jump shot from 29 ft,,4,111,106,5,2831.0
0:47.0, ,111-106,Offensive rebound by U. Garuba,,4,111,106,5,2833.0
0:41.0, ,111-108,U. Garuba makes 2-pt layup from 1 ft (assist by E. Gordon),,4,111,108,3,2839.0
0:20.0,T. Herro misses 2-pt jump shot from 9 ft,111-108, ,,4,111,108,3,2860.0
0:18.0, ,111-108,Defensive rebound by J. Smith,,4,111,108,3,2862.0
0:12.0, ,111-108,Houston full timeout,,4,111,108,3,2868.0
0:04.0, ,111-108,K. Porter misses 3-pt jump shot from 26 ft,,4,111,108,3,2876.0
0:02.0,Defensive rebound by Team,111-108, ,,4,111,108,3,2878.0
0:02.0,Miami full timeout,111-108, ,,4,111,108,3,2878.0
0:00.0,End of 4th quarter,111-108,,,4,111,108,3,2880.0
