Time,Miami,Score,Milwaukee,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. B. Lopez (P. Connaughton gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,Turnover by G. Antetokounmpo (lost ball; steal by G. Vincent),,1,0,0,0,19.0
11:29.0,G. Vincent misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,31.0
11:25.0, ,0-0,Defensive rebound by P. Connaughton,,1,0,0,0,35.0
11:14.0, ,0-2,B. Lopez makes 2-pt hook shot from 9 ft,,1,0,2,-2,46.0
10:47.0,T. Herro makes 2-pt jump shot from 14 ft,2-2, ,Tie,1,2,2,0,73.0
10:40.0, ,2-4,J. Holiday makes 2-pt layup from 2 ft,,1,2,4,-2,80.0
10:28.0,C. Martin makes 2-pt jump shot from 18 ft (assist by B. Adebayo),4-4, ,Tie,1,4,4,0,92.0
10:21.0, ,4-4,Shooting foul by C. Martin (drawn by G. Antetokounmpo),,1,4,4,0,99.0
10:21.0, ,4-5,G. Antetokounmpo makes free throw 1 of 2,,1,4,5,-1,99.0
10:21.0, ,4-6,G. Antetokounmpo makes free throw 2 of 2,,1,4,6,-2,99.0
10:02.0,J. Butler misses 3-pt jump shot from 23 ft,4-6, ,,1,4,6,-2,118.0
9:59.0, ,4-6,Defensive rebound by G. Antetokounmpo,,1,4,6,-2,121.0
9:55.0, ,4-6,Personal foul by B. Adebayo (drawn by G. Antetokounmpo),,1,4,6,-2,125.0
9:44.0, ,4-9,P. Connaughton makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),,1,4,9,-5,136.0
9:31.0,G. Vincent misses 3-pt jump shot from 28 ft,4-9, ,,1,4,9,-5,149.0
9:28.0, ,4-9,Defensive rebound by G. Antetokounmpo,,1,4,9,-5,152.0
9:23.0, ,4-11,G. Antetokounmpo makes 2-pt dunk from 2 ft,,1,4,11,-7,157.0
9:10.0,B. Adebayo misses 2-pt jump shot from 12 ft,4-11, ,,1,4,11,-7,170.0
9:08.0,Offensive rebound by J. Butler,4-11, ,,1,4,11,-7,172.0
9:08.0,J. Butler makes 2-pt layup at rim,6-11, ,,1,6,11,-5,172.0
9:08.0,Shooting foul by P. Connaughton (drawn by J. Butler),6-11, ,,1,6,11,-5,172.0
9:08.0,J. Butler makes free throw 1 of 1,7-11, ,,1,7,11,-4,172.0
9:00.0, ,7-11,J. Holiday misses 2-pt layup from 2 ft (block by C. Martin),,1,7,11,-4,180.0
8:58.0, ,7-11,Offensive rebound by J. Holiday,,1,7,11,-4,182.0
8:58.0, ,7-13,J. Holiday makes 2-pt layup at rim,,1,7,13,-6,182.0
8:47.0,T. Herro misses 3-pt jump shot from 27 ft,7-13, ,,1,7,13,-6,193.0
8:44.0, ,7-13,Defensive rebound by G. Antetokounmpo,,1,7,13,-6,196.0
8:40.0, ,7-15,B. Lopez makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),,1,7,15,-8,200.0
8:40.0,Miami full timeout,7-15, ,,1,7,15,-8,200.0
8:24.0,J. Butler makes 2-pt jump shot from 16 ft (assist by B. Adebayo),9-15, ,,1,9,15,-6,216.0
8:07.0, ,9-15,G. Allen misses 3-pt jump shot from 28 ft,,1,9,15,-6,233.0
8:04.0,Defensive rebound by C. Martin,9-15, ,,1,9,15,-6,236.0
7:56.0,J. Butler misses 2-pt jump shot from 4 ft (block by B. Lopez),9-15, ,,1,9,15,-6,244.0
7:52.0,Offensive rebound by C. Martin,9-15, ,,1,9,15,-6,248.0
7:43.0,C. Martin makes 3-pt jump shot from 30 ft (assist by J. Butler),12-15, ,,1,12,15,-3,257.0
7:24.0, ,12-15,J. Holiday misses 3-pt jump shot from 29 ft,,1,12,15,-3,276.0
7:22.0,Defensive rebound by T. Herro,12-15, ,,1,12,15,-3,278.0
7:15.0,T. Herro makes 2-pt jump shot from 13 ft (assist by B. Adebayo),14-15, ,,1,14,15,-1,285.0
7:00.0, ,14-18,P. Connaughton makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,1,14,18,-4,300.0
6:41.0,C. Martin misses 2-pt layup from 5 ft (block by B. Lopez),14-18, ,,1,14,18,-4,319.0
6:38.0, ,14-18,Defensive rebound by G. Allen,,1,14,18,-4,322.0
6:33.0, ,14-20,G. Antetokounmpo makes 2-pt dunk from 4 ft (assist by G. Allen),,1,14,20,-6,327.0
6:22.0,J. Butler makes 2-pt hook shot from 6 ft,16-20, ,,1,16,20,-4,338.0
6:06.0, ,16-20,P. Connaughton misses 3-pt jump shot from 28 ft,,1,16,20,-4,354.0
6:03.0, ,16-20,Offensive rebound by G. Allen,,1,16,20,-4,357.0
5:59.0, ,16-22,G. Antetokounmpo makes 2-pt dunk from 1 ft,,1,16,22,-6,361.0
5:36.0,T. Herro misses 3-pt jump shot from 27 ft,16-22, ,,1,16,22,-6,384.0
5:34.0, ,16-22,Defensive rebound by P. Connaughton,,1,16,22,-6,386.0
5:31.0, ,16-22,Milwaukee full timeout,,1,16,22,-6,389.0
5:31.0,D. Dedmon enters the game for B. Adebayo,16-22, ,,1,16,22,-6,389.0
5:31.0,H. Highsmith enters the game for T. Herro,16-22, ,,1,16,22,-6,389.0
5:31.0,M. Strus enters the game for C. Martin,16-22, ,,1,16,22,-6,389.0
5:31.0, ,16-22,J. Ingles enters the game for P. Connaughton,,1,16,22,-6,389.0
5:31.0, ,16-22,W. Matthews enters the game for B. Lopez,,1,16,22,-6,389.0
5:16.0, ,16-22,Personal foul by G. Vincent (drawn by G. Allen),,1,16,22,-6,404.0
5:13.0, ,16-24,G. Antetokounmpo makes 2-pt layup from 1 ft,,1,16,24,-8,407.0
5:13.0, ,16-24,Shooting foul by H. Highsmith (drawn by G. Antetokounmpo),,1,16,24,-8,407.0
5:13.0, ,16-24,K. Middleton enters the game for G. Allen,,1,16,24,-8,407.0
5:13.0, ,16-25,G. Antetokounmpo makes free throw 1 of 1,,1,16,25,-9,407.0
4:54.0,Shooting foul by K. Middleton (drawn by J. Butler),16-25, ,,1,16,25,-9,426.0
4:54.0,J. Butler makes free throw 1 of 2,17-25, ,,1,17,25,-8,426.0
4:54.0,J. Butler makes free throw 2 of 2,18-25, ,,1,18,25,-7,426.0
4:41.0, ,18-25,J. Ingles misses 3-pt jump shot from 23 ft,,1,18,25,-7,439.0
4:40.0, ,18-25,Offensive rebound by K. Middleton,,1,18,25,-7,440.0
4:40.0, ,18-25,Shooting foul by D. Dedmon (drawn by K. Middleton),,1,18,25,-7,440.0
4:40.0, ,18-26,K. Middleton makes free throw 1 of 2,,1,18,26,-8,440.0
4:40.0, ,18-27,K. Middleton makes free throw 2 of 2,,1,18,27,-9,440.0
4:28.0,G. Vincent misses 2-pt jump shot from 16 ft,18-27, ,,1,18,27,-9,452.0
4:25.0, ,18-27,Defensive rebound by G. Antetokounmpo,,1,18,27,-9,455.0
4:22.0, ,18-27,Personal foul by J. Butler (drawn by G. Antetokounmpo),,1,18,27,-9,458.0
4:22.0, ,18-28,G. Antetokounmpo makes free throw 1 of 2,,1,18,28,-10,458.0
4:22.0, ,18-29,G. Antetokounmpo makes free throw 2 of 2,,1,18,29,-11,458.0
4:10.0,D. Dedmon misses 2-pt layup from 4 ft (block by G. Antetokounmpo),18-29, ,,1,18,29,-11,470.0
4:09.0,Offensive rebound by J. Butler,18-29, ,,1,18,29,-11,471.0
4:09.0,J. Butler misses 2-pt layup from 4 ft,18-29, ,,1,18,29,-11,471.0
4:07.0,Offensive rebound by J. Butler,18-29, ,,1,18,29,-11,473.0
4:07.0,J. Butler misses 2-pt layup at rim,18-29, ,,1,18,29,-11,473.0
4:05.0,Offensive rebound by G. Vincent,18-29, ,,1,18,29,-11,475.0
4:02.0,H. Highsmith makes 2-pt dunk from 1 ft (assist by G. Vincent),20-29, ,,1,20,29,-9,478.0
3:48.0, ,20-29,Turnover by W. Matthews (bad pass; steal by H. Highsmith),,1,20,29,-9,492.0
3:41.0,H. Highsmith misses 3-pt jump shot from 26 ft,20-29, ,,1,20,29,-9,499.0
3:38.0, ,20-29,Defensive rebound by K. Middleton,,1,20,29,-9,502.0
3:28.0, ,20-29,K. Middleton misses 2-pt jump shot from 8 ft,,1,20,29,-9,512.0
3:24.0,Defensive rebound by J. Butler,20-29, ,,1,20,29,-9,516.0
3:09.0,D. Dedmon misses 2-pt hook shot from 6 ft,20-29, ,,1,20,29,-9,531.0
3:06.0, ,20-29,Defensive rebound by J. Holiday,,1,20,29,-9,534.0
3:00.0, ,20-29,Turnover by J. Holiday (lost ball; steal by G. Vincent),,1,20,29,-9,540.0
2:53.0,Turnover by M. Strus (bad pass; steal by K. Middleton),20-29, ,,1,20,29,-9,547.0
2:48.0, ,20-31,K. Middleton makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),,1,20,31,-11,552.0
2:37.0,Shooting foul by W. Matthews (drawn by J. Butler),20-31, ,,1,20,31,-11,563.0
2:37.0,J. Butler makes free throw 1 of 2,21-31, ,,1,21,31,-10,563.0
2:37.0,T. Herro enters the game for G. Vincent,21-31, ,,1,21,31,-10,563.0
2:37.0, ,21-31,P. Connaughton enters the game for G. Antetokounmpo,,1,21,31,-10,563.0
2:37.0,J. Butler makes free throw 2 of 2,22-31, ,,1,22,31,-9,563.0
2:22.0, ,22-31,Turnover by J. Holiday (out of bounds lost ball),,1,22,31,-9,578.0
2:22.0,C. Martin enters the game for J. Butler,22-31, ,,1,22,31,-9,578.0
2:01.0,T. Herro misses 2-pt layup from 2 ft,22-31, ,,1,22,31,-9,599.0
1:58.0, ,22-31,Defensive rebound by W. Matthews,,1,22,31,-9,602.0
1:54.0, ,22-34,K. Middleton makes 3-pt jump shot from 28 ft,,1,22,34,-12,606.0
1:43.0,M. Strus makes 2-pt layup from 2 ft (assist by T. Herro),24-34, ,,1,24,34,-10,617.0
1:32.0, ,24-34,P. Connaughton misses 3-pt jump shot from 27 ft,,1,24,34,-10,628.0
1:28.0,Defensive rebound by T. Herro,24-34, ,,1,24,34,-10,632.0
1:16.0,M. Strus misses 3-pt jump shot from 29 ft,24-34, ,,1,24,34,-10,644.0
1:12.0, ,24-34,Defensive rebound by K. Middleton,,1,24,34,-10,648.0
1:05.0, ,24-34,Turnover by K. Middleton (lost ball; steal by D. Dedmon),,1,24,34,-10,655.0
1:02.0,T. Herro makes 2-pt layup from 2 ft (assist by H. Highsmith),26-34, ,,1,26,34,-8,658.0
0:44.0, ,26-34,K. Middleton misses 3-pt jump shot from 24 ft,,1,26,34,-8,676.0
0:41.0,Defensive rebound by C. Martin,26-34, ,,1,26,34,-8,679.0
0:38.0,T. Herro misses 3-pt jump shot from 29 ft,26-34, ,,1,26,34,-8,682.0
0:34.0, ,26-34,Defensive rebound by J. Holiday,,1,26,34,-8,686.0
0:31.0, ,26-34,J. Ingles misses 2-pt layup from 2 ft,,1,26,34,-8,689.0
0:29.0,Defensive rebound by T. Herro,26-34, ,,1,26,34,-8,691.0
0:08.0,C. Martin misses 3-pt jump shot from 23 ft,26-34, ,,1,26,34,-8,712.0
0:05.0, ,26-34,Defensive rebound by J. Ingles,,1,26,34,-8,715.0
0:00.0, ,26-34,K. Middleton misses 3-pt jump shot from 25 ft,,1,26,34,-8,720.0
0:00.0, ,26-34,Offensive rebound by Team,,1,26,34,-8,720.0
0:00.0,End of 1st quarter,26-34,,,1,26,34,-8,720.0
12:00.0,Start of 2nd quarter,26-34,,,2,26,34,-8,720.0
11:48.0,M. Strus makes 2-pt layup at rim (assist by B. Adebayo),28-34, ,,2,28,34,-6,732.0
11:33.0, ,28-37,G. Allen makes 3-pt jump shot from 28 ft (assist by J. Carter),,2,28,37,-9,747.0
11:20.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by T. Herro),30-37, ,,2,30,37,-7,760.0
11:03.0, ,30-37,Shooting foul by C. Martin (drawn by B. Lopez),,2,30,37,-7,777.0
11:03.0, ,30-37,B. Lopez misses free throw 1 of 2,,2,30,37,-7,777.0
11:03.0, ,30-37,Offensive rebound by Team,,2,30,37,-7,777.0
11:03.0, ,30-37,B. Lopez misses free throw 2 of 2,,2,30,37,-7,777.0
11:00.0, ,30-37,Offensive rebound by G. Allen,,2,30,37,-7,780.0
10:46.0, ,30-37,B. Lopez misses 2-pt jump shot from 15 ft,,2,30,37,-7,794.0
10:43.0,Defensive rebound by H. Highsmith,30-37, ,,2,30,37,-7,797.0
