Time,Chicago,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0, ,0-0,Violation by Team (delay of game),,1,0,0,0,0.0
12:00.0,Jump ball: N. Vučević vs. B. Adebayo (T. Herro gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-0,K. Lowry misses 2-pt jump shot from 5 ft (block by A. Dosunmu),,1,0,0,0,17.0
11:37.0,Defensive rebound by N. Vučević,0-0, ,,1,0,0,0,23.0
11:36.0,Turnover by A. Caruso (bad pass; steal by T. Herro),0-0, ,,1,0,0,0,24.0
11:31.0, ,0-2,J. Butler makes 2-pt layup from 2 ft (assist by T. Herro),,1,2,0,2,29.0
11:11.0,N. Vučević misses 2-pt hook shot from 7 ft,0-2, ,,1,2,0,2,49.0
11:06.0, ,0-2,Defensive rebound by J. Butler,,1,2,0,2,54.0
11:03.0, ,0-5,T. Herro makes 3-pt jump shot from 26 ft,,1,5,0,5,57.0
10:41.0,D. DeRozan makes 2-pt jump shot from 20 ft,2-5, ,,1,5,2,3,79.0
10:28.0, ,2-5,B. Adebayo misses 2-pt jump shot from 10 ft,,1,5,2,3,92.0
10:24.0,Defensive rebound by D. DeRozan,2-5, ,,1,5,2,3,96.0
10:21.0,A. Dosunmu misses 2-pt layup from 4 ft,2-5, ,,1,5,2,3,99.0
10:21.0, ,2-5,Defensive rebound by B. Adebayo,,1,5,2,3,99.0
9:58.0, ,2-7,T. Herro makes 2-pt jump shot from 8 ft,,1,7,2,5,122.0
9:40.0,A. Caruso makes 2-pt jump shot from 15 ft (assist by D. DeRozan),4-7, ,,1,7,4,3,140.0
9:28.0, ,4-10,T. Herro makes 3-pt jump shot from 24 ft (assist by C. Martin),,1,10,4,6,152.0
9:15.0,D. DeRozan misses 3-pt jump shot from 23 ft,4-10, ,,1,10,4,6,165.0
9:11.0, ,4-10,Defensive rebound by J. Butler,,1,10,4,6,169.0
9:04.0, ,4-10,J. Butler misses 2-pt jump shot from 6 ft,,1,10,4,6,176.0
9:04.0,Defensive rebound by N. Vučević,4-10, ,,1,10,4,6,176.0
9:01.0,Offensive foul by N. Vučević (drawn by C. Martin),4-10, ,,1,10,4,6,179.0
9:01.0,Turnover by N. Vučević (offensive foul),4-10, ,,1,10,4,6,179.0
8:44.0, ,4-10,Shooting foul by P. Williams (drawn by J. Butler),,1,10,4,6,196.0
8:44.0, ,4-10,J. Butler misses free throw 1 of 2,,1,10,4,6,196.0
8:44.0, ,4-10,Offensive rebound by Team,,1,10,4,6,196.0
8:44.0, ,4-11,J. Butler makes free throw 2 of 2,,1,11,4,7,196.0
8:34.0,Turnover by A. Caruso (bad pass; steal by C. Martin),4-11, ,,1,11,4,7,206.0
8:30.0, ,4-13,J. Butler makes 2-pt dunk from 1 ft (assist by C. Martin),,1,13,4,9,210.0
