Time,Toronto,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: S. Barnes vs. B. Adebayo (F. VanVleet gains possession),0-0,,,1,0,0,0,0.0
11:48.0,Turnover by S. Barnes (bad pass; steal by K. Lowry),0-0, ,,1,0,0,0,12.0
11:45.0, ,0-0,K. Lowry misses 2-pt layup from 2 ft,,1,0,0,0,15.0
11:42.0,Defensive rebound by O. Anunoby,0-0, ,,1,0,0,0,18.0
11:31.0,O. Anunoby misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,29.0
11:27.0, ,0-0,Defensive rebound by T. Herro,,1,0,0,0,33.0
11:04.0, ,0-0,Turnover by B. Adebayo (lost ball; steal by F. VanVleet),,1,0,0,0,56.0
10:57.0,P. Siakam makes 2-pt layup from 1 ft (assist by F. VanVleet),2-0, ,,1,0,2,-2,63.0
10:50.0, ,2-0,Turnover by K. Lowry (bad pass; steal by F. VanVleet),,1,0,2,-2,70.0
10:44.0,P. Siakam misses 2-pt jump shot from 8 ft,2-0, ,,1,0,2,-2,76.0
10:43.0,Offensive rebound by S. Barnes,2-0, ,,1,0,2,-2,77.0
10:43.0,Shooting foul by B. Adebayo (drawn by S. Barnes),2-0, ,,1,0,2,-2,77.0
10:43.0, ,2-0,G. Vincent enters the game for K. Lowry,,1,0,2,-2,77.0
10:43.0,S. Barnes makes free throw 1 of 2,3-0, ,,1,0,3,-3,77.0
10:43.0,S. Barnes misses free throw 2 of 2,3-0, ,,1,0,3,-3,77.0
10:41.0, ,3-0,Defensive rebound by B. Adebayo,,1,0,3,-3,79.0
10:20.0, ,3-3,G. Vincent makes 3-pt jump shot from 26 ft (assist by C. Martin),Tie,1,3,3,0,100.0
10:04.0,S. Barnes makes 2-pt jump shot from 7 ft,5-3, ,,1,3,5,-2,116.0
9:46.0, ,5-5,B. Adebayo makes 2-pt layup from 2 ft (assist by T. Herro),Tie,1,5,5,0,134.0
9:25.0,S. Barnes misses 2-pt dunk from 1 ft,5-5, ,,1,5,5,0,155.0
9:22.0, ,5-5,Defensive rebound by G. Vincent,,1,5,5,0,158.0
9:19.0, ,5-8,T. Herro makes 3-pt jump shot from 28 ft (assist by G. Vincent),Lead change,1,8,5,3,161.0
9:03.0,G. Trent misses 2-pt jump shot from 19 ft,5-8, ,,1,8,5,3,177.0
9:01.0, ,5-8,Defensive rebound by T. Herro,,1,8,5,3,179.0
8:58.0, ,5-8,Turnover by T. Herro (bad pass; steal by G. Trent),,1,8,5,3,182.0
8:57.0,Shooting foul by J. Butler (drawn by G. Trent),5-8, ,,1,8,5,3,183.0
8:57.0,G. Trent makes free throw 1 of 2,6-8, ,,1,8,6,2,183.0
8:57.0, ,6-8,K. Lowry enters the game for G. Vincent,,1,8,6,2,183.0
8:57.0,G. Trent makes free throw 2 of 2,7-8, ,,1,8,7,1,183.0
8:45.0, ,7-8,Personal foul by G. Trent (drawn by B. Adebayo),,1,8,7,1,195.0
8:39.0, ,7-11,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Butler),,1,11,7,4,201.0
8:23.0,P. Siakam misses 2-pt jump shot from 14 ft,7-11, ,,1,11,7,4,217.0
8:19.0, ,7-11,Defensive rebound by B. Adebayo,,1,11,7,4,221.0
8:05.0, ,7-11,J. Butler misses 2-pt layup from 3 ft,,1,11,7,4,235.0
8:03.0,Defensive rebound by O. Anunoby,7-11, ,,1,11,7,4,237.0
8:00.0,O. Anunoby misses 2-pt layup from 3 ft,7-11, ,,1,11,7,4,240.0
8:00.0,Offensive rebound by Team,7-11, ,,1,11,7,4,240.0
8:00.0,Personal foul by K. Lowry (drawn by S. Barnes),7-11, ,,1,11,7,4,240.0
7:49.0,O. Anunoby makes 3-pt jump shot from 24 ft (assist by P. Siakam),10-11, ,,1,11,10,1,251.0
7:29.0, ,10-11,Shooting foul by P. Siakam (drawn by B. Adebayo),,1,11,10,1,271.0
7:29.0, ,10-12,B. Adebayo makes free throw 1 of 2,,1,12,10,2,271.0
7:29.0, ,10-13,B. Adebayo makes free throw 2 of 2,,1,13,10,3,271.0
7:18.0,O. Anunoby misses 2-pt layup from 2 ft,10-13, ,,1,13,10,3,282.0
7:16.0, ,10-13,Defensive rebound by C. Martin,,1,13,10,3,284.0
7:15.0, ,10-13,Shooting foul by S. Barnes (drawn by C. Martin),,1,13,10,3,285.0
7:15.0, ,10-14,C. Martin makes free throw 1 of 2,,1,14,10,4,285.0
7:15.0,P. Achiuwa enters the game for G. Trent,10-14, ,,1,14,10,4,285.0
7:15.0, ,10-15,C. Martin makes free throw 2 of 2,,1,15,10,5,285.0
7:02.0,Shooting foul by C. Martin (drawn by P. Achiuwa),10-15, ,,1,15,10,5,298.0
7:02.0,P. Achiuwa makes free throw 1 of 2,11-15, ,,1,15,11,4,298.0
7:02.0, ,11-15,D. Dedmon enters the game for B. Adebayo,,1,15,11,4,298.0
7:02.0,P. Achiuwa makes free throw 2 of 2,12-15, ,,1,15,12,3,298.0
6:41.0, ,12-17,J. Butler makes 2-pt layup from 2 ft,,1,17,12,5,319.0
6:16.0,P. Siakam makes 2-pt jump shot from 20 ft,14-17, ,,1,17,14,3,344.0
6:09.0, ,14-19,C. Martin makes 2-pt layup from 2 ft (assist by K. Lowry),,1,19,14,5,351.0
6:00.0,Shooting foul by C. Martin (drawn by P. Siakam),14-19, ,,1,19,14,5,360.0
6:00.0, ,14-19,Miami full timeout,,1,19,14,5,360.0
6:00.0, ,14-19,M. Strus enters the game for C. Martin,,1,19,14,5,360.0
6:00.0,P. Siakam makes free throw 1 of 2,15-19, ,,1,19,15,4,360.0
6:00.0,P. Siakam misses free throw 2 of 2,15-19, ,,1,19,15,4,360.0
5:55.0, ,15-19,Defensive rebound by M. Strus,,1,19,15,4,365.0
5:38.0, ,15-19,M. Strus misses 2-pt layup from 2 ft,,1,19,15,4,382.0
5:35.0,Defensive rebound by P. Achiuwa,15-19, ,,1,19,15,4,385.0
5:29.0,S. Barnes makes 2-pt hook shot from 3 ft (assist by F. VanVleet),17-19, ,,1,19,17,2,391.0
5:11.0, ,17-22,K. Lowry makes 3-pt jump shot from 24 ft (assist by T. Herro),,1,22,17,5,409.0
5:02.0,P. Siakam makes 2-pt layup from 2 ft,19-22, ,,1,22,19,3,418.0
4:46.0, ,19-22,Shooting foul by F. VanVleet (drawn by T. Herro),,1,22,19,3,434.0
4:46.0, ,19-23,T. Herro makes free throw 1 of 2,,1,23,19,4,434.0
4:46.0,C. Koloko enters the game for O. Anunoby,19-23, ,,1,23,19,4,434.0
4:46.0,G. Trent enters the game for F. VanVleet,19-23, ,,1,23,19,4,434.0
4:46.0, ,19-24,T. Herro makes free throw 2 of 2,,1,24,19,5,434.0
4:24.0,P. Siakam misses 2-pt jump shot from 20 ft,19-24, ,,1,24,19,5,456.0
4:21.0, ,19-24,Defensive rebound by T. Herro,,1,24,19,5,459.0
4:12.0, ,19-26,J. Butler makes 2-pt layup from 2 ft (assist by T. Herro),,1,26,19,7,468.0
4:01.0,Shooting foul by D. Dedmon (drawn by C. Koloko),19-26, ,,1,26,19,7,479.0
4:01.0,C. Koloko misses free throw 1 of 2,19-26, ,,1,26,19,7,479.0
4:01.0,Offensive rebound by Team,19-26, ,,1,26,19,7,479.0
4:01.0,C. Koloko makes free throw 2 of 2,20-26, ,,1,26,20,6,479.0
3:56.0, ,20-26,Personal foul by G. Trent (drawn by T. Herro),,1,26,20,6,484.0
3:56.0, ,20-27,T. Herro makes free throw 1 of 2,,1,27,20,7,484.0
3:56.0, ,20-28,T. Herro makes free throw 2 of 2,,1,28,20,8,484.0
3:36.0,Shooting foul by T. Herro (drawn by P. Siakam),20-28, ,,1,28,20,8,504.0
3:36.0,P. Siakam makes free throw 1 of 2,21-28, ,,1,28,21,7,504.0
3:36.0, ,21-28,G. Vincent enters the game for K. Lowry,,1,28,21,7,504.0
3:36.0,P. Siakam makes free throw 2 of 2,22-28, ,,1,28,22,6,504.0
3:21.0, ,22-31,M. Strus makes 3-pt jump shot from 26 ft (assist by G. Vincent),,1,31,22,9,519.0
3:04.0,S. Barnes misses 2-pt jump shot from 11 ft,22-31, ,,1,31,22,9,536.0
3:00.0,Offensive rebound by P. Achiuwa,22-31, ,,1,31,22,9,540.0
2:59.0,S. Barnes makes 2-pt layup from 1 ft (assist by P. Achiuwa),24-31, ,,1,31,24,7,541.0
2:40.0, ,24-31,T. Herro misses 3-pt jump shot from 24 ft,,1,31,24,7,560.0
2:37.0, ,24-31,Offensive rebound by T. Herro,,1,31,24,7,563.0
2:35.0, ,24-33,T. Herro makes 2-pt jump shot from 13 ft,,1,33,24,9,565.0
2:23.0,S. Barnes misses 2-pt hook shot from 9 ft,24-33, ,,1,33,24,9,577.0
2:20.0, ,24-33,Defensive rebound by G. Vincent,,1,33,24,9,580.0
2:16.0, ,24-35,M. Strus makes 2-pt layup from 3 ft (assist by J. Butler),,1,35,24,11,584.0
2:16.0,Toronto full timeout,24-35, ,,1,35,24,11,584.0
2:16.0,O. Anunoby enters the game for S. Barnes,24-35, ,,1,35,24,11,584.0
2:16.0,F. VanVleet enters the game for P. Siakam,24-35, ,,1,35,24,11,584.0
2:16.0, ,24-35,B. Adebayo enters the game for J. Butler,,1,35,24,11,584.0
2:16.0, ,24-35,C. Martin enters the game for D. Dedmon,,1,35,24,11,584.0
2:16.0, ,24-35,D. Robinson enters the game for T. Herro,,1,35,24,11,584.0
1:59.0,P. Achiuwa makes 3-pt jump shot from 24 ft (assist by F. VanVleet),27-35, ,,1,35,27,8,601.0
1:49.0, ,27-35,C. Martin misses 3-pt jump shot from 25 ft,,1,35,27,8,611.0
1:45.0,Defensive rebound by O. Anunoby,27-35, ,,1,35,27,8,615.0
1:40.0,G. Trent misses 2-pt jump shot from 7 ft,27-35, ,,1,35,27,8,620.0
1:36.0,Offensive rebound by F. VanVleet,27-35, ,,1,35,27,8,624.0
1:34.0,G. Trent makes 3-pt jump shot from 24 ft (assist by F. VanVleet),30-35, ,,1,35,30,5,626.0
1:16.0, ,30-35,Turnover by G. Vincent (bad pass),,1,35,30,5,644.0
0:58.0,Turnover by G. Trent (lost ball; steal by C. Martin),30-35, ,,1,35,30,5,662.0
0:50.0, ,30-38,D. Robinson makes 3-pt jump shot from 28 ft (assist by B. Adebayo),,1,38,30,8,670.0
0:32.0,O. Anunoby misses 2-pt jump shot from 17 ft,30-38, ,,1,38,30,8,688.0
0:30.0, ,30-38,Defensive rebound by G. Vincent,,1,38,30,8,690.0
0:24.0, ,30-38,C. Martin misses 2-pt jump shot from 22 ft,,1,38,30,8,696.0
0:17.0,Defensive rebound by O. Anunoby,30-38, ,,1,38,30,8,703.0
0:02.0,G. Trent makes 3-pt jump shot from 24 ft (assist by F. VanVleet),33-38, ,,1,38,33,5,718.0
0:00.0, ,33-38,B. Adebayo misses 3-pt jump shot from 67 ft,,1,38,33,5,720.0
0:00.0, ,33-38,Offensive rebound by Team,,1,38,33,5,720.0
0:00.0,End of 1st quarter,33-38,,,1,38,33,5,720.0
12:00.0,Start of 2nd quarter,33-38,,,2,38,33,5,720.0
11:42.0, ,33-38,Turnover by C. Martin (lost ball; steal by O. Anunoby),,2,38,33,5,738.0
11:37.0,F. VanVleet misses 3-pt jump shot from 22 ft,33-38, ,,2,38,33,5,743.0
11:34.0, ,33-38,Defensive rebound by D. Robinson,,2,38,33,5,746.0
11:29.0, ,33-38,G. Vincent misses 3-pt jump shot from 27 ft,,2,38,33,5,751.0
11:26.0,Defensive rebound by P. Achiuwa,33-38, ,,2,38,33,5,754.0
11:17.0,O. Anunoby misses 2-pt jump shot from 8 ft,33-38, ,,2,38,33,5,763.0
11:14.0, ,33-38,Defensive rebound by G. Vincent,,2,38,33,5,766.0
10:59.0, ,33-41,D. Robinson makes 3-pt jump shot from 28 ft (assist by M. Strus),,2,41,33,8,781.0
10:44.0,O. Anunoby makes 3-pt jump shot from 25 ft (assist by F. VanVleet),36-41, ,,2,41,36,5,796.0
10:17.0, ,36-43,G. Vincent makes 2-pt layup from 4 ft,,2,43,36,7,823.0
9:53.0,O. Anunoby misses 3-pt jump shot from 25 ft,36-43, ,,2,43,36,7,847.0
9:51.0, ,36-43,Defensive rebound by G. Vincent,,2,43,36,7,849.0
9:45.0, ,36-43,D. Robinson misses 3-pt jump shot from 26 ft,,2,43,36,7,855.0
9:45.0, ,36-43,Offensive rebound by Team,,2,43,36,7,855.0
9:44.0,Loose ball foul by F. VanVleet (drawn by B. Adebayo),36-43, ,,2,43,36,7,856.0
9:42.0, ,36-43,M. Strus misses 3-pt jump shot from 28 ft,,2,43,36,7,858.0
9:38.0,Defensive rebound by C. Koloko,36-43, ,,2,43,36,7,862.0
9:29.0,G. Trent misses 3-pt jump shot from 27 ft,36-43, ,,2,43,36,7,871.0
9:24.0,Offensive rebound by P. Achiuwa,36-43, ,,2,43,36,7,876.0
9:13.0,P. Achiuwa misses 2-pt hook shot from 5 ft,36-43, ,,2,43,36,7,887.0
9:10.0, ,36-43,Defensive rebound by C. Martin,,2,43,36,7,890.0
9:05.0, ,36-43,G. Vincent misses 3-pt jump shot from 28 ft,,2,43,36,7,895.0
9:02.0, ,36-43,Offensive rebound by C. Martin,,2,43,36,7,898.0
9:00.0, ,36-45,C. Martin makes 2-pt layup from 2 ft,,2,45,36,9,900.0
8:42.0,Personal foul by D. Robinson (drawn by O. Anunoby),36-45, ,,2,45,36,9,918.0
8:42.0,D. Banton enters the game for O. Anunoby,36-45, ,,2,45,36,9,918.0
8:42.0,S. Barnes enters the game for C. Koloko,36-45, ,,2,45,36,9,918.0
8:42.0,P. Siakam enters the game for G. Trent,36-45, ,,2,45,36,9,918.0
8:34.0,F. VanVleet misses 3-pt jump shot from 27 ft,36-45, ,,2,45,36,9,926.0
8:32.0,Offensive rebound by Team,36-45, ,,2,45,36,9,928.0
8:32.0, ,36-45,Loose ball foul by B. Adebayo (drawn by D. Banton),,2,45,36,9,928.0
8:32.0, ,36-45,D. Dedmon enters the game for B. Adebayo,,2,45,36,9,928.0
8:32.0, ,36-45,K. Lowry enters the game for G. Vincent,,2,45,36,9,928.0
8:19.0,P. Achiuwa makes 3-pt jump shot from 24 ft (assist by S. Barnes),39-45, ,,2,45,39,6,941.0
7:53.0, ,39-47,C. Martin makes 2-pt layup from 4 ft (assist by M. Strus),,2,47,39,8,967.0
7:42.0,S. Barnes makes 2-pt layup from 3 ft,41-47, ,,2,47,41,6,978.0
7:33.0, ,41-47,C. Martin misses 2-pt layup from 2 ft (block by S. Barnes),,2,47,41,6,987.0
7:29.0,Defensive rebound by P. Achiuwa,41-47, ,,2,47,41,6,991.0
7:25.0,P. Achiuwa misses 3-pt jump shot from 27 ft,41-47, ,,2,47,41,6,995.0
7:18.0, ,41-47,Defensive rebound by D. Robinson,,2,47,41,6,1002.0
7:17.0, ,41-47,K. Lowry misses 2-pt layup from 3 ft (block by D. Banton),,2,47,41,6,1003.0
7:16.0, ,41-47,Offensive rebound by Team,,2,47,41,6,1004.0
7:12.0, ,41-49,M. Strus makes 2-pt layup from 1 ft (assist by K. Lowry),,2,49,41,8,1008.0
7:00.0,P. Siakam misses 2-pt hook shot from 3 ft,41-49, ,,2,49,41,8,1020.0
7:00.0, ,41-49,Defensive rebound by Team,,2,49,41,8,1020.0
6:49.0, ,41-49,M. Strus misses 3-pt jump shot from 26 ft,,2,49,41,8,1031.0
6:46.0,Defensive rebound by S. Barnes,41-49, ,,2,49,41,8,1034.0
6:40.0,S. Barnes misses 3-pt jump shot from 28 ft,41-49, ,,2,49,41,8,1040.0
6:36.0, ,41-49,Defensive rebound by M. Strus,,2,49,41,8,1044.0
6:32.0, ,41-49,Miami full timeout,,2,49,41,8,1048.0
6:32.0,O. Anunoby enters the game for F. VanVleet,41-49, ,,2,49,41,8,1048.0
6:32.0, ,41-49,J. Butler enters the game for C. Martin,,2,49,41,8,1048.0
6:32.0, ,41-49,T. Herro enters the game for D. Robinson,,2,49,41,8,1048.0
6:22.0, ,41-49,M. Strus misses 3-pt jump shot from 30 ft,,2,49,41,8,1058.0
6:18.0,Defensive rebound by O. Anunoby,41-49, ,,2,49,41,8,1062.0
6:04.0,D. Banton makes 3-pt jump shot from 27 ft (assist by S. Barnes),44-49, ,,2,49,44,5,1076.0
5:43.0, ,44-49,T. Herro misses 3-pt jump shot from 27 ft,,2,49,44,5,1097.0
5:41.0, ,44-49,Offensive rebound by D. Dedmon,,2,49,44,5,1099.0
5:41.0, ,44-51,T. Herro makes 2-pt layup from 3 ft (assist by D. Dedmon),,2,51,44,7,1099.0
5:41.0, ,44-51,Shooting foul by D. Banton (drawn by T. Herro),,2,51,44,7,1099.0
5:41.0, ,44-51,B. Adebayo enters the game for D. Dedmon,,2,51,44,7,1099.0
5:41.0, ,44-52,T. Herro makes free throw 1 of 1,,2,52,44,8,1099.0
5:29.0,Personal foul by T. Herro (drawn by P. Siakam),44-52, ,,2,52,44,8,1111.0
