Time,Chicago,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Vučević vs. B. Adebayo (D. DeRozan gains possession),0-0,,,1,0,0,0,0.0
11:41.0,P. Williams misses 2-pt dunk from 2 ft,0-0, ,,1,0,0,0,19.0
11:41.0,Offensive rebound by Team,0-0, ,,1,0,0,0,19.0
11:30.0,Z. LaVine misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,30.0
11:29.0, ,0-0,Defensive rebound by T. Herro,,1,0,0,0,31.0
11:18.0, ,0-0,H. Highsmith misses 2-pt jump shot from 23 ft,,1,0,0,0,42.0
11:14.0, ,0-0,Offensive rebound by B. Adebayo,,1,0,0,0,46.0
11:03.0, ,0-0,M. Strus misses 3-pt jump shot from 24 ft,,1,0,0,0,57.0
11:01.0,Defensive rebound by N. Vučević,0-0, ,,1,0,0,0,59.0
10:40.0,N. Vučević makes 2-pt jump shot from 12 ft (assist by P. Williams),2-0, ,,1,0,2,-2,80.0
10:23.0, ,2-3,M. Strus makes 3-pt jump shot from 24 ft (assist by T. Herro),Lead change,1,3,2,1,97.0
10:02.0,Turnover by P. Williams (lost ball; steal by H. Highsmith),2-3, ,,1,3,2,1,118.0
9:55.0, ,2-3,V. Oladipo misses 2-pt layup from 2 ft,,1,3,2,1,125.0
9:52.0,Defensive rebound by P. Williams,2-3, ,,1,3,2,1,128.0
9:47.0,P. Williams misses 2-pt layup from 3 ft,2-3, ,,1,3,2,1,133.0
9:45.0, ,2-3,Defensive rebound by M. Strus,,1,3,2,1,135.0
9:32.0, ,2-3,T. Herro misses 3-pt jump shot from 26 ft,,1,3,2,1,148.0
9:28.0,Defensive rebound by A. Caruso,2-3, ,,1,3,2,1,152.0
9:12.0,N. Vučević makes 2-pt hook shot from 4 ft (assist by D. DeRozan),4-3, ,Lead change,1,3,4,-1,168.0
9:01.0, ,4-3,Shooting foul by N. Vučević (drawn by B. Adebayo),,1,3,4,-1,179.0
9:01.0, ,4-4,B. Adebayo makes free throw 1 of 2,Tie,1,4,4,0,179.0
9:01.0, ,4-5,B. Adebayo makes free throw 2 of 2,Lead change,1,5,4,1,179.0
8:37.0,Turnover by Z. LaVine (bad pass; steal by V. Oladipo),4-5, ,,1,5,4,1,203.0
8:30.0, ,4-5,T. Herro misses 3-pt jump shot from 25 ft,,1,5,4,1,210.0
8:29.0,Defensive rebound by Team,4-5, ,,1,5,4,1,211.0
8:16.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by Z. LaVine),6-5, ,Lead change,1,5,6,-1,224.0
7:56.0, ,6-5,M. Strus misses 2-pt layup from 3 ft,,1,5,6,-1,244.0
7:54.0, ,6-5,Offensive rebound by M. Strus,,1,5,6,-1,246.0
7:54.0, ,6-5,M. Strus misses 2-pt layup at rim,,1,5,6,-1,246.0
7:52.0, ,6-5,Offensive rebound by B. Adebayo,,1,5,6,-1,248.0
7:51.0, ,6-7,B. Adebayo makes 2-pt jump shot from 4 ft,Lead change,1,7,6,1,249.0
7:30.0,N. Vučević makes 2-pt hook shot from 6 ft (assist by A. Caruso),8-7, ,Lead change,1,7,8,-1,270.0
7:15.0, ,8-7,Turnover by B. Adebayo (bad pass; steal by P. Williams),,1,7,8,-1,285.0
7:09.0,Shooting foul by V. Oladipo (drawn by D. DeRozan),8-7, ,,1,7,8,-1,291.0
