Time,Orlando,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: W. Carter vs. B. Adebayo (M. Fultz gains possession),0-0,,,1,0,0,0,0.0
11:35.0,P. Banchero misses 2-pt layup from 6 ft,0-0, ,,1,0,0,0,25.0
11:35.0, ,0-0,Defensive rebound by J. Butler,,1,0,0,0,25.0
11:21.0, ,0-0,J. Butler misses 2-pt jump shot from 10 ft,,1,0,0,0,39.0
11:17.0, ,0-0,Offensive rebound by C. Martin,,1,0,0,0,43.0
11:14.0, ,0-2,C. Martin makes 2-pt layup from 3 ft (assist by K. Lowry),,1,2,0,2,46.0
11:14.0, ,0-2,Shooting foul by G. Harris (drawn by C. Martin),,1,2,0,2,46.0
11:14.0, ,0-3,C. Martin makes free throw 1 of 1,,1,3,0,3,46.0
11:01.0,Turnover by M. Fultz (lost ball; steal by K. Lowry),0-3, ,,1,3,0,3,59.0
10:39.0, ,0-5,B. Adebayo makes 2-pt jump shot from 9 ft (assist by J. Butler),,1,5,0,5,81.0
10:22.0,Turnover by W. Carter (bad pass),0-5, ,,1,5,0,5,98.0
10:07.0, ,0-7,B. Adebayo makes 2-pt jump shot from 11 ft (assist by C. Martin),,1,7,0,7,113.0
9:45.0,Turnover by F. Wagner (bad pass; steal by T. Herro),0-7, ,,1,7,0,7,135.0
9:41.0, ,0-7,T. Herro misses 3-pt jump shot from 27 ft,,1,7,0,7,139.0
9:36.0,Defensive rebound by G. Harris,0-7, ,,1,7,0,7,144.0
9:30.0,Turnover by M. Fultz (bad pass; steal by J. Butler),0-7, ,,1,7,0,7,150.0
9:14.0, ,0-7,C. Martin misses 3-pt jump shot from 24 ft,,1,7,0,7,166.0
9:10.0,Defensive rebound by M. Fultz,0-7, ,,1,7,0,7,170.0
8:54.0,M. Fultz makes 2-pt jump shot from 17 ft (assist by F. Wagner),2-7, ,,1,7,2,5,186.0
8:29.0, ,2-7,B. Adebayo misses 2-pt layup from 1 ft (block by W. Carter),,1,7,2,5,211.0
8:26.0,Defensive rebound by F. Wagner,2-7, ,,1,7,2,5,214.0
8:23.0,F. Wagner misses 2-pt layup from 2 ft,2-7, ,,1,7,2,5,217.0
8:23.0, ,2-7,Defensive rebound by B. Adebayo,,1,7,2,5,217.0
8:20.0, ,2-9,J. Butler makes 2-pt layup from 1 ft (assist by B. Adebayo),,1,9,2,7,220.0
8:20.0, ,2-9,Shooting foul by G. Harris (drawn by J. Butler),,1,9,2,7,220.0
8:20.0, ,2-10,J. Butler makes free throw 1 of 1,,1,10,2,8,220.0
8:08.0,G. Harris makes 2-pt layup from 5 ft,4-10, ,,1,10,4,6,232.0
7:57.0, ,4-10,K. Lowry misses 3-pt jump shot from 25 ft,,1,10,4,6,243.0
7:55.0,Defensive rebound by W. Carter,4-10, ,,1,10,4,6,245.0
7:47.0,W. Carter makes 3-pt jump shot from 26 ft (assist by M. Fultz),7-10, ,,1,10,7,3,253.0
7:35.0, ,7-12,C. Martin makes 2-pt layup from 6 ft (assist by J. Butler),,1,12,7,5,265.0
7:16.0,F. Wagner makes 2-pt layup from 4 ft,9-12, ,,1,12,9,3,284.0
6:53.0, ,9-14,J. Butler makes 2-pt jump shot from 5 ft (assist by T. Herro),,1,14,9,5,307.0
6:42.0,Turnover by W. Carter (lost ball; steal by K. Lowry),9-14, ,,1,14,9,5,318.0
6:40.0, ,9-16,B. Adebayo makes 2-pt layup from 2 ft (assist by K. Lowry),,1,16,9,7,320.0
6:40.0, ,9-16,Shooting foul by P. Banchero (drawn by B. Adebayo),,1,16,9,7,320.0
6:40.0, ,9-16,Miami full timeout,,1,16,9,7,320.0
6:40.0,C. Anthony enters the game for F. Wagner,9-16, ,,1,16,9,7,320.0
6:40.0, ,9-17,B. Adebayo makes free throw 1 of 1,,1,17,9,8,320.0
6:29.0,Shooting foul by C. Martin (drawn by P. Banchero),9-17, ,,1,17,9,8,331.0
6:29.0,P. Banchero makes free throw 1 of 2,10-17, ,,1,17,10,7,331.0
6:29.0,P. Banchero makes free throw 2 of 2,11-17, ,,1,17,11,6,331.0
6:06.0, ,11-17,B. Adebayo misses 2-pt jump shot from 16 ft,,1,17,11,6,354.0
6:01.0,Defensive rebound by C. Anthony,11-17, ,,1,17,11,6,359.0
5:58.0,Shooting foul by C. Martin (drawn by C. Anthony),11-17, ,,1,17,11,6,362.0
5:58.0,C. Anthony makes free throw 1 of 2,12-17, ,,1,17,12,5,362.0
5:58.0, ,12-17,V. Oladipo enters the game for C. Martin,,1,17,12,5,362.0
5:58.0,C. Anthony makes free throw 2 of 2,13-17, ,,1,17,13,4,362.0
5:49.0, ,13-17,Def 3 sec tech foul by Team,,1,17,13,4,371.0
5:49.0, ,13-18,J. Butler makes technical free throw,,1,18,13,5,371.0
5:39.0, ,13-18,K. Lowry misses 2-pt layup from 2 ft (block by M. Fultz),,1,18,13,5,381.0
5:39.0, ,13-18,Offensive rebound by Team,,1,18,13,5,381.0
5:37.0, ,13-18,B. Adebayo misses 2-pt jump shot from 16 ft,,1,18,13,5,383.0
5:32.0,Defensive rebound by C. Anthony,13-18, ,,1,18,13,5,388.0
5:21.0,P. Banchero misses 2-pt jump shot from 18 ft,13-18, ,,1,18,13,5,399.0
5:18.0,Offensive rebound by W. Carter,13-18, ,,1,18,13,5,402.0
5:16.0,W. Carter makes 2-pt layup from 2 ft,15-18, ,,1,18,15,3,404.0
5:03.0, ,15-18,Def 3 sec tech foul by Team,,1,18,15,3,417.0
5:03.0, ,15-19,J. Butler makes technical free throw,,1,19,15,4,417.0
5:03.0,B. Bol enters the game for G. Harris,15-19, ,,1,19,15,4,417.0
5:03.0, ,15-19,O. Robinson enters the game for B. Adebayo,,1,19,15,4,417.0
