Time,Miami,Score,Orlando,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. W. Carter (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:32.0,C. Martin misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,28.0
11:30.0, ,0-0,Defensive rebound by F. Wagner,,1,0,0,0,30.0
11:12.0, ,0-2,P. Banchero makes 2-pt layup from 2 ft (assist by W. Carter),,1,0,2,-2,48.0
11:04.0,Turnover by G. Vincent (lost ball; steal by G. Harris),0-2, ,,1,0,2,-2,56.0
10:59.0, ,0-2,M. Fultz misses 2-pt jump shot from 3 ft,,1,0,2,-2,61.0
10:56.0,Defensive rebound by B. Adebayo,0-2, ,,1,0,2,-2,64.0
10:44.0,B. Adebayo makes 2-pt layup from 5 ft,2-2, ,Tie,1,2,2,0,76.0
10:29.0, ,2-4,P. Banchero makes 2-pt layup from 3 ft (assist by M. Fultz),,1,2,4,-2,91.0
10:19.0,T. Herro misses 2-pt jump shot from 21 ft,2-4, ,,1,2,4,-2,101.0
10:15.0, ,2-4,Defensive rebound by G. Harris,,1,2,4,-2,105.0
10:13.0, ,2-4,G. Harris misses 3-pt jump shot from 27 ft,,1,2,4,-2,107.0
10:08.0,Defensive rebound by B. Adebayo,2-4, ,,1,2,4,-2,112.0
10:00.0,J. Butler makes 2-pt layup from 2 ft (assist by B. Adebayo),4-4, ,Tie,1,4,4,0,120.0
9:53.0, ,4-6,F. Wagner makes 2-pt layup from 2 ft (assist by M. Fultz),,1,4,6,-2,127.0
9:53.0, ,4-6,Shooting foul by T. Herro (drawn by F. Wagner),,1,4,6,-2,127.0
9:53.0, ,4-6,F. Wagner misses free throw 1 of 1,,1,4,6,-2,127.0
9:49.0,Defensive rebound by C. Martin,4-6, ,,1,4,6,-2,131.0
9:32.0,J. Butler misses 2-pt jump shot from 6 ft,4-6, ,,1,4,6,-2,148.0
9:29.0, ,4-6,Defensive rebound by P. Banchero,,1,4,6,-2,151.0
9:17.0, ,4-9,W. Carter makes 3-pt jump shot from 25 ft (assist by P. Banchero),,1,4,9,-5,163.0
8:59.0,Shooting foul by W. Carter (drawn by B. Adebayo),4-9, ,,1,4,9,-5,181.0
8:59.0,B. Adebayo makes free throw 1 of 2,5-9, ,,1,5,9,-4,181.0
8:59.0,B. Adebayo makes free throw 2 of 2,6-9, ,,1,6,9,-3,181.0
8:49.0, ,6-9,G. Harris misses 2-pt jump shot from 21 ft,,1,6,9,-3,191.0
8:47.0,Defensive rebound by B. Adebayo,6-9, ,,1,6,9,-3,193.0
8:38.0,B. Adebayo makes 2-pt jump shot from 8 ft,8-9, ,,1,8,9,-1,202.0
8:25.0, ,8-12,G. Harris makes 3-pt jump shot from 23 ft (assist by M. Fultz),,1,8,12,-4,215.0
8:02.0,B. Adebayo misses 2-pt layup from 3 ft,8-12, ,,1,8,12,-4,238.0
7:59.0,Offensive rebound by G. Vincent,8-12, ,,1,8,12,-4,241.0
7:54.0,T. Herro misses 3-pt jump shot from 25 ft,8-12, ,,1,8,12,-4,246.0
7:50.0, ,8-12,Defensive rebound by P. Banchero,,1,8,12,-4,250.0
7:49.0, ,8-12,Turnover by F. Wagner (traveling),,1,8,12,-4,251.0
7:26.0,T. Herro makes 2-pt jump shot from 12 ft,10-12, ,,1,10,12,-2,274.0
7:10.0, ,10-14,W. Carter makes 2-pt dunk from 2 ft (assist by F. Wagner),,1,10,14,-4,290.0
7:00.0,Turnover by B. Adebayo (bad pass; steal by F. Wagner),10-14, ,,1,10,14,-4,300.0
6:54.0, ,10-17,M. Fultz makes 3-pt jump shot from 25 ft (assist by F. Wagner),,1,10,17,-7,306.0
6:38.0,Turnover by J. Butler (step out of bounds),10-17, ,,1,10,17,-7,322.0
6:38.0, ,10-17,Orlando full timeout,,1,10,17,-7,322.0
6:38.0,M. Strus enters the game for T. Herro,10-17, ,,1,10,17,-7,322.0
6:17.0, ,10-17,W. Carter misses 2-pt jump shot from 11 ft,,1,10,17,-7,343.0
6:15.0,Defensive rebound by B. Adebayo,10-17, ,,1,10,17,-7,345.0
6:05.0,Turnover by M. Strus (bad pass; steal by G. Harris),10-17, ,,1,10,17,-7,355.0
