Time,Brooklyn,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Claxton vs. B. Adebayo (S. Dinwiddie gains possession),0-0,,,1,0,0,0,0.0
11:39.0,M. Bridges misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,21.0
11:34.0, ,0-0,Defensive rebound by T. Herro,,1,0,0,0,26.0
11:27.0, ,0-2,B. Adebayo makes 2-pt jump shot from 8 ft (assist by K. Love),,1,2,0,2,33.0
11:05.0,C. Johnson misses 3-pt jump shot from 25 ft,0-2, ,,1,2,0,2,55.0
11:01.0, ,0-2,Defensive rebound by G. Vincent,,1,2,0,2,59.0
10:54.0, ,0-2,Shooting foul by S. Dinwiddie (drawn by J. Butler),,1,2,0,2,66.0
10:54.0, ,0-2,J. Butler misses free throw 1 of 2,,1,2,0,2,66.0
10:54.0, ,0-2,Offensive rebound by Team,,1,2,0,2,66.0
10:54.0, ,0-3,J. Butler makes free throw 2 of 2,,1,3,0,3,66.0
10:36.0,Shooting foul by G. Vincent (drawn by M. Bridges),0-3, ,,1,3,0,3,84.0
10:36.0,M. Bridges misses free throw 1 of 2,0-3, ,,1,3,0,3,84.0
10:36.0,Offensive rebound by Team,0-3, ,,1,3,0,3,84.0
10:36.0,M. Bridges makes free throw 2 of 2,1-3, ,,1,3,1,2,84.0
10:28.0, ,1-3,Turnover by B. Adebayo (bad pass; steal by C. Johnson),,1,3,1,2,92.0
10:24.0,C. Johnson makes 2-pt dunk from 2 ft,3-3, ,Tie,1,3,3,0,96.0
10:06.0, ,3-5,T. Herro makes 2-pt jump shot from 10 ft,,1,5,3,2,114.0
9:51.0,C. Johnson makes 3-pt jump shot from 23 ft (assist by N. Claxton),6-5, ,Lead change,1,5,6,-1,129.0
9:45.0, ,6-5,Shooting foul by C. Johnson (drawn by G. Vincent),,1,5,6,-1,135.0
9:45.0, ,6-6,G. Vincent makes free throw 1 of 2,Tie,1,6,6,0,135.0
9:45.0, ,6-7,G. Vincent makes free throw 2 of 2,Lead change,1,7,6,1,135.0
9:29.0,C. Johnson makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),9-7, ,Lead change,1,7,9,-2,151.0
9:09.0, ,9-10,G. Vincent makes 3-pt jump shot from 26 ft,Lead change,1,10,9,1,171.0
8:52.0,D. Finney-Smith misses 2-pt layup from 6 ft,9-10, ,,1,10,9,1,188.0
8:50.0, ,9-10,Defensive rebound by K. Love,,1,10,9,1,190.0
