Time,Miami,Score,LA Clippers,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:44.0, ,27-21,Shooting foul by O. Robinson (drawn by M. Morris),,1,27,21,6,556.0
2:44.0,Miami full timeout,27-21, ,,1,27,21,6,556.0
2:44.0,B. Adebayo enters the game for J. Butler,27-21, ,,1,27,21,6,556.0
2:44.0,D. Robinson enters the game for T. Herro,27-21, ,,1,27,21,6,556.0
2:44.0,M. Strus enters the game for K. Lowry,27-21, ,,1,27,21,6,556.0
2:44.0,G. Vincent enters the game for O. Robinson,27-21, ,,1,27,21,6,556.0
2:44.0, ,27-21,M. Morris misses free throw 1 of 2,,1,27,21,6,556.0
2:44.0, ,27-21,Offensive rebound by Team,,1,27,21,6,556.0
2:44.0, ,27-21,M. Morris misses free throw 2 of 2,,1,27,21,6,556.0
2:42.0,Defensive rebound by B. Adebayo,27-21, ,,1,27,21,6,558.0
2:21.0,B. Adebayo makes 2-pt hook shot from 5 ft,29-21, ,,1,29,21,8,579.0
2:07.0, ,29-21,Personal foul by G. Vincent (drawn by N. Powell),,1,29,21,8,593.0
2:07.0, ,29-22,N. Powell makes free throw 1 of 2,,1,29,22,7,593.0
2:07.0, ,29-22,L. Kennard enters the game for M. Morris,,1,29,22,7,593.0
2:07.0, ,29-23,N. Powell makes free throw 2 of 2,,1,29,23,6,593.0
1:54.0,G. Vincent misses 3-pt jump shot from 26 ft,29-23, ,,1,29,23,6,606.0
1:49.0, ,29-23,Defensive rebound by P. George,,1,29,23,6,611.0
1:43.0, ,29-23,P. George misses 2-pt layup from 3 ft,,1,29,23,6,617.0
1:39.0, ,29-23,Offensive rebound by N. Batum,,1,29,23,6,621.0
1:39.0, ,29-25,N. Batum makes 2-pt layup at rim,,1,29,25,4,621.0
1:30.0,D. Robinson misses 3-pt jump shot from 25 ft,29-25, ,,1,29,25,4,630.0
1:28.0,Offensive rebound by B. Adebayo,29-25, ,,1,29,25,4,632.0
1:23.0,V. Oladipo makes 2-pt jump shot from 9 ft,31-25, ,,1,31,25,6,637.0
1:07.0, ,31-28,L. Kennard makes 3-pt jump shot from 26 ft (assist by P. George),,1,31,28,3,653.0
0:51.0,Turnover by D. Robinson (bad pass),31-28, ,,1,31,28,3,669.0
0:33.0, ,31-28,P. George misses 3-pt jump shot from 25 ft,,1,31,28,3,687.0
0:29.0,Defensive rebound by B. Adebayo,31-28, ,,1,31,28,3,691.0
0:23.0,G. Vincent makes 3-pt jump shot from 24 ft (assist by V. Oladipo),34-28, ,,1,34,28,6,697.0
0:00.0, ,34-28,J. Wall misses 2-pt jump shot from 20 ft,,1,34,28,6,720.0
0:00.0, ,34-28,Offensive rebound by Team,,1,34,28,6,720.0
0:00.0,End of 1st quarter,34-28,,,1,34,28,6,720.0
12:00.0,Start of 2nd quarter,34-28,,,2,34,28,6,720.0
11:47.0, ,34-30,J. Wall makes 2-pt jump shot from 7 ft,,2,34,30,4,733.0
11:47.0, ,34-30,Shooting foul by D. Robinson (drawn by J. Wall),,2,34,30,4,733.0
11:47.0, ,34-31,J. Wall makes free throw 1 of 1,,2,34,31,3,733.0
11:32.0,Turnover by V. Oladipo (bad pass; steal by L. Kennard),34-31, ,,2,34,31,3,748.0
11:27.0, ,34-31,Shooting foul by G. Vincent (drawn by J. Wall),,2,34,31,3,753.0
11:27.0, ,34-32,J. Wall makes free throw 1 of 2,,2,34,32,2,753.0
11:27.0, ,34-32,J. Wall misses free throw 2 of 2,,2,34,32,2,753.0
11:26.0,Defensive rebound by B. Adebayo,34-32, ,,2,34,32,2,754.0
11:17.0,D. Robinson misses 3-pt jump shot from 27 ft,34-32, ,,2,34,32,2,763.0
11:10.0,Offensive rebound by M. Strus,34-32, ,,2,34,32,2,770.0
11:10.0,M. Strus makes 2-pt dunk at rim,36-32, ,,2,36,32,4,770.0
10:55.0, ,36-32,N. Powell misses 2-pt jump shot from 21 ft,,2,36,32,4,785.0
10:52.0,Defensive rebound by V. Oladipo,36-32, ,,2,36,32,4,788.0
10:48.0,Personal foul by N. Batum (drawn by B. Adebayo),36-32, ,,2,36,32,4,792.0
10:31.0,M. Strus misses 3-pt jump shot from 26 ft,36-32, ,,2,36,32,4,809.0
10:29.0, ,36-32,Defensive rebound by N. Batum,,2,36,32,4,811.0
10:20.0, ,36-32,J. Wall misses 2-pt jump shot from 14 ft,,2,36,32,4,820.0
10:18.0,Defensive rebound by G. Vincent,36-32, ,,2,36,32,4,822.0
10:17.0,Shooting foul by L. Kennard (drawn by V. Oladipo),36-32, ,,2,36,32,4,823.0
10:17.0,V. Oladipo makes free throw 1 of 2,37-32, ,,2,37,32,5,823.0
10:17.0,V. Oladipo makes free throw 2 of 2,38-32, ,,2,38,32,6,823.0
9:54.0, ,38-32,L. Kennard misses 2-pt jump shot from 13 ft,,2,38,32,6,846.0
9:52.0,Defensive rebound by M. Strus,38-32, ,,2,38,32,6,848.0
9:44.0,D. Robinson misses 3-pt jump shot from 26 ft,38-32, ,,2,38,32,6,856.0
9:39.0, ,38-32,Defensive rebound by I. Zubac,,2,38,32,6,861.0
9:38.0, ,38-32,Shooting foul by D. Robinson (drawn by J. Wall),,2,38,32,6,862.0
