Time,Miami,Score,Toronto,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Poeltl (G. Vincent gains possession),0-0,,,1,0,0,0,0.0
11:44.0,B. Adebayo makes 2-pt jump shot from 10 ft,2-0, ,,1,2,0,2,16.0
11:25.0, ,2-0,J. Poeltl misses 2-pt layup from 1 ft (block by K. Love),,1,2,0,2,35.0
11:22.0,Defensive rebound by K. Love,2-0, ,,1,2,0,2,38.0
11:02.0,K. Love makes 3-pt jump shot from 26 ft (assist by T. Herro),5-0, ,,1,5,0,5,58.0
10:47.0, ,5-2,S. Barnes makes 2-pt hook shot from 4 ft (assist by F. VanVleet),,1,5,2,3,73.0
10:39.0,Turnover by T. Herro (lost ball; steal by F. VanVleet),5-2, ,,1,5,2,3,81.0
10:33.0, ,5-2,P. Siakam misses 3-pt jump shot from 26 ft,,1,5,2,3,87.0
10:28.0,Defensive rebound by T. Herro,5-2, ,,1,5,2,3,92.0
10:23.0,Shooting foul by P. Siakam (drawn by V. Oladipo),5-2, ,,1,5,2,3,97.0
10:23.0,V. Oladipo makes free throw 1 of 2,6-2, ,,1,6,2,4,97.0
10:23.0,V. Oladipo makes free throw 2 of 2,7-2, ,,1,7,2,5,97.0
10:01.0, ,7-2,J. Poeltl misses 2-pt hook shot from 6 ft,,1,7,2,5,119.0
9:59.0,Defensive rebound by B. Adebayo,7-2, ,,1,7,2,5,121.0
9:43.0,T. Herro makes 3-pt jump shot from 26 ft (assist by B. Adebayo),10-2, ,,1,10,2,8,137.0
9:31.0, ,10-2,F. VanVleet misses 3-pt jump shot from 26 ft,,1,10,2,8,149.0
9:28.0,Defensive rebound by G. Vincent,10-2, ,,1,10,2,8,152.0
9:19.0,Shooting foul by J. Poeltl (drawn by B. Adebayo),10-2, ,,1,10,2,8,161.0
9:19.0,B. Adebayo makes free throw 1 of 2,11-2, ,,1,11,2,9,161.0
9:19.0,B. Adebayo makes free throw 2 of 2,12-2, ,,1,12,2,10,161.0
9:09.0, ,12-2,S. Barnes misses 2-pt jump shot from 16 ft,,1,12,2,10,171.0
9:05.0,Defensive rebound by K. Love,12-2, ,,1,12,2,10,175.0
8:52.0,Turnover by V. Oladipo (bad pass),12-2, ,,1,12,2,10,188.0
8:38.0, ,12-2,F. VanVleet misses 3-pt jump shot from 26 ft,,1,12,2,10,202.0
8:34.0, ,12-2,Offensive rebound by S. Barnes,,1,12,2,10,206.0
8:34.0, ,12-4,S. Barnes makes 2-pt layup at rim,,1,12,4,8,206.0
8:26.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by G. Vincent),14-4, ,,1,14,4,10,214.0
8:26.0, ,14-4,Toronto full timeout,,1,14,4,10,214.0
8:08.0, ,14-4,P. Siakam misses 2-pt hook shot from 5 ft,,1,14,4,10,232.0
8:05.0, ,14-4,Offensive rebound by J. Poeltl,,1,14,4,10,235.0
8:05.0, ,14-4,J. Poeltl misses 2-pt layup at rim,,1,14,4,10,235.0
8:04.0,Defensive rebound by K. Love,14-4, ,,1,14,4,10,236.0
7:53.0,Turnover by T. Herro (lost ball; steal by O. Anunoby),14-4, ,,1,14,4,10,247.0
7:50.0, ,14-6,O. Anunoby makes 2-pt dunk at rim,,1,14,6,8,250.0
7:26.0,G. Vincent misses 3-pt jump shot from 23 ft,14-6, ,,1,14,6,8,274.0
7:24.0, ,14-6,Defensive rebound by P. Siakam,,1,14,6,8,276.0
7:20.0, ,14-8,S. Barnes makes 2-pt jump shot from 17 ft (assist by P. Siakam),,1,14,8,6,280.0
6:56.0,T. Herro misses 2-pt jump shot from 7 ft,14-8, ,,1,14,8,6,304.0
6:54.0,Offensive rebound by G. Vincent,14-8, ,,1,14,8,6,306.0
6:48.0,G. Vincent misses 3-pt jump shot from 26 ft,14-8, ,,1,14,8,6,312.0
6:45.0, ,14-8,Defensive rebound by J. Poeltl,,1,14,8,6,315.0
6:39.0, ,14-8,O. Anunoby misses 3-pt jump shot from 25 ft,,1,14,8,6,321.0
6:36.0,Defensive rebound by K. Love,14-8, ,,1,14,8,6,324.0
6:19.0,G. Vincent misses 2-pt layup from 3 ft,14-8, ,,1,14,8,6,341.0
6:17.0, ,14-8,Defensive rebound by J. Poeltl,,1,14,8,6,343.0
6:07.0, ,14-8,Shooting foul by K. Love (drawn by P. Siakam),,1,14,8,6,353.0
6:07.0, ,14-9,P. Siakam makes free throw 1 of 2,,1,14,9,5,353.0
6:07.0,M. Strus enters the game for T. Herro,14-9, ,,1,14,9,5,353.0
6:07.0, ,14-10,P. Siakam makes free throw 2 of 2,,1,14,10,4,353.0
5:44.0,B. Adebayo makes 2-pt hook shot from 8 ft,16-10, ,,1,16,10,6,376.0
5:31.0, ,16-12,F. VanVleet makes 2-pt layup from 4 ft,,1,16,12,4,389.0
5:11.0,K. Love misses 2-pt jump shot from 6 ft (block by F. VanVleet),16-12, ,,1,16,12,4,409.0
5:08.0, ,16-12,Defensive rebound by J. Poeltl,,1,16,12,4,412.0
5:06.0, ,16-12,S. Barnes misses 3-pt jump shot from 26 ft,,1,16,12,4,414.0
5:03.0, ,16-12,Offensive rebound by O. Anunoby,,1,16,12,4,417.0
5:03.0, ,16-12,Personal foul by V. Oladipo (drawn by P. Siakam),,1,16,12,4,417.0
5:03.0, ,16-12,C. Boucher enters the game for S. Barnes,,1,16,12,4,417.0
4:54.0, ,16-12,C. Boucher misses 3-pt jump shot from 25 ft,,1,16,12,4,426.0
4:51.0,Defensive rebound by B. Adebayo,16-12, ,,1,16,12,4,429.0
4:40.0,B. Adebayo misses 2-pt jump shot from 11 ft,16-12, ,,1,16,12,4,440.0
4:37.0, ,16-12,Defensive rebound by P. Siakam,,1,16,12,4,443.0
4:27.0, ,16-12,P. Siakam misses 3-pt jump shot from 26 ft,,1,16,12,4,453.0
4:23.0,Defensive rebound by K. Love,16-12, ,,1,16,12,4,457.0
4:08.0,B. Adebayo misses 2-pt jump shot from 10 ft,16-12, ,,1,16,12,4,472.0
4:06.0, ,16-12,Defensive rebound by O. Anunoby,,1,16,12,4,474.0
3:53.0, ,16-12,Shooting foul by B. Adebayo (drawn by P. Siakam),,1,16,12,4,487.0
3:53.0, ,16-13,P. Siakam makes free throw 1 of 2,,1,16,13,3,487.0
3:53.0, ,16-13,P. Achiuwa enters the game for O. Anunoby,,1,16,13,3,487.0
3:53.0, ,16-13,S. Barnes enters the game for J. Poeltl,,1,16,13,3,487.0
3:53.0, ,16-14,P. Siakam makes free throw 2 of 2,,1,16,14,2,487.0
3:50.0,Miami full timeout,16-14, ,,1,16,14,2,490.0
3:50.0,C. Martin enters the game for K. Love,16-14, ,,1,16,14,2,490.0
3:34.0,V. Oladipo makes 3-pt jump shot from 26 ft,19-14, ,,1,19,14,5,506.0
3:09.0, ,19-14,P. Achiuwa misses 3-pt jump shot from 24 ft,,1,19,14,5,531.0
3:06.0,Defensive rebound by B. Adebayo,19-14, ,,1,19,14,5,534.0
2:51.0,M. Strus misses 3-pt jump shot from 25 ft (block by C. Boucher),19-14, ,,1,19,14,5,549.0
2:49.0, ,19-14,Defensive rebound by P. Siakam,,1,19,14,5,551.0
2:42.0, ,19-16,P. Siakam makes 2-pt jump shot from 7 ft,,1,19,16,3,558.0
2:31.0,G. Vincent makes 2-pt layup from 1 ft,21-16, ,,1,21,16,5,569.0
2:08.0, ,21-16,S. Barnes misses 3-pt jump shot from 27 ft,,1,21,16,5,592.0
2:05.0,Defensive rebound by C. Martin,21-16, ,,1,21,16,5,595.0
1:42.0,B. Adebayo misses 2-pt layup from 3 ft,21-16, ,,1,21,16,5,618.0
1:40.0,Offensive rebound by B. Adebayo,21-16, ,,1,21,16,5,620.0
1:40.0,B. Adebayo misses 2-pt layup at rim,21-16, ,,1,21,16,5,620.0
1:40.0,Offensive rebound by C. Martin,21-16, ,,1,21,16,5,620.0
1:32.0,C. Martin makes 2-pt jump shot from 12 ft (assist by V. Oladipo),23-16, ,,1,23,16,7,628.0
1:15.0, ,23-18,S. Barnes makes 2-pt jump shot from 12 ft (assist by P. Siakam),,1,23,18,5,645.0
1:04.0,G. Vincent misses 2-pt layup from 5 ft (block by P. Siakam),23-18, ,,1,23,18,5,656.0
1:01.0, ,23-18,Defensive rebound by P. Achiuwa,,1,23,18,5,659.0
0:45.0, ,23-20,S. Barnes makes 2-pt dunk from 2 ft (assist by P. Achiuwa),,1,23,20,3,675.0
0:32.0,V. Oladipo misses 2-pt layup from 5 ft (block by P. Achiuwa),23-20, ,,1,23,20,3,688.0
0:28.0, ,23-20,Defensive rebound by P. Siakam,,1,23,20,3,692.0
0:25.0, ,23-22,C. Boucher makes 2-pt hook shot from 6 ft (assist by P. Siakam),,1,23,22,1,695.0
0:06.0,Turnover by V. Oladipo (lost ball; steal by S. Barnes),23-22, ,,1,23,22,1,714.0
0:01.0, ,23-24,S. Barnes makes 2-pt dunk from 1 ft,Lead change,1,23,24,-1,719.0
0:00.0,V. Oladipo misses 3-pt jump shot from 45 ft,23-24, ,,1,23,24,-1,720.0
0:00.0,Offensive rebound by Team,23-24, ,,1,23,24,-1,720.0
0:00.0,End of 1st quarter,23-24,,,1,23,24,-1,720.0
12:00.0,Start of 2nd quarter,23-24,,,2,23,24,-1,720.0
11:48.0, ,23-26,C. Boucher makes 2-pt jump shot from 15 ft (assist by S. Barnes),,2,23,26,-3,732.0
11:27.0,Turnover by C. Martin (bad pass),23-26, ,,2,23,26,-3,753.0
11:15.0, ,23-28,C. Boucher makes 2-pt jump shot from 13 ft (assist by S. Barnes),,2,23,28,-5,765.0
11:02.0,Personal foul by S. Barnes (drawn by C. Martin),23-28, ,,2,23,28,-5,778.0
10:48.0,K. Lowry misses 3-pt jump shot from 28 ft,23-28, ,,2,23,28,-5,792.0
10:45.0,Offensive rebound by C. Zeller,23-28, ,,2,23,28,-5,795.0
10:37.0,Turnover by C. Zeller (traveling),23-28, ,,2,23,28,-5,803.0
10:17.0, ,23-28,Turnover by C. Boucher (bad pass; steal by K. Lowry),,2,23,28,-5,823.0
10:12.0,C. Zeller misses 2-pt layup from 8 ft,23-28, ,,2,23,28,-5,828.0
10:10.0, ,23-28,Defensive rebound by S. Barnes,,2,23,28,-5,830.0
10:06.0, ,23-30,J. Dowtin makes 2-pt layup from 6 ft (assist by S. Barnes),,2,23,30,-7,834.0
9:50.0,T. Herro makes 3-pt jump shot from 25 ft,26-30, ,,2,26,30,-4,850.0
9:30.0, ,26-30,S. Barnes misses 2-pt layup from 2 ft (block by C. Martin),,2,26,30,-4,870.0
9:27.0, ,26-30,Offensive rebound by S. Barnes,,2,26,30,-4,873.0
9:27.0, ,26-30,S. Barnes misses 2-pt layup at rim,,2,26,30,-4,873.0
9:27.0, ,26-30,Offensive rebound by O. Anunoby,,2,26,30,-4,873.0
9:22.0, ,26-30,C. Boucher misses 2-pt jump shot from 10 ft,,2,26,30,-4,878.0
9:19.0, ,26-30,Offensive rebound by C. Boucher,,2,26,30,-4,881.0
9:16.0, ,26-30,J. Dowtin misses 3-pt jump shot from 26 ft,,2,26,30,-4,884.0
9:12.0,Defensive rebound by C. Zeller,26-30, ,,2,26,30,-4,888.0
9:08.0,C. Zeller makes 2-pt dunk from 1 ft (assist by T. Herro),28-30, ,,2,28,30,-2,892.0
8:52.0, ,28-30,Shooting foul by C. Zeller (drawn by S. Barnes),,2,28,30,-2,908.0
8:52.0, ,28-31,S. Barnes makes free throw 1 of 2,,2,28,31,-3,908.0
8:52.0, ,28-32,S. Barnes makes free throw 2 of 2,,2,28,32,-4,908.0
8:38.0,C. Zeller makes 2-pt dunk from 1 ft (assist by T. Herro),30-32, ,,2,30,32,-2,922.0
8:16.0, ,30-34,P. Achiuwa makes 2-pt dunk at rim (assist by O. Anunoby),,2,30,34,-4,944.0
8:06.0,T. Herro makes 2-pt jump shot from 11 ft,32-34, ,,2,32,34,-2,954.0
