Time,Miami,Score,Toronto,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:43.0, ,32-36,C. Boucher makes 2-pt hook shot from 5 ft (assist by S. Barnes),,2,32,36,-4,977.0
7:43.0, ,32-36,Shooting foul by C. Zeller (drawn by C. Boucher),,2,32,36,-4,977.0
7:43.0, ,32-36,P. Siakam enters the game for S. Barnes,,2,32,36,-4,977.0
7:43.0, ,32-36,C. Boucher misses free throw 1 of 1,,2,32,36,-4,977.0
7:41.0,Defensive rebound by C. Zeller,32-36, ,,2,32,36,-4,979.0
7:31.0,T. Herro misses 2-pt jump shot from 11 ft (block by J. Dowtin),32-36, ,,2,32,36,-4,989.0
7:28.0, ,32-36,Defensive rebound by J. Dowtin,,2,32,36,-4,992.0
7:28.0,B. Adebayo enters the game for C. Zeller,32-36, ,,2,32,36,-4,992.0
7:19.0, ,32-36,P. Siakam misses 2-pt jump shot from 7 ft,,2,32,36,-4,1001.0
7:16.0, ,32-36,Offensive rebound by P. Siakam,,2,32,36,-4,1004.0
7:16.0, ,32-36,P. Siakam misses 2-pt layup at rim,,2,32,36,-4,1004.0
7:16.0,Defensive rebound by B. Adebayo,32-36, ,,2,32,36,-4,1004.0
7:08.0,T. Herro makes 3-pt jump shot from 27 ft (assist by B. Adebayo),35-36, ,,2,35,36,-1,1012.0
6:51.0, ,35-39,O. Anunoby makes 3-pt jump shot from 26 ft (assist by P. Achiuwa),,2,35,39,-4,1029.0
6:31.0,M. Strus makes 3-pt jump shot from 24 ft (assist by T. Herro),38-39, ,,2,38,39,-1,1049.0
6:09.0, ,38-39,P. Achiuwa misses 3-pt jump shot from 25 ft,,2,38,39,-1,1071.0
6:06.0,Defensive rebound by K. Lowry,38-39, ,,2,38,39,-1,1074.0
5:56.0,C. Martin misses 3-pt jump shot from 24 ft,38-39, ,,2,38,39,-1,1084.0
5:54.0, ,38-39,Defensive rebound by P. Achiuwa,,2,38,39,-1,1086.0
5:48.0, ,38-39,O. Anunoby misses 3-pt jump shot from 24 ft,,2,38,39,-1,1092.0
5:45.0,Defensive rebound by M. Strus,38-39, ,,2,38,39,-1,1095.0
5:38.0,B. Adebayo misses 2-pt layup from 4 ft,38-39, ,,2,38,39,-1,1102.0
5:37.0,Offensive rebound by B. Adebayo,38-39, ,,2,38,39,-1,1103.0
5:31.0,T. Herro misses 3-pt jump shot from 25 ft,38-39, ,,2,38,39,-1,1109.0
5:28.0, ,38-39,Defensive rebound by P. Achiuwa,,2,38,39,-1,1112.0
5:28.0, ,38-39,Toronto full timeout,,2,38,39,-1,1112.0
5:28.0, ,38-39,S. Barnes enters the game for P. Achiuwa,,2,38,39,-1,1112.0
5:28.0, ,38-39,J. Poeltl enters the game for O. Anunoby,,2,38,39,-1,1112.0
5:28.0, ,38-39,F. VanVleet enters the game for J. Dowtin,,2,38,39,-1,1112.0
5:04.0, ,38-39,F. VanVleet misses 2-pt jump shot from 22 ft,,2,38,39,-1,1136.0
5:01.0,Defensive rebound by K. Lowry,38-39, ,,2,38,39,-1,1139.0
4:55.0,Shooting foul by J. Poeltl (drawn by B. Adebayo),38-39, ,,2,38,39,-1,1145.0
4:55.0,B. Adebayo makes free throw 1 of 2,39-39, ,Tie,2,39,39,0,1145.0
4:55.0,B. Adebayo makes free throw 2 of 2,40-39, ,Lead change,2,40,39,1,1145.0
4:34.0, ,40-39,P. Siakam misses 2-pt jump shot from 5 ft,,2,40,39,1,1166.0
4:30.0, ,40-39,Offensive rebound by P. Siakam,,2,40,39,1,1170.0
4:30.0, ,40-41,P. Siakam makes 2-pt layup at rim,Lead change,2,40,41,-1,1170.0
4:27.0,C. Martin misses 3-pt jump shot from 26 ft,40-41, ,,2,40,41,-1,1173.0
4:22.0, ,40-41,Defensive rebound by C. Boucher,,2,40,41,-1,1178.0
4:12.0, ,40-41,Personal foul by B. Adebayo (drawn by J. Poeltl),,2,40,41,-1,1188.0
4:02.0, ,40-41,C. Boucher misses 2-pt jump shot from 4 ft,,2,40,41,-1,1198.0
4:01.0, ,40-41,Offensive rebound by J. Poeltl,,2,40,41,-1,1199.0
3:54.0, ,40-41,P. Siakam misses 3-pt jump shot from 23 ft,,2,40,41,-1,1206.0
3:51.0, ,40-41,Offensive rebound by S. Barnes,,2,40,41,-1,1209.0
3:51.0, ,40-43,S. Barnes makes 2-pt dunk at rim,,2,40,43,-3,1209.0
3:51.0,Miami full timeout,40-43, ,,2,40,43,-3,1209.0
3:51.0, ,40-43,O. Anunoby enters the game for C. Boucher,,2,40,43,-3,1209.0
3:43.0,Offensive foul by C. Martin (drawn by S. Barnes),40-43, ,,2,40,43,-3,1217.0
3:43.0,Turnover by C. Martin (offensive foul),40-43, ,,2,40,43,-3,1217.0
3:43.0,K. Love enters the game for C. Martin,40-43, ,,2,40,43,-3,1217.0
3:28.0, ,40-45,P. Siakam makes 2-pt jump shot from 20 ft,,2,40,45,-5,1232.0
3:15.0,K. Lowry makes 2-pt jump shot from 18 ft,42-45, ,,2,42,45,-3,1245.0
2:57.0, ,42-45,O. Anunoby misses 3-pt jump shot from 23 ft,,2,42,45,-3,1263.0
2:54.0,Defensive rebound by M. Strus,42-45, ,,2,42,45,-3,1266.0
2:41.0,T. Herro misses 2-pt jump shot from 12 ft (block by J. Poeltl),42-45, ,,2,42,45,-3,1279.0
2:38.0, ,42-45,Defensive rebound by J. Poeltl,,2,42,45,-3,1282.0
2:26.0, ,42-47,P. Siakam makes 2-pt jump shot from 5 ft (assist by F. VanVleet),,2,42,47,-5,1294.0
2:03.0,K. Love misses 3-pt jump shot from 26 ft,42-47, ,,2,42,47,-5,1317.0
2:01.0, ,42-47,Defensive rebound by S. Barnes,,2,42,47,-5,1319.0
1:51.0, ,42-49,O. Anunoby makes 2-pt layup from 7 ft (assist by S. Barnes),,2,42,49,-7,1329.0
1:34.0,B. Adebayo misses 2-pt layup from 3 ft,42-49, ,,2,42,49,-7,1346.0
1:34.0,Offensive rebound by K. Lowry,42-49, ,,2,42,49,-7,1346.0
1:24.0,Turnover by M. Strus (bad pass; steal by F. VanVleet),42-49, ,,2,42,49,-7,1356.0
1:20.0, ,42-51,O. Anunoby makes 2-pt layup at rim (assist by F. VanVleet),,2,42,51,-9,1360.0
1:05.0,K. Lowry misses 3-pt jump shot from 26 ft,42-51, ,,2,42,51,-9,1375.0
1:02.0, ,42-51,Defensive rebound by P. Siakam,,2,42,51,-9,1378.0
0:57.0, ,42-51,Turnover by P. Siakam (lost ball; steal by K. Lowry),,2,42,51,-9,1383.0
0:48.0,T. Herro makes 3-pt jump shot from 23 ft (assist by K. Love),45-51, ,,2,45,51,-6,1392.0
0:34.0, ,45-53,S. Barnes makes 2-pt layup from 1 ft (assist by F. VanVleet),,2,45,53,-8,1406.0
0:30.0,Shooting foul by J. Poeltl (drawn by K. Lowry),45-53, ,,2,45,53,-8,1410.0
0:30.0,K. Lowry makes free throw 1 of 2,46-53, ,,2,46,53,-7,1410.0
0:30.0,C. Martin enters the game for B. Adebayo,46-53, ,,2,46,53,-7,1410.0
0:30.0,V. Oladipo enters the game for T. Herro,46-53, ,,2,46,53,-7,1410.0
0:30.0,C. Zeller enters the game for K. Love,46-53, ,,2,46,53,-7,1410.0
0:30.0, ,46-53,P. Achiuwa enters the game for J. Poeltl,,2,46,53,-7,1410.0
0:30.0,K. Lowry makes free throw 2 of 2,47-53, ,,2,47,53,-6,1410.0
0:17.0, ,47-53,P. Siakam misses 3-pt jump shot from 26 ft,,2,47,53,-6,1423.0
0:14.0,Defensive rebound by V. Oladipo,47-53, ,,2,47,53,-6,1426.0
0:02.0, ,47-53,Violation by Team (kicked ball),,2,47,53,-6,1438.0
0:02.0,B. Adebayo enters the game for C. Martin,47-53, ,,2,47,53,-6,1438.0
0:02.0,T. Herro enters the game for C. Zeller,47-53, ,,2,47,53,-6,1438.0
0:00.0,T. Herro misses 3-pt jump shot from 31 ft,47-53, ,,2,47,53,-6,1440.0
0:00.0,Offensive rebound by Team,47-53, ,,2,47,53,-6,1440.0
0:00.0,End of 2nd quarter,47-53,,,2,47,53,-6,1440.0
12:00.0,Start of 3rd quarter,47-53,,,3,47,53,-6,1440.0
11:42.0, ,47-53,F. VanVleet misses 3-pt jump shot from 26 ft,,3,47,53,-6,1458.0
11:38.0,Defensive rebound by T. Herro,47-53, ,,3,47,53,-6,1462.0
11:34.0,Turnover by T. Herro (bad pass; steal by S. Barnes),47-53, ,,3,47,53,-6,1466.0
11:28.0, ,47-53,Offensive foul by O. Anunoby (drawn by K. Love),,3,47,53,-6,1472.0
11:28.0, ,47-53,Turnover by O. Anunoby (offensive foul),,3,47,53,-6,1472.0
11:12.0,Shooting foul by J. Poeltl (drawn by B. Adebayo),47-53, ,,3,47,53,-6,1488.0
11:12.0,B. Adebayo makes free throw 1 of 2,48-53, ,,3,48,53,-5,1488.0
11:12.0,B. Adebayo makes free throw 2 of 2,49-53, ,,3,49,53,-4,1488.0
11:02.0, ,49-53,Personal foul by V. Oladipo (drawn by O. Anunoby),,3,49,53,-4,1498.0
10:56.0, ,49-55,P. Siakam makes 2-pt jump shot from 14 ft (assist by F. VanVleet),,3,49,55,-6,1504.0
10:38.0,T. Herro makes 2-pt jump shot from 16 ft,51-55, ,,3,51,55,-4,1522.0
10:26.0, ,51-57,F. VanVleet makes 2-pt layup from 4 ft,,3,51,57,-6,1534.0
10:14.0,B. Adebayo misses 2-pt jump shot from 9 ft,51-57, ,,3,51,57,-6,1546.0
10:12.0, ,51-57,Defensive rebound by F. VanVleet,,3,51,57,-6,1548.0
10:07.0, ,51-57,F. VanVleet misses 3-pt jump shot from 25 ft,,3,51,57,-6,1553.0
10:04.0, ,51-57,Offensive rebound by P. Siakam,,3,51,57,-6,1556.0
10:02.0, ,51-59,P. Siakam makes 2-pt layup from 5 ft,,3,51,59,-8,1558.0
9:52.0,Turnover by T. Herro (palming),51-59, ,,3,51,59,-8,1568.0
9:38.0, ,51-59,J. Poeltl misses 2-pt layup from 7 ft (block by G. Vincent),,3,51,59,-8,1582.0
9:38.0,Defensive rebound by Team,51-59, ,,3,51,59,-8,1582.0
9:19.0,Def 3 sec tech foul by Team,51-59, ,,3,51,59,-8,1601.0
9:19.0,T. Herro makes technical free throw,52-59, ,,3,52,59,-7,1601.0
9:05.0,B. Adebayo misses 2-pt jump shot from 13 ft,52-59, ,,3,52,59,-7,1615.0
9:05.0,Offensive rebound by Team,52-59, ,,3,52,59,-7,1615.0
9:05.0,Turnover by Team (shot clock),52-59, ,,3,52,59,-7,1615.0
8:49.0, ,52-61,S. Barnes makes 2-pt layup from 4 ft (assist by P. Siakam),,3,52,61,-9,1631.0
8:27.0,B. Adebayo misses 2-pt jump shot from 17 ft,52-61, ,,3,52,61,-9,1653.0
8:24.0, ,52-61,Defensive rebound by S. Barnes,,3,52,61,-9,1656.0
8:18.0, ,52-63,P. Siakam makes 2-pt jump shot from 12 ft,,3,52,63,-11,1662.0
8:18.0,Miami full timeout,52-63, ,,3,52,63,-11,1662.0
8:14.0,K. Love misses 3-pt jump shot from 26 ft,52-63, ,,3,52,63,-11,1666.0
8:10.0, ,52-63,Defensive rebound by J. Poeltl,,3,52,63,-11,1670.0
7:56.0, ,52-63,P. Siakam misses 3-pt jump shot from 26 ft,,3,52,63,-11,1684.0
7:54.0, ,52-63,Offensive rebound by J. Poeltl,,3,52,63,-11,1686.0
7:52.0, ,52-66,O. Anunoby makes 3-pt jump shot from 25 ft (assist by J. Poeltl),,3,52,66,-14,1688.0
7:33.0,T. Herro makes 2-pt jump shot from 6 ft (assist by B. Adebayo),54-66, ,,3,54,66,-12,1707.0
7:10.0, ,54-66,Turnover by F. VanVleet (lost ball; steal by K. Love),,3,54,66,-12,1730.0
7:04.0,V. Oladipo misses 2-pt layup from 3 ft,54-66, ,,3,54,66,-12,1736.0
7:02.0, ,54-66,Defensive rebound by J. Poeltl,,3,54,66,-12,1738.0
6:56.0, ,54-68,P. Siakam makes 2-pt jump shot from 8 ft (assist by S. Barnes),,3,54,68,-14,1744.0
6:42.0,K. Love misses 3-pt jump shot from 24 ft,54-68, ,,3,54,68,-14,1758.0
6:40.0, ,54-68,Defensive rebound by J. Poeltl,,3,54,68,-14,1760.0
6:34.0, ,54-70,O. Anunoby makes 2-pt dunk from 2 ft (assist by S. Barnes),,3,54,70,-16,1766.0
6:13.0,T. Herro makes 2-pt jump shot from 10 ft (assist by V. Oladipo),56-70, ,,3,56,70,-14,1787.0
5:59.0, ,56-70,Turnover by P. Siakam (bad pass; steal by G. Vincent),,3,56,70,-14,1801.0
5:56.0,V. Oladipo makes 2-pt layup at rim,58-70, ,,3,58,70,-12,1804.0
5:31.0, ,58-70,Shooting foul by G. Vincent (drawn by P. Siakam),,3,58,70,-12,1829.0
5:31.0, ,58-71,P. Siakam makes free throw 1 of 2,,3,58,71,-13,1829.0
5:31.0,C. Martin enters the game for G. Vincent,58-71, ,,3,58,71,-13,1829.0
5:31.0, ,58-71,P. Achiuwa enters the game for S. Barnes,,3,58,71,-13,1829.0
5:31.0, ,58-71,C. Boucher enters the game for J. Poeltl,,3,58,71,-13,1829.0
5:31.0, ,58-72,P. Siakam makes free throw 2 of 2,,3,58,72,-14,1829.0
5:21.0,B. Adebayo misses 2-pt jump shot from 16 ft,58-72, ,,3,58,72,-14,1839.0
5:18.0, ,58-72,Defensive rebound by C. Boucher,,3,58,72,-14,1842.0
5:12.0, ,58-74,P. Siakam makes 2-pt layup from 5 ft,,3,58,74,-16,1848.0
5:12.0,Violation by Team (def goaltending),58-74, ,,3,58,74,-16,1848.0
4:53.0,V. Oladipo misses 2-pt jump shot from 6 ft,58-74, ,,3,58,74,-16,1867.0
4:50.0, ,58-74,Defensive rebound by P. Achiuwa,,3,58,74,-16,1870.0
4:40.0, ,58-74,Turnover by P. Siakam (bad pass; steal by B. Adebayo),,3,58,74,-16,1880.0
4:26.0,T. Herro makes 2-pt jump shot from 21 ft,60-74, ,,3,60,74,-14,1894.0
3:59.0, ,60-77,F. VanVleet makes 3-pt jump shot from 23 ft (assist by P. Siakam),,3,60,77,-17,1921.0
3:50.0,Personal foul by C. Boucher (drawn by T. Herro),60-77, ,,3,60,77,-17,1930.0
3:50.0,M. Strus enters the game for K. Love,60-77, ,,3,60,77,-17,1930.0
3:50.0, ,60-77,S. Barnes enters the game for O. Anunoby,,3,60,77,-17,1930.0
3:35.0,V. Oladipo misses 3-pt jump shot from 24 ft,60-77, ,,3,60,77,-17,1945.0
3:31.0, ,60-77,Defensive rebound by P. Siakam,,3,60,77,-17,1949.0
3:08.0, ,60-79,F. VanVleet makes 2-pt layup from 2 ft,,3,60,79,-19,1972.0
2:48.0,T. Herro makes 3-pt jump shot from 27 ft (assist by M. Strus),63-79, ,,3,63,79,-16,1992.0
2:21.0, ,63-79,S. Barnes misses 3-pt jump shot from 26 ft,,3,63,79,-16,2019.0
2:18.0,Defensive rebound by T. Herro,63-79, ,,3,63,79,-16,2022.0
2:15.0,T. Herro misses 3-pt jump shot from 28 ft,63-79, ,,3,63,79,-16,2025.0
2:11.0, ,63-79,Defensive rebound by P. Achiuwa,,3,63,79,-16,2029.0
2:04.0, ,63-79,F. VanVleet misses 3-pt jump shot from 27 ft,,3,63,79,-16,2036.0
2:00.0,Defensive rebound by V. Oladipo,63-79, ,,3,63,79,-16,2040.0
1:54.0,M. Strus misses 3-pt jump shot from 25 ft,63-79, ,,3,63,79,-16,2046.0
1:52.0, ,63-79,Defensive rebound by F. VanVleet,,3,63,79,-16,2048.0
1:44.0, ,63-79,Turnover by P. Achiuwa (lost ball; steal by C. Martin),,3,63,79,-16,2056.0
1:40.0,T. Herro makes 2-pt jump shot from 9 ft,65-79, ,,3,65,79,-14,2060.0
1:40.0, ,65-79,Toronto full timeout,,3,65,79,-14,2060.0
1:40.0,K. Lowry enters the game for B. Adebayo,65-79, ,,3,65,79,-14,2060.0
