Time,LA Lakers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: T. Bryant vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-0,B. Adebayo misses 2-pt jump shot from 6 ft,,1,0,0,0,16.0
11:42.0,Defensive rebound by L. Walker,0-0, ,,1,0,0,0,18.0
11:23.0,L. James makes 2-pt jump shot from 13 ft,2-0, ,,1,0,2,-2,37.0
11:09.0, ,2-3,G. Vincent makes 3-pt jump shot from 25 ft (assist by T. Herro),Lead change,1,3,2,1,51.0
10:46.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by L. James),5-3, ,Lead change,1,3,5,-2,74.0
10:29.0, ,5-3,T. Herro misses 3-pt jump shot from 26 ft,,1,3,5,-2,91.0
10:27.0,Defensive rebound by L. Walker,5-3, ,,1,3,5,-2,93.0
10:20.0,L. James misses 3-pt jump shot from 29 ft,5-3, ,,1,3,5,-2,100.0
10:20.0,Offensive rebound by P. Beverley,5-3, ,,1,3,5,-2,100.0
10:08.0,L. Walker misses 3-pt jump shot from 23 ft,5-3, ,,1,3,5,-2,112.0
10:05.0, ,5-3,Defensive rebound by C. Martin,,1,3,5,-2,115.0
9:53.0, ,5-5,J. Butler makes 2-pt layup from 2 ft,Tie,1,5,5,0,127.0
9:43.0,Turnover by D. Schröder (bad pass; steal by J. Butler),5-5, ,,1,5,5,0,137.0
9:39.0, ,5-7,J. Butler makes 2-pt layup from 2 ft,Lead change,1,7,5,2,141.0
9:28.0,L. James makes 3-pt jump shot from 26 ft (assist by P. Beverley),8-7, ,Lead change,1,7,8,-1,152.0
9:14.0, ,8-7,J. Butler misses 3-pt jump shot from 24 ft,,1,7,8,-1,166.0
9:10.0,Defensive rebound by L. James,8-7, ,,1,7,8,-1,170.0
9:01.0,D. Schröder misses 3-pt jump shot from 26 ft,8-7, ,,1,7,8,-1,179.0
8:56.0, ,8-7,Defensive rebound by B. Adebayo,,1,7,8,-1,184.0
8:51.0, ,8-9,B. Adebayo makes 2-pt layup from 1 ft,Lead change,1,9,8,1,189.0
8:41.0,P. Beverley misses 2-pt jump shot from 10 ft,8-9, ,,1,9,8,1,199.0
8:38.0, ,8-9,Defensive rebound by C. Martin,,1,9,8,1,202.0
8:36.0, ,8-11,J. Butler makes 2-pt dunk from 1 ft (assist by C. Martin),,1,11,8,3,204.0
8:19.0,Offensive foul by L. James (drawn by C. Martin),8-11, ,,1,11,8,3,221.0
8:19.0,Turnover by L. James (offensive foul),8-11, ,,1,11,8,3,221.0
8:00.0, ,8-11,Shooting foul by P. Beverley (drawn by J. Butler),,1,11,8,3,240.0
8:00.0, ,8-12,J. Butler makes free throw 1 of 2,,1,12,8,4,240.0
8:00.0, ,8-13,J. Butler makes free throw 2 of 2,,1,13,8,5,240.0
7:33.0,L. James makes 2-pt jump shot from 19 ft (assist by L. Walker),10-13, ,,1,13,10,3,267.0
7:10.0, ,10-13,T. Herro misses 3-pt jump shot from 27 ft,,1,13,10,3,290.0
7:06.0,Defensive rebound by T. Bryant,10-13, ,,1,13,10,3,294.0
6:58.0,L. James makes 3-pt jump shot from 26 ft (assist by P. Beverley),13-13, ,Tie,1,13,13,0,302.0
6:40.0, ,13-13,T. Herro misses 2-pt jump shot from 20 ft,,1,13,13,0,320.0
6:32.0,Defensive rebound by P. Beverley,13-13, ,,1,13,13,0,328.0
6:21.0,T. Bryant makes 2-pt hook shot from 4 ft (assist by L. James),15-13, ,Lead change,1,13,15,-2,339.0
6:14.0, ,15-13,Miami full timeout,,1,13,15,-2,346.0
6:14.0,R. Westbrook enters the game for P. Beverley,15-13, ,,1,13,15,-2,346.0
5:58.0, ,15-13,J. Butler misses 2-pt layup from 2 ft (block by T. Bryant),,1,13,15,-2,362.0
5:56.0, ,15-13,Offensive rebound by J. Butler,,1,13,15,-2,364.0
5:56.0, ,15-13,Shooting foul by T. Bryant (drawn by J. Butler),,1,13,15,-2,364.0
5:56.0, ,15-14,J. Butler makes free throw 1 of 2,,1,14,15,-1,364.0
5:56.0, ,15-15,J. Butler makes free throw 2 of 2,Tie,1,15,15,0,364.0
5:45.0,R. Westbrook makes 2-pt layup from 2 ft,17-15, ,,1,15,17,-2,375.0
5:29.0, ,17-15,T. Herro misses 2-pt jump shot from 13 ft,,1,15,17,-2,391.0
5:27.0, ,17-15,Offensive rebound by B. Adebayo,,1,15,17,-2,393.0
5:27.0, ,17-17,B. Adebayo makes 2-pt jump shot from 11 ft,Tie,1,17,17,0,393.0
