Time,Cleveland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Allen vs. B. Adebayo (D. Mitchell gains possession),0-0,,,1,0,0,0,0.0
11:39.0,Turnover by C. LeVert (bad pass; steal by B. Adebayo),0-0, ,,1,0,0,0,21.0
11:23.0, ,0-2,B. Adebayo makes 2-pt layup from 3 ft,,1,2,0,2,37.0
11:18.0,D. Mitchell makes 2-pt jump shot from 8 ft,2-2, ,Tie,1,2,2,0,42.0
10:55.0, ,2-4,B. Adebayo makes 2-pt jump shot from 15 ft,,1,4,2,2,65.0
10:46.0, ,2-4,Violation by Team (kicked ball),,1,4,2,2,74.0
10:30.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by J. Allen),5-4, ,Lead change,1,4,5,-1,90.0
10:09.0, ,5-4,K. Love misses 3-pt jump shot from 26 ft,,1,4,5,-1,111.0
10:08.0,Defensive rebound by Team,5-4, ,,1,4,5,-1,112.0
10:08.0, ,5-4,Loose ball foul by B. Adebayo (drawn by E. Mobley),,1,4,5,-1,112.0
9:56.0,J. Allen misses 2-pt hook shot from 2 ft,5-4, ,,1,4,5,-1,124.0
9:53.0, ,5-4,Defensive rebound by J. Butler,,1,4,5,-1,127.0
9:49.0, ,5-6,J. Butler makes 2-pt layup from 3 ft,Lead change,1,6,5,1,131.0
9:29.0,E. Mobley misses 2-pt jump shot from 13 ft,5-6, ,,1,6,5,1,151.0
9:28.0,Offensive rebound by J. Allen,5-6, ,,1,6,5,1,152.0
9:26.0,J. Allen misses 2-pt layup from 3 ft (block by K. Love),5-6, ,,1,6,5,1,154.0
9:26.0, ,5-6,Defensive rebound by K. Love,,1,6,5,1,154.0
9:12.0, ,5-6,K. Love misses 2-pt jump shot from 6 ft,,1,6,5,1,168.0
9:09.0,Defensive rebound by D. Mitchell,5-6, ,,1,6,5,1,171.0
9:05.0,D. Mitchell misses 2-pt layup from 5 ft,5-6, ,,1,6,5,1,175.0
9:02.0, ,5-6,Defensive rebound by T. Herro,,1,6,5,1,178.0
9:01.0, ,5-6,Shooting foul by C. LeVert (drawn by T. Herro),,1,6,5,1,179.0
9:01.0, ,5-7,T. Herro makes free throw 1 of 2,,1,7,5,2,179.0
9:01.0, ,5-8,T. Herro makes free throw 2 of 2,,1,8,5,3,179.0
8:46.0,I. Okoro makes 2-pt layup from 1 ft (assist by E. Mobley),7-8, ,,1,8,7,1,194.0
8:34.0, ,7-10,J. Butler makes 2-pt layup from 1 ft (assist by B. Adebayo),,1,10,7,3,206.0
8:07.0,C. LeVert misses 3-pt jump shot from 25 ft,7-10, ,,1,10,7,3,233.0
8:04.0, ,7-10,Defensive rebound by K. Love,,1,10,7,3,236.0
8:00.0, ,7-10,Personal foul by D. Mitchell (drawn by B. Adebayo),,1,10,7,3,240.0
7:43.0, ,7-10,B. Adebayo misses 2-pt jump shot from 7 ft,,1,10,7,3,257.0
7:41.0,Defensive rebound by D. Mitchell,7-10, ,,1,10,7,3,259.0
7:34.0,D. Mitchell makes 3-pt jump shot from 27 ft,10-10, ,Tie,1,10,10,0,266.0
7:17.0, ,10-12,G. Vincent makes 2-pt layup from 5 ft (assist by J. Butler),,1,12,10,2,283.0
7:02.0,E. Mobley makes 3-pt jump shot from 24 ft (assist by J. Allen),13-12, ,Lead change,1,12,13,-1,298.0
6:44.0, ,13-12,T. Herro misses 2-pt jump shot from 4 ft (block by J. Allen),,1,12,13,-1,316.0
6:40.0, ,13-12,Offensive rebound by K. Love,,1,12,13,-1,320.0
6:39.0, ,13-12,Turnover by K. Love (bad pass; steal by I. Okoro),,1,12,13,-1,321.0
6:33.0,C. LeVert makes 2-pt layup from 2 ft (assist by I. Okoro),15-12, ,,1,12,15,-3,327.0
