Time,Charlotte,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Plumlee vs. B. Adebayo (L. Ball gains possession),0-0,,,1,0,0,0,0.0
11:46.0,L. Ball misses 2-pt layup from 1 ft,0-0, ,,1,0,0,0,14.0
11:44.0, ,0-0,Defensive rebound by K. Lowry,,1,0,0,0,16.0
11:30.0, ,0-2,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Butler),,1,2,0,2,30.0
11:16.0,K. Oubre misses 3-pt jump shot from 25 ft,0-2, ,,1,2,0,2,44.0
11:09.0,Offensive rebound by K. Oubre,0-2, ,,1,2,0,2,51.0
11:08.0,Turnover by K. Oubre (lost ball; steal by M. Strus),0-2, ,,1,2,0,2,52.0
10:57.0, ,0-4,B. Adebayo makes 2-pt jump shot from 5 ft (assist by C. Martin),,1,4,0,4,63.0
10:47.0,P. Washington misses 3-pt jump shot from 27 ft,0-4, ,,1,4,0,4,73.0
10:44.0, ,0-4,Defensive rebound by K. Lowry,,1,4,0,4,76.0
10:32.0, ,0-4,K. Lowry misses 3-pt jump shot from 26 ft,,1,4,0,4,88.0
10:28.0, ,0-4,Offensive rebound by K. Lowry,,1,4,0,4,92.0
10:25.0, ,0-4,Turnover by B. Adebayo (bad pass),,1,4,0,4,95.0
10:10.0,L. Ball makes 2-pt jump shot from 4 ft (assist by M. Plumlee),2-4, ,,1,4,2,2,110.0
9:52.0, ,2-7,M. Strus makes 3-pt jump shot from 27 ft (assist by J. Butler),,1,7,2,5,128.0
9:38.0,L. Ball misses 3-pt jump shot from 26 ft,2-7, ,,1,7,2,5,142.0
9:36.0, ,2-7,Defensive rebound by K. Lowry,,1,7,2,5,144.0
9:28.0, ,2-9,B. Adebayo makes 2-pt jump shot from 9 ft,,1,9,2,7,152.0
9:14.0,K. Oubre makes 2-pt jump shot from 7 ft,4-9, ,,1,9,4,5,166.0
9:01.0, ,4-9,K. Lowry misses 2-pt jump shot from 16 ft,,1,9,4,5,179.0
8:59.0,Defensive rebound by K. Oubre,4-9, ,,1,9,4,5,181.0
8:47.0,K. Oubre makes 2-pt jump shot from 18 ft,6-9, ,,1,9,6,3,193.0
