Time,Miami,Score,Minnesota,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:39.0,M. Strus misses 3-pt jump shot from 25 ft,12-7, ,,1,12,7,5,201.0
8:37.0,Offensive rebound by N. Jović,12-7, ,,1,12,7,5,203.0
8:26.0,K. Lowry misses 2-pt jump shot from 19 ft,12-7, ,,1,12,7,5,214.0
8:25.0, ,12-7,Defensive rebound by Team,,1,12,7,5,215.0
8:15.0, ,12-10,K. Towns makes 3-pt jump shot from 27 ft (assist by J. McDaniels),,1,12,10,2,225.0
7:57.0,Turnover by N. Jović (bad pass; steal by A. Edwards),12-10, ,,1,12,10,2,243.0
7:53.0, ,12-10,D. Russell misses 3-pt jump shot from 26 ft,,1,12,10,2,247.0
7:50.0, ,12-10,Offensive rebound by R. Gobert,,1,12,10,2,250.0
7:50.0, ,12-10,Personal foul by M. Strus (drawn by R. Gobert),,1,12,10,2,250.0
7:35.0, ,12-10,K. Towns misses 3-pt jump shot from 24 ft,,1,12,10,2,265.0
7:32.0,Defensive rebound by M. Strus,12-10, ,,1,12,10,2,268.0
7:25.0,Shooting foul by R. Gobert (drawn by B. Adebayo),12-10, ,,1,12,10,2,275.0
7:25.0,B. Adebayo makes free throw 1 of 2,13-10, ,,1,13,10,3,275.0
7:25.0,B. Adebayo makes free throw 2 of 2,14-10, ,,1,14,10,4,275.0
7:11.0, ,14-12,K. Towns makes 2-pt jump shot from 8 ft (assist by D. Russell),,1,14,12,2,289.0
7:01.0,K. Lowry misses 3-pt jump shot from 25 ft,14-12, ,,1,14,12,2,299.0
6:58.0, ,14-12,Defensive rebound by K. Towns,,1,14,12,2,302.0
6:49.0, ,14-14,A. Edwards makes 2-pt dunk from 1 ft (assist by D. Russell),Tie,1,14,14,0,311.0
6:35.0,B. Adebayo makes 2-pt layup from 1 ft,16-14, ,,1,16,14,2,325.0
6:26.0, ,16-16,J. McDaniels makes 2-pt layup from 2 ft (assist by K. Towns),Tie,1,16,16,0,334.0
6:26.0, ,16-16,Shooting foul by N. Jović (drawn by J. McDaniels),,1,16,16,0,334.0
6:26.0, ,16-16,Minnesota full timeout,,1,16,16,0,334.0
6:26.0, ,16-16,T. Prince enters the game for R. Gobert,,1,16,16,0,334.0
6:26.0, ,16-17,J. McDaniels makes free throw 1 of 1,Lead change,1,16,17,-1,334.0
6:01.0,B. Adebayo misses 2-pt jump shot from 20 ft,16-17, ,,1,16,17,-1,359.0
5:58.0,Offensive rebound by M. Strus,16-17, ,,1,16,17,-1,362.0
5:56.0,M. Strus makes 2-pt layup from 1 ft,18-17, ,Lead change,1,18,17,1,364.0
5:38.0, ,18-19,K. Towns makes 2-pt hook shot from 6 ft,Lead change,1,18,19,-1,382.0
5:25.0,M. Strus misses 2-pt jump shot from 11 ft,18-19, ,,1,18,19,-1,395.0
5:24.0,Offensive rebound by B. Adebayo,18-19, ,,1,18,19,-1,396.0
5:24.0,B. Adebayo misses 2-pt layup at rim,18-19, ,,1,18,19,-1,396.0
5:23.0, ,18-19,Defensive rebound by K. Towns,,1,18,19,-1,397.0
5:23.0,H. Highsmith enters the game for C. Martin,18-19, ,,1,18,19,-1,397.0
5:23.0, ,18-19,J. McLaughlin enters the game for D. Russell,,1,18,19,-1,397.0
5:12.0, ,18-19,T. Prince misses 3-pt jump shot from 25 ft,,1,18,19,-1,408.0
5:09.0, ,18-19,Offensive rebound by J. McDaniels,,1,18,19,-1,411.0
5:04.0, ,18-19,A. Edwards misses 3-pt jump shot from 26 ft,,1,18,19,-1,416.0
4:59.0,Defensive rebound by M. Strus,18-19, ,,1,18,19,-1,421.0
4:53.0,B. Adebayo misses 2-pt jump shot from 9 ft,18-19, ,,1,18,19,-1,427.0
4:49.0,Offensive rebound by H. Highsmith,18-19, ,,1,18,19,-1,431.0
4:49.0,H. Highsmith misses 2-pt layup from 2 ft,18-19, ,,1,18,19,-1,431.0
4:49.0, ,18-19,Defensive rebound by Team,,1,18,19,-1,431.0
4:34.0, ,18-22,J. McLaughlin makes 3-pt jump shot from 27 ft (assist by K. Towns),,1,18,22,-4,446.0
4:13.0,M. Strus misses 3-pt jump shot from 24 ft,18-22, ,,1,18,22,-4,467.0
4:09.0, ,18-22,Defensive rebound by A. Edwards,,1,18,22,-4,471.0
4:06.0, ,18-22,A. Edwards misses 2-pt layup from 2 ft (block by B. Adebayo),,1,18,22,-4,474.0
4:03.0,Defensive rebound by K. Lowry,18-22, ,,1,18,22,-4,477.0
4:01.0,Shooting foul by K. Towns (drawn by N. Jović),18-22, ,,1,18,22,-4,479.0
4:01.0,N. Jović makes free throw 1 of 2,19-22, ,,1,19,22,-3,479.0
4:01.0,J. Cain enters the game for M. Strus,19-22, ,,1,19,22,-3,479.0
4:01.0, ,19-22,N. Reid enters the game for J. McDaniels,,1,19,22,-3,479.0
4:01.0,N. Jović makes free throw 2 of 2,20-22, ,,1,20,22,-2,479.0
3:49.0, ,20-22,J. McLaughlin misses 3-pt jump shot from 25 ft,,1,20,22,-2,491.0
3:44.0,Defensive rebound by K. Lowry,20-22, ,,1,20,22,-2,496.0
3:33.0,H. Highsmith makes 2-pt dunk from 1 ft (assist by K. Lowry),22-22, ,Tie,1,22,22,0,507.0
3:26.0, ,22-22,Personal foul by H. Highsmith (drawn by K. Towns),,1,22,22,0,514.0
3:26.0,M. Strus enters the game for N. Jović,22-22, ,,1,22,22,0,514.0
3:16.0, ,22-24,K. Towns makes 2-pt layup from 2 ft (assist by N. Reid),,1,22,24,-2,524.0
3:04.0,H. Highsmith makes 3-pt jump shot from 23 ft (assist by K. Lowry),25-24, ,Lead change,1,25,24,1,536.0
2:48.0, ,25-24,N. Reid misses 3-pt jump shot from 25 ft,,1,25,24,1,552.0
2:45.0,Defensive rebound by B. Adebayo,25-24, ,,1,25,24,1,555.0
2:39.0,J. Cain makes 2-pt layup at rim (assist by B. Adebayo),27-24, ,,1,27,24,3,561.0
2:29.0, ,27-24,Turnover by K. Towns (bad pass; steal by M. Strus),,1,27,24,3,571.0
2:25.0,J. Cain makes 2-pt dunk from 1 ft (assist by M. Strus),29-24, ,,1,29,24,5,575.0
2:25.0, ,29-24,Minnesota full timeout,,1,29,24,5,575.0
2:25.0,D. Dedmon enters the game for B. Adebayo,29-24, ,,1,29,24,5,575.0
2:25.0, ,29-24,J. Nowell enters the game for A. Edwards,,1,29,24,5,575.0
2:16.0, ,29-24,Turnover by T. Prince (bad pass),,1,29,24,5,584.0
2:04.0,J. Cain misses 2-pt layup from 2 ft,29-24, ,,1,29,24,5,596.0
2:02.0, ,29-24,Defensive rebound by K. Towns,,1,29,24,5,598.0
1:51.0, ,29-26,T. Prince makes 2-pt layup from 2 ft (assist by K. Towns),,1,29,26,3,609.0
1:28.0,Turnover by K. Lowry (bad pass; steal by K. Towns),29-26, ,,1,29,26,3,632.0
1:24.0, ,29-28,T. Prince makes 2-pt layup from 3 ft (assist by J. McLaughlin),,1,29,28,1,636.0
1:13.0,K. Lowry misses 2-pt jump shot from 6 ft,29-28, ,,1,29,28,1,647.0
1:11.0,Offensive rebound by D. Dedmon,29-28, ,,1,29,28,1,649.0
1:09.0,J. Cain makes 2-pt layup from 1 ft (assist by D. Dedmon),31-28, ,,1,31,28,3,651.0
1:00.0, ,31-28,J. Nowell misses 3-pt jump shot from 27 ft,,1,31,28,3,660.0
0:58.0,Defensive rebound by M. Strus,31-28, ,,1,31,28,3,662.0
0:44.0,Turnover by H. Highsmith (bad pass; steal by J. McLaughlin),31-28, ,,1,31,28,3,676.0
0:40.0, ,31-28,J. Nowell misses 2-pt layup from 4 ft,,1,31,28,3,680.0
0:37.0,Defensive rebound by J. Cain,31-28, ,,1,31,28,3,683.0
0:29.0,Shooting foul by N. Reid (drawn by D. Dedmon),31-28, ,,1,31,28,3,691.0
0:29.0,D. Dedmon makes free throw 1 of 2,32-28, ,,1,32,28,4,691.0
0:29.0,C. Martin enters the game for M. Strus,32-28, ,,1,32,28,4,691.0
0:29.0, ,32-28,R. Gobert enters the game for K. Towns,,1,32,28,4,691.0
0:29.0,D. Dedmon makes free throw 2 of 2,33-28, ,,1,33,28,5,691.0
0:20.0, ,33-28,Shooting foul by D. Dedmon (drawn by N. Reid),,1,33,28,5,700.0
0:20.0, ,33-29,N. Reid makes free throw 1 of 2,,1,33,29,4,700.0
0:20.0,M. Strus enters the game for J. Cain,33-29, ,,1,33,29,4,700.0
0:20.0, ,33-29,J. McDaniels enters the game for J. Nowell,,1,33,29,4,700.0
0:20.0, ,33-30,N. Reid makes free throw 2 of 2,,1,33,30,3,700.0
0:02.0,D. Dedmon misses 2-pt layup from 4 ft (block by R. Gobert),33-30, ,,1,33,30,3,718.0
0:00.0,Offensive rebound by Team,33-30, ,,1,33,30,3,720.0
0:00.0,End of 1st quarter,33-30,,,1,33,30,3,720.0
12:00.0,Start of 2nd quarter,33-30,,,2,33,30,3,720.0
11:43.0, ,33-32,J. Nowell makes 2-pt jump shot from 16 ft (assist by J. McLaughlin),,2,33,32,1,737.0
11:16.0,C. Martin misses 2-pt layup from 1 ft,33-32, ,,2,33,32,1,764.0
11:16.0,Offensive rebound by Team,33-32, ,,2,33,32,1,764.0
11:12.0,K. Lowry makes 3-pt jump shot from 23 ft,36-32, ,,2,36,32,4,768.0
10:59.0, ,36-34,N. Reid makes 2-pt layup from 1 ft (assist by J. Nowell),,2,36,34,2,781.0
10:49.0,H. Highsmith misses 3-pt jump shot from 23 ft,36-34, ,,2,36,34,2,791.0
10:49.0, ,36-34,Defensive rebound by T. Prince,,2,36,34,2,791.0
10:35.0, ,36-34,T. Prince misses 3-pt jump shot from 25 ft,,2,36,34,2,805.0
10:33.0,Defensive rebound by D. Dedmon,36-34, ,,2,36,34,2,807.0
10:27.0,D. Dedmon makes 3-pt jump shot from 25 ft (assist by N. Jović),39-34, ,,2,39,34,5,813.0
10:08.0, ,39-34,N. Reid misses 3-pt jump shot from 24 ft,,2,39,34,5,832.0
10:06.0,Defensive rebound by D. Dedmon,39-34, ,,2,39,34,5,834.0
9:53.0,D. Dedmon misses 2-pt jump shot from 22 ft,39-34, ,,2,39,34,5,847.0
9:49.0, ,39-34,Defensive rebound by N. Reid,,2,39,34,5,851.0
9:42.0, ,39-34,Turnover by J. Nowell (bad pass; steal by N. Jović),,2,39,34,5,858.0
9:36.0,D. Dedmon misses 2-pt layup from 1 ft (block by N. Reid),39-34, ,,2,39,34,5,864.0
9:33.0, ,39-34,Defensive rebound by J. Nowell,,2,39,34,5,867.0
9:27.0, ,39-34,J. Nowell misses 3-pt jump shot from 25 ft,,2,39,34,5,873.0
9:23.0,Defensive rebound by K. Lowry,39-34, ,,2,39,34,5,877.0
