Time,Washington,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. B. Adebayo (C. Kispert gains possession),0-0,,,1,0,0,0,0.0
11:41.0,K. Kuzma makes 2-pt jump shot from 4 ft,2-0, ,,1,0,2,-2,19.0
11:22.0, ,2-2,B. Adebayo makes 2-pt layup from 2 ft (assist by T. Herro),Tie,1,2,2,0,38.0
11:04.0,D. Avdija misses 2-pt layup from 2 ft (block by N. Jović),2-2, ,,1,2,2,0,56.0
11:00.0,Offensive rebound by K. Kuzma,2-2, ,,1,2,2,0,60.0
11:00.0,C. Kispert makes 2-pt layup from 1 ft (assist by K. Kuzma),4-2, ,,1,2,4,-2,60.0
10:48.0, ,4-4,B. Adebayo makes 2-pt jump shot from 11 ft (assist by T. Herro),Tie,1,4,4,0,72.0
10:24.0,D. Avdija makes 2-pt layup from 2 ft (assist by K. Kuzma),6-4, ,,1,4,6,-2,96.0
10:05.0, ,6-6,K. Lowry makes 2-pt layup from 4 ft (assist by T. Herro),Tie,1,6,6,0,115.0
9:54.0,K. Porziņģis misses 2-pt jump shot from 10 ft,6-6, ,,1,6,6,0,126.0
9:49.0, ,6-6,Defensive rebound by B. Adebayo,,1,6,6,0,131.0
9:43.0, ,6-6,B. Adebayo misses 2-pt hook shot from 6 ft,,1,6,6,0,137.0
9:41.0, ,6-6,Offensive rebound by B. Adebayo,,1,6,6,0,139.0
9:40.0, ,6-6,N. Jović misses 3-pt jump shot from 26 ft,,1,6,6,0,140.0
9:40.0,Defensive rebound by B. Beal,6-6, ,,1,6,6,0,140.0
9:23.0,D. Avdija misses 3-pt jump shot from 24 ft,6-6, ,,1,6,6,0,157.0
9:20.0, ,6-6,Defensive rebound by B. Adebayo,,1,6,6,0,160.0
9:14.0, ,6-8,B. Adebayo makes 2-pt jump shot from 7 ft,Lead change,1,8,6,2,166.0
9:12.0,Turnover by D. Avdija (out of bounds lost ball),6-8, ,,1,8,6,2,168.0
9:03.0, ,6-8,T. Herro misses 2-pt jump shot from 16 ft,,1,8,6,2,177.0
9:00.0,Defensive rebound by K. Kuzma,6-8, ,,1,8,6,2,180.0
8:47.0,Turnover by C. Kispert (bad pass; steal by K. Lowry),6-8, ,,1,8,6,2,193.0
8:45.0, ,6-10,N. Jović makes 2-pt layup from 2 ft (assist by K. Lowry),,1,10,6,4,195.0
8:45.0, ,6-10,Shooting foul by C. Kispert (drawn by N. Jović),,1,10,6,4,195.0
8:45.0, ,6-11,N. Jović makes free throw 1 of 1,,1,11,6,5,195.0
8:29.0,Personal foul by K. Lowry (drawn by K. Porziņģis),6-11, ,,1,11,6,5,211.0
8:22.0,K. Porziņģis misses 2-pt jump shot from 15 ft,6-11, ,,1,11,6,5,218.0
8:18.0, ,6-11,Defensive rebound by B. Adebayo,,1,11,6,5,222.0
8:11.0, ,6-13,B. Adebayo makes 2-pt dunk from 2 ft (assist by K. Lowry),,1,13,6,7,229.0
7:58.0,B. Beal makes 2-pt jump shot from 17 ft,8-13, ,,1,13,8,5,242.0
7:47.0, ,8-13,T. Herro misses 3-pt jump shot from 25 ft,,1,13,8,5,253.0
7:44.0,Defensive rebound by D. Avdija,8-13, ,,1,13,8,5,256.0
7:37.0,K. Porziņģis makes 2-pt jump shot from 8 ft (assist by D. Avdija),10-13, ,,1,13,10,3,263.0
7:37.0,Shooting foul by B. Adebayo (drawn by K. Porziņģis),10-13, ,,1,13,10,3,263.0
7:37.0,K. Porziņģis makes free throw 1 of 1,11-13, ,,1,13,11,2,263.0
7:26.0, ,11-15,B. Adebayo makes 2-pt layup from 2 ft (assist by K. Lowry),,1,15,11,4,274.0
7:09.0,K. Porziņģis makes 2-pt jump shot from 8 ft (assist by B. Beal),13-15, ,,1,15,13,2,291.0
6:58.0, ,13-15,T. Herro misses 2-pt layup from 9 ft,,1,15,13,2,302.0
6:55.0,Defensive rebound by D. Avdija,13-15, ,,1,15,13,2,305.0
6:49.0,K. Kuzma makes 2-pt layup from 3 ft (assist by D. Avdija),15-15, ,Tie,1,15,15,0,311.0
6:27.0, ,15-15,T. Herro misses 2-pt layup from 3 ft (block by K. Porziņģis),,1,15,15,0,333.0
6:23.0,Defensive rebound by D. Avdija,15-15, ,,1,15,15,0,337.0
6:20.0,K. Kuzma makes 3-pt jump shot from 23 ft (assist by B. Beal),18-15, ,Lead change,1,15,18,-3,340.0
5:59.0, ,18-18,T. Herro makes 3-pt jump shot from 26 ft,Tie,1,18,18,0,361.0
5:46.0,K. Kuzma makes 2-pt jump shot from 15 ft,20-18, ,,1,18,20,-2,374.0
5:39.0, ,20-20,B. Adebayo makes 2-pt jump shot from 11 ft,Tie,1,20,20,0,381.0
5:39.0,Washington full timeout,20-20, ,,1,20,20,0,381.0
5:23.0,K. Kuzma makes 2-pt layup from 5 ft,22-20, ,,1,20,22,-2,397.0
5:08.0, ,22-22,B. Adebayo makes 2-pt jump shot from 12 ft (assist by T. Herro),Tie,1,22,22,0,412.0
4:55.0,K. Porziņģis makes 2-pt layup from 2 ft (assist by D. Avdija),24-22, ,,1,22,24,-2,425.0
4:43.0, ,24-22,Shooting foul by K. Porziņģis (drawn by B. Adebayo),,1,22,24,-2,437.0
4:43.0, ,24-23,B. Adebayo makes free throw 1 of 2,,1,23,24,-1,437.0
4:43.0,W. Barton enters the game for C. Kispert,24-23, ,,1,23,24,-1,437.0
4:43.0, ,24-23,H. Highsmith enters the game for T. Herro,,1,23,24,-1,437.0
4:43.0, ,24-23,D. Smith enters the game for N. Jović,,1,23,24,-1,437.0
4:43.0, ,24-24,B. Adebayo makes free throw 2 of 2,Tie,1,24,24,0,437.0
4:23.0,K. Kuzma misses 3-pt jump shot from 26 ft,24-24, ,,1,24,24,0,457.0
4:18.0,Offensive rebound by D. Avdija,24-24, ,,1,24,24,0,462.0
4:18.0,D. Avdija makes 2-pt layup at rim,26-24, ,,1,24,26,-2,462.0
4:10.0, ,26-24,C. Martin misses 3-pt jump shot from 24 ft,,1,24,26,-2,470.0
4:09.0,Defensive rebound by W. Barton,26-24, ,,1,24,26,-2,471.0
3:57.0,B. Beal makes 2-pt jump shot from 14 ft,28-24, ,,1,24,28,-4,483.0
3:57.0,Shooting foul by D. Smith (drawn by B. Beal),28-24, ,,1,24,28,-4,483.0
3:57.0,B. Beal makes free throw 1 of 1,29-24, ,,1,24,29,-5,483.0
3:49.0, ,29-24,K. Lowry misses 3-pt jump shot from 26 ft (block by B. Beal),,1,24,29,-5,491.0
3:46.0, ,29-24,Offensive rebound by H. Highsmith,,1,24,29,-5,494.0
3:46.0, ,29-24,Turnover by D. Smith (step out of bounds),,1,24,29,-5,494.0
3:37.0,K. Porziņģis misses 3-pt jump shot from 23 ft,29-24, ,,1,24,29,-5,503.0
3:33.0, ,29-24,Defensive rebound by K. Lowry,,1,24,29,-5,507.0
3:28.0, ,29-24,K. Lowry misses 2-pt layup from 3 ft (block by D. Avdija),,1,24,29,-5,512.0
3:28.0, ,29-24,Offensive rebound by Team,,1,24,29,-5,512.0
3:28.0, ,29-24,J. Cain enters the game for C. Martin,,1,24,29,-5,512.0
3:18.0, ,29-24,Shooting foul by B. Beal (drawn by H. Highsmith),,1,24,29,-5,522.0
3:18.0, ,29-24,H. Highsmith misses free throw 1 of 3,,1,24,29,-5,522.0
