Time,Miami,Score,Atlanta,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. O. Okongwu (J. Collins gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-2,J. Collins makes 2-pt dunk at rim (assist by T. Young),,1,0,2,-2,17.0
11:17.0,M. Strus makes 3-pt jump shot from 23 ft (assist by C. Martin),3-2, ,Lead change,1,3,2,1,43.0
10:55.0, ,3-2,J. Collins misses 2-pt layup from 3 ft,,1,3,2,1,65.0
10:55.0,Defensive rebound by C. Martin,3-2, ,,1,3,2,1,65.0
10:47.0,C. Martin misses 2-pt jump shot from 21 ft,3-2, ,,1,3,2,1,73.0
10:45.0, ,3-2,Defensive rebound by J. Collins,,1,3,2,1,75.0
10:39.0, ,3-2,Turnover by O. Okongwu (lost ball; steal by K. Lowry),,1,3,2,1,81.0
10:33.0,K. Lowry misses 3-pt jump shot from 28 ft,3-2, ,,1,3,2,1,87.0
10:29.0, ,3-2,Defensive rebound by D. Murray,,1,3,2,1,91.0
10:24.0, ,3-5,D. Hunter makes 3-pt jump shot from 24 ft (assist by J. Collins),Lead change,1,3,5,-2,96.0
10:07.0,B. Adebayo misses 2-pt hook shot from 8 ft (block by J. Collins),3-5, ,,1,3,5,-2,113.0
10:06.0, ,3-5,Defensive rebound by Team,,1,3,5,-2,114.0
9:47.0, ,3-8,T. Young makes 3-pt jump shot from 29 ft (assist by D. Murray),,1,3,8,-5,133.0
9:35.0,M. Strus makes 3-pt jump shot from 25 ft (assist by C. Martin),6-8, ,,1,6,8,-2,145.0
9:22.0, ,6-8,T. Young misses 3-pt jump shot from 26 ft,,1,6,8,-2,158.0
9:20.0,Defensive rebound by T. Herro,6-8, ,,1,6,8,-2,160.0
9:11.0,Personal foul by J. Collins (drawn by T. Herro),6-8, ,,1,6,8,-2,169.0
9:04.0,T. Herro misses 3-pt jump shot from 26 ft,6-8, ,,1,6,8,-2,176.0
9:01.0, ,6-8,Defensive rebound by D. Murray,,1,6,8,-2,179.0
8:55.0, ,6-8,D. Murray misses 2-pt jump shot from 15 ft,,1,6,8,-2,185.0
8:52.0, ,6-8,Offensive rebound by O. Okongwu,,1,6,8,-2,188.0
8:46.0, ,6-8,Shooting foul by K. Lowry (drawn by D. Hunter),,1,6,8,-2,194.0
8:46.0, ,6-9,D. Hunter makes free throw 1 of 2,,1,6,9,-3,194.0
8:46.0, ,6-10,D. Hunter makes free throw 2 of 2,,1,6,10,-4,194.0
8:35.0,Turnover by B. Adebayo (bad pass; steal by D. Hunter),6-10, ,,1,6,10,-4,205.0
8:28.0, ,6-10,D. Hunter misses 2-pt layup from 7 ft,,1,6,10,-4,212.0
8:25.0,Defensive rebound by B. Adebayo,6-10, ,,1,6,10,-4,215.0
8:21.0,B. Adebayo makes 2-pt jump shot from 11 ft,8-10, ,,1,8,10,-2,219.0
8:07.0, ,8-10,J. Collins misses 2-pt hook shot from 10 ft (block by K. Lowry),,1,8,10,-2,233.0
8:03.0,Defensive rebound by T. Herro,8-10, ,,1,8,10,-2,237.0
8:02.0,M. Strus misses 2-pt layup from 2 ft,8-10, ,,1,8,10,-2,238.0
7:58.0,Offensive rebound by K. Lowry,8-10, ,,1,8,10,-2,242.0
