Time,San Antonio,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:36.0,Defensive rebound by Z. Collins,36-37, ,,2,37,36,1,924.0
8:32.0,D. Vassell makes 2-pt layup from 2 ft,38-37, ,Lead change,2,37,38,-1,928.0
8:32.0,Shooting foul by V. Oladipo (drawn by D. Vassell),38-37, ,,2,37,38,-1,928.0
8:32.0, ,38-37,Miami full timeout,,2,37,38,-1,928.0
8:32.0,M. Branham enters the game for T. Jones,38-37, ,,2,37,38,-1,928.0
8:32.0,K. Johnson enters the game for D. McDermott,38-37, ,,2,37,38,-1,928.0
8:32.0, ,38-37,K. Lowry enters the game for T. Herro,,2,37,38,-1,928.0
8:32.0,D. Vassell makes free throw 1 of 1,39-37, ,,2,37,39,-2,928.0
8:07.0, ,39-37,M. Strus misses 3-pt jump shot from 24 ft,,2,37,39,-2,953.0
8:04.0,Defensive rebound by R. Langford,39-37, ,,2,37,39,-2,956.0
7:56.0,D. Vassell misses 2-pt jump shot from 15 ft,39-37, ,,2,37,39,-2,964.0
7:52.0, ,39-37,Defensive rebound by K. Lowry,,2,37,39,-2,968.0
7:41.0, ,39-37,C. Martin misses 3-pt jump shot from 23 ft,,2,37,39,-2,979.0
7:41.0,Defensive rebound by R. Langford,39-37, ,,2,37,39,-2,979.0
7:32.0,R. Langford makes 2-pt jump shot from 8 ft (assist by M. Branham),41-37, ,,2,37,41,-4,988.0
7:08.0, ,41-40,K. Lowry makes 3-pt jump shot from 28 ft (assist by M. Strus),,2,40,41,-1,1012.0
6:54.0,Turnover by D. Vassell (bad pass; steal by M. Strus),41-40, ,,2,40,41,-1,1026.0
6:54.0,C. Bassey enters the game for Z. Collins,41-40, ,,2,40,41,-1,1026.0
6:54.0,J. Richardson enters the game for D. Vassell,41-40, ,,2,40,41,-1,1026.0
6:54.0, ,41-40,J. Butler enters the game for V. Oladipo,,2,40,41,-1,1026.0
6:41.0, ,41-40,Turnover by K. Lowry (bad pass; steal by R. Langford),,2,40,41,-1,1039.0
6:36.0,R. Langford makes 2-pt layup from 4 ft,43-40, ,,2,40,43,-3,1044.0
6:19.0, ,43-42,B. Adebayo makes 2-pt dunk from 5 ft (assist by C. Martin),,2,42,43,-1,1061.0
6:19.0, ,43-42,Shooting foul by R. Langford (drawn by B. Adebayo),,2,42,43,-1,1061.0
6:19.0, ,43-42,B. Adebayo misses free throw 1 of 1,,2,42,43,-1,1061.0
6:16.0,Defensive rebound by C. Bassey,43-42, ,,2,42,43,-1,1064.0
6:07.0,Turnover by K. Johnson (dbl dribble),43-42, ,,2,42,43,-1,1073.0
6:07.0, ,43-42,D. Dedmon enters the game for B. Adebayo,,2,42,43,-1,1073.0
5:43.0, ,43-42,M. Strus misses 3-pt jump shot from 26 ft,,2,42,43,-1,1097.0
5:38.0,Defensive rebound by J. Richardson,43-42, ,,2,42,43,-1,1102.0
5:37.0,Turnover by J. Richardson (bad pass),43-42, ,,2,42,43,-1,1103.0
5:37.0,T. Jones enters the game for R. Langford,43-42, ,,2,42,43,-1,1103.0
5:37.0, ,43-42,T. Herro enters the game for C. Martin,,2,42,43,-1,1103.0
5:24.0, ,43-42,Turnover by J. Butler (bad pass),,2,42,43,-1,1116.0
5:12.0,C. Bassey makes 2-pt dunk from 2 ft (assist by T. Jones),45-42, ,,2,42,45,-3,1128.0
5:01.0, ,45-44,J. Butler makes 2-pt layup from 4 ft,,2,44,45,-1,1139.0
4:47.0,T. Jones misses 2-pt jump shot from 13 ft,45-44, ,,2,44,45,-1,1153.0
4:40.0, ,45-44,Defensive rebound by M. Strus,,2,44,45,-1,1160.0
4:39.0, ,45-46,J. Butler makes 2-pt layup from 4 ft (assist by K. Lowry),Lead change,2,46,45,1,1161.0
4:20.0,M. Branham makes 2-pt jump shot from 20 ft (assist by C. Bassey),47-46, ,Lead change,2,46,47,-1,1180.0
4:01.0, ,47-46,Shooting foul by T. Jones (drawn by J. Butler),,2,46,47,-1,1199.0
4:01.0, ,47-47,J. Butler makes free throw 1 of 2,Tie,2,47,47,0,1199.0
4:01.0,D. McDermott enters the game for M. Branham,47-47, ,,2,47,47,0,1199.0
4:01.0, ,47-48,J. Butler makes free throw 2 of 2,Lead change,2,48,47,1,1199.0
3:51.0,D. McDermott makes 2-pt jump shot from 20 ft,49-48, ,Lead change,2,48,49,-1,1209.0
3:30.0, ,49-50,J. Butler makes 2-pt jump shot from 10 ft,Lead change,2,50,49,1,1230.0
3:16.0,K. Johnson misses 2-pt layup from 5 ft (block by D. Dedmon),49-50, ,,2,50,49,1,1244.0
3:16.0,Offensive rebound by Team,49-50, ,,2,50,49,1,1244.0
3:16.0,Z. Collins enters the game for C. Bassey,49-50, ,,2,50,49,1,1244.0
3:08.0,Turnover by K. Johnson (discontinued dribble),49-50, ,,2,50,49,1,1252.0
2:59.0, ,49-50,T. Herro misses 2-pt jump shot from 12 ft,,2,50,49,1,1261.0
2:56.0, ,49-50,Offensive rebound by D. Dedmon,,2,50,49,1,1264.0
2:55.0, ,49-50,D. Dedmon misses 2-pt hook shot from 6 ft,,2,50,49,1,1265.0
2:46.0,Defensive rebound by K. Johnson,49-50, ,,2,50,49,1,1274.0
2:43.0,J. Richardson misses 2-pt jump shot from 16 ft,49-50, ,,2,50,49,1,1277.0
2:40.0, ,49-50,Defensive rebound by T. Herro,,2,50,49,1,1280.0
2:33.0, ,49-50,D. Dedmon misses 2-pt jump shot from 8 ft,,2,50,49,1,1287.0
2:28.0,Defensive rebound by T. Jones,49-50, ,,2,50,49,1,1292.0
2:22.0,Z. Collins makes 3-pt jump shot from 26 ft (assist by J. Richardson),52-50, ,Lead change,2,50,52,-2,1298.0
2:02.0, ,52-50,D. Dedmon misses 3-pt jump shot from 26 ft,,2,50,52,-2,1318.0
1:58.0,Defensive rebound by Z. Collins,52-50, ,,2,50,52,-2,1322.0
1:53.0,Z. Collins makes 2-pt jump shot from 12 ft (assist by D. McDermott),54-50, ,,2,50,54,-4,1327.0
1:53.0,Shooting foul by K. Lowry (drawn by Z. Collins),54-50, ,,2,50,54,-4,1327.0
1:53.0,D. Vassell enters the game for D. McDermott,54-50, ,,2,50,54,-4,1327.0
1:53.0, ,54-50,B. Adebayo enters the game for D. Dedmon,,2,50,54,-4,1327.0
1:53.0,Z. Collins misses free throw 1 of 1,54-50, ,,2,50,54,-4,1327.0
1:49.0, ,54-50,Defensive rebound by B. Adebayo,,2,50,54,-4,1331.0
1:30.0, ,54-50,Shooting foul by Z. Collins (drawn by J. Butler),,2,50,54,-4,1350.0
1:30.0, ,54-51,J. Butler makes free throw 1 of 2,,2,51,54,-3,1350.0
1:30.0,D. McDermott enters the game for J. Richardson,54-51, ,,2,51,54,-3,1350.0
1:30.0, ,54-51,C. Martin enters the game for M. Strus,,2,51,54,-3,1350.0
1:30.0, ,54-52,J. Butler makes free throw 2 of 2,,2,52,54,-2,1350.0
1:11.0,Personal foul by B. Adebayo (drawn by T. Jones),54-52, ,,2,52,54,-2,1369.0
1:11.0,T. Jones misses free throw 1 of 2,54-52, ,,2,52,54,-2,1369.0
1:11.0,Offensive rebound by Team,54-52, ,,2,52,54,-2,1369.0
1:11.0,T. Jones makes free throw 2 of 2,55-52, ,,2,52,55,-3,1369.0
0:59.0, ,55-52,T. Herro misses 3-pt jump shot from 25 ft,,2,52,55,-3,1381.0
0:55.0,Defensive rebound by K. Johnson,55-52, ,,2,52,55,-3,1385.0
0:40.0,T. Jones makes 2-pt layup from 2 ft (assist by K. Johnson),57-52, ,,2,52,57,-5,1400.0
0:40.0,Shooting foul by K. Lowry (drawn by T. Jones),57-52, ,,2,52,57,-5,1400.0
