Time,San Antonio,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:47.0,Shooting foul by V. Oladipo (drawn by K. Johnson),70-74, ,,3,74,70,4,1873.0
4:47.0,K. Johnson makes free throw 1 of 2,71-74, ,,3,74,71,3,1873.0
4:47.0,K. Johnson makes free throw 2 of 2,72-74, ,,3,74,72,2,1873.0
4:31.0, ,72-76,J. Butler makes 2-pt layup from 3 ft (assist by T. Herro),,3,76,72,4,1889.0
4:08.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by J. Richardson),75-76, ,,3,76,75,1,1912.0
3:51.0, ,75-78,V. Oladipo makes 2-pt layup from 3 ft,,3,78,75,3,1929.0
3:29.0,C. Bassey makes 2-pt jump shot from 16 ft (assist by J. Richardson),77-78, ,,3,78,77,1,1951.0
3:29.0, ,77-78,Miami full timeout,,3,78,77,1,1951.0
3:29.0,D. Vassell enters the game for R. Langford,77-78, ,,3,78,77,1,1951.0
3:29.0, ,77-78,D. Dedmon enters the game for B. Adebayo,,3,78,77,1,1951.0
3:11.0, ,77-78,Shooting foul by D. Vassell (drawn by D. Robinson),,3,78,77,1,1969.0
3:11.0, ,77-79,D. Robinson makes free throw 1 of 3,,3,79,77,2,1969.0
3:11.0, ,77-80,D. Robinson makes free throw 2 of 3,,3,80,77,3,1969.0
3:11.0, ,77-81,D. Robinson makes free throw 3 of 3,,3,81,77,4,1969.0
3:03.0,Shooting foul by D. Robinson (drawn by K. Johnson),77-81, ,,3,81,77,4,1977.0
3:03.0,K. Johnson makes free throw 1 of 2,78-81, ,,3,81,78,3,1977.0
3:03.0,T. Jones enters the game for D. McDermott,78-81, ,,3,81,78,3,1977.0
3:03.0, ,78-81,K. Lowry enters the game for J. Butler,,3,81,78,3,1977.0
3:03.0, ,78-81,C. Martin enters the game for T. Herro,,3,81,78,3,1977.0
3:03.0,K. Johnson makes free throw 2 of 2,79-81, ,,3,81,79,2,1977.0
2:40.0, ,79-81,D. Robinson misses 3-pt jump shot from 26 ft,,3,81,79,2,2000.0
2:36.0,Defensive rebound by J. Richardson,79-81, ,,3,81,79,2,2004.0
2:24.0,K. Johnson misses 2-pt jump shot from 9 ft,79-81, ,,3,81,79,2,2016.0
2:18.0,Offensive rebound by C. Bassey,79-81, ,,3,81,79,2,2022.0
2:18.0,C. Bassey makes 2-pt layup at rim,81-81, ,Tie,3,81,81,0,2022.0
2:10.0, ,81-81,D. Dedmon misses 2-pt layup from 4 ft (block by C. Bassey),,3,81,81,0,2030.0
2:10.0, ,81-81,Offensive rebound by Team,,3,81,81,0,2030.0
2:10.0,D. McDermott enters the game for K. Johnson,81-81, ,,3,81,81,0,2030.0
2:06.0, ,81-81,V. Oladipo misses 3-pt jump shot from 23 ft,,3,81,81,0,2034.0
2:02.0,Defensive rebound by D. Vassell,81-81, ,,3,81,81,0,2038.0
1:56.0,T. Jones misses 2-pt layup from 3 ft,81-81, ,,3,81,81,0,2044.0
1:53.0, ,81-81,Defensive rebound by V. Oladipo,,3,81,81,0,2047.0
1:49.0, ,81-84,C. Martin makes 3-pt jump shot from 27 ft (assist by V. Oladipo),,3,84,81,3,2051.0
1:24.0,D. Vassell makes 2-pt jump shot from 16 ft,83-84, ,,3,84,83,1,2076.0
1:02.0, ,83-84,C. Martin misses 2-pt jump shot from 3 ft,,3,84,83,1,2098.0
1:00.0, ,83-84,Offensive rebound by D. Dedmon,,3,84,83,1,2100.0
0:59.0, ,83-84,D. Robinson misses 3-pt jump shot from 23 ft,,3,84,83,1,2101.0
0:56.0,Defensive rebound by J. Richardson,83-84, ,,3,84,83,1,2104.0
0:36.0,J. Richardson makes 3-pt jump shot from 24 ft (assist by D. Vassell),86-84, ,Lead change,3,84,86,-2,2124.0
0:30.0, ,86-84,K. Lowry misses 3-pt jump shot from 28 ft,,3,84,86,-2,2130.0
0:27.0,Defensive rebound by D. Vassell,86-84, ,,3,84,86,-2,2133.0
0:05.0,D. Vassell misses 2-pt jump shot from 16 ft,86-84, ,,3,84,86,-2,2155.0
0:00.0, ,86-84,Defensive rebound by C. Martin,,3,84,86,-2,2160.0
0:00.0, ,86-84,Instant Replay (Request: Ruling Stands),,3,84,86,-2,2160.0
0:00.0,End of 3rd quarter,86-84,,,3,84,86,-2,2160.0
12:00.0,Start of 4th quarter,86-84,,,4,84,86,-2,2160.0
11:48.0, ,86-86,V. Oladipo makes 2-pt layup from 3 ft,Tie,4,86,86,0,2172.0
11:31.0,Z. Collins misses 2-pt jump shot from 17 ft,86-86, ,,4,86,86,0,2189.0
11:27.0, ,86-86,Defensive rebound by D. Dedmon,,4,86,86,0,2193.0
11:22.0, ,86-89,K. Lowry makes 3-pt jump shot from 26 ft (assist by D. Dedmon),Lead change,4,89,86,3,2198.0
11:01.0,Z. Collins makes 2-pt hook shot from 8 ft,88-89, ,,4,89,88,1,2219.0
10:46.0, ,88-91,C. Martin makes 2-pt layup from 3 ft (assist by V. Oladipo),,4,91,88,3,2234.0
10:32.0,Z. Collins makes 2-pt jump shot from 16 ft (assist by D. McDermott),90-91, ,,4,91,90,1,2248.0
10:18.0, ,90-91,V. Oladipo misses 3-pt jump shot from 28 ft,,4,91,90,1,2262.0
10:15.0,Defensive rebound by Z. Collins,90-91, ,,4,91,90,1,2265.0
10:05.0,D. Vassell misses 2-pt jump shot from 14 ft,90-91, ,,4,91,90,1,2275.0
10:02.0, ,90-91,Defensive rebound by V. Oladipo,,4,91,90,1,2278.0
9:52.0, ,90-91,D. Dedmon misses 3-pt jump shot from 27 ft,,4,91,90,1,2288.0
9:48.0,Defensive rebound by Z. Collins,90-91, ,,4,91,90,1,2292.0
9:34.0,D. McDermott makes 3-pt jump shot from 24 ft (assist by T. Jones),93-91, ,Lead change,4,91,93,-2,2306.0
9:09.0, ,93-91,C. Martin misses 2-pt jump shot from 21 ft,,4,91,93,-2,2331.0
9:04.0,Defensive rebound by D. Vassell,93-91, ,,4,91,93,-2,2336.0
8:48.0,J. Richardson misses 3-pt jump shot from 25 ft,93-91, ,,4,91,93,-2,2352.0
8:46.0, ,93-91,Defensive rebound by D. Robinson,,4,91,93,-2,2354.0
8:40.0, ,93-91,D. Dedmon misses 3-pt jump shot from 26 ft,,4,91,93,-2,2360.0
8:36.0,Defensive rebound by J. Richardson,93-91, ,,4,91,93,-2,2364.0
8:34.0,Personal take foul by D. Dedmon (drawn by T. Jones),93-91, ,,4,91,93,-2,2366.0
8:34.0,K. Johnson enters the game for J. Richardson,93-91, ,,4,91,93,-2,2366.0
8:34.0,R. Langford enters the game for D. Vassell,93-91, ,,4,91,93,-2,2366.0
8:34.0, ,93-91,B. Adebayo enters the game for D. Dedmon,,4,91,93,-2,2366.0
8:34.0, ,93-91,T. Herro enters the game for D. Robinson,,4,91,93,-2,2366.0
8:25.0,Shooting foul by V. Oladipo (drawn by R. Langford),93-91, ,,4,91,93,-2,2375.0
8:25.0,R. Langford makes free throw 1 of 2,94-91, ,,4,91,94,-3,2375.0
8:25.0,R. Langford makes free throw 2 of 2,95-91, ,,4,91,95,-4,2375.0
8:17.0, ,95-93,T. Herro makes 2-pt jump shot from 15 ft,,4,93,95,-2,2383.0
7:52.0,T. Jones misses 3-pt jump shot from 28 ft,95-93, ,,4,93,95,-2,2408.0
7:52.0,Offensive rebound by Team,95-93, ,,4,93,95,-2,2408.0
7:52.0,Personal foul by C. Martin (drawn by Z. Collins),95-93, ,,4,93,95,-2,2408.0
7:52.0,C. Bassey enters the game for Z. Collins,95-93, ,,4,93,95,-2,2408.0
7:52.0,J. Richardson enters the game for T. Jones,95-93, ,,4,93,95,-2,2408.0
7:52.0, ,95-93,J. Butler enters the game for V. Oladipo,,4,93,95,-2,2408.0
7:44.0,C. Bassey makes 2-pt dunk from 4 ft (assist by D. McDermott),97-93, ,,4,93,97,-4,2416.0
7:32.0, ,97-95,B. Adebayo makes 2-pt jump shot from 9 ft (assist by K. Lowry),,4,95,97,-2,2428.0
7:10.0,R. Langford makes 2-pt layup from 4 ft (assist by J. Richardson),99-95, ,,4,95,99,-4,2450.0
6:58.0, ,99-95,B. Adebayo misses 2-pt jump shot from 9 ft,,4,95,99,-4,2462.0
6:56.0,Defensive rebound by R. Langford,99-95, ,,4,95,99,-4,2464.0
6:49.0,Turnover by D. McDermott (bad pass),99-95, ,,4,95,99,-4,2471.0
6:49.0, ,99-95,Miami full timeout,,4,95,99,-4,2471.0
6:49.0, ,99-95,V. Oladipo enters the game for C. Martin,,4,95,99,-4,2471.0
6:27.0, ,99-98,V. Oladipo makes 3-pt jump shot from 26 ft (assist by J. Butler),,4,98,99,-1,2493.0
6:12.0,Shooting foul by T. Herro (drawn by R. Langford),99-98, ,,4,98,99,-1,2508.0
6:12.0,R. Langford makes free throw 1 of 2,100-98, ,,4,98,100,-2,2508.0
6:12.0,D. Vassell enters the game for D. McDermott,100-98, ,,4,98,100,-2,2508.0
6:12.0,R. Langford makes free throw 2 of 2,101-98, ,,4,98,101,-3,2508.0
5:48.0, ,101-98,T. Herro misses 2-pt jump shot from 16 ft,,4,98,101,-3,2532.0
5:45.0,Defensive rebound by Team,101-98, ,,4,98,101,-3,2535.0
5:31.0,J. Richardson misses 3-pt jump shot from 27 ft,101-98, ,,4,98,101,-3,2549.0
5:25.0,Offensive rebound by C. Bassey,101-98, ,,4,98,101,-3,2555.0
5:21.0,Offensive foul by C. Bassey (drawn by J. Butler),101-98, ,,4,98,101,-3,2559.0
5:21.0,Turnover by C. Bassey (offensive foul),101-98, ,,4,98,101,-3,2559.0
5:21.0,Z. Collins enters the game for C. Bassey,101-98, ,,4,98,101,-3,2559.0
5:21.0,T. Jones enters the game for R. Langford,101-98, ,,4,98,101,-3,2559.0
5:21.0,D. McDermott enters the game for J. Richardson,101-98, ,,4,98,101,-3,2559.0
5:05.0, ,101-98,K. Lowry misses 3-pt jump shot from 24 ft,,4,98,101,-3,2575.0
5:01.0,Defensive rebound by D. Vassell,101-98, ,,4,98,101,-3,2579.0
4:54.0,Shooting foul by V. Oladipo (drawn by K. Johnson),101-98, ,,4,98,101,-3,2586.0
4:54.0,K. Johnson makes free throw 1 of 2,102-98, ,,4,98,102,-4,2586.0
4:54.0,K. Johnson makes free throw 2 of 2,103-98, ,,4,98,103,-5,2586.0
4:38.0, ,103-98,J. Butler misses 2-pt layup from 3 ft,,4,98,103,-5,2602.0
4:35.0, ,103-98,Offensive rebound by B. Adebayo,,4,98,103,-5,2605.0
4:34.0, ,103-100,B. Adebayo makes 2-pt dunk from 3 ft,,4,100,103,-3,2606.0
4:30.0,San Antonio full timeout,103-100, ,,4,100,103,-3,2610.0
4:15.0,K. Johnson misses 3-pt jump shot from 26 ft,103-100, ,,4,100,103,-3,2625.0
4:14.0,Offensive rebound by Team,103-100, ,,4,100,103,-3,2626.0
4:14.0, ,103-100,Loose ball foul by K. Lowry (drawn by Z. Collins),,4,100,103,-3,2626.0
4:14.0,Z. Collins makes free throw 1 of 2,104-100, ,,4,100,104,-4,2626.0
4:14.0,Z. Collins misses free throw 2 of 2,104-100, ,,4,100,104,-4,2626.0
4:10.0, ,104-100,Defensive rebound by T. Herro,,4,100,104,-4,2630.0
3:57.0, ,104-100,J. Butler misses 2-pt jump shot from 11 ft,,4,100,104,-4,2643.0
3:56.0, ,104-100,Offensive rebound by J. Butler,,4,100,104,-4,2644.0
3:56.0, ,104-102,J. Butler makes 2-pt jump shot from 11 ft,,4,102,104,-2,2644.0
3:56.0, ,104-102,Shooting foul by K. Johnson (drawn by J. Butler),,4,102,104,-2,2644.0
3:56.0, ,104-103,J. Butler makes free throw 1 of 1,,4,103,104,-1,2644.0
3:36.0,D. McDermott misses 2-pt jump shot from 13 ft,104-103, ,,4,103,104,-1,2664.0
3:35.0,Offensive rebound by Team,104-103, ,,4,103,104,-1,2665.0
3:35.0,Away from play foul by B. Adebayo (drawn by Z. Collins),104-103, ,,4,103,104,-1,2665.0
3:35.0,T. Jones makes free throw 1 of 1,105-103, ,,4,103,105,-2,2665.0
3:28.0,Shooting foul by V. Oladipo (drawn by D. Vassell),105-103, ,,4,103,105,-2,2672.0
3:28.0, ,105-103,C. Martin enters the game for V. Oladipo,,4,103,105,-2,2672.0
3:28.0,D. Vassell makes free throw 1 of 3,106-103, ,,4,103,106,-3,2672.0
3:28.0,D. Vassell makes free throw 2 of 3,107-103, ,,4,103,107,-4,2672.0
3:28.0,R. Langford enters the game for D. McDermott,107-103, ,,4,103,107,-4,2672.0
3:28.0,D. Vassell misses free throw 3 of 3,107-103, ,,4,103,107,-4,2672.0
3:25.0, ,107-103,Defensive rebound by C. Martin,,4,103,107,-4,2675.0
3:22.0, ,107-103,Miami full timeout,,4,103,107,-4,2678.0
3:17.0, ,107-105,J. Butler makes 2-pt dunk from 2 ft (assist by B. Adebayo),,4,105,107,-2,2683.0
3:00.0,Offensive foul by Z. Collins (drawn by C. Martin),107-105, ,,4,105,107,-2,2700.0
3:00.0,Turnover by Z. Collins (offensive foul),107-105, ,,4,105,107,-2,2700.0
2:47.0, ,107-105,Shooting foul by R. Langford (drawn by J. Butler),,4,105,107,-2,2713.0
2:47.0, ,107-105,J. Butler misses free throw 1 of 2,,4,105,107,-2,2713.0
2:47.0, ,107-105,Offensive rebound by Team,,4,105,107,-2,2713.0
2:47.0,D. McDermott enters the game for R. Langford,107-105, ,,4,105,107,-2,2713.0
2:47.0, ,107-106,J. Butler makes free throw 2 of 2,,4,106,107,-1,2713.0
2:28.0,Shooting foul by C. Martin (drawn by Z. Collins),107-106, ,,4,106,107,-1,2732.0
2:28.0,Z. Collins makes free throw 1 of 2,108-106, ,,4,106,108,-2,2732.0
2:28.0,R. Langford enters the game for D. McDermott,108-106, ,,4,106,108,-2,2732.0
2:28.0,Z. Collins makes free throw 2 of 2,109-106, ,,4,106,109,-3,2732.0
2:12.0, ,109-108,J. Butler makes 2-pt jump shot from 13 ft,,4,108,109,-1,2748.0
1:52.0,D. Vassell makes 2-pt jump shot from 21 ft,111-108, ,,4,108,111,-3,2768.0
1:36.0, ,111-111,C. Martin makes 3-pt jump shot from 23 ft (assist by J. Butler),Tie,4,111,111,0,2784.0
1:13.0,D. Vassell makes 2-pt jump shot from 20 ft,113-111, ,,4,111,113,-2,2807.0
0:56.0, ,113-111,T. Herro misses 2-pt jump shot from 11 ft,,4,111,113,-2,2824.0
0:52.0,Defensive rebound by Z. Collins,113-111, ,,4,111,113,-2,2828.0
0:34.0,Turnover by T. Jones (bad pass; steal by C. Martin),113-111, ,,4,111,113,-2,2846.0
0:22.0, ,113-111,B. Adebayo misses 2-pt jump shot from 8 ft,,4,111,113,-2,2858.0
0:18.0,Defensive rebound by T. Jones,113-111, ,,4,111,113,-2,2862.0
0:18.0,D. McDermott enters the game for R. Langford,113-111, ,,4,111,113,-2,2862.0
0:14.0,San Antonio full timeout,113-111, ,,4,111,113,-2,2866.0
0:14.0,R. Langford enters the game for D. McDermott,113-111, ,,4,111,113,-2,2866.0
0:14.0,D. McDermott enters the game for R. Langford,113-111, ,,4,111,113,-2,2866.0
0:14.0,Offensive foul by Z. Collins (drawn by K. Lowry),113-111, ,,4,111,113,-2,2866.0
0:14.0,Turnover by Z. Collins (offensive foul),113-111, ,,4,111,113,-2,2866.0
0:14.0, ,113-111,Miami full timeout,,4,111,113,-2,2866.0
0:14.0,C. Bassey enters the game for Z. Collins,113-111, ,,4,111,113,-2,2866.0
0:09.0, ,113-111,T. Herro misses 3-pt jump shot from 28 ft,,4,111,113,-2,2871.0
0:05.0, ,113-111,Offensive rebound by B. Adebayo,,4,111,113,-2,2875.0
0:02.0, ,113-111,C. Martin misses 3-pt jump shot from 25 ft,,4,111,113,-2,2878.0
0:00.0,Defensive rebound by T. Jones,113-111, ,,4,111,113,-2,2880.0
0:00.0,Personal take foul by K. Lowry (drawn by T. Jones),113-111, ,,4,111,113,-2,2880.0
0:00.0,T. Jones makes free throw 1 of 2,114-111, ,,4,111,114,-3,2880.0
0:00.0,T. Jones makes free throw 2 of 2,115-111, ,,4,111,115,-4,2880.0
0:00.0,End of 4th quarter,115-111,,,4,111,115,-4,2880.0
