Time,Boston,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
11:58.0,Violation by Team (jump ball),0-0, ,,1,0,0,0,2.0
11:45.0, ,0-0,K. Lowry misses 3-pt jump shot from 27 ft,,1,0,0,0,15.0
11:43.0,Defensive rebound by D. White,0-0, ,,1,0,0,0,17.0
11:23.0,D. White makes 2-pt jump shot from 8 ft,2-0, ,,1,0,2,-2,37.0
11:13.0, ,2-0,C. Martin misses 2-pt jump shot from 23 ft,,1,0,2,-2,47.0
11:11.0,Defensive rebound by R. Williams,2-0, ,,1,0,2,-2,49.0
10:57.0,J. Tatum makes 2-pt layup at rim (assist by P. Pritchard),4-0, ,,1,0,4,-4,63.0
10:43.0, ,4-2,T. Herro makes 2-pt jump shot from 11 ft,,1,2,4,-2,77.0
10:26.0,D. White misses 3-pt jump shot from 24 ft,4-2, ,,1,2,4,-2,94.0
10:25.0,Offensive rebound by D. White,4-2, ,,1,2,4,-2,95.0
10:21.0,Shooting foul by K. Lowry (drawn by D. White),4-2, ,,1,2,4,-2,99.0
10:21.0,D. White makes free throw 1 of 2,5-2, ,,1,2,5,-3,99.0
10:21.0,D. White misses free throw 2 of 2,5-2, ,,1,2,5,-3,99.0
10:18.0, ,5-2,Defensive rebound by M. Strus,,1,2,5,-3,102.0
10:04.0, ,5-2,T. Herro misses 2-pt jump shot from 11 ft,,1,2,5,-3,116.0
10:01.0,Defensive rebound by J. Tatum,5-2, ,,1,2,5,-3,119.0
9:52.0,J. Tatum makes 2-pt layup from 2 ft (assist by D. White),7-2, ,,1,2,7,-5,128.0
9:39.0, ,7-2,Shooting foul by R. Williams (drawn by B. Adebayo),,1,2,7,-5,141.0
9:39.0, ,7-3,B. Adebayo makes free throw 1 of 2,,1,3,7,-4,141.0
9:39.0, ,7-4,B. Adebayo makes free throw 2 of 2,,1,4,7,-3,141.0
9:31.0,Turnover by P. Pritchard (bad pass),7-4, ,,1,4,7,-3,149.0
9:13.0, ,7-4,B. Adebayo misses 2-pt jump shot from 12 ft,,1,4,7,-3,167.0
9:11.0,Defensive rebound by J. Tatum,7-4, ,,1,4,7,-3,169.0
9:08.0,Personal foul by C. Martin (drawn by J. Tatum),7-4, ,,1,4,7,-3,172.0
8:56.0,J. Tatum misses 2-pt jump shot from 12 ft,7-4, ,,1,4,7,-3,184.0
8:54.0, ,7-4,Defensive rebound by T. Herro,,1,4,7,-3,186.0
8:48.0, ,7-4,T. Herro misses 3-pt jump shot from 25 ft,,1,4,7,-3,192.0
8:46.0, ,7-4,Offensive rebound by M. Strus,,1,4,7,-3,194.0
8:43.0, ,7-7,M. Strus makes 3-pt jump shot from 26 ft (assist by K. Lowry),Tie,1,7,7,0,197.0
8:27.0,J. Tatum misses 2-pt jump shot from 11 ft,7-7, ,,1,7,7,0,213.0
8:25.0, ,7-7,Defensive rebound by K. Lowry,,1,7,7,0,215.0
8:14.0, ,7-7,M. Strus misses 2-pt layup from 1 ft (block by D. White),,1,7,7,0,226.0
8:14.0,Defensive rebound by Team,7-7, ,,1,7,7,0,226.0
8:00.0,P. Pritchard misses 3-pt jump shot from 26 ft,7-7, ,,1,7,7,0,240.0
7:58.0, ,7-7,Defensive rebound by B. Adebayo,,1,7,7,0,242.0
7:48.0, ,7-10,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Herro),Lead change,1,10,7,3,252.0
7:35.0,Personal foul by C. Martin (drawn by J. Tatum),7-10, ,,1,10,7,3,265.0
7:35.0, ,7-10,V. Oladipo enters the game for C. Martin,,1,10,7,3,265.0
7:27.0,J. Tatum makes 2-pt jump shot from 8 ft,9-10, ,,1,10,9,1,273.0
7:27.0,Shooting foul by T. Herro (drawn by J. Tatum),9-10, ,,1,10,9,1,273.0
7:27.0,J. Tatum misses free throw 1 of 1,9-10, ,,1,10,9,1,273.0
7:23.0, ,9-10,Defensive rebound by M. Strus,,1,10,9,1,277.0
7:14.0, ,9-10,K. Lowry misses 2-pt jump shot from 9 ft,,1,10,9,1,286.0
7:11.0,Defensive rebound by D. White,9-10, ,,1,10,9,1,289.0
7:10.0,D. White misses 2-pt jump shot from 4 ft,9-10, ,,1,10,9,1,290.0
7:09.0,Offensive rebound by P. Pritchard,9-10, ,,1,10,9,1,291.0
7:08.0,P. Pritchard makes 2-pt layup from 3 ft,11-10, ,Lead change,1,10,11,-1,292.0
6:54.0, ,11-10,V. Oladipo misses 3-pt jump shot from 25 ft,,1,10,11,-1,306.0
6:54.0,Defensive rebound by J. Tatum,11-10, ,,1,10,11,-1,306.0
6:35.0,D. White makes 2-pt jump shot from 13 ft (assist by J. Tatum),13-10, ,,1,10,13,-3,325.0
6:12.0, ,13-12,M. Strus makes 2-pt jump shot from 9 ft,,1,12,13,-1,348.0
5:52.0,J. Tatum misses 3-pt jump shot from 25 ft,13-12, ,,1,12,13,-1,368.0
5:49.0, ,13-12,Defensive rebound by T. Herro,,1,12,13,-1,371.0
5:41.0, ,13-14,T. Herro makes 2-pt jump shot from 7 ft,Lead change,1,14,13,1,379.0
5:23.0,Shooting foul by V. Oladipo (drawn by D. White),13-14, ,,1,14,13,1,397.0
5:23.0, ,13-14,Miami full timeout,,1,14,13,1,397.0
5:23.0,B. Griffin enters the game for R. Williams,13-14, ,,1,14,13,1,397.0
5:23.0, ,13-14,O. Robinson enters the game for B. Adebayo,,1,14,13,1,397.0
5:23.0, ,13-14,G. Vincent enters the game for M. Strus,,1,14,13,1,397.0
5:23.0,D. White makes free throw 1 of 3,14-14, ,Tie,1,14,14,0,397.0
5:23.0,D. White makes free throw 2 of 3,15-14, ,Lead change,1,14,15,-1,397.0
5:23.0,D. White makes free throw 3 of 3,16-14, ,,1,14,16,-2,397.0
5:08.0, ,16-14,Personal foul by D. White (drawn by G. Vincent),,1,14,16,-2,412.0
5:08.0,S. Hauser enters the game for D. White,16-14, ,,1,14,16,-2,412.0
4:56.0, ,16-14,V. Oladipo misses 2-pt jump shot from 21 ft,,1,14,16,-2,424.0
4:55.0, ,16-14,Offensive rebound by Team,,1,14,16,-2,425.0
4:54.0,Loose ball foul by J. Tatum (drawn by O. Robinson),16-14, ,,1,14,16,-2,426.0
4:45.0, ,16-14,Personal foul by S. Hauser (drawn by G. Vincent),,1,14,16,-2,435.0
4:40.0, ,16-14,Personal foul by S. Hauser (drawn by G. Vincent),,1,14,16,-2,440.0
4:40.0, ,16-15,G. Vincent makes free throw 1 of 2,,1,15,16,-1,440.0
4:40.0, ,16-16,G. Vincent makes free throw 2 of 2,Tie,1,16,16,0,440.0
4:22.0,G. Williams makes 3-pt jump shot from 24 ft (assist by P. Pritchard),19-16, ,,1,16,19,-3,458.0
4:09.0, ,19-16,T. Herro misses 2-pt jump shot from 12 ft,,1,16,19,-3,471.0
4:09.0,Defensive rebound by Team,19-16, ,,1,16,19,-3,471.0
3:55.0,S. Hauser misses 2-pt jump shot from 5 ft,19-16, ,,1,16,19,-3,485.0
3:53.0, ,19-16,Defensive rebound by K. Lowry,,1,16,19,-3,487.0
3:48.0, ,19-18,K. Lowry makes 2-pt layup from 3 ft,,1,18,19,-1,492.0
3:30.0,G. Williams makes 3-pt jump shot from 24 ft (assist by B. Griffin),22-18, ,,1,18,22,-4,510.0
3:21.0, ,22-20,V. Oladipo makes 2-pt jump shot from 12 ft,,1,20,22,-2,519.0
3:21.0, ,22-20,Shooting foul by P. Pritchard (drawn by V. Oladipo),,1,20,22,-2,519.0
3:21.0,J. Jackson enters the game for P. Pritchard,22-20, ,,1,20,22,-2,519.0
3:21.0, ,22-20,M. Strus enters the game for T. Herro,,1,20,22,-2,519.0
3:21.0, ,22-20,V. Oladipo misses free throw 1 of 1,,1,20,22,-2,519.0
3:20.0,Defensive rebound by G. Williams,22-20, ,,1,20,22,-2,520.0
3:10.0,Personal foul by O. Robinson (drawn by J. Tatum),22-20, ,,1,20,22,-2,530.0
3:10.0,J. Tatum makes free throw 1 of 2,23-20, ,,1,20,23,-3,530.0
3:10.0,J. Tatum makes free throw 2 of 2,24-20, ,,1,20,24,-4,530.0
2:53.0, ,24-20,V. Oladipo misses 2-pt jump shot from 7 ft (block by S. Hauser),,1,20,24,-4,547.0
2:53.0, ,24-20,Offensive rebound by V. Oladipo,,1,20,24,-4,547.0
2:47.0, ,24-20,G. Vincent misses 2-pt jump shot from 11 ft,,1,20,24,-4,553.0
2:47.0, ,24-20,Offensive rebound by Team,,1,20,24,-4,553.0
2:47.0,Loose ball foul by B. Griffin (drawn by O. Robinson),24-20, ,,1,20,24,-4,553.0
2:47.0,Boston full timeout,24-20, ,,1,20,24,-4,553.0
2:47.0, ,24-20,O. Robinson misses free throw 1 of 2,,1,20,24,-4,553.0
2:47.0, ,24-21,O. Robinson makes free throw 2 of 2,,1,21,24,-3,553.0
2:26.0,S. Hauser misses 3-pt jump shot from 23 ft,24-21, ,,1,21,24,-3,574.0
2:20.0, ,24-21,Defensive rebound by O. Robinson,,1,21,24,-3,580.0
2:12.0, ,24-24,M. Strus makes 3-pt jump shot from 26 ft (assist by K. Lowry),Tie,1,24,24,0,588.0
1:53.0,S. Hauser misses 3-pt jump shot from 24 ft,24-24, ,,1,24,24,0,607.0
1:51.0, ,24-24,Defensive rebound by O. Robinson,,1,24,24,0,609.0
1:43.0, ,24-24,V. Oladipo misses 3-pt jump shot from 26 ft,,1,24,24,0,617.0
1:42.0, ,24-24,Offensive rebound by Team,,1,24,24,0,618.0
1:38.0, ,24-27,M. Strus makes 3-pt jump shot from 24 ft (assist by K. Lowry),Lead change,1,27,24,3,622.0
1:19.0,Shooting foul by M. Strus (drawn by J. Tatum),24-27, ,,1,27,24,3,641.0
1:19.0,J. Tatum makes free throw 1 of 2,25-27, ,,1,27,25,2,641.0
1:19.0,R. Williams enters the game for B. Griffin,25-27, ,,1,27,25,2,641.0
1:19.0, ,25-27,B. Adebayo enters the game for K. Lowry,,1,27,25,2,641.0
1:19.0, ,25-27,H. Highsmith enters the game for O. Robinson,,1,27,25,2,641.0
1:19.0,J. Tatum makes free throw 2 of 2,26-27, ,,1,27,26,1,641.0
1:07.0, ,26-27,V. Oladipo misses 2-pt jump shot from 11 ft,,1,27,26,1,653.0
1:03.0,Defensive rebound by J. Jackson,26-27, ,,1,27,26,1,657.0
0:59.0,J. Tatum makes 3-pt jump shot from 26 ft,29-27, ,Lead change,1,27,29,-2,661.0
0:47.0, ,29-27,Personal foul by J. Jackson (drawn by M. Strus),,1,27,29,-2,673.0
0:47.0, ,29-28,M. Strus makes free throw 1 of 2,,1,28,29,-1,673.0
0:47.0, ,29-29,M. Strus makes free throw 2 of 2,Tie,1,29,29,0,673.0
0:40.0,J. Tatum misses 3-pt jump shot from 25 ft,29-29, ,,1,29,29,0,680.0
0:35.0, ,29-29,Defensive rebound by G. Vincent,,1,29,29,0,685.0
0:31.0, ,29-32,H. Highsmith makes 3-pt jump shot from 23 ft (assist by G. Vincent),Lead change,1,32,29,3,689.0
0:18.0,Shooting foul by V. Oladipo (drawn by G. Williams),29-32, ,,1,32,29,3,702.0
0:18.0,G. Williams misses free throw 1 of 2,29-32, ,,1,32,29,3,702.0
0:18.0,Offensive rebound by Team,29-32, ,,1,32,29,3,702.0
0:18.0,G. Williams makes free throw 2 of 2,30-32, ,,1,32,30,2,702.0
0:18.0,D. White enters the game for J. Tatum,30-32, ,,1,32,30,2,702.0
0:01.0, ,30-32,M. Strus misses 2-pt jump shot from 20 ft,,1,32,30,2,719.0
0:00.0, ,30-32,Offensive rebound by Team,,1,32,30,2,720.0
0:00.0,End of 1st quarter,30-32,,,1,32,30,2,720.0
12:00.0,Start of 2nd quarter,30-32,,,2,32,30,2,720.0
11:35.0,D. White makes 3-pt jump shot from 27 ft (assist by P. Pritchard),33-32, ,Lead change,2,32,33,-1,745.0
11:23.0, ,33-32,Personal foul by R. Williams (drawn by B. Adebayo),,2,32,33,-1,757.0
11:09.0, ,33-32,Turnover by Team (shot clock),,2,32,33,-1,771.0
10:57.0,Turnover by G. Williams (bad pass),33-32, ,,2,32,33,-1,783.0
10:45.0, ,33-32,G. Vincent misses 2-pt layup from 4 ft (block by R. Williams),,2,32,33,-1,795.0
10:42.0,Defensive rebound by P. Pritchard,33-32, ,,2,32,33,-1,798.0
10:36.0,Turnover by G. Williams (lost ball; steal by H. Highsmith),33-32, ,,2,32,33,-1,804.0
10:31.0, ,33-32,Shooting foul by D. White (drawn by B. Adebayo),,2,32,33,-1,809.0
10:31.0, ,33-32,B. Adebayo misses free throw 1 of 2,,2,32,33,-1,809.0
10:31.0, ,33-32,Offensive rebound by Team,,2,32,33,-1,809.0
10:31.0, ,33-33,B. Adebayo makes free throw 2 of 2,Tie,2,33,33,0,809.0
10:24.0,D. White misses 2-pt jump shot from 3 ft (block by B. Adebayo),33-33, ,,2,33,33,0,816.0
10:21.0, ,33-33,Defensive rebound by H. Highsmith,,2,33,33,0,819.0
10:12.0, ,33-35,B. Adebayo makes 2-pt hook shot from 3 ft (assist by G. Vincent),Lead change,2,35,33,2,828.0
9:57.0,D. White makes 2-pt jump shot from 4 ft,35-35, ,Tie,2,35,35,0,843.0
9:48.0, ,35-35,T. Herro misses 2-pt jump shot from 17 ft,,2,35,35,0,852.0
9:45.0,Defensive rebound by R. Williams,35-35, ,,2,35,35,0,855.0
9:28.0,R. Williams makes 2-pt layup from 1 ft (assist by P. Pritchard),37-35, ,Lead change,2,35,37,-2,872.0
9:14.0, ,37-35,Shooting foul by D. White (drawn by G. Vincent),,2,35,37,-2,886.0
9:14.0, ,37-36,G. Vincent makes free throw 1 of 2,,2,36,37,-1,886.0
9:14.0,J. Jackson enters the game for D. White,37-36, ,,2,36,37,-1,886.0
9:14.0, ,37-37,G. Vincent makes free throw 2 of 2,Tie,2,37,37,0,886.0
8:56.0,J. Jackson misses 3-pt jump shot from 24 ft,37-37, ,,2,37,37,0,904.0
