Time,Miami,Score,Boston,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. A. Horford (D. White gains possession),0-0,,,1,0,0,0,0.0
12:00.0, ,0-0,Violation by Team (delay of game),,1,0,0,0,0.0
12:00.0,Violation by Team (delay of game),0-0, ,,1,0,0,0,0.0
11:48.0, ,0-0,J. Brown misses 2-pt jump shot from 19 ft,,1,0,0,0,12.0
11:45.0,Defensive rebound by T. Herro,0-0, ,,1,0,0,0,15.0
11:24.0,Shooting foul by A. Horford (drawn by B. Adebayo),0-0, ,,1,0,0,0,36.0
11:24.0,B. Adebayo makes free throw 1 of 2,1-0, ,,1,1,0,1,36.0
11:24.0,B. Adebayo makes free throw 2 of 2,2-0, ,,1,2,0,2,36.0
11:07.0, ,2-2,M. Smart makes 2-pt layup from 1 ft (assist by A. Horford),Tie,1,2,2,0,53.0
10:47.0,B. Adebayo makes 2-pt jump shot from 18 ft,4-2, ,,1,4,2,2,73.0
10:32.0, ,4-4,J. Tatum makes 2-pt jump shot from 8 ft,Tie,1,4,4,0,88.0
10:32.0, ,4-4,Shooting foul by B. Adebayo (drawn by J. Tatum),,1,4,4,0,88.0
10:32.0, ,4-4,J. Tatum misses free throw 1 of 1,,1,4,4,0,88.0
10:32.0,Defensive rebound by T. Herro,4-4, ,,1,4,4,0,88.0
10:22.0,K. Lowry misses 3-pt jump shot from 27 ft,4-4, ,,1,4,4,0,98.0
10:18.0, ,4-4,Defensive rebound by A. Horford,,1,4,4,0,102.0
10:13.0, ,4-4,M. Smart misses 3-pt jump shot from 27 ft,,1,4,4,0,107.0
10:10.0,Defensive rebound by J. Butler,4-4, ,,1,4,4,0,110.0
9:55.0,J. Butler misses 3-pt jump shot from 24 ft,4-4, ,,1,4,4,0,125.0
9:51.0, ,4-4,Defensive rebound by J. Brown,,1,4,4,0,129.0
9:34.0, ,4-4,J. Brown misses 3-pt jump shot from 26 ft,,1,4,4,0,146.0
9:32.0,Defensive rebound by T. Herro,4-4, ,,1,4,4,0,148.0
9:16.0,C. Martin misses 3-pt jump shot from 24 ft,4-4, ,,1,4,4,0,164.0
9:13.0, ,4-4,Defensive rebound by J. Brown,,1,4,4,0,167.0
9:08.0, ,4-4,M. Smart misses 3-pt jump shot from 26 ft,,1,4,4,0,172.0
9:04.0,Defensive rebound by T. Herro,4-4, ,,1,4,4,0,176.0
9:01.0,Personal foul by J. Tatum (drawn by J. Butler),4-4, ,,1,4,4,0,179.0
8:52.0,T. Herro makes 3-pt jump shot from 28 ft,7-4, ,,1,7,4,3,188.0
8:35.0, ,7-4,Shooting foul by K. Lowry (drawn by D. White),,1,7,4,3,205.0
8:35.0, ,7-5,D. White makes free throw 1 of 2,,1,7,5,2,205.0
