Time,Miami,Score,Memphis,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. S. Adams (T. Jones gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-2,S. Aldama makes 2-pt hook shot from 8 ft,,1,0,2,-2,19.0
11:18.0,T. Herro misses 3-pt jump shot from 25 ft,0-2, ,,1,0,2,-2,42.0
11:15.0, ,0-2,Defensive rebound by S. Aldama,,1,0,2,-2,45.0
11:06.0, ,0-4,D. Brooks makes 2-pt layup at rim (assist by S. Adams),,1,0,4,-4,54.0
10:59.0,Turnover by K. Lowry (bad pass; steal by T. Jones),0-4, ,,1,0,4,-4,61.0
10:54.0, ,0-7,D. Brooks makes 3-pt jump shot from 26 ft (assist by T. Jones),,1,0,7,-7,66.0
10:33.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Butler),3-7, ,,1,3,7,-4,87.0
10:15.0, ,3-9,D. Brooks makes 2-pt jump shot from 5 ft,,1,3,9,-6,105.0
10:07.0,T. Herro makes 2-pt layup from 1 ft (assist by J. Butler),5-9, ,,1,5,9,-4,113.0
9:48.0, ,5-9,D. Brooks misses 2-pt jump shot from 18 ft,,1,5,9,-4,132.0
9:46.0,Defensive rebound by T. Herro,5-9, ,,1,5,9,-4,134.0
9:36.0,J. Butler misses 2-pt layup from 2 ft,5-9, ,,1,5,9,-4,144.0
9:34.0,Offensive rebound by J. Butler,5-9, ,,1,5,9,-4,146.0
9:24.0,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Herro),8-9, ,,1,8,9,-1,156.0
9:07.0, ,8-9,Turnover by D. Brooks (bad pass),,1,8,9,-1,173.0
8:59.0,B. Adebayo misses 2-pt jump shot from 8 ft,8-9, ,,1,8,9,-1,181.0
8:59.0, ,8-9,Defensive rebound by S. Aldama,,1,8,9,-1,181.0
8:43.0, ,8-11,S. Adams makes 2-pt layup from 1 ft,,1,8,11,-3,197.0
8:35.0,Shooting foul by S. Aldama (drawn by T. Herro),8-11, ,,1,8,11,-3,205.0
8:35.0,T. Herro makes free throw 1 of 2,9-11, ,,1,9,11,-2,205.0
8:35.0,T. Herro makes free throw 2 of 2,10-11, ,,1,10,11,-1,205.0
8:23.0, ,10-11,T. Jones misses 2-pt jump shot from 8 ft,,1,10,11,-1,217.0
8:20.0,Defensive rebound by T. Herro,10-11, ,,1,10,11,-1,220.0
8:15.0,C. Martin makes 3-pt jump shot from 24 ft (assist by J. Butler),13-11, ,Lead change,1,13,11,2,225.0
8:15.0, ,13-11,Memphis full timeout,,1,13,11,2,225.0
8:02.0, ,13-11,D. Brooks misses 3-pt jump shot from 24 ft,,1,13,11,2,238.0
7:58.0,Defensive rebound by T. Herro,13-11, ,,1,13,11,2,242.0
7:46.0,T. Herro makes 3-pt jump shot from 26 ft (assist by J. Butler),16-11, ,,1,16,11,5,254.0
7:30.0, ,16-11,Personal foul by K. Lowry (drawn by S. Aldama),,1,16,11,5,270.0
7:22.0, ,16-11,S. Adams misses 2-pt hook shot from 4 ft,,1,16,11,5,278.0
7:19.0,Defensive rebound by K. Lowry,16-11, ,,1,16,11,5,281.0
7:15.0,B. Adebayo makes 2-pt jump shot from 8 ft (assist by K. Lowry),18-11, ,,1,18,11,7,285.0
7:03.0, ,18-13,T. Jones makes 2-pt jump shot from 12 ft,,1,18,13,5,297.0
6:45.0,T. Herro makes 2-pt jump shot from 8 ft (assist by B. Adebayo),20-13, ,,1,20,13,7,315.0
6:23.0, ,20-15,S. Aldama makes 2-pt jump shot from 5 ft (assist by T. Jones),,1,20,15,5,337.0
6:06.0,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Herro),23-15, ,,1,23,15,8,354.0
5:52.0, ,23-17,T. Jones makes 2-pt layup from 2 ft,,1,23,17,6,368.0
5:40.0,B. Adebayo misses 2-pt jump shot from 9 ft,23-17, ,,1,23,17,6,380.0
5:40.0, ,23-17,Defensive rebound by S. Adams,,1,23,17,6,380.0
5:26.0, ,23-17,D. Roddy misses 3-pt jump shot from 22 ft,,1,23,17,6,394.0
5:22.0,Defensive rebound by J. Butler,23-17, ,,1,23,17,6,398.0
5:04.0,C. Martin makes 3-pt jump shot from 26 ft,26-17, ,,1,26,17,9,416.0
4:47.0, ,26-17,D. Brooks misses 3-pt jump shot from 25 ft,,1,26,17,9,433.0
4:45.0,Defensive rebound by T. Herro,26-17, ,,1,26,17,9,435.0
4:38.0,B. Adebayo makes 2-pt layup from 1 ft (assist by T. Herro),28-17, ,,1,28,17,11,442.0
4:38.0, ,28-17,Memphis full timeout,,1,28,17,11,442.0
4:38.0,D. Dedmon enters the game for B. Adebayo,28-17, ,,1,28,17,11,442.0
4:38.0,M. Strus enters the game for T. Herro,28-17, ,,1,28,17,11,442.0
4:38.0, ,28-17,K. Chandler enters the game for S. Adams,,1,28,17,11,442.0
4:38.0, ,28-17,B. Clarke enters the game for D. Brooks,,1,28,17,11,442.0
4:23.0, ,28-17,D. Roddy misses 2-pt jump shot from 9 ft,,1,28,17,11,457.0
4:20.0,Defensive rebound by D. Dedmon,28-17, ,,1,28,17,11,460.0
4:17.0,C. Martin misses 3-pt jump shot from 27 ft,28-17, ,,1,28,17,11,463.0
4:15.0, ,28-17,Defensive rebound by K. Chandler,,1,28,17,11,465.0
4:02.0, ,28-19,T. Jones makes 2-pt jump shot from 9 ft (assist by K. Chandler),,1,28,19,9,478.0
3:39.0,Turnover by J. Butler (bad pass; steal by S. Aldama),28-19, ,,1,28,19,9,501.0
3:34.0, ,28-21,B. Clarke makes 2-pt layup from 1 ft (assist by T. Jones),,1,28,21,7,506.0
3:21.0,Turnover by J. Butler (bad pass; steal by K. Chandler),28-21, ,,1,28,21,7,519.0
3:19.0, ,28-23,T. Jones makes 2-pt layup from 1 ft (assist by K. Chandler),,1,28,23,5,521.0
3:19.0, ,28-23,Shooting foul by K. Lowry (drawn by T. Jones),,1,28,23,5,521.0
3:19.0,G. Vincent enters the game for K. Lowry,28-23, ,,1,28,23,5,521.0
3:19.0, ,28-24,T. Jones makes free throw 1 of 1,,1,28,24,4,521.0
3:05.0,Turnover by J. Butler (lost ball; steal by B. Clarke),28-24, ,,1,28,24,4,535.0
3:03.0, ,28-24,Personal foul by J. Butler (drawn by T. Jones),,1,28,24,4,537.0
2:58.0, ,28-24,D. Roddy misses 3-pt jump shot from 23 ft,,1,28,24,4,542.0
2:56.0,Defensive rebound by D. Dedmon,28-24, ,,1,28,24,4,544.0
2:56.0,T. Herro enters the game for J. Butler,28-24, ,,1,28,24,4,544.0
2:56.0,H. Highsmith enters the game for C. Martin,28-24, ,,1,28,24,4,544.0
2:35.0,D. Dedmon misses 2-pt layup from 1 ft (block by S. Aldama),28-24, ,,1,28,24,4,565.0
2:29.0,Offensive rebound by D. Dedmon,28-24, ,,1,28,24,4,571.0
2:29.0,D. Dedmon misses 2-pt layup at rim,28-24, ,,1,28,24,4,571.0
2:28.0,Offensive rebound by D. Dedmon,28-24, ,,1,28,24,4,572.0
2:28.0,D. Dedmon misses 2-pt layup at rim (block by D. Roddy),28-24, ,,1,28,24,4,572.0
2:28.0, ,28-24,Defensive rebound by S. Aldama,,1,28,24,4,572.0
2:24.0, ,28-24,S. Aldama misses 3-pt jump shot from 25 ft,,1,28,24,4,576.0
2:18.0,Defensive rebound by G. Vincent,28-24, ,,1,28,24,4,582.0
2:14.0,Offensive foul by D. Dedmon (drawn by K. Chandler),28-24, ,,1,28,24,4,586.0
2:14.0,Turnover by D. Dedmon (offensive foul),28-24, ,,1,28,24,4,586.0
2:14.0, ,28-24,D. Brooks enters the game for S. Aldama,,1,28,24,4,586.0
2:14.0, ,28-24,X. Tillman enters the game for T. Jones,,1,28,24,4,586.0
2:14.0, ,28-24,V. Williams enters the game for D. Roddy,,1,28,24,4,586.0
2:14.0, ,28-24,Violation by Team (delay of game),,1,28,24,4,586.0
1:59.0, ,28-24,D. Brooks misses 3-pt jump shot from 25 ft,,1,28,24,4,601.0
1:55.0,Defensive rebound by T. Herro,28-24, ,,1,28,24,4,605.0
1:42.0,H. Highsmith misses 3-pt jump shot from 26 ft,28-24, ,,1,28,24,4,618.0
1:38.0, ,28-24,Defensive rebound by D. Brooks,,1,28,24,4,622.0
1:35.0, ,28-24,K. Chandler misses 2-pt jump shot from 7 ft,,1,28,24,4,625.0
1:33.0, ,28-24,Offensive rebound by X. Tillman,,1,28,24,4,627.0
1:27.0, ,28-26,B. Clarke makes 2-pt layup from 9 ft,,1,28,26,2,633.0
1:27.0, ,28-26,Shooting foul by D. Dedmon (drawn by B. Clarke),,1,28,26,2,633.0
1:27.0,B. Adebayo enters the game for D. Dedmon,28-26, ,,1,28,26,2,633.0
1:27.0, ,28-27,B. Clarke makes free throw 1 of 1,,1,28,27,1,633.0
1:13.0,Shooting foul by V. Williams (drawn by M. Strus),28-27, ,,1,28,27,1,647.0
1:13.0,M. Strus misses free throw 1 of 3,28-27, ,,1,28,27,1,647.0
1:13.0,Offensive rebound by Team,28-27, ,,1,28,27,1,647.0
1:13.0,M. Strus makes free throw 2 of 3,29-27, ,,1,29,27,2,647.0
1:13.0,M. Strus makes free throw 3 of 3,30-27, ,,1,30,27,3,647.0
0:55.0, ,30-27,K. Chandler misses 3-pt jump shot from 27 ft,,1,30,27,3,665.0
0:51.0, ,30-27,Offensive rebound by Team,,1,30,27,3,669.0
0:40.0, ,30-27,D. Brooks misses 3-pt jump shot from 26 ft,,1,30,27,3,680.0
0:38.0, ,30-27,Offensive rebound by Team,,1,30,27,3,682.0
0:34.0, ,30-27,Turnover by D. Brooks (lost ball; steal by H. Highsmith),,1,30,27,3,686.0
0:28.0,Personal foul by B. Clarke (drawn by B. Adebayo),30-27, ,,1,30,27,3,692.0
0:28.0,B. Adebayo makes free throw 1 of 2,31-27, ,,1,31,27,4,692.0
0:28.0, ,31-27,T. Jones enters the game for V. Williams,,1,31,27,4,692.0
0:28.0,B. Adebayo makes free throw 2 of 2,32-27, ,,1,32,27,5,692.0
0:03.0, ,32-27,D. Brooks misses 3-pt jump shot from 25 ft,,1,32,27,5,717.0
0:01.0,Defensive rebound by B. Adebayo,32-27, ,,1,32,27,5,719.0
0:00.0,End of 1st quarter,32-27,,,1,32,27,5,720.0
12:00.0,Start of 2nd quarter,32-27,,,2,32,27,5,720.0
11:39.0,Turnover by G. Vincent (bad pass; steal by V. Williams),32-27, ,,2,32,27,5,741.0
11:34.0, ,32-27,K. Chandler misses 2-pt layup from 2 ft (block by H. Highsmith),,2,32,27,5,746.0
11:34.0, ,32-27,Offensive rebound by Team,,2,32,27,5,746.0
11:25.0, ,32-27,Turnover by D. Brooks (bad pass; steal by H. Highsmith),,2,32,27,5,755.0
11:11.0,T. Herro makes 3-pt jump shot from 29 ft,35-27, ,,2,35,27,8,769.0
10:48.0, ,35-29,D. Brooks makes 2-pt jump shot from 11 ft,,2,35,29,6,792.0
10:48.0, ,35-29,Shooting foul by G. Vincent (drawn by D. Brooks),,2,35,29,6,792.0
10:48.0, ,35-30,D. Brooks makes free throw 1 of 1,,2,35,30,5,792.0
