Time,Atlanta,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. B. Adebayo (T. Young gains possession),0-0,,,1,0,0,0,0.0
11:46.0,C. Capela makes 2-pt dunk from 1 ft (assist by D. Hunter),2-0, ,,1,0,2,-2,14.0
11:23.0, ,2-0,T. Herro misses 2-pt jump shot from 11 ft,,1,0,2,-2,37.0
11:17.0, ,2-0,Offensive rebound by J. Butler,,1,0,2,-2,43.0
11:17.0, ,2-0,J. Butler misses 2-pt layup at rim,,1,0,2,-2,43.0
11:16.0, ,2-0,Offensive rebound by J. Butler,,1,0,2,-2,44.0
11:14.0, ,2-0,K. Love misses 3-pt jump shot from 26 ft,,1,0,2,-2,46.0
11:12.0,Defensive rebound by D. Hunter,2-0, ,,1,0,2,-2,48.0
11:07.0,C. Capela misses 2-pt hook shot from 3 ft,2-0, ,,1,0,2,-2,53.0
11:07.0,Offensive rebound by C. Capela,2-0, ,,1,0,2,-2,53.0
11:02.0,C. Capela makes 2-pt layup from 1 ft,4-0, ,,1,0,4,-4,58.0
10:38.0, ,4-0,Turnover by T. Herro (bad pass; steal by T. Young),,1,0,4,-4,82.0
10:32.0,D. Murray misses 3-pt jump shot from 23 ft,4-0, ,,1,0,4,-4,88.0
10:29.0, ,4-0,Defensive rebound by K. Love,,1,0,4,-4,91.0
10:19.0, ,4-2,T. Herro makes 2-pt jump shot from 13 ft,,1,2,4,-2,101.0
10:04.0,D. Hunter misses 2-pt layup from 3 ft,4-2, ,,1,2,4,-2,116.0
10:01.0, ,4-2,Defensive rebound by G. Vincent,,1,2,4,-2,119.0
9:57.0, ,4-5,G. Vincent makes 3-pt jump shot from 24 ft,Lead change,1,5,4,1,123.0
9:40.0,J. Collins misses 3-pt jump shot from 23 ft,4-5, ,,1,5,4,1,140.0
9:37.0, ,4-5,Defensive rebound by B. Adebayo,,1,5,4,1,143.0
9:25.0, ,4-5,Shooting foul by J. Collins (drawn by J. Butler),,1,5,4,1,155.0
9:25.0, ,4-6,J. Butler makes free throw 1 of 2,,1,6,4,2,155.0
