Time,Miami,Score,Dallas,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:02.0, ,61-78,Defensive rebound by Team,,3,61,78,-17,1918.0
4:02.0,Loose ball foul by J. Butler (drawn by T. Hardaway),61-78, ,,3,61,78,-17,1918.0
4:02.0, ,61-79,T. Hardaway makes free throw 1 of 2,,3,61,79,-18,1918.0
4:02.0,M. Strus enters the game for B. Adebayo,61-79, ,,3,61,79,-18,1918.0
4:02.0, ,61-79,D. Finney-Smith enters the game for D. Powell,,3,61,79,-18,1918.0
4:02.0, ,61-80,T. Hardaway makes free throw 2 of 2,,3,61,80,-19,1918.0
3:57.0,Personal foul by D. Finney-Smith (drawn by M. Strus),61-80, ,,3,61,80,-19,1923.0
3:51.0,M. Strus misses 3-pt jump shot from 26 ft,61-80, ,,3,61,80,-19,1929.0
3:48.0, ,61-80,Defensive rebound by R. Bullock,,3,61,80,-19,1932.0
3:37.0, ,61-80,Turnover by L. Dončić (out of bounds lost ball),,3,61,80,-19,1943.0
3:37.0,G. Vincent enters the game for K. Lowry,61-80, ,,3,61,80,-19,1943.0
3:18.0,M. Strus misses 3-pt jump shot from 25 ft (block by R. Bullock),61-80, ,,3,61,80,-19,1962.0
3:14.0, ,61-80,Defensive rebound by L. Dončić,,3,61,80,-19,1966.0
2:58.0, ,61-82,J. Green makes 2-pt jump shot from 3 ft,,3,61,82,-21,1982.0
2:58.0, ,61-82,Shooting foul by V. Oladipo (drawn by J. Green),,3,61,82,-21,1982.0
2:58.0, ,61-82,Dallas full timeout,,3,61,82,-21,1982.0
2:58.0, ,61-83,J. Green makes free throw 1 of 1,,3,61,83,-22,1982.0
2:42.0,J. Butler misses 2-pt jump shot from 11 ft,61-83, ,,3,61,83,-22,1998.0
2:40.0, ,61-83,Defensive rebound by L. Dončić,,3,61,83,-22,2000.0
2:24.0, ,61-83,L. Dončić misses 2-pt jump shot from 10 ft,,3,61,83,-22,2016.0
2:23.0,Defensive rebound by J. Butler,61-83, ,,3,61,83,-22,2017.0
2:23.0,Personal foul by D. Finney-Smith (drawn by J. Butler),61-83, ,,3,61,83,-22,2017.0
2:23.0, ,61-83,D. Powell enters the game for D. Finney-Smith,,3,61,83,-22,2017.0
2:09.0,V. Oladipo misses 2-pt jump shot from 17 ft,61-83, ,,3,61,83,-22,2031.0
2:06.0, ,61-83,Defensive rebound by R. Bullock,,3,61,83,-22,2034.0
1:49.0, ,61-83,Shooting foul by J. Butler (drawn by J. Green),,3,61,83,-22,2051.0
1:49.0, ,61-84,J. Green makes free throw 1 of 2,,3,61,84,-23,2051.0
1:49.0,B. Adebayo enters the game for J. Butler,61-84, ,,3,61,84,-23,2051.0
1:49.0, ,61-85,J. Green makes free throw 2 of 2,,3,61,85,-24,2051.0
1:38.0,Personal foul by D. Powell (drawn by G. Vincent),61-85, ,,3,61,85,-24,2062.0
1:38.0,G. Vincent makes free throw 1 of 2,62-85, ,,3,62,85,-23,2062.0
1:38.0,G. Vincent makes free throw 2 of 2,63-85, ,,3,63,85,-22,2062.0
1:18.0, ,63-87,L. Dončić makes 2-pt jump shot from 17 ft,,3,63,87,-24,2082.0
1:03.0,B. Adebayo makes 2-pt jump shot from 14 ft (assist by M. Strus),65-87, ,,3,65,87,-22,2097.0
0:53.0, ,65-87,Turnover by L. Dončić (palming),,3,65,87,-22,2107.0
0:47.0,B. Adebayo makes 2-pt layup from 1 ft (assist by V. Oladipo),67-87, ,,3,67,87,-20,2113.0
0:33.0, ,67-90,L. Dončić makes 3-pt jump shot from 27 ft,,3,67,90,-23,2127.0
0:26.0,Turnover by V. Oladipo (traveling),67-90, ,,3,67,90,-23,2134.0
0:08.0, ,67-92,D. Powell makes 2-pt jump shot from 1 ft (assist by L. Dončić),,3,67,92,-25,2152.0
0:00.0,M. Strus misses 3-pt jump shot from 25 ft,67-92, ,,3,67,92,-25,2160.0
0:00.0,Offensive rebound by Team,67-92, ,,3,67,92,-25,2160.0
0:00.0,End of 3rd quarter,67-92,,,3,67,92,-25,2160.0
12:00.0,Start of 4th quarter,67-92,,,4,67,92,-25,2160.0
11:41.0, ,67-94,L. Dončić makes 2-pt jump shot from 8 ft,,4,67,94,-27,2179.0
11:26.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Vincent),69-94, ,,4,69,94,-25,2194.0
11:05.0, ,69-94,Personal foul by G. Vincent (drawn by L. Dončić),,4,69,94,-25,2215.0
10:57.0, ,69-94,L. Dončić misses 3-pt jump shot from 26 ft,,4,69,94,-25,2223.0
10:55.0,Defensive rebound by B. Adebayo,69-94, ,,4,69,94,-25,2225.0
10:47.0,V. Oladipo makes 2-pt jump shot from 7 ft (assist by B. Adebayo),71-94, ,,4,71,94,-23,2233.0
10:21.0, ,71-94,D. Powell misses 2-pt layup from 4 ft,,4,71,94,-23,2259.0
10:18.0,Defensive rebound by B. Adebayo,71-94, ,,4,71,94,-23,2262.0
10:15.0,Turnover by T. Herro (traveling),71-94, ,,4,71,94,-23,2265.0
9:54.0, ,71-97,R. Bullock makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,4,71,97,-26,2286.0
9:38.0,Offensive foul by B. Adebayo (drawn by J. Green),71-97, ,,4,71,97,-26,2302.0
9:38.0,Turnover by B. Adebayo (offensive foul),71-97, ,,4,71,97,-26,2302.0
9:18.0, ,71-97,D. Powell misses 3-pt jump shot from 23 ft,,4,71,97,-26,2322.0
9:16.0, ,71-97,Offensive rebound by J. Green,,4,71,97,-26,2324.0
9:16.0, ,71-97,J. Green misses 2-pt layup at rim,,4,71,97,-26,2324.0
9:15.0, ,71-97,Offensive rebound by J. Green,,4,71,97,-26,2325.0
9:08.0, ,71-99,L. Dončić makes 2-pt layup from 2 ft (assist by D. Powell),,4,71,99,-28,2332.0
8:52.0,G. Vincent misses 3-pt jump shot from 23 ft,71-99, ,,4,71,99,-28,2348.0
8:49.0, ,71-99,Defensive rebound by S. Dinwiddie,,4,71,99,-28,2351.0
8:32.0, ,71-99,S. Dinwiddie misses 3-pt jump shot from 25 ft,,4,71,99,-28,2368.0
8:30.0,Defensive rebound by M. Strus,71-99, ,,4,71,99,-28,2370.0
8:17.0,V. Oladipo makes 3-pt jump shot from 26 ft (assist by B. Adebayo),74-99, ,,4,74,99,-25,2383.0
7:47.0, ,74-99,L. Dončić misses 3-pt jump shot from 29 ft,,4,74,99,-25,2413.0
7:43.0,Defensive rebound by B. Adebayo,74-99, ,,4,74,99,-25,2417.0
7:34.0,T. Herro makes 2-pt jump shot from 9 ft,76-99, ,,4,76,99,-23,2426.0
7:34.0,Shooting foul by R. Bullock (drawn by T. Herro),76-99, ,,4,76,99,-23,2426.0
7:34.0,T. Herro makes free throw 1 of 1,77-99, ,,4,77,99,-22,2426.0
7:13.0, ,77-99,Turnover by S. Dinwiddie (step out of bounds),,4,77,99,-22,2447.0
7:04.0,G. Vincent misses 2-pt jump shot from 6 ft,77-99, ,,4,77,99,-22,2456.0
7:04.0,Offensive rebound by Team,77-99, ,,4,77,99,-22,2456.0
7:04.0, ,77-99,Loose ball foul by S. Dinwiddie (drawn by B. Adebayo),,4,77,99,-22,2456.0
6:55.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by G. Vincent),79-99, ,,4,79,99,-20,2465.0
6:46.0, ,79-99,Shooting foul by M. Strus (drawn by S. Dinwiddie),,4,79,99,-20,2474.0
6:46.0, ,79-99,Dallas full timeout,,4,79,99,-20,2474.0
6:46.0, ,79-99,D. Finney-Smith enters the game for D. Powell,,4,79,99,-20,2474.0
6:46.0, ,79-100,S. Dinwiddie makes free throw 1 of 2,,4,79,100,-21,2474.0
6:46.0, ,79-101,S. Dinwiddie makes free throw 2 of 2,,4,79,101,-22,2474.0
6:36.0,Turnover by T. Herro (bad pass; steal by D. Finney-Smith),79-101, ,,4,79,101,-22,2484.0
6:23.0, ,79-104,R. Bullock makes 3-pt jump shot from 24 ft (assist by J. Green),,4,79,104,-25,2497.0
5:56.0,Turnover by V. Oladipo (lost ball; steal by L. Dončić),79-104, ,,4,79,104,-25,2524.0
5:52.0, ,79-106,J. Green makes 2-pt dunk from 1 ft (assist by L. Dončić),,4,79,106,-27,2528.0
5:50.0,Miami full timeout,79-106, ,,4,79,106,-27,2530.0
5:50.0,H. Highsmith enters the game for B. Adebayo,79-106, ,,4,79,106,-27,2530.0
5:50.0,C. Martin enters the game for T. Herro,79-106, ,,4,79,106,-27,2530.0
5:50.0,O. Robinson enters the game for V. Oladipo,79-106, ,,4,79,106,-27,2530.0
5:32.0,G. Vincent misses 3-pt jump shot from 27 ft,79-106, ,,4,79,106,-27,2548.0
5:29.0, ,79-106,Defensive rebound by S. Dinwiddie,,4,79,106,-27,2551.0
5:11.0, ,79-106,D. Finney-Smith misses 3-pt jump shot from 25 ft,,4,79,106,-27,2569.0
5:07.0,Defensive rebound by M. Strus,79-106, ,,4,79,106,-27,2573.0
5:07.0, ,79-106,J. Hardy enters the game for S. Dinwiddie,,4,79,106,-27,2573.0
5:07.0, ,79-106,F. Ntilikina enters the game for L. Dončić,,4,79,106,-27,2573.0
4:55.0,Turnover by G. Vincent (bad pass; steal by R. Bullock),79-106, ,,4,79,106,-27,2585.0
4:32.0, ,79-108,F. Ntilikina makes 2-pt layup at rim (assist by D. Finney-Smith),,4,79,108,-29,2608.0
4:23.0,Shooting foul by R. Bullock (drawn by G. Vincent),79-108, ,,4,79,108,-29,2617.0
4:23.0,G. Vincent makes free throw 1 of 2,80-108, ,,4,80,108,-28,2617.0
4:23.0, ,80-108,D. Bertāns enters the game for R. Bullock,,4,80,108,-28,2617.0
4:23.0, ,80-108,A. Lawson enters the game for D. Finney-Smith,,4,80,108,-28,2617.0
4:23.0, ,80-108,T. Pinson enters the game for J. Green,,4,80,108,-28,2617.0
4:23.0,G. Vincent misses free throw 2 of 2,80-108, ,,4,80,108,-28,2617.0
4:20.0, ,80-108,Defensive rebound by D. Bertāns,,4,80,108,-28,2620.0
4:06.0, ,80-110,J. Hardy makes 2-pt layup from 1 ft,,4,80,110,-30,2634.0
3:56.0,G. Vincent misses 3-pt jump shot from 25 ft,80-110, ,,4,80,110,-30,2644.0
3:56.0, ,80-110,Defensive rebound by J. Hardy,,4,80,110,-30,2644.0
3:39.0, ,80-110,F. Ntilikina misses 2-pt jump shot from 7 ft,,4,80,110,-30,2661.0
3:38.0,Defensive rebound by O. Robinson,80-110, ,,4,80,110,-30,2662.0
3:21.0,C. Martin makes 2-pt jump shot from 17 ft,82-110, ,,4,82,110,-28,2679.0
3:04.0, ,82-110,Turnover by J. Hardy (palming),,4,82,110,-28,2696.0
2:54.0,G. Vincent makes 2-pt jump shot from 5 ft,84-110, ,,4,84,110,-26,2706.0
2:30.0, ,84-110,J. Hardy misses 3-pt jump shot from 23 ft,,4,84,110,-26,2730.0
2:27.0,Defensive rebound by H. Highsmith,84-110, ,,4,84,110,-26,2733.0
2:20.0,Shooting foul by D. Bertāns (drawn by O. Robinson),84-110, ,,4,84,110,-26,2740.0
2:20.0,O. Robinson misses free throw 1 of 2,84-110, ,,4,84,110,-26,2740.0
2:20.0,Offensive rebound by Team,84-110, ,,4,84,110,-26,2740.0
2:20.0,O. Robinson misses free throw 2 of 2,84-110, ,,4,84,110,-26,2740.0
2:18.0, ,84-110,Defensive rebound by T. Pinson,,4,84,110,-26,2742.0
2:07.0, ,84-112,A. Lawson makes 2-pt dunk from 1 ft (assist by J. Hardy),,4,84,112,-28,2753.0
1:52.0,Shooting foul by A. Lawson (drawn by C. Martin),84-112, ,,4,84,112,-28,2768.0
1:52.0,C. Martin makes free throw 1 of 2,85-112, ,,4,85,112,-27,2768.0
1:52.0,C. Martin makes free throw 2 of 2,86-112, ,,4,86,112,-26,2768.0
1:47.0, ,86-112,Personal foul by C. Martin (drawn by D. Bertāns),,4,86,112,-26,2773.0
1:34.0, ,86-115,A. Lawson makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),,4,86,115,-29,2786.0
1:20.0,G. Vincent makes 2-pt jump shot from 17 ft,88-115, ,,4,88,115,-27,2800.0
1:05.0, ,88-115,J. Hardy misses 2-pt layup from 2 ft (block by C. Martin),,4,88,115,-27,2815.0
1:05.0,Defensive rebound by O. Robinson,88-115, ,,4,88,115,-27,2815.0
0:59.0,Offensive foul by O. Robinson (drawn by A. Lawson),88-115, ,,4,88,115,-27,2821.0
0:59.0,Turnover by O. Robinson (offensive foul),88-115, ,,4,88,115,-27,2821.0
0:41.0, ,88-115,Offensive foul by J. Hardy (drawn by M. Strus),,4,88,115,-27,2839.0
0:41.0, ,88-115,Turnover by J. Hardy (offensive foul),,4,88,115,-27,2839.0
0:33.0,H. Highsmith misses 3-pt jump shot from 25 ft,88-115, ,,4,88,115,-27,2847.0
0:30.0, ,88-115,Defensive rebound by J. Hardy,,4,88,115,-27,2850.0
0:29.0, ,88-115,Shooting foul by H. Highsmith (drawn by A. Lawson),,4,88,115,-27,2851.0
0:29.0, ,88-115,A. Lawson misses free throw 1 of 2,,4,88,115,-27,2851.0
0:29.0, ,88-115,Offensive rebound by Team,,4,88,115,-27,2851.0
0:29.0, ,88-115,A. Lawson misses free throw 2 of 2,,4,88,115,-27,2851.0
0:27.0,Defensive rebound by O. Robinson,88-115, ,,4,88,115,-27,2853.0
0:14.0,H. Highsmith makes 2-pt jump shot from 11 ft,90-115, ,,4,90,115,-25,2866.0
0:00.0,End of 4th quarter,90-115,,,4,90,115,-25,2880.0
