Time,Miami,Score,Dallas,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:12.0, ,17-23,L. Dončić makes free throw 1 of 3,,1,17,23,-6,588.0
2:12.0, ,17-24,L. Dončić makes free throw 2 of 3,,1,17,24,-7,588.0
2:12.0, ,17-25,L. Dončić makes free throw 3 of 3,,1,17,25,-8,588.0
2:01.0,B. Adebayo misses 2-pt jump shot from 12 ft,17-25, ,,1,17,25,-8,599.0
1:58.0, ,17-25,Defensive rebound by L. Dončić,,1,17,25,-8,602.0
1:35.0, ,17-25,J. Green misses 3-pt jump shot from 26 ft,,1,17,25,-8,625.0
1:30.0,Defensive rebound by C. Martin,17-25, ,,1,17,25,-8,630.0
1:23.0,V. Oladipo makes 2-pt jump shot from 11 ft (assist by B. Adebayo),19-25, ,,1,19,25,-6,637.0
1:05.0, ,19-25,L. Dončić misses 2-pt jump shot from 16 ft,,1,19,25,-6,655.0
1:01.0,Defensive rebound by B. Adebayo,19-25, ,,1,19,25,-6,659.0
0:48.0,M. Strus misses 3-pt jump shot from 23 ft,19-25, ,,1,19,25,-6,672.0
0:46.0, ,19-25,Defensive rebound by L. Dončić,,1,19,25,-6,674.0
0:40.0, ,19-25,R. Bullock misses 3-pt jump shot from 23 ft,,1,19,25,-6,680.0
0:37.0, ,19-25,Offensive rebound by R. Bullock,,1,19,25,-6,683.0
0:27.0, ,19-28,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by L. Dončić),,1,19,28,-9,693.0
0:03.0,M. Strus misses 3-pt jump shot from 29 ft,19-28, ,,1,19,28,-9,717.0
0:03.0,Offensive rebound by Team,19-28, ,,1,19,28,-9,717.0
0:03.0,Turnover by Team (shot clock),19-28, ,,1,19,28,-9,717.0
0:01.0, ,19-31,L. Dončić makes 3-pt jump shot from 37 ft (assist by J. Green),,1,19,31,-12,719.0
0:00.0, ,19-31,Instant Replay (Request: Ruling Stands),,1,19,31,-12,720.0
0:00.0,End of 1st quarter,19-31,,,1,19,31,-12,720.0
12:00.0,Start of 2nd quarter,19-31,,,2,19,31,-12,720.0
11:48.0,Turnover by B. Adebayo (traveling),19-31, ,,2,19,31,-12,732.0
11:35.0, ,19-31,Shooting foul by V. Oladipo (drawn by J. Green),,2,19,31,-12,745.0
11:35.0, ,19-32,J. Green makes free throw 1 of 2,,2,19,32,-13,745.0
11:35.0, ,19-33,J. Green makes free throw 2 of 2,,2,19,33,-14,745.0
11:23.0,Turnover by G. Vincent (bad pass; steal by D. Bertāns),19-33, ,,2,19,33,-14,757.0
11:07.0, ,19-36,S. Dinwiddie makes 3-pt jump shot from 24 ft,,2,19,36,-17,773.0
10:55.0,Turnover by M. Strus (bad pass; steal by D. Powell),19-36, ,,2,19,36,-17,785.0
10:50.0, ,19-36,Turnover by D. Bertāns (bad pass; steal by V. Oladipo),,2,19,36,-17,790.0
10:44.0,B. Adebayo makes 2-pt layup from 1 ft (assist by V. Oladipo),21-36, ,,2,21,36,-15,796.0
