Time,Indiana,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Turner vs. B. Adebayo (T. Herro gains possession),0-0,,,1,0,0,0,0.0
11:37.0, ,0-3,C. Martin makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,1,3,0,3,23.0
11:07.0,A. Nesmith misses 2-pt layup from 2 ft,0-3, ,,1,3,0,3,53.0
11:04.0, ,0-3,Defensive rebound by C. Martin,,1,3,0,3,56.0
10:54.0, ,0-5,G. Vincent makes 2-pt jump shot from 17 ft (assist by J. Butler),,1,5,0,5,66.0
10:35.0,M. Turner makes 3-pt jump shot from 25 ft (assist by T. Haliburton),3-5, ,,1,5,3,2,85.0
10:26.0, ,3-5,Shooting foul by M. Turner (drawn by B. Adebayo),,1,5,3,2,94.0
10:26.0, ,3-6,B. Adebayo makes free throw 1 of 2,,1,6,3,3,94.0
10:26.0, ,3-7,B. Adebayo makes free throw 2 of 2,,1,7,3,4,94.0
10:12.0,A. Nesmith makes 3-pt jump shot from 22 ft (assist by T. Haliburton),6-7, ,,1,7,6,1,108.0
9:47.0, ,6-7,C. Martin misses 3-pt jump shot from 25 ft (block by T. Haliburton),,1,7,6,1,133.0
9:46.0, ,6-7,Offensive rebound by T. Herro,,1,7,6,1,134.0
9:46.0, ,6-7,Shooting foul by A. Nesmith (drawn by T. Herro),,1,7,6,1,134.0
9:46.0, ,6-8,T. Herro makes free throw 1 of 2,,1,8,6,2,134.0
9:46.0, ,6-9,T. Herro makes free throw 2 of 2,,1,9,6,3,134.0
9:34.0,B. Hield misses 2-pt jump shot from 12 ft,6-9, ,,1,9,6,3,146.0
9:34.0,Offensive rebound by Team,6-9, ,,1,9,6,3,146.0
9:34.0, ,6-9,Loose ball foul by G. Vincent (drawn by M. Turner),,1,9,6,3,146.0
9:17.0,B. Hield makes 3-pt jump shot from 28 ft,9-9, ,Tie,1,9,9,0,163.0
8:59.0, ,9-9,J. Butler misses 2-pt jump shot from 11 ft,,1,9,9,0,181.0
8:56.0, ,9-9,Offensive rebound by B. Adebayo,,1,9,9,0,184.0
8:48.0, ,9-9,J. Butler misses 2-pt layup from 4 ft,,1,9,9,0,192.0
8:45.0,Defensive rebound by M. Turner,9-9, ,,1,9,9,0,195.0
8:37.0,A. Nesmith misses 3-pt jump shot from 24 ft,9-9, ,,1,9,9,0,203.0
8:35.0, ,9-9,Defensive rebound by B. Adebayo,,1,9,9,0,205.0
8:27.0, ,9-9,Shooting foul by B. Hield (drawn by G. Vincent),,1,9,9,0,213.0
8:27.0, ,9-10,G. Vincent makes free throw 1 of 3,,1,10,9,1,213.0
8:27.0, ,9-11,G. Vincent makes free throw 2 of 3,,1,11,9,2,213.0
8:27.0, ,9-12,G. Vincent makes free throw 3 of 3,,1,12,9,3,213.0
8:13.0,A. Nembhard misses 3-pt jump shot from 24 ft,9-12, ,,1,12,9,3,227.0
8:11.0, ,9-12,Defensive rebound by G. Vincent,,1,12,9,3,229.0
7:59.0, ,9-15,G. Vincent makes 3-pt jump shot from 26 ft (assist by T. Herro),,1,15,9,6,241.0
7:42.0,B. Hield misses 3-pt jump shot from 25 ft,9-15, ,,1,15,9,6,258.0
7:40.0, ,9-15,Defensive rebound by T. Herro,,1,15,9,6,260.0
7:22.0, ,9-18,T. Herro makes 3-pt jump shot from 27 ft (assist by J. Butler),,1,18,9,9,278.0
7:22.0,Indiana full timeout,9-18, ,,1,18,9,9,278.0
7:22.0,B. Mathurin enters the game for B. Hield,9-18, ,,1,18,9,9,278.0
7:07.0,A. Nembhard misses 2-pt jump shot from 10 ft,9-18, ,,1,18,9,9,293.0
7:05.0, ,9-18,Defensive rebound by C. Martin,,1,18,9,9,295.0
6:52.0, ,9-21,G. Vincent makes 3-pt jump shot from 24 ft (assist by J. Butler),,1,21,9,12,308.0
6:43.0,T. Haliburton misses 3-pt jump shot from 27 ft,9-21, ,,1,21,9,12,317.0
6:39.0, ,9-21,Defensive rebound by C. Martin,,1,21,9,12,321.0
6:23.0, ,9-23,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Butler),,1,23,9,14,337.0
6:12.0,A. Nesmith makes 2-pt dunk from 1 ft (assist by T. Haliburton),11-23, ,,1,23,11,12,348.0
5:53.0, ,11-23,Offensive foul by G. Vincent (drawn by M. Turner),,1,23,11,12,367.0
5:53.0, ,11-23,Turnover by G. Vincent (offensive foul),,1,23,11,12,367.0
