Time,Miami,Score,New York,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
1:42.0,T. Herro makes 2-pt jump shot from 1 ft,97-100, ,,4,97,100,-3,2778.0
1:23.0, ,97-102,R. Barrett makes 2-pt layup from 1 ft,,4,97,102,-5,2797.0
1:23.0,Violation by Team (def goaltending),97-102, ,,4,97,102,-5,2797.0
1:23.0,Instant Replay (Request: Ruling Stands),97-102, ,,4,97,102,-5,2797.0
1:11.0,T. Herro makes 2-pt jump shot from 16 ft,99-102, ,,4,99,102,-3,2809.0
0:56.0, ,99-102,New York full timeout,,4,99,102,-3,2824.0
0:54.0, ,99-102,Turnover by R. Barrett (bad pass; steal by B. Adebayo),,4,99,102,-3,2826.0
0:52.0,Shooting foul by J. Randle (drawn by B. Adebayo),99-102, ,,4,99,102,-3,2828.0
0:52.0,B. Adebayo makes free throw 1 of 2,100-102, ,,4,100,102,-2,2828.0
0:52.0,B. Adebayo makes free throw 2 of 2,101-102, ,,4,101,102,-1,2828.0
0:33.0, ,101-104,I. Hartenstein makes 2-pt dunk at rim (assist by Q. Grimes),,4,101,104,-3,2847.0
0:25.0,T. Herro misses 3-pt jump shot from 25 ft,101-104, ,,4,101,104,-3,2855.0
0:22.0, ,101-104,Defensive rebound by J. Randle,,4,101,104,-3,2858.0
0:12.0, ,101-104,Turnover by R. Barrett (bad pass; steal by T. Herro),,4,101,104,-3,2868.0
0:08.0,Turnover by T. Herro (bad pass; steal by I. Hartenstein),101-104, ,,4,101,104,-3,2872.0
0:05.0, ,101-106,J. Randle makes 2-pt dunk from 1 ft (assist by Q. Grimes),,4,101,106,-5,2875.0
0:05.0,Miami full timeout,101-106, ,,4,101,106,-5,2875.0
0:02.0,M. Strus makes 3-pt jump shot from 25 ft (assist by G. Vincent),104-106, ,,4,104,106,-2,2878.0
0:02.0, ,104-106,New York full timeout,,4,104,106,-2,2878.0
0:02.0,C. Martin enters the game for T. Herro,104-106, ,,4,104,106,-2,2878.0
0:02.0, ,104-106,E. Fournier enters the game for I. Hartenstein,,4,104,106,-2,2878.0
0:02.0, ,104-106,Turnover by J. Randle (lost ball; steal by B. Adebayo),,4,104,106,-2,2878.0
0:02.0,Miami full timeout,104-106, ,,4,104,106,-2,2878.0
0:02.0,Instant Replay (Challenge: Ruling Stands),104-106, ,,4,104,106,-2,2878.0
0:02.0,T. Herro enters the game for C. Martin,104-106, ,,4,104,106,-2,2878.0
0:02.0, ,104-106,I. Hartenstein enters the game for E. Fournier,,4,104,106,-2,2878.0
0:00.0,T. Herro misses 3-pt jump shot from 24 ft,104-106, ,,4,104,106,-2,2880.0
0:00.0,Offensive rebound by Team,104-106, ,,4,104,106,-2,2880.0
0:00.0,End of 4th quarter,104-106,,,4,104,106,-2,2880.0
