Time,Miami,Score,Brooklyn,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. N. Claxton (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:45.0,G. Vincent misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,15.0
11:40.0, ,0-0,Defensive rebound by C. Johnson,,1,0,0,0,20.0
11:23.0, ,0-2,M. Bridges makes 2-pt jump shot from 8 ft,,1,0,2,-2,37.0
11:02.0,J. Butler makes 2-pt jump shot from 10 ft,2-2, ,Tie,1,2,2,0,58.0
10:46.0, ,2-2,Shooting foul by G. Vincent (drawn by D. Finney-Smith),,1,2,2,0,74.0
10:46.0, ,2-3,D. Finney-Smith makes free throw 1 of 2,,1,2,3,-1,74.0
10:46.0, ,2-4,D. Finney-Smith makes free throw 2 of 2,,1,2,4,-2,74.0
10:36.0,G. Vincent misses 3-pt jump shot from 25 ft,2-4, ,,1,2,4,-2,84.0
10:33.0, ,2-4,Defensive rebound by N. Claxton,,1,2,4,-2,87.0
10:26.0, ,2-7,C. Johnson makes 3-pt jump shot from 25 ft (assist by M. Bridges),,1,2,7,-5,94.0
10:12.0,B. Adebayo makes 2-pt jump shot from 13 ft,4-7, ,,1,4,7,-3,108.0
9:48.0, ,4-7,N. Claxton misses 2-pt hook shot from 4 ft,,1,4,7,-3,132.0
9:45.0,Defensive rebound by C. Martin,4-7, ,,1,4,7,-3,135.0
9:41.0,C. Martin misses 2-pt layup from 3 ft (block by M. Bridges),4-7, ,,1,4,7,-3,139.0
9:39.0,Offensive rebound by G. Vincent,4-7, ,,1,4,7,-3,141.0
9:32.0,B. Adebayo misses 2-pt jump shot from 12 ft,4-7, ,,1,4,7,-3,148.0
9:29.0, ,4-7,Defensive rebound by N. Claxton,,1,4,7,-3,151.0
9:18.0, ,4-7,M. Bridges misses 3-pt jump shot from 25 ft,,1,4,7,-3,162.0
9:15.0,Defensive rebound by B. Adebayo,4-7, ,,1,4,7,-3,165.0
9:03.0,J. Butler misses 2-pt jump shot from 11 ft,4-7, ,,1,4,7,-3,177.0
9:00.0, ,4-7,Defensive rebound by N. Claxton,,1,4,7,-3,180.0
8:52.0, ,4-9,C. Johnson makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,1,4,9,-5,188.0
8:37.0,M. Strus misses 3-pt jump shot from 25 ft,4-9, ,,1,4,9,-5,203.0
8:33.0,Offensive rebound by B. Adebayo,4-9, ,,1,4,9,-5,207.0
8:25.0,C. Martin misses 3-pt jump shot from 23 ft,4-9, ,,1,4,9,-5,215.0
8:22.0, ,4-9,Defensive rebound by M. Bridges,,1,4,9,-5,218.0
8:11.0, ,4-9,D. Finney-Smith misses 2-pt layup from 2 ft (block by B. Adebayo),,1,4,9,-5,229.0
8:07.0,Defensive rebound by B. Adebayo,4-9, ,,1,4,9,-5,233.0
8:06.0,M. Strus makes 2-pt layup from 2 ft (assist by B. Adebayo),6-9, ,,1,6,9,-3,234.0
8:01.0, ,6-9,D. Finney-Smith misses 3-pt jump shot from 23 ft (block by C. Martin),,1,6,9,-3,239.0
8:00.0, ,6-9,Offensive rebound by Team,,1,6,9,-3,240.0
8:00.0, ,6-9,B. Simmons enters the game for N. Claxton,,1,6,9,-3,240.0
7:53.0, ,6-9,Turnover by M. Bridges (bad pass; steal by G. Vincent),,1,6,9,-3,247.0
7:49.0,J. Butler misses 2-pt layup from 1 ft (block by M. Bridges),6-9, ,,1,6,9,-3,251.0
7:49.0,Offensive rebound by Team,6-9, ,,1,6,9,-3,251.0
7:42.0,Turnover by M. Strus (bad pass),6-9, ,,1,6,9,-3,258.0
7:32.0, ,6-11,B. Simmons makes 2-pt layup from 1 ft (assist by M. Bridges),,1,6,11,-5,268.0
7:08.0,M. Strus makes 3-pt jump shot from 28 ft (assist by J. Butler),9-11, ,,1,9,11,-2,292.0
6:52.0, ,9-14,M. Bridges makes 3-pt jump shot from 24 ft (assist by B. Simmons),,1,9,14,-5,308.0
6:32.0,Personal foul by B. Simmons (drawn by G. Vincent),9-14, ,,1,9,14,-5,328.0
6:32.0, ,9-14,Brooklyn full timeout,,1,9,14,-5,328.0
6:32.0,O. Robinson enters the game for B. Adebayo,9-14, ,,1,9,14,-5,328.0
6:23.0,J. Butler makes 2-pt dunk from 1 ft (assist by M. Strus),11-14, ,,1,11,14,-3,337.0
6:07.0, ,11-16,M. Bridges makes 2-pt jump shot from 16 ft,,1,11,16,-5,353.0
5:58.0,G. Vincent makes 3-pt jump shot from 25 ft,14-16, ,,1,14,16,-2,362.0
5:42.0, ,14-18,M. Bridges makes 2-pt jump shot from 15 ft (assist by C. Johnson),,1,14,18,-4,378.0
5:29.0,C. Martin makes 2-pt jump shot from 20 ft (assist by M. Strus),16-18, ,,1,16,18,-2,391.0
5:17.0, ,16-18,C. Johnson misses 3-pt jump shot from 25 ft,,1,16,18,-2,403.0
5:14.0,Defensive rebound by M. Strus,16-18, ,,1,16,18,-2,406.0
4:54.0,G. Vincent misses 2-pt jump shot from 12 ft,16-18, ,,1,16,18,-2,426.0
4:50.0,Offensive rebound by O. Robinson,16-18, ,,1,16,18,-2,430.0
4:50.0,O. Robinson misses 2-pt layup at rim,16-18, ,,1,16,18,-2,430.0
4:49.0, ,16-18,Defensive rebound by S. Dinwiddie,,1,16,18,-2,431.0
4:32.0, ,16-18,B. Simmons misses 2-pt hook shot from 8 ft,,1,16,18,-2,448.0
4:30.0,Defensive rebound by O. Robinson,16-18, ,,1,16,18,-2,450.0
4:25.0,Shooting foul by C. Johnson (drawn by C. Martin),16-18, ,,1,16,18,-2,455.0
4:25.0,C. Martin misses free throw 1 of 2,16-18, ,,1,16,18,-2,455.0
4:25.0,Offensive rebound by Team,16-18, ,,1,16,18,-2,455.0
4:25.0,D. Robinson enters the game for M. Strus,16-18, ,,1,16,18,-2,455.0
4:25.0, ,16-18,S. Curry enters the game for S. Dinwiddie,,1,16,18,-2,455.0
4:25.0, ,16-18,R. O'Neale enters the game for C. Johnson,,1,16,18,-2,455.0
4:25.0,C. Martin misses free throw 2 of 2,16-18, ,,1,16,18,-2,455.0
4:18.0, ,16-18,Defensive rebound by D. Finney-Smith,,1,16,18,-2,462.0
4:03.0, ,16-18,D. Finney-Smith misses 3-pt jump shot from 22 ft,,1,16,18,-2,477.0
4:00.0,Defensive rebound by C. Martin,16-18, ,,1,16,18,-2,480.0
3:51.0,G. Vincent makes 3-pt jump shot from 24 ft (assist by C. Martin),19-18, ,Lead change,1,19,18,1,489.0
3:36.0, ,19-18,R. O'Neale misses 3-pt jump shot from 26 ft,,1,19,18,1,504.0
3:32.0, ,19-18,Offensive rebound by D. Finney-Smith,,1,19,18,1,508.0
3:31.0, ,19-18,Turnover by D. Finney-Smith (bad pass; steal by D. Robinson),,1,19,18,1,509.0
3:19.0,G. Vincent misses 3-pt jump shot from 25 ft,19-18, ,,1,19,18,1,521.0
3:16.0, ,19-18,Defensive rebound by B. Simmons,,1,19,18,1,524.0
3:12.0, ,19-20,M. Bridges makes 2-pt layup from 2 ft (assist by B. Simmons),Lead change,1,19,20,-1,528.0
3:12.0, ,19-20,Shooting foul by D. Robinson (drawn by M. Bridges),,1,19,20,-1,528.0
3:12.0,J. Bouyea enters the game for J. Butler,19-20, ,,1,19,20,-1,528.0
3:12.0,H. Highsmith enters the game for G. Vincent,19-20, ,,1,19,20,-1,528.0
