Time,Miami,Score,Atlanta,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. O. Okongwu (G. Vincent gains possession),0-0,,,1,0,0,0,0.0
11:38.0,T. Herro misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,22.0
11:35.0,Offensive rebound by C. Martin,0-0, ,,1,0,0,0,25.0
11:34.0,C. Martin misses 2-pt layup from 1 ft,0-0, ,,1,0,0,0,26.0
11:32.0, ,0-0,Defensive rebound by O. Okongwu,,1,0,0,0,28.0
11:19.0, ,0-2,O. Okongwu makes 2-pt layup from 2 ft (assist by D. Hunter),,1,0,2,-2,41.0
10:59.0,T. Herro misses 3-pt jump shot from 25 ft,0-2, ,,1,0,2,-2,61.0
10:56.0, ,0-2,Defensive rebound by D. Hunter,,1,0,2,-2,64.0
10:47.0, ,0-2,Shooting foul by C. Martin (drawn by J. Collins),,1,0,2,-2,73.0
10:47.0, ,0-3,J. Collins makes free throw 1 of 2,,1,0,3,-3,73.0
10:47.0, ,0-4,J. Collins makes free throw 2 of 2,,1,0,4,-4,73.0
10:35.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by T. Herro),2-4, ,,1,2,4,-2,85.0
10:21.0, ,2-4,D. Hunter misses 3-pt jump shot from 23 ft,,1,2,4,-2,99.0
10:18.0,Defensive rebound by T. Herro,2-4, ,,1,2,4,-2,102.0
10:13.0,G. Vincent misses 3-pt jump shot from 23 ft,2-4, ,,1,2,4,-2,107.0
10:07.0,Offensive rebound by C. Martin,2-4, ,,1,2,4,-2,113.0
10:06.0,Shooting foul by T. Young (drawn by J. Butler),2-4, ,,1,2,4,-2,114.0
10:06.0,J. Butler makes free throw 1 of 2,3-4, ,,1,3,4,-1,114.0
10:06.0,J. Butler makes free throw 2 of 2,4-4, ,Tie,1,4,4,0,114.0
9:49.0, ,4-4,D. Murray misses 2-pt jump shot from 12 ft (block by B. Adebayo),,1,4,4,0,131.0
9:46.0,Defensive rebound by J. Butler,4-4, ,,1,4,4,0,134.0
9:40.0,G. Vincent misses 2-pt layup from 2 ft,4-4, ,,1,4,4,0,140.0
9:37.0, ,4-4,Defensive rebound by D. Murray,,1,4,4,0,143.0
9:31.0, ,4-6,D. Murray makes 2-pt layup from 1 ft (assist by T. Young),,1,4,6,-2,149.0
9:15.0,B. Adebayo misses 2-pt jump shot from 11 ft,4-6, ,,1,4,6,-2,165.0
9:12.0, ,4-6,Defensive rebound by T. Young,,1,4,6,-2,168.0
9:06.0, ,4-6,Shooting foul by B. Adebayo (drawn by T. Young),,1,4,6,-2,174.0
9:06.0, ,4-7,T. Young makes free throw 1 of 3,,1,4,7,-3,174.0
9:06.0, ,4-8,T. Young makes free throw 2 of 3,,1,4,8,-4,174.0
9:06.0, ,4-9,T. Young makes free throw 3 of 3,,1,4,9,-5,174.0
8:57.0,J. Butler makes 2-pt dunk from 1 ft,6-9, ,,1,6,9,-3,183.0
8:39.0, ,6-11,J. Collins makes 2-pt jump shot from 9 ft (assist by T. Young),,1,6,11,-5,201.0
8:27.0,T. Herro makes 2-pt jump shot from 12 ft (assist by B. Adebayo),8-11, ,,1,8,11,-3,213.0
8:13.0, ,8-11,Turnover by T. Young (lost ball; steal by G. Vincent),,1,8,11,-3,227.0
8:09.0,J. Butler makes 2-pt dunk at rim (assist by G. Vincent),10-11, ,,1,10,11,-1,231.0
7:57.0, ,10-13,D. Murray makes 2-pt layup from 2 ft,,1,10,13,-3,243.0
7:34.0,C. Martin makes 2-pt layup from 1 ft (assist by J. Butler),12-13, ,,1,12,13,-1,266.0
7:25.0, ,12-13,Personal foul by G. Vincent (drawn by J. Collins),,1,12,13,-1,275.0
7:18.0, ,12-13,Shooting foul by C. Martin (drawn by O. Okongwu),,1,12,13,-1,282.0
7:18.0, ,12-14,O. Okongwu makes free throw 1 of 2,,1,12,14,-2,282.0
7:18.0,V. Oladipo enters the game for C. Martin,12-14, ,,1,12,14,-2,282.0
7:18.0, ,12-15,O. Okongwu makes free throw 2 of 2,,1,12,15,-3,282.0
7:03.0,Turnover by T. Herro (bad pass; steal by T. Young),12-15, ,,1,12,15,-3,297.0
6:59.0, ,12-15,D. Murray misses 2-pt layup from 2 ft,,1,12,15,-3,301.0
6:57.0,Defensive rebound by G. Vincent,12-15, ,,1,12,15,-3,303.0
6:45.0,J. Butler makes 2-pt layup from 1 ft (assist by V. Oladipo),14-15, ,,1,14,15,-1,315.0
6:33.0, ,14-18,D. Hunter makes 3-pt jump shot from 25 ft (assist by D. Murray),,1,14,18,-4,327.0
6:19.0,T. Herro makes 2-pt jump shot from 11 ft (assist by V. Oladipo),16-18, ,,1,16,18,-2,341.0
6:11.0, ,16-21,T. Young makes 3-pt jump shot from 26 ft,,1,16,21,-5,349.0
6:11.0,Miami full timeout,16-21, ,,1,16,21,-5,349.0
6:11.0,O. Robinson enters the game for B. Adebayo,16-21, ,,1,16,21,-5,349.0
6:11.0,M. Strus enters the game for G. Vincent,16-21, ,,1,16,21,-5,349.0
6:11.0, ,16-21,B. Bogdanović enters the game for T. Young,,1,16,21,-5,349.0
5:57.0,Turnover by M. Strus (bad pass; steal by D. Murray),16-21, ,,1,16,21,-5,363.0
5:54.0, ,16-23,D. Murray makes 2-pt layup from 2 ft,,1,16,23,-7,366.0
5:38.0,V. Oladipo makes 2-pt layup from 1 ft (assist by M. Strus),18-23, ,,1,18,23,-5,382.0
5:23.0, ,18-25,J. Collins makes 2-pt jump shot from 16 ft,,1,18,25,-7,397.0
5:07.0,Turnover by J. Butler (bad pass; steal by O. Okongwu),18-25, ,,1,18,25,-7,413.0
5:01.0, ,18-25,Shooting foul by M. Strus (drawn by D. Hunter),,1,18,25,-7,419.0
5:01.0, ,18-26,D. Hunter makes free throw 1 of 2,,1,18,26,-8,419.0
5:01.0, ,18-26,C. Capela enters the game for O. Okongwu,,1,18,26,-8,419.0
5:01.0, ,18-27,D. Hunter makes free throw 2 of 2,,1,18,27,-9,419.0
4:48.0,V. Oladipo makes 2-pt jump shot from 17 ft,20-27, ,,1,20,27,-7,432.0
4:30.0, ,20-29,C. Capela makes 2-pt layup from 4 ft (assist by D. Hunter),,1,20,29,-9,450.0
4:30.0, ,20-29,Shooting foul by V. Oladipo (drawn by C. Capela),,1,20,29,-9,450.0
4:30.0, ,20-29,A. Holiday enters the game for J. Collins,,1,20,29,-9,450.0
4:30.0, ,20-29,T. Young enters the game for D. Murray,,1,20,29,-9,450.0
4:30.0, ,20-29,C. Capela misses free throw 1 of 1,,1,20,29,-9,450.0
4:28.0,Defensive rebound by T. Herro,20-29, ,,1,20,29,-9,452.0
4:12.0,Shooting foul by A. Holiday (drawn by J. Butler),20-29, ,,1,20,29,-9,468.0
4:12.0,J. Butler makes free throw 1 of 2,21-29, ,,1,21,29,-8,468.0
4:12.0,G. Vincent enters the game for T. Herro,21-29, ,,1,21,29,-8,468.0
4:12.0,J. Butler makes free throw 2 of 2,22-29, ,,1,22,29,-7,468.0
3:54.0, ,22-32,T. Young makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,1,22,32,-10,486.0
3:35.0,J. Butler makes 2-pt layup at rim,24-32, ,,1,24,32,-8,505.0
3:29.0, ,24-32,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,24,32,-8,511.0
3:26.0,Defensive rebound by G. Vincent,24-32, ,,1,24,32,-8,514.0
3:14.0,Turnover by J. Butler (bad pass; steal by T. Young),24-32, ,,1,24,32,-8,526.0
3:05.0, ,24-32,Shooting foul by G. Vincent (drawn by T. Young),,1,24,32,-8,535.0
3:05.0, ,24-33,T. Young makes free throw 1 of 2,,1,24,33,-9,535.0
3:05.0,B. Adebayo enters the game for J. Butler,24-33, ,,1,24,33,-9,535.0
3:05.0,T. Herro enters the game for O. Robinson,24-33, ,,1,24,33,-9,535.0
3:05.0,H. Highsmith enters the game for G. Vincent,24-33, ,,1,24,33,-9,535.0
3:05.0, ,24-33,A. Griffin enters the game for D. Hunter,,1,24,33,-9,535.0
3:05.0, ,24-33,T. Young misses free throw 2 of 2,,1,24,33,-9,535.0
3:03.0,Defensive rebound by H. Highsmith,24-33, ,,1,24,33,-9,537.0
2:52.0,H. Highsmith makes 2-pt hook shot from 2 ft (assist by M. Strus),26-33, ,,1,26,33,-7,548.0
2:26.0, ,26-33,B. Bogdanović misses 3-pt jump shot from 24 ft,,1,26,33,-7,574.0
2:24.0,Defensive rebound by M. Strus,26-33, ,,1,26,33,-7,576.0
2:14.0,Turnover by M. Strus (bad pass; steal by B. Bogdanović),26-33, ,,1,26,33,-7,586.0
2:09.0, ,26-33,B. Bogdanović misses 2-pt layup from 2 ft,,1,26,33,-7,591.0
2:06.0,Defensive rebound by B. Adebayo,26-33, ,,1,26,33,-7,594.0
1:56.0,Turnover by B. Adebayo (lost ball; steal by B. Bogdanović),26-33, ,,1,26,33,-7,604.0
1:36.0, ,26-33,C. Capela misses 2-pt hook shot from 5 ft,,1,26,33,-7,624.0
1:34.0,Defensive rebound by T. Herro,26-33, ,,1,26,33,-7,626.0
1:22.0,T. Herro misses 2-pt jump shot from 11 ft,26-33, ,,1,26,33,-7,638.0
1:20.0, ,26-33,Defensive rebound by C. Capela,,1,26,33,-7,640.0
1:11.0, ,26-35,C. Capela makes 2-pt layup from 2 ft (assist by T. Young),,1,26,35,-9,649.0
