Time,Philadelphia,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: T. Harris vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:48.0, ,0-0,Personal foul by T. Harris (drawn by J. Butler),,1,0,0,0,12.0
11:39.0, ,0-2,B. Adebayo makes 2-pt layup from 5 ft (assist by T. Herro),,1,2,0,2,21.0
11:18.0,Personal foul by K. Love (drawn by J. Harden),0-2, ,,1,2,0,2,42.0
11:10.0,Turnover by D. Melton (bad pass; steal by J. Butler),0-2, ,,1,2,0,2,50.0
11:04.0, ,0-2,K. Love misses 3-pt jump shot from 26 ft,,1,2,0,2,56.0
11:02.0,Defensive rebound by Team,0-2, ,,1,2,0,2,58.0
10:49.0,Turnover by J. Harden (bad pass; steal by B. Adebayo),0-2, ,,1,2,0,2,71.0
10:44.0, ,0-4,J. Butler makes 2-pt layup from 4 ft (assist by B. Adebayo),,1,4,0,4,76.0
10:33.0,P. Tucker misses 3-pt jump shot from 23 ft,0-4, ,,1,4,0,4,87.0
10:31.0, ,0-4,Defensive rebound by B. Adebayo,,1,4,0,4,89.0
10:27.0, ,0-4,Turnover by B. Adebayo (bad pass; steal by T. Maxey),,1,4,0,4,93.0
10:20.0,J. Harden makes 2-pt layup from 5 ft,2-4, ,,1,4,2,2,100.0
10:01.0, ,2-6,B. Adebayo makes 2-pt jump shot from 7 ft,,1,6,2,4,119.0
9:51.0,T. Harris makes 2-pt layup from 4 ft,4-6, ,,1,6,4,2,129.0
9:31.0, ,4-6,Shooting foul by D. Melton (drawn by K. Love),,1,6,4,2,149.0
9:31.0, ,4-6,K. Love misses free throw 1 of 2,,1,6,4,2,149.0
9:31.0, ,4-6,Offensive rebound by Team,,1,6,4,2,149.0
9:31.0, ,4-7,K. Love makes free throw 2 of 2,,1,7,4,3,149.0
9:16.0,T. Maxey misses 3-pt jump shot from 27 ft,4-7, ,,1,7,4,3,164.0
9:12.0, ,4-7,Defensive rebound by K. Love,,1,7,4,3,168.0
9:09.0, ,4-10,T. Herro makes 3-pt jump shot from 25 ft (assist by J. Butler),,1,10,4,6,171.0
8:56.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by D. Melton),7-10, ,,1,10,7,3,184.0
8:44.0, ,7-10,T. Herro misses 3-pt jump shot from 28 ft,,1,10,7,3,196.0
8:38.0, ,7-10,Offensive rebound by B. Adebayo,,1,10,7,3,202.0
8:38.0, ,7-12,B. Adebayo makes 2-pt layup at rim,,1,12,7,5,202.0
8:29.0,Turnover by J. Harden (lost ball; steal by G. Vincent),7-12, ,,1,12,7,5,211.0
8:23.0, ,7-14,T. Herro makes 2-pt layup from 1 ft (assist by J. Butler),,1,14,7,7,217.0
8:07.0,T. Maxey makes 3-pt jump shot from 23 ft (assist by P. Tucker),10-14, ,,1,14,10,4,233.0
7:45.0, ,10-16,J. Butler makes 2-pt jump shot from 10 ft (assist by K. Love),,1,16,10,6,255.0
7:45.0, ,10-16,Shooting foul by P. Tucker (drawn by J. Butler),,1,16,10,6,255.0
7:45.0, ,10-17,J. Butler makes free throw 1 of 1,,1,17,10,7,255.0
7:22.0,T. Maxey makes 2-pt layup from 5 ft (assist by T. Harris),12-17, ,,1,17,12,5,278.0
7:05.0, ,12-19,K. Love makes 2-pt hook shot from 10 ft,,1,19,12,7,295.0
6:49.0,T. Maxey makes 3-pt jump shot from 23 ft (assist by T. Harris),15-19, ,,1,19,15,4,311.0
6:26.0, ,15-19,T. Herro misses 2-pt jump shot from 12 ft,,1,19,15,4,334.0
6:23.0,Defensive rebound by T. Harris,15-19, ,,1,19,15,4,337.0
6:18.0,J. Harden misses 3-pt jump shot from 27 ft,15-19, ,,1,19,15,4,342.0
6:14.0, ,15-19,Defensive rebound by K. Love,,1,19,15,4,346.0
6:01.0, ,15-19,B. Adebayo misses 2-pt jump shot from 10 ft,,1,19,15,4,359.0
5:56.0,Defensive rebound by P. Tucker,15-19, ,,1,19,15,4,364.0
5:51.0,T. Harris makes 2-pt layup from 4 ft,17-19, ,,1,19,17,2,369.0
5:35.0, ,17-19,G. Vincent misses 3-pt jump shot from 23 ft,,1,19,17,2,385.0
5:33.0,Defensive rebound by T. Harris,17-19, ,,1,19,17,2,387.0
5:22.0,J. Harden misses 3-pt jump shot from 25 ft,17-19, ,,1,19,17,2,398.0
5:22.0, ,17-19,Defensive rebound by J. Butler,,1,19,17,2,398.0
5:12.0, ,17-21,J. Butler makes 2-pt jump shot from 7 ft,,1,21,17,4,408.0
5:12.0, ,17-21,Shooting foul by D. Melton (drawn by J. Butler),,1,21,17,4,408.0
5:12.0, ,17-21,Miami full timeout,,1,21,17,4,408.0
5:12.0,D. House enters the game for D. Melton,17-21, ,,1,21,17,4,408.0
5:12.0, ,17-21,M. Strus enters the game for T. Herro,,1,21,17,4,408.0
5:12.0, ,17-22,J. Butler makes free throw 1 of 1,,1,22,17,5,408.0
4:51.0,T. Maxey misses 3-pt jump shot from 27 ft,17-22, ,,1,22,17,5,429.0
4:47.0, ,17-22,Defensive rebound by K. Love,,1,22,17,5,433.0
4:37.0, ,17-22,J. Butler misses 2-pt jump shot from 7 ft,,1,22,17,5,443.0
4:33.0,Defensive rebound by T. Harris,17-22, ,,1,22,17,5,447.0
4:32.0,T. Maxey makes 2-pt layup from 3 ft (assist by J. Harden),19-22, ,,1,22,19,3,448.0
4:32.0,S. Milton enters the game for J. Harden,19-22, ,,1,22,19,3,448.0
4:32.0,P. Reed enters the game for P. Tucker,19-22, ,,1,22,19,3,448.0
4:32.0, ,19-22,C. Zeller enters the game for B. Adebayo,,1,22,19,3,448.0
4:10.0, ,19-24,J. Butler makes 2-pt layup from 2 ft (assist by C. Zeller),,1,24,19,5,470.0
3:54.0,T. Harris makes 3-pt jump shot from 26 ft (assist by T. Maxey),22-24, ,,1,24,22,2,486.0
3:39.0, ,22-26,K. Love makes 2-pt jump shot from 10 ft,,1,26,22,4,501.0
3:24.0,T. Harris misses 2-pt jump shot from 13 ft,22-26, ,,1,26,22,4,516.0
3:21.0, ,22-26,Defensive rebound by C. Zeller,,1,26,22,4,519.0
3:09.0, ,22-26,Turnover by G. Vincent (bad pass; steal by D. House),,1,26,22,4,531.0
3:03.0,D. House makes 2-pt jump shot from 6 ft,24-26, ,,1,26,24,2,537.0
2:52.0, ,24-28,G. Vincent makes 2-pt layup from 6 ft,,1,28,24,4,548.0
2:46.0,Philadelphia full timeout,24-28, ,,1,28,24,4,554.0
2:46.0, ,24-28,T. Herro enters the game for J. Butler,,1,28,24,4,554.0
2:46.0, ,24-28,C. Martin enters the game for K. Love,,1,28,24,4,554.0
2:46.0, ,24-28,V. Oladipo enters the game for G. Vincent,,1,28,24,4,554.0
2:36.0,Personal foul by V. Oladipo (drawn by S. Milton),24-28, ,,1,28,24,4,564.0
2:25.0,P. Reed makes 2-pt jump shot from 13 ft (assist by T. Harris),26-28, ,,1,28,26,2,575.0
1:59.0, ,26-31,M. Strus makes 3-pt jump shot from 26 ft (assist by T. Herro),,1,31,26,5,601.0
1:42.0,S. Milton makes 2-pt layup from 4 ft (assist by T. Maxey),28-31, ,,1,31,28,3,618.0
1:17.0, ,28-31,Turnover by V. Oladipo (bad pass; steal by T. Harris),,1,31,28,3,643.0
1:14.0,Shooting foul by V. Oladipo (drawn by D. House),28-31, ,,1,31,28,3,646.0
1:14.0,D. House makes free throw 1 of 2,29-31, ,,1,31,29,2,646.0
1:14.0,J. McDaniels enters the game for T. Harris,29-31, ,,1,31,29,2,646.0
1:14.0,D. House makes free throw 2 of 2,30-31, ,,1,31,30,1,646.0
0:56.0, ,30-31,M. Strus misses 3-pt jump shot from 28 ft,,1,31,30,1,664.0
0:55.0, ,30-31,Offensive rebound by Team,,1,31,30,1,665.0
0:55.0,Loose ball foul by S. Milton (drawn by C. Zeller),30-31, ,,1,31,30,1,665.0
0:55.0, ,30-32,C. Zeller makes free throw 1 of 2,,1,32,30,2,665.0
0:55.0, ,30-33,C. Zeller makes free throw 2 of 2,,1,33,30,3,665.0
0:49.0, ,30-33,Violation by Team (kicked ball),,1,33,30,3,671.0
0:38.0,S. Milton makes 2-pt jump shot from 11 ft (assist by J. McDaniels),32-33, ,,1,33,32,1,682.0
0:33.0, ,32-33,V. Oladipo misses 2-pt layup from 6 ft,,1,33,32,1,687.0
0:33.0, ,32-33,Offensive rebound by Team,,1,33,32,1,687.0
0:33.0,Loose ball foul by T. Maxey (drawn by C. Zeller),32-33, ,,1,33,32,1,687.0
0:33.0, ,32-34,C. Zeller makes free throw 1 of 2,,1,34,32,2,687.0
0:33.0, ,32-35,C. Zeller makes free throw 2 of 2,,1,35,32,3,687.0
0:26.0,S. Milton misses 2-pt layup from 4 ft (block by C. Martin),32-35, ,,1,35,32,3,694.0
0:26.0,Offensive rebound by Team,32-35, ,,1,35,32,3,694.0
0:11.0,J. McDaniels misses 3-pt jump shot from 25 ft,32-35, ,,1,35,32,3,709.0
0:08.0,Offensive rebound by P. Reed,32-35, ,,1,35,32,3,712.0
0:08.0,P. Reed makes 2-pt layup from 2 ft,34-35, ,,1,35,34,1,712.0
0:01.0, ,34-38,V. Oladipo makes 3-pt jump shot from 26 ft,,1,38,34,4,719.0
0:00.0,End of 1st quarter,34-38,,,1,38,34,4,720.0
12:00.0,Start of 2nd quarter,34-38,,,2,38,34,4,720.0
11:50.0,J. McDaniels misses 2-pt layup from 5 ft (block by V. Oladipo),34-38, ,,2,38,34,4,730.0
11:50.0, ,34-38,Defensive rebound by Team,,2,38,34,4,730.0
11:39.0, ,34-38,C. Martin misses 2-pt jump shot from 5 ft (block by J. Harden),,2,38,34,4,741.0
11:34.0,Defensive rebound by J. Harden,34-38, ,,2,38,34,4,746.0
11:31.0,S. Milton makes 3-pt jump shot from 23 ft (assist by J. Harden),37-38, ,,2,38,37,1,749.0
11:17.0, ,37-38,T. Herro misses 2-pt jump shot from 10 ft,,2,38,37,1,763.0
11:17.0,Defensive rebound by D. House,37-38, ,,2,38,37,1,763.0
11:09.0,Shooting foul by M. Strus (drawn by J. Harden),37-38, ,,2,38,37,1,771.0
11:09.0,J. Harden makes free throw 1 of 2,38-38, ,Tie,2,38,38,0,771.0
11:09.0,J. Harden makes free throw 2 of 2,39-38, ,Lead change,2,38,39,-1,771.0
11:00.0, ,39-40,T. Herro makes 2-pt layup from 1 ft (assist by M. Strus),Lead change,2,40,39,1,780.0
10:47.0,J. McDaniels misses 2-pt layup from 3 ft,39-40, ,,2,40,39,1,793.0
10:44.0, ,39-40,Defensive rebound by M. Strus,,2,40,39,1,796.0
10:35.0, ,39-40,Turnover by M. Strus (bad pass),,2,40,39,1,805.0
10:12.0,J. Harden misses 2-pt layup from 6 ft,39-40, ,,2,40,39,1,828.0
10:10.0, ,39-40,Defensive rebound by V. Oladipo,,2,40,39,1,830.0
10:06.0, ,39-43,M. Strus makes 3-pt jump shot from 23 ft (assist by T. Herro),,2,43,39,4,834.0
10:05.0,Philadelphia full timeout,39-43, ,,2,43,39,4,835.0
10:05.0,D. Melton enters the game for D. House,39-43, ,,2,43,39,4,835.0
9:46.0,J. Harden makes 3-pt jump shot from 27 ft (assist by S. Milton),42-43, ,,2,43,42,1,854.0
9:22.0, ,42-43,M. Strus misses 3-pt jump shot from 27 ft,,2,43,42,1,878.0
9:17.0,Defensive rebound by P. Reed,42-43, ,,2,43,42,1,883.0
9:12.0,J. Harden makes 3-pt jump shot from 28 ft,45-43, ,Lead change,2,43,45,-2,888.0
9:00.0, ,45-43,Turnover by V. Oladipo (lost ball; steal by J. McDaniels),,2,43,45,-2,900.0
8:58.0,Shooting foul by C. Zeller (drawn by J. McDaniels),45-43, ,,2,43,45,-2,902.0
8:58.0,J. McDaniels makes free throw 1 of 2,46-43, ,,2,43,46,-3,902.0
8:58.0,J. McDaniels makes free throw 2 of 2,47-43, ,,2,43,47,-4,902.0
8:43.0, ,47-43,T. Herro misses 2-pt jump shot from 9 ft (block by P. Reed),,2,43,47,-4,917.0
8:41.0,Defensive rebound by P. Reed,47-43, ,,2,43,47,-4,919.0
8:40.0,Shooting foul by M. Strus (drawn by J. Harden),47-43, ,,2,43,47,-4,920.0
8:40.0,J. Harden makes free throw 1 of 2,48-43, ,,2,43,48,-5,920.0
8:40.0, ,48-43,B. Adebayo enters the game for C. Zeller,,2,43,48,-5,920.0
8:40.0,J. Harden makes free throw 2 of 2,49-43, ,,2,43,49,-6,920.0
