Time,Miami,Score,San Antonio,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Poeltl (M. Strus gains possession),0-0,,,1,0,0,0,0.0
11:35.0,M. Strus misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,25.0
11:32.0, ,0-0,Defensive rebound by J. Sochan,,1,0,0,0,28.0
11:20.0, ,0-3,D. Vassell makes 3-pt jump shot from 25 ft (assist by T. Jones),,1,0,3,-3,40.0
11:06.0,T. Herro makes 2-pt jump shot from 8 ft,2-3, ,,1,2,3,-1,54.0
10:47.0, ,2-3,J. Sochan misses 2-pt layup from 8 ft,,1,2,3,-1,73.0
10:47.0, ,2-3,Offensive rebound by Team,,1,2,3,-1,73.0
10:47.0,Loose ball foul by M. Strus (drawn by J. Poeltl),2-3, ,,1,2,3,-1,73.0
10:34.0, ,2-3,T. Jones misses 2-pt jump shot from 9 ft,,1,2,3,-1,86.0
10:32.0,Defensive rebound by M. Strus,2-3, ,,1,2,3,-1,88.0
10:23.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by M. Strus),4-3, ,Lead change,1,4,3,1,97.0
10:17.0, ,4-3,D. Vassell misses 3-pt jump shot from 24 ft,,1,4,3,1,103.0
10:14.0,Defensive rebound by T. Herro,4-3, ,,1,4,3,1,106.0
10:07.0,Shooting foul by T. Jones (drawn by T. Herro),4-3, ,,1,4,3,1,113.0
10:07.0,T. Herro makes free throw 1 of 2,5-3, ,,1,5,3,2,113.0
10:07.0,T. Herro makes free throw 2 of 2,6-3, ,,1,6,3,3,113.0
9:41.0, ,6-3,Turnover by T. Jones (bad pass; steal by N. Jović),,1,6,3,3,139.0
9:34.0,M. Strus misses 3-pt jump shot from 25 ft,6-3, ,,1,6,3,3,146.0
9:31.0, ,6-3,Defensive rebound by J. Poeltl,,1,6,3,3,149.0
9:25.0, ,6-3,Personal foul by N. Jović (drawn by J. Poeltl),,1,6,3,3,155.0
9:08.0, ,6-3,J. Sochan misses 2-pt jump shot from 9 ft,,1,6,3,3,172.0
9:03.0, ,6-3,Offensive rebound by D. Vassell,,1,6,3,3,177.0
9:03.0, ,6-3,D. Vassell misses 2-pt layup at rim,,1,6,3,3,177.0
9:02.0,Defensive rebound by B. Adebayo,6-3, ,,1,6,3,3,178.0
9:00.0,T. Herro makes 3-pt jump shot from 25 ft (assist by B. Adebayo),9-3, ,,1,9,3,6,180.0
8:47.0, ,9-3,Turnover by D. Vassell (bad pass; steal by T. Herro),,1,9,3,6,193.0
8:29.0,N. Jović misses 3-pt jump shot from 23 ft,9-3, ,,1,9,3,6,211.0
8:25.0, ,9-3,Defensive rebound by J. Poeltl,,1,9,3,6,215.0
8:15.0, ,9-5,D. Vassell makes 2-pt layup from 3 ft (assist by K. Johnson),,1,9,5,4,225.0
8:05.0,B. Adebayo misses 2-pt jump shot from 8 ft,9-5, ,,1,9,5,4,235.0
8:03.0, ,9-5,Defensive rebound by J. Sochan,,1,9,5,4,237.0
7:49.0, ,9-7,T. Jones makes 2-pt jump shot from 9 ft (assist by J. Sochan),,1,9,7,2,251.0
7:34.0,N. Jović makes 3-pt jump shot from 25 ft (assist by T. Herro),12-7, ,,1,12,7,5,266.0
7:18.0, ,12-7,Personal foul by T. Herro (drawn by K. Johnson),,1,12,7,5,282.0
7:18.0, ,12-7,Z. Collins enters the game for J. Poeltl,,1,12,7,5,282.0
7:10.0, ,12-7,J. Sochan misses 2-pt jump shot from 9 ft,,1,12,7,5,290.0
7:08.0,Defensive rebound by B. Adebayo,12-7, ,,1,12,7,5,292.0
7:02.0,Offensive foul by B. Adebayo (drawn by Z. Collins),12-7, ,,1,12,7,5,298.0
7:02.0,Turnover by B. Adebayo (offensive foul),12-7, ,,1,12,7,5,298.0
7:02.0, ,12-7,K. Bates-Diop enters the game for J. Sochan,,1,12,7,5,298.0
6:52.0, ,12-7,K. Johnson misses 2-pt jump shot from 6 ft,,1,12,7,5,308.0
6:51.0,Defensive rebound by N. Jović,12-7, ,,1,12,7,5,309.0
6:33.0,M. Strus makes 3-pt jump shot from 23 ft (assist by T. Herro),15-7, ,,1,15,7,8,327.0
6:31.0, ,15-7,San Antonio full timeout,,1,15,7,8,329.0
6:31.0,V. Oladipo enters the game for T. Herro,15-7, ,,1,15,7,8,329.0
6:08.0, ,15-9,D. Vassell makes 2-pt jump shot from 18 ft (assist by Z. Collins),,1,15,9,6,352.0
6:00.0,Personal foul by K. Johnson (drawn by J. Butler),15-9, ,,1,15,9,6,360.0
5:43.0,J. Butler makes 2-pt jump shot from 14 ft,17-9, ,,1,17,9,8,377.0
5:26.0, ,17-9,Turnover by Z. Collins (lost ball; steal by V. Oladipo),,1,17,9,8,394.0
5:18.0,Turnover by N. Jović (bad pass; steal by D. Vassell),17-9, ,,1,17,9,8,402.0
5:11.0, ,17-9,K. Johnson misses 3-pt jump shot from 26 ft,,1,17,9,8,409.0
5:09.0,Defensive rebound by B. Adebayo,17-9, ,,1,17,9,8,411.0
5:00.0,M. Strus makes 3-pt jump shot from 26 ft (assist by J. Butler),20-9, ,,1,20,9,11,420.0
4:36.0, ,20-12,K. Johnson makes 3-pt jump shot from 26 ft (assist by K. Bates-Diop),,1,20,12,8,444.0
4:19.0,Personal foul by D. Vassell (drawn by B. Adebayo),20-12, ,,1,20,12,8,461.0
4:19.0,D. Dedmon enters the game for B. Adebayo,20-12, ,,1,20,12,8,461.0
4:19.0,D. Robinson enters the game for N. Jović,20-12, ,,1,20,12,8,461.0
4:19.0, ,20-12,D. McDermott enters the game for D. Vassell,,1,20,12,8,461.0
4:06.0,J. Butler misses 2-pt jump shot from 11 ft,20-12, ,,1,20,12,8,474.0
4:03.0, ,20-12,Defensive rebound by D. McDermott,,1,20,12,8,477.0
3:54.0, ,20-12,T. Jones misses 2-pt jump shot from 11 ft,,1,20,12,8,486.0
3:52.0, ,20-12,Offensive rebound by Z. Collins,,1,20,12,8,488.0
3:46.0, ,20-12,K. Bates-Diop misses 2-pt jump shot from 10 ft,,1,20,12,8,494.0
3:44.0, ,20-12,Offensive rebound by Z. Collins,,1,20,12,8,496.0
3:43.0, ,20-12,Turnover by Z. Collins (lost ball; steal by D. Robinson),,1,20,12,8,497.0
3:38.0,Turnover by V. Oladipo (bad pass; steal by T. Jones),20-12, ,,1,20,12,8,502.0
3:32.0,Loose ball foul by J. Butler (drawn by T. Jones),20-12, ,,1,20,12,8,508.0
3:32.0,T. Herro enters the game for J. Butler,20-12, ,,1,20,12,8,508.0
3:32.0,H. Highsmith enters the game for M. Strus,20-12, ,,1,20,12,8,508.0
3:32.0, ,20-12,M. Branham enters the game for T. Jones,,1,20,12,8,508.0
3:25.0, ,20-12,Shooting foul by V. Oladipo (drawn by K. Johnson),,1,20,12,8,515.0
3:25.0, ,20-13,K. Johnson makes free throw 1 of 2,,1,20,13,7,515.0
3:25.0, ,20-14,K. Johnson makes free throw 2 of 2,,1,20,14,6,515.0
3:12.0,Turnover by D. Dedmon (lost ball; steal by M. Branham),20-14, ,,1,20,14,6,528.0
3:08.0, ,20-14,Shooting foul by D. Robinson (drawn by K. Johnson),,1,20,14,6,532.0
3:08.0, ,20-15,K. Johnson makes free throw 1 of 2,,1,20,15,5,532.0
3:08.0, ,20-16,K. Johnson makes free throw 2 of 2,,1,20,16,4,532.0
2:57.0,V. Oladipo misses 2-pt layup from 2 ft (block by Z. Collins),20-16, ,,1,20,16,4,543.0
2:55.0, ,20-16,Defensive rebound by Team,,1,20,16,4,545.0
2:55.0,Miami full timeout,20-16, ,,1,20,16,4,545.0
2:37.0, ,20-19,K. Johnson makes 3-pt jump shot from 23 ft (assist by D. McDermott),,1,20,19,1,563.0
2:22.0,T. Herro misses 3-pt jump shot from 26 ft,20-19, ,,1,20,19,1,578.0
2:20.0, ,20-19,Defensive rebound by K. Johnson,,1,20,19,1,580.0
2:18.0, ,20-19,D. McDermott misses 3-pt jump shot from 28 ft,,1,20,19,1,582.0
2:11.0, ,20-19,Offensive rebound by K. Bates-Diop,,1,20,19,1,589.0
2:11.0, ,20-21,K. Bates-Diop makes 2-pt layup at rim,Lead change,1,20,21,-1,589.0
1:58.0,D. Dedmon misses 3-pt jump shot from 25 ft,20-21, ,,1,20,21,-1,602.0
1:55.0, ,20-21,Defensive rebound by D. McDermott,,1,20,21,-1,605.0
1:50.0, ,20-24,D. McDermott makes 3-pt jump shot from 29 ft (assist by K. Johnson),,1,20,24,-4,610.0
1:25.0,Turnover by V. Oladipo (bad pass; steal by M. Branham),20-24, ,,1,20,24,-4,635.0
1:25.0, ,20-24,Personal foul by D. Dedmon (drawn by M. Branham),,1,20,24,-4,635.0
1:25.0, ,20-25,M. Branham makes free throw 1 of 1,,1,20,25,-5,635.0
1:25.0,B. Adebayo enters the game for D. Dedmon,20-25, ,,1,20,25,-5,635.0
1:25.0, ,20-25,J. Sochan enters the game for K. Bates-Diop,,1,20,25,-5,635.0
1:25.0, ,20-25,D. Vassell enters the game for K. Johnson,,1,20,25,-5,635.0
1:12.0, ,20-28,D. McDermott makes 3-pt jump shot from 27 ft (assist by D. Vassell),,1,20,28,-8,648.0
0:51.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by T. Herro),23-28, ,,1,23,28,-5,669.0
0:42.0, ,23-28,Turnover by D. Vassell (bad pass; steal by B. Adebayo),,1,23,28,-5,678.0
0:26.0,V. Oladipo misses 3-pt jump shot from 25 ft,23-28, ,,1,23,28,-5,694.0
0:26.0, ,23-28,Defensive rebound by J. Sochan,,1,23,28,-5,694.0
0:26.0, ,23-28,Personal foul by H. Highsmith (drawn by J. Sochan),,1,23,28,-5,694.0
0:26.0, ,23-28,J. Sochan misses free throw 1 of 2,,1,23,28,-5,694.0
0:26.0, ,23-28,Offensive rebound by Team,,1,23,28,-5,694.0
0:26.0, ,23-28,K. Bates-Diop enters the game for M. Branham,,1,23,28,-5,694.0
0:26.0, ,23-28,T. Jones enters the game for D. McDermott,,1,23,28,-5,694.0
0:26.0, ,23-28,J. Sochan misses free throw 2 of 2,,1,23,28,-5,694.0
0:24.0,Defensive rebound by Team,23-28, ,,1,23,28,-5,696.0
0:06.0,Shooting foul by J. Sochan (drawn by T. Herro),23-28, ,,1,23,28,-5,714.0
0:06.0,T. Herro makes free throw 1 of 2,24-28, ,,1,24,28,-4,714.0
0:06.0, ,24-28,D. McDermott enters the game for K. Bates-Diop,,1,24,28,-4,714.0
0:06.0,T. Herro makes free throw 2 of 2,25-28, ,,1,25,28,-3,714.0
0:06.0, ,25-28,M. Branham enters the game for Z. Collins,,1,25,28,-3,714.0
0:00.0, ,25-28,D. Vassell misses 3-pt jump shot from 24 ft,,1,25,28,-3,720.0
0:00.0, ,25-28,Offensive rebound by Team,,1,25,28,-3,720.0
0:00.0,End of 1st quarter,25-28,,,1,25,28,-3,720.0
12:00.0,Start of 2nd quarter,25-28,,,2,25,28,-3,720.0
12:00.0, ,25-28,Violation by Team (delay of game),,2,25,28,-3,720.0
12:00.0, ,25-28,J. Poeltl enters the game for T. Jones,,2,25,28,-3,720.0
11:44.0, ,25-28,J. Sochan misses 2-pt layup from 5 ft,,2,25,28,-3,736.0
11:42.0,Defensive rebound by B. Adebayo,25-28, ,,2,25,28,-3,738.0
11:26.0,D. Robinson misses 3-pt jump shot from 23 ft,25-28, ,,2,25,28,-3,754.0
11:24.0, ,25-28,Defensive rebound by D. McDermott,,2,25,28,-3,756.0
11:18.0, ,25-28,J. Poeltl misses 2-pt layup from 3 ft (block by H. Highsmith),,2,25,28,-3,762.0
11:18.0, ,25-28,Offensive rebound by Team,,2,25,28,-3,762.0
11:13.0, ,25-28,D. Vassell misses 3-pt jump shot from 26 ft,,2,25,28,-3,767.0
11:13.0,Defensive rebound by Team,25-28, ,,2,25,28,-3,767.0
10:59.0,B. Adebayo misses 2-pt hook shot from 6 ft,25-28, ,,2,25,28,-3,781.0
10:57.0, ,25-28,Defensive rebound by D. Vassell,,2,25,28,-3,783.0
10:52.0, ,25-28,Personal foul by D. Robinson (drawn by J. Sochan),,2,25,28,-3,788.0
10:43.0, ,25-28,J. Poeltl misses 2-pt hook shot from 9 ft,,2,25,28,-3,797.0
10:41.0,Defensive rebound by D. Robinson,25-28, ,,2,25,28,-3,799.0
10:35.0,B. Adebayo makes 2-pt dunk at rim (assist by T. Herro),27-28, ,,2,27,28,-1,805.0
10:21.0, ,27-28,D. McDermott misses 2-pt jump shot from 4 ft,,2,27,28,-1,819.0
10:19.0,Defensive rebound by D. Robinson,27-28, ,,2,27,28,-1,821.0
10:16.0,Personal foul by J. Sochan (drawn by B. Adebayo),27-28, ,,2,27,28,-1,824.0
10:16.0, ,27-28,K. Bates-Diop enters the game for M. Branham,,2,27,28,-1,824.0
10:16.0, ,27-28,T. Jones enters the game for J. Sochan,,2,27,28,-1,824.0
10:04.0,B. Adebayo makes 2-pt layup from 1 ft (assist by V. Oladipo),29-28, ,Lead change,2,29,28,1,836.0
9:49.0, ,29-28,D. McDermott misses 3-pt jump shot from 26 ft,,2,29,28,1,851.0
9:46.0,Defensive rebound by H. Highsmith,29-28, ,,2,29,28,1,854.0
9:43.0,D. Robinson misses 3-pt jump shot from 25 ft,29-28, ,,2,29,28,1,857.0
9:43.0, ,29-28,Defensive rebound by J. Poeltl,,2,29,28,1,857.0
9:30.0, ,29-28,T. Jones misses 3-pt jump shot from 27 ft,,2,29,28,1,870.0
9:28.0,Defensive rebound by B. Adebayo,29-28, ,,2,29,28,1,872.0
9:21.0,B. Adebayo misses 2-pt jump shot from 13 ft,29-28, ,,2,29,28,1,879.0
9:18.0, ,29-28,Defensive rebound by T. Jones,,2,29,28,1,882.0
9:07.0, ,29-28,Shooting foul by B. Adebayo (drawn by D. Vassell),,2,29,28,1,893.0
9:07.0, ,29-29,D. Vassell makes free throw 1 of 2,Tie,2,29,29,0,893.0
9:07.0, ,29-29,D. Vassell misses free throw 2 of 2,,2,29,29,0,893.0
9:05.0,Defensive rebound by B. Adebayo,29-29, ,,2,29,29,0,895.0
8:52.0,Shooting foul by J. Poeltl (drawn by H. Highsmith),29-29, ,,2,29,29,0,908.0
8:52.0,H. Highsmith misses free throw 1 of 2,29-29, ,,2,29,29,0,908.0
8:52.0,Offensive rebound by Team,29-29, ,,2,29,29,0,908.0
8:52.0,H. Highsmith makes free throw 2 of 2,30-29, ,,2,30,29,1,908.0
8:37.0, ,30-31,J. Poeltl makes 2-pt dunk from 1 ft (assist by T. Jones),Lead change,2,30,31,-1,923.0
8:25.0,B. Adebayo makes 2-pt jump shot from 8 ft (assist by T. Herro),32-31, ,Lead change,2,32,31,1,935.0
8:20.0, ,32-31,Personal foul by V. Oladipo (drawn by J. Poeltl),,2,32,31,1,940.0
8:07.0, ,32-31,T. Jones misses 2-pt layup from 3 ft,,2,32,31,1,953.0
8:07.0, ,32-31,Offensive rebound by J. Poeltl,,2,32,31,1,953.0
8:07.0, ,32-31,Shooting foul by D. Robinson (drawn by J. Poeltl),,2,32,31,1,953.0
8:07.0, ,32-31,J. Poeltl misses free throw 1 of 2,,2,32,31,1,953.0
8:07.0, ,32-31,Offensive rebound by Team,,2,32,31,1,953.0
8:07.0,J. Butler enters the game for V. Oladipo,32-31, ,,2,32,31,1,953.0
8:07.0,M. Strus enters the game for D. Robinson,32-31, ,,2,32,31,1,953.0
8:07.0, ,32-32,J. Poeltl makes free throw 2 of 2,Tie,2,32,32,0,953.0
7:57.0,Turnover by T. Herro (bad pass; steal by J. Poeltl),32-32, ,,2,32,32,0,963.0
7:52.0, ,32-32,Turnover by J. Poeltl (bad pass; steal by J. Butler),,2,32,32,0,968.0
7:48.0,J. Butler misses 2-pt layup from 2 ft,32-32, ,,2,32,32,0,972.0
7:42.0,Offensive rebound by J. Butler,32-32, ,,2,32,32,0,978.0
7:42.0,J. Butler makes 2-pt dunk at rim,34-32, ,,2,34,32,2,978.0
7:34.0, ,34-32,San Antonio full timeout,,2,34,32,2,986.0
7:34.0, ,34-32,K. Johnson enters the game for D. McDermott,,2,34,32,2,986.0
7:26.0, ,34-32,K. Johnson misses 2-pt jump shot from 13 ft,,2,34,32,2,994.0
7:23.0,Defensive rebound by H. Highsmith,34-32, ,,2,34,32,2,997.0
7:08.0,B. Adebayo makes 2-pt layup from 2 ft,36-32, ,,2,36,32,4,1012.0
6:44.0, ,36-32,T. Jones misses 2-pt jump shot from 11 ft,,2,36,32,4,1036.0
6:42.0,Defensive rebound by T. Herro,36-32, ,,2,36,32,4,1038.0
6:41.0,Turnover by T. Herro (bad pass),36-32, ,,2,36,32,4,1039.0
6:41.0, ,36-32,M. Branham enters the game for D. Vassell,,2,36,32,4,1039.0
6:20.0, ,36-34,J. Poeltl makes 2-pt jump shot from 7 ft (assist by T. Jones),,2,36,34,2,1060.0
6:07.0,T. Herro misses 2-pt jump shot from 8 ft,36-34, ,,2,36,34,2,1073.0
6:03.0,Offensive rebound by B. Adebayo,36-34, ,,2,36,34,2,1077.0
6:03.0,B. Adebayo misses 2-pt layup at rim,36-34, ,,2,36,34,2,1077.0
6:02.0, ,36-34,Defensive rebound by J. Poeltl,,2,36,34,2,1078.0
6:02.0,D. Dedmon enters the game for B. Adebayo,36-34, ,,2,36,34,2,1078.0
6:02.0,V. Oladipo enters the game for T. Herro,36-34, ,,2,36,34,2,1078.0
6:02.0, ,36-34,Z. Collins enters the game for T. Jones,,2,36,34,2,1078.0
6:02.0, ,36-34,J. Sochan enters the game for J. Poeltl,,2,36,34,2,1078.0
5:53.0, ,36-37,M. Branham makes 3-pt jump shot from 26 ft (assist by Z. Collins),Lead change,2,36,37,-1,1087.0
5:32.0,D. Dedmon makes 2-pt hook shot from 3 ft (assist by M. Strus),38-37, ,Lead change,2,38,37,1,1108.0
5:18.0, ,38-37,Turnover by Z. Collins (bad pass; steal by V. Oladipo),,2,38,37,1,1122.0
5:03.0,M. Strus makes 2-pt layup from 2 ft (assist by J. Butler),40-37, ,,2,40,37,3,1137.0
4:43.0, ,40-39,K. Johnson makes 2-pt layup from 2 ft (assist by Z. Collins),,2,40,39,1,1157.0
4:22.0,V. Oladipo makes 2-pt jump shot from 13 ft,42-39, ,,2,42,39,3,1178.0
4:04.0, ,42-41,K. Bates-Diop makes 2-pt layup from 1 ft (assist by J. Sochan),,2,42,41,1,1196.0
3:55.0,Miami full timeout,42-41, ,,2,42,41,1,1205.0
3:55.0,T. Herro enters the game for H. Highsmith,42-41, ,,2,42,41,1,1205.0
3:55.0, ,42-41,D. McDermott enters the game for K. Bates-Diop,,2,42,41,1,1205.0
3:38.0,T. Herro misses 2-pt jump shot from 4 ft,42-41, ,,2,42,41,1,1222.0
3:37.0,Offensive rebound by D. Dedmon,42-41, ,,2,42,41,1,1223.0
3:37.0,D. Dedmon misses 2-pt layup from 2 ft (block by D. McDermott),42-41, ,,2,42,41,1,1223.0
3:37.0,Offensive rebound by Team,42-41, ,,2,42,41,1,1223.0
3:34.0,M. Strus misses 3-pt jump shot from 24 ft,42-41, ,,2,42,41,1,1226.0
3:32.0, ,42-41,Defensive rebound by Z. Collins,,2,42,41,1,1228.0
3:23.0, ,42-43,Z. Collins makes 2-pt layup from 3 ft (assist by J. Sochan),Lead change,2,42,43,-1,1237.0
3:11.0,J. Butler makes 2-pt jump shot from 2 ft,44-43, ,Lead change,2,44,43,1,1249.0
3:11.0,Shooting foul by J. Sochan (drawn by J. Butler),44-43, ,,2,44,43,1,1249.0
3:11.0, ,44-43,T. Jones enters the game for J. Sochan,,2,44,43,1,1249.0
3:11.0,J. Butler misses free throw 1 of 1,44-43, ,,2,44,43,1,1249.0
3:02.0, ,44-43,Defensive rebound by D. McDermott,,2,44,43,1,1258.0
2:57.0, ,44-46,Z. Collins makes 3-pt jump shot from 27 ft (assist by T. Jones),Lead change,2,44,46,-2,1263.0
2:40.0,J. Butler misses 3-pt jump shot from 23 ft,44-46, ,,2,44,46,-2,1280.0
2:37.0, ,44-46,Defensive rebound by T. Jones,,2,44,46,-2,1283.0
2:33.0, ,44-49,K. Johnson makes 3-pt jump shot from 24 ft (assist by T. Jones),,2,44,49,-5,1287.0
2:12.0,J. Butler makes 2-pt jump shot from 20 ft (assist by D. Dedmon),46-49, ,,2,46,49,-3,1308.0
1:54.0, ,46-49,D. McDermott misses 3-pt jump shot from 23 ft (block by J. Butler),,2,46,49,-3,1326.0
1:51.0,Defensive rebound by T. Herro,46-49, ,,2,46,49,-3,1329.0
1:46.0,Shooting foul by Z. Collins (drawn by D. Dedmon),46-49, ,,2,46,49,-3,1334.0
1:46.0,D. Dedmon makes free throw 1 of 2,47-49, ,,2,47,49,-2,1334.0
1:46.0, ,47-49,D. Vassell enters the game for M. Branham,,2,47,49,-2,1334.0
1:46.0,D. Dedmon misses free throw 2 of 2,47-49, ,,2,47,49,-2,1334.0
1:44.0, ,47-49,Defensive rebound by K. Johnson,,2,47,49,-2,1336.0
1:34.0, ,47-49,Shooting foul by T. Herro (drawn by K. Johnson),,2,47,49,-2,1346.0
1:34.0, ,47-50,K. Johnson makes free throw 1 of 2,,2,47,50,-3,1346.0
1:34.0,B. Adebayo enters the game for D. Dedmon,47-50, ,,2,47,50,-3,1346.0
1:34.0, ,47-51,K. Johnson makes free throw 2 of 2,,2,47,51,-4,1346.0
1:14.0,T. Herro misses 3-pt jump shot from 23 ft,47-51, ,,2,47,51,-4,1366.0
1:09.0,Offensive rebound by B. Adebayo,47-51, ,,2,47,51,-4,1371.0
1:09.0,B. Adebayo makes 2-pt dunk at rim,49-51, ,,2,49,51,-2,1371.0
0:52.0, ,49-51,Shooting foul by M. Strus (drawn by Z. Collins),,2,49,51,-2,1388.0
0:52.0, ,49-52,Z. Collins makes free throw 1 of 2,,2,49,52,-3,1388.0
0:52.0, ,49-53,Z. Collins makes free throw 2 of 2,,2,49,53,-4,1388.0
