Time,Oklahoma City,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: E. Omoruyi vs. O. Robinson (G. Vincent gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-0,J. Butler misses 2-pt jump shot from 13 ft,,1,0,0,0,20.0
11:35.0,Defensive rebound by J. Giddey,0-0, ,,1,0,0,0,25.0
11:30.0,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft,0-0, ,,1,0,0,0,30.0
11:27.0, ,0-0,Defensive rebound by J. Butler,,1,0,0,0,33.0
11:20.0, ,0-3,M. Strus makes 3-pt jump shot from 24 ft (assist by G. Vincent),,1,3,0,3,40.0
11:06.0,J. Giddey misses 2-pt jump shot from 11 ft,0-3, ,,1,3,0,3,54.0
11:01.0,Offensive rebound by J. Giddey,0-3, ,,1,3,0,3,59.0
10:55.0,E. Omoruyi makes 2-pt layup from 1 ft (assist by J. Giddey),2-3, ,,1,3,2,1,65.0
10:39.0, ,2-5,O. Robinson makes 2-pt hook shot from 4 ft,,1,5,2,3,81.0
10:23.0,J. Williams makes 2-pt dunk from 1 ft (assist by E. Omoruyi),4-5, ,,1,5,4,1,97.0
10:06.0, ,4-7,M. Strus makes 2-pt layup from 4 ft (assist by G. Vincent),,1,7,4,3,114.0
9:57.0,L. Dort misses 3-pt jump shot from 25 ft,4-7, ,,1,7,4,3,123.0
9:52.0, ,4-7,Defensive rebound by G. Vincent,,1,7,4,3,128.0
9:40.0, ,4-7,G. Vincent misses 3-pt jump shot from 25 ft,,1,7,4,3,140.0
9:37.0, ,4-7,Offensive rebound by H. Highsmith,,1,7,4,3,143.0
9:35.0, ,4-7,M. Strus misses 3-pt jump shot from 26 ft,,1,7,4,3,145.0
9:31.0, ,4-7,Offensive rebound by H. Highsmith,,1,7,4,3,149.0
9:29.0, ,4-9,H. Highsmith makes 2-pt layup from 2 ft,,1,9,4,5,151.0
9:17.0,L. Dort makes 2-pt layup from 2 ft (assist by J. Giddey),6-9, ,,1,9,6,3,163.0
9:07.0, ,6-9,Personal foul by E. Omoruyi (drawn by J. Butler),,1,9,6,3,173.0
8:55.0, ,6-11,G. Vincent makes 2-pt layup from 2 ft (assist by J. Butler),,1,11,6,5,185.0
8:44.0,Turnover by J. Giddey (bad pass; steal by O. Robinson),6-11, ,,1,11,6,5,196.0
8:38.0, ,6-13,J. Butler makes 2-pt layup from 1 ft,,1,13,6,7,202.0
8:25.0,E. Omoruyi makes 2-pt layup from 2 ft (assist by J. Williams),8-13, ,,1,13,8,5,215.0
8:02.0, ,8-13,G. Vincent misses 2-pt jump shot from 8 ft,,1,13,8,5,238.0
8:00.0,Defensive rebound by J. Giddey,8-13, ,,1,13,8,5,240.0
7:57.0,Offensive foul by J. Williams (drawn by M. Strus),8-13, ,,1,13,8,5,243.0
7:57.0,Turnover by J. Williams (offensive foul),8-13, ,,1,13,8,5,243.0
7:42.0, ,8-13,Turnover by H. Highsmith (bad pass; steal by S. Gilgeous-Alexander),,1,13,8,5,258.0
7:38.0,J. Giddey makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),10-13, ,,1,13,10,3,262.0
7:38.0, ,10-13,Violation by Team (def goaltending),,1,13,10,3,262.0
7:24.0, ,10-15,J. Butler makes 2-pt layup from 2 ft (assist by M. Strus),,1,15,10,5,276.0
7:24.0, ,10-15,Shooting foul by L. Dort (drawn by J. Butler),,1,15,10,5,276.0
7:24.0, ,10-16,J. Butler makes free throw 1 of 1,,1,16,10,6,276.0
7:15.0,L. Dort misses 2-pt layup from 2 ft (block by J. Butler),10-16, ,,1,16,10,6,285.0
7:10.0, ,10-16,Defensive rebound by O. Robinson,,1,16,10,6,290.0
7:00.0, ,10-16,H. Highsmith misses 3-pt jump shot from 23 ft,,1,16,10,6,300.0
6:58.0,Defensive rebound by J. Giddey,10-16, ,,1,16,10,6,302.0
6:45.0,S. Gilgeous-Alexander misses 2-pt jump shot from 6 ft (block by J. Butler),10-16, ,,1,16,10,6,315.0
6:44.0,Offensive rebound by Team,10-16, ,,1,16,10,6,316.0
6:34.0,J. Giddey misses 2-pt jump shot from 3 ft,10-16, ,,1,16,10,6,326.0
6:32.0,Offensive rebound by J. Giddey,10-16, ,,1,16,10,6,328.0
6:27.0,J. Giddey makes 2-pt jump shot from 10 ft,12-16, ,,1,16,12,4,333.0
6:09.0, ,12-16,Turnover by O. Robinson (traveling),,1,16,12,4,351.0
6:09.0, ,12-16,J. Cain enters the game for M. Strus,,1,16,12,4,351.0
6:09.0, ,12-16,V. Oladipo enters the game for G. Vincent,,1,16,12,4,351.0
6:00.0,Shooting foul by H. Highsmith (drawn by S. Gilgeous-Alexander),12-16, ,,1,16,12,4,360.0
6:00.0,S. Gilgeous-Alexander misses free throw 1 of 2,12-16, ,,1,16,12,4,360.0
6:00.0,Offensive rebound by Team,12-16, ,,1,16,12,4,360.0
6:00.0,S. Gilgeous-Alexander makes free throw 2 of 2,13-16, ,,1,16,13,3,360.0
5:39.0, ,13-16,J. Cain misses 3-pt jump shot from 23 ft,,1,16,13,3,381.0
5:37.0,Defensive rebound by S. Gilgeous-Alexander,13-16, ,,1,16,13,3,383.0
5:29.0,Turnover by S. Gilgeous-Alexander (lost ball; steal by J. Butler),13-16, ,,1,16,13,3,391.0
5:23.0, ,13-18,V. Oladipo makes 2-pt layup from 2 ft (assist by J. Butler),,1,18,13,5,397.0
5:19.0,Shooting foul by H. Highsmith (drawn by L. Dort),13-18, ,,1,18,13,5,401.0
5:19.0,L. Dort misses free throw 1 of 2,13-18, ,,1,18,13,5,401.0
5:19.0,Offensive rebound by Team,13-18, ,,1,18,13,5,401.0
5:19.0,I. Joe enters the game for J. Giddey,13-18, ,,1,18,13,5,401.0
5:19.0,K. Williams enters the game for E. Omoruyi,13-18, ,,1,18,13,5,401.0
5:19.0, ,13-18,M. Strus enters the game for H. Highsmith,,1,18,13,5,401.0
5:19.0,L. Dort makes free throw 2 of 2,14-18, ,,1,18,14,4,401.0
5:04.0, ,14-18,V. Oladipo misses 3-pt jump shot from 25 ft,,1,18,14,4,416.0
5:02.0,Defensive rebound by K. Williams,14-18, ,,1,18,14,4,418.0
4:58.0,I. Joe makes 3-pt jump shot from 25 ft (assist by J. Williams),17-18, ,,1,18,17,1,422.0
