Time,Orlando,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: W. Carter vs. B. Adebayo (G. Vincent gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-2,T. Herro makes 2-pt jump shot from 17 ft (assist by B. Adebayo),,1,2,0,2,19.0
11:26.0,C. Houstan makes 3-pt jump shot from 24 ft (assist by J. Suggs),3-2, ,Lead change,1,2,3,-1,34.0
11:13.0, ,3-2,M. Strus misses 2-pt jump shot from 9 ft,,1,2,3,-1,47.0
11:10.0,Defensive rebound by W. Carter,3-2, ,,1,2,3,-1,50.0
11:05.0,M. Fultz makes 2-pt layup from 7 ft,5-2, ,,1,2,5,-3,55.0
10:52.0, ,5-4,B. Adebayo makes 2-pt jump shot from 15 ft (assist by T. Herro),,1,4,5,-1,68.0
10:42.0,F. Wagner makes 2-pt hook shot from 5 ft (assist by W. Carter),7-4, ,,1,4,7,-3,78.0
10:20.0, ,7-6,T. Herro makes 2-pt jump shot from 8 ft,,1,6,7,-1,100.0
10:06.0,J. Suggs misses 3-pt jump shot from 26 ft,7-6, ,,1,6,7,-1,114.0
10:02.0, ,7-6,Defensive rebound by B. Adebayo,,1,6,7,-1,118.0
9:55.0, ,7-6,Turnover by T. Herro (lost ball; steal by W. Carter),,1,6,7,-1,125.0
9:50.0,F. Wagner makes 2-pt layup from 4 ft (assist by M. Fultz),9-6, ,,1,6,9,-3,130.0
9:35.0, ,9-6,M. Strus misses 3-pt jump shot from 27 ft,,1,6,9,-3,145.0
9:32.0,Defensive rebound by J. Suggs,9-6, ,,1,6,9,-3,148.0
9:27.0,W. Carter misses 3-pt jump shot from 27 ft,9-6, ,,1,6,9,-3,153.0
9:24.0, ,9-6,Defensive rebound by H. Highsmith,,1,6,9,-3,156.0
9:12.0, ,9-6,Turnover by H. Highsmith (bad pass; steal by F. Wagner),,1,6,9,-3,168.0
9:05.0,Shooting foul by H. Highsmith (drawn by F. Wagner),9-6, ,,1,6,9,-3,175.0
9:05.0,F. Wagner makes free throw 1 of 2,10-6, ,,1,6,10,-4,175.0
9:05.0, ,10-6,U. Haslem enters the game for H. Highsmith,,1,6,10,-4,175.0
9:05.0,F. Wagner makes free throw 2 of 2,11-6, ,,1,6,11,-5,175.0
8:48.0, ,11-8,B. Adebayo makes 2-pt jump shot from 7 ft,,1,8,11,-3,192.0
8:29.0,W. Carter misses 3-pt jump shot from 26 ft,11-8, ,,1,8,11,-3,211.0
8:26.0, ,11-8,Defensive rebound by M. Strus,,1,8,11,-3,214.0
8:23.0, ,11-8,Turnover by T. Herro (bad pass; steal by F. Wagner),,1,8,11,-3,217.0
8:20.0,Shooting foul by M. Strus (drawn by F. Wagner),11-8, ,,1,8,11,-3,220.0
8:20.0,F. Wagner makes free throw 1 of 2,12-8, ,,1,8,12,-4,220.0
8:20.0,F. Wagner makes free throw 2 of 2,13-8, ,,1,8,13,-5,220.0
8:11.0, ,13-8,T. Herro misses 3-pt jump shot from 25 ft,,1,8,13,-5,229.0
8:07.0,Defensive rebound by F. Wagner,13-8, ,,1,8,13,-5,233.0
8:00.0,J. Suggs makes 3-pt jump shot from 26 ft (assist by F. Wagner),16-8, ,,1,8,16,-8,240.0
7:48.0, ,16-10,G. Vincent makes 2-pt layup from 3 ft,,1,10,16,-6,252.0
7:48.0, ,16-10,Shooting foul by J. Suggs (drawn by G. Vincent),,1,10,16,-6,252.0
7:48.0, ,16-10,G. Vincent misses free throw 1 of 1,,1,10,16,-6,252.0
7:46.0,Defensive rebound by W. Carter,16-10, ,,1,10,16,-6,254.0
7:31.0,Turnover by J. Suggs (bad pass; steal by B. Adebayo),16-10, ,,1,10,16,-6,269.0
