Time,Miami,Score,New Orleans,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Valančiūnas (C. Martin gains possession),0-0,,,1,0,0,0,0.0
11:42.0,B. Adebayo misses 2-pt hook shot from 6 ft,0-0, ,,1,0,0,0,18.0
11:38.0, ,0-0,Defensive rebound by N. Marshall,,1,0,0,0,22.0
11:23.0, ,0-0,T. Murphy misses 3-pt jump shot from 24 ft,,1,0,0,0,37.0
11:22.0,Defensive rebound by Team,0-0, ,,1,0,0,0,38.0
10:58.0,C. Martin misses 2-pt layup from 2 ft,0-0, ,,1,0,0,0,62.0
10:56.0, ,0-0,Defensive rebound by J. Valančiūnas,,1,0,0,0,64.0
10:44.0, ,0-0,Turnover by J. Valančiūnas (lost ball; steal by K. Lowry),,1,0,0,0,76.0
10:37.0,K. Lowry makes 2-pt layup from 2 ft,2-0, ,,1,2,0,2,83.0
10:22.0, ,2-2,T. Murphy makes 2-pt dunk at rim (assist by N. Marshall),Tie,1,2,2,0,98.0
10:07.0,T. Herro makes 2-pt jump shot from 11 ft,4-2, ,,1,4,2,2,113.0
9:56.0, ,4-2,C. McCollum misses 3-pt jump shot from 27 ft,,1,4,2,2,124.0
9:52.0,Defensive rebound by T. Herro,4-2, ,,1,4,2,2,128.0
9:49.0,K. Lowry makes 2-pt layup from 4 ft,6-2, ,,1,6,2,4,131.0
9:49.0,Shooting foul by N. Marshall (drawn by K. Lowry),6-2, ,,1,6,2,4,131.0
9:49.0,K. Lowry misses free throw 1 of 1,6-2, ,,1,6,2,4,131.0
9:46.0, ,6-2,Defensive rebound by J. Valančiūnas,,1,6,2,4,134.0
9:40.0, ,6-2,Personal foul by J. Butler (drawn by T. Murphy),,1,6,2,4,140.0
9:34.0, ,6-2,D. Daniels misses 2-pt hook shot from 5 ft,,1,6,2,4,146.0
9:29.0, ,6-2,Offensive rebound by J. Valančiūnas,,1,6,2,4,151.0
9:29.0, ,6-4,J. Valančiūnas makes 2-pt layup at rim,,1,6,4,2,151.0
