Time,New Orleans,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
11:19.0, ,72-71,G. Vincent misses 3-pt jump shot from 24 ft,,4,71,72,-1,2201.0
11:15.0, ,72-71,Offensive rebound by B. Adebayo,,4,71,72,-1,2205.0
11:13.0, ,72-71,C. Martin misses 3-pt jump shot from 23 ft,,4,71,72,-1,2207.0
11:12.0, ,72-71,Offensive rebound by M. Strus,,4,71,72,-1,2208.0
11:00.0, ,72-73,B. Adebayo makes 2-pt dunk from 1 ft (assist by V. Oladipo),Lead change,4,73,72,1,2220.0
10:39.0,H. Jones makes 2-pt layup from 2 ft (assist by J. Valančiūnas),74-73, ,Lead change,4,73,74,-1,2241.0
10:20.0, ,74-73,V. Oladipo misses 2-pt jump shot from 6 ft,,4,73,74,-1,2260.0
10:18.0,Defensive rebound by H. Jones,74-73, ,,4,73,74,-1,2262.0
10:03.0,Personal foul by M. Strus (drawn by J. Alvarado),74-73, ,,4,73,74,-1,2277.0
9:54.0,Turnover by J. Hayes (lost ball),74-73, ,,4,73,74,-1,2286.0
9:54.0,Loose ball foul by J. Hayes (drawn by V. Oladipo),74-73, ,,4,73,74,-1,2286.0
9:46.0, ,74-73,Personal foul by J. Valančiūnas (drawn by B. Adebayo),,4,73,74,-1,2294.0
9:34.0, ,74-76,G. Vincent makes 3-pt jump shot from 23 ft (assist by V. Oladipo),Lead change,4,76,74,2,2306.0
9:08.0,C. McCollum misses 2-pt jump shot from 3 ft,74-76, ,,4,76,74,2,2332.0
9:04.0,Offensive rebound by J. Valančiūnas,74-76, ,,4,76,74,2,2336.0
9:03.0,J. Valančiūnas misses 2-pt layup at rim,74-76, ,,4,76,74,2,2337.0
9:03.0, ,74-76,Defensive rebound by G. Vincent,,4,76,74,2,2337.0
8:54.0, ,74-76,G. Vincent misses 3-pt jump shot from 26 ft,,4,76,74,2,2346.0
8:51.0,Defensive rebound by H. Jones,74-76, ,,4,76,74,2,2349.0
8:45.0,Turnover by J. Hayes (bad pass),74-76, ,,4,76,74,2,2355.0
8:45.0,L. Nance enters the game for J. Valančiūnas,74-76, ,,4,76,74,2,2355.0
8:34.0, ,74-76,C. Martin misses 3-pt jump shot from 26 ft,,4,76,74,2,2366.0
8:32.0, ,74-76,Offensive rebound by M. Strus,,4,76,74,2,2368.0
8:31.0, ,74-76,M. Strus misses 2-pt layup at rim,,4,76,74,2,2369.0
8:31.0, ,74-76,Offensive rebound by M. Strus,,4,76,74,2,2369.0
8:27.0, ,74-76,Personal foul by C. McCollum (drawn by C. Martin),,4,76,74,2,2373.0
8:27.0,T. Murphy enters the game for J. Hayes,74-76, ,,4,76,74,2,2373.0
8:16.0, ,74-76,Turnover by G. Vincent (bad pass; steal by L. Nance),,4,76,74,2,2384.0
8:00.0,L. Nance makes 2-pt hook shot from 5 ft (assist by J. Alvarado),76-76, ,Tie,4,76,76,0,2400.0
7:50.0, ,76-76,Turnover by B. Adebayo (lost ball; steal by L. Nance),,4,76,76,0,2410.0
7:47.0,Shooting foul by V. Oladipo (drawn by H. Jones),76-76, ,,4,76,76,0,2413.0
7:47.0,H. Jones makes free throw 1 of 2,77-76, ,Lead change,4,76,77,-1,2413.0
7:47.0,H. Jones makes free throw 2 of 2,78-76, ,,4,76,78,-2,2413.0
7:29.0, ,78-76,M. Strus misses 3-pt jump shot from 26 ft,,4,76,78,-2,2431.0
7:26.0,Defensive rebound by L. Nance,78-76, ,,4,76,78,-2,2434.0
7:03.0,L. Nance misses 2-pt hook shot from 9 ft,78-76, ,,4,76,78,-2,2457.0
7:02.0, ,78-76,Defensive rebound by C. Martin,,4,76,78,-2,2458.0
6:58.0, ,78-78,V. Oladipo makes 2-pt layup from 2 ft,Tie,4,78,78,0,2462.0
6:58.0, ,78-78,Shooting foul by J. Alvarado (drawn by V. Oladipo),,4,78,78,0,2462.0
6:58.0, ,78-78,Miami full timeout,,4,78,78,0,2462.0
6:58.0,D. Daniels enters the game for H. Jones,78-78, ,,4,78,78,0,2462.0
6:58.0, ,78-78,T. Herro enters the game for M. Strus,,4,78,78,0,2462.0
6:58.0, ,78-78,V. Oladipo misses free throw 1 of 1,,4,78,78,0,2462.0
6:55.0,Defensive rebound by D. Daniels,78-78, ,,4,78,78,0,2465.0
6:43.0,Turnover by J. Alvarado (bad pass; steal by B. Adebayo),78-78, ,,4,78,78,0,2477.0
6:37.0, ,78-81,T. Herro makes 3-pt jump shot from 25 ft (assist by B. Adebayo),Lead change,4,81,78,3,2483.0
6:37.0,H. Jones enters the game for J. Alvarado,78-81, ,,4,81,78,3,2483.0
6:37.0, ,78-81,J. Butler enters the game for C. Martin,,4,81,78,3,2483.0
6:21.0,C. McCollum misses 2-pt jump shot from 20 ft,78-81, ,,4,81,78,3,2499.0
6:19.0, ,78-81,Defensive rebound by J. Butler,,4,81,78,3,2501.0
6:06.0, ,78-81,Turnover by T. Herro (bad pass; steal by L. Nance),,4,81,78,3,2514.0
6:04.0,Shooting foul by V. Oladipo (drawn by D. Daniels),78-81, ,,4,81,78,3,2516.0
6:04.0,D. Daniels makes free throw 1 of 2,79-81, ,,4,81,79,2,2516.0
6:04.0,D. Daniels makes free throw 2 of 2,80-81, ,,4,81,80,1,2516.0
5:49.0, ,80-81,T. Herro misses 2-pt layup from 4 ft,,4,81,80,1,2531.0
5:47.0,Defensive rebound by L. Nance,80-81, ,,4,81,80,1,2533.0
5:35.0,Personal foul by G. Vincent (drawn by D. Daniels),80-81, ,,4,81,80,1,2545.0
5:35.0, ,80-81,K. Lowry enters the game for G. Vincent,,4,81,80,1,2545.0
5:26.0,L. Nance makes 2-pt hook shot from 5 ft (assist by H. Jones),82-81, ,Lead change,4,81,82,-1,2554.0
5:02.0, ,82-84,T. Herro makes 3-pt jump shot from 23 ft (assist by J. Butler),Lead change,4,84,82,2,2578.0
4:41.0,D. Daniels makes 2-pt layup from 1 ft,84-84, ,Tie,4,84,84,0,2599.0
4:24.0, ,84-84,Shooting foul by T. Murphy (drawn by J. Butler),,4,84,84,0,2616.0
4:24.0, ,84-85,J. Butler makes free throw 1 of 2,,4,85,84,1,2616.0
4:24.0, ,84-86,J. Butler makes free throw 2 of 2,,4,86,84,2,2616.0
4:08.0,Turnover by H. Jones (bad pass),84-86, ,,4,86,84,2,2632.0
3:49.0, ,84-88,B. Adebayo makes 2-pt hook shot from 3 ft (assist by K. Lowry),,4,88,84,4,2651.0
3:49.0,New Orleans full timeout,84-88, ,,4,88,84,4,2651.0
3:31.0,Turnover by C. McCollum (bad pass; steal by J. Butler),84-88, ,,4,88,84,4,2669.0
3:26.0, ,84-88,Turnover by T. Herro (lost ball; steal by D. Daniels),,4,88,84,4,2674.0
3:23.0,D. Daniels makes 2-pt layup from 3 ft,86-88, ,,4,88,86,2,2677.0
3:03.0, ,86-91,K. Lowry makes 3-pt jump shot from 26 ft,,4,91,86,5,2697.0
2:44.0,H. Jones makes 2-pt layup from 1 ft (assist by L. Nance),88-91, ,,4,91,88,3,2716.0
2:27.0, ,88-93,K. Lowry makes 2-pt jump shot from 5 ft,,4,93,88,5,2733.0
2:11.0,T. Murphy misses 3-pt jump shot from 23 ft,88-93, ,,4,93,88,5,2749.0
2:08.0,Offensive rebound by D. Daniels,88-93, ,,4,93,88,5,2752.0
2:05.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Daniels),91-93, ,,4,93,91,2,2755.0
1:46.0, ,91-95,K. Lowry makes 2-pt layup from 2 ft,,4,95,91,4,2774.0
1:41.0,T. Murphy makes 3-pt jump shot from 23 ft (assist by H. Jones),94-95, ,,4,95,94,1,2779.0
1:21.0, ,94-97,K. Lowry makes 2-pt jump shot from 18 ft,,4,97,94,3,2799.0
1:08.0,L. Nance makes 2-pt layup from 2 ft (assist by C. McCollum),96-97, ,,4,97,96,1,2812.0
0:48.0, ,96-97,K. Lowry misses 3-pt jump shot from 27 ft,,4,97,96,1,2832.0
0:46.0, ,96-97,Offensive rebound by Team,,4,97,96,1,2834.0
0:34.0, ,96-97,T. Herro misses 3-pt jump shot from 26 ft,,4,97,96,1,2846.0
0:32.0,Defensive rebound by D. Daniels,96-97, ,,4,97,96,1,2848.0
0:15.0,Turnover by D. Daniels (bad pass; steal by V. Oladipo),96-97, ,,4,97,96,1,2865.0
0:15.0, ,96-97,Personal take foul by T. Murphy (drawn by V. Oladipo),,4,97,96,1,2865.0
0:15.0, ,96-97,V. Oladipo misses free throw 1 of 2,,4,97,96,1,2865.0
0:15.0, ,96-97,Offensive rebound by Team,,4,97,96,1,2865.0
0:15.0,J. Valančiūnas enters the game for D. Daniels,96-97, ,,4,97,96,1,2865.0
0:15.0, ,96-98,V. Oladipo makes free throw 2 of 2,,4,98,96,2,2865.0
0:15.0,New Orleans full timeout,96-98, ,,4,98,96,2,2865.0
0:15.0,D. Daniels enters the game for J. Valančiūnas,96-98, ,,4,98,96,2,2865.0
0:15.0, ,96-98,C. Martin enters the game for T. Herro,,4,98,96,2,2865.0
0:15.0,Turnover by  (5 sec),96-98, ,,4,98,96,2,2865.0
0:15.0, ,96-98,Miami full timeout,,4,98,96,2,2865.0
0:15.0, ,96-98,T. Herro enters the game for C. Martin,,4,98,96,2,2865.0
0:15.0,J. Valančiūnas enters the game for T. Murphy,96-98, ,,4,98,96,2,2865.0
0:12.0,Jump ball: D. Daniels vs. J. Butler (J. Valančiūnas gains possession),96-98,,,4,98,96,2,2868.0
0:12.0, ,96-98,Turnover by K. Lowry (bad pass; steal by D. Daniels),,4,98,96,2,2868.0
0:12.0,New Orleans full timeout,96-98, ,,4,98,96,2,2868.0
0:12.0,D. Graham enters the game for D. Daniels,96-98, ,,4,98,96,2,2868.0
0:12.0,T. Murphy enters the game for J. Valančiūnas,96-98, ,,4,98,96,2,2868.0
0:07.0,C. McCollum misses 3-pt jump shot from 25 ft,96-98, ,,4,98,96,2,2873.0
0:06.0, ,96-98,Defensive rebound by V. Oladipo,,4,98,96,2,2874.0
0:06.0, ,96-98,Personal foul by L. Nance (drawn by V. Oladipo),,4,98,96,2,2874.0
0:06.0, ,96-99,V. Oladipo makes free throw 1 of 2,,4,99,96,3,2874.0
0:06.0, ,96-100,V. Oladipo makes free throw 2 of 2,,4,100,96,4,2874.0
0:00.0,H. Jones misses 3-pt jump shot from 28 ft,96-100, ,,4,100,96,4,2880.0
0:00.0, ,96-100,Defensive rebound by C. Martin,,4,100,96,4,2880.0
0:00.0,End of 4th quarter,96-100,,,4,100,96,4,2880.0
