Time,Houston,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Smith vs. B. Adebayo (C. Martin gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,T. Herro misses 2-pt layup from 5 ft (block by K. Martin),,1,0,0,0,19.0
11:37.0,Defensive rebound by K. Martin,0-0, ,,1,0,0,0,23.0
11:24.0,J. Tate misses 2-pt layup from 3 ft,0-0, ,,1,0,0,0,36.0
11:24.0,Offensive rebound by Team,0-0, ,,1,0,0,0,36.0
11:17.0,J. Green misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,43.0
11:14.0, ,0-0,Defensive rebound by C. Martin,,1,0,0,0,46.0
11:03.0, ,0-3,C. Martin makes 3-pt jump shot from 23 ft (assist by T. Herro),,1,3,0,3,57.0
10:37.0,K. Martin makes 3-pt jump shot from 24 ft (assist by J. Green),3-3, ,Tie,1,3,3,0,83.0
10:20.0, ,3-6,T. Herro makes 3-pt jump shot from 27 ft (assist by G. Vincent),,1,6,3,3,100.0
10:06.0,J. Smith makes 3-pt jump shot from 23 ft (assist by K. Martin),6-6, ,Tie,1,6,6,0,114.0
9:56.0, ,6-9,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Herro),,1,9,6,3,124.0
9:44.0,J. Green misses 3-pt jump shot from 26 ft,6-9, ,,1,9,6,3,136.0
9:41.0, ,6-9,Defensive rebound by C. Martin,,1,9,6,3,139.0
9:36.0, ,6-9,C. Martin misses 3-pt jump shot from 26 ft,,1,9,6,3,144.0
9:31.0,Defensive rebound by K. Martin,6-9, ,,1,9,6,3,149.0
9:22.0,A. Sengun misses 2-pt layup from 2 ft (block by C. Martin),6-9, ,,1,9,6,3,158.0
9:17.0, ,6-9,Defensive rebound by C. Martin,,1,9,6,3,163.0
9:10.0, ,6-9,Turnover by J. Butler (bad pass; steal by J. Green),,1,9,6,3,170.0
9:04.0,J. Green misses 2-pt layup from 4 ft (block by J. Butler),6-9, ,,1,9,6,3,176.0
9:04.0, ,6-9,Defensive rebound by T. Herro,,1,9,6,3,176.0
8:56.0, ,6-11,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Herro),,1,11,6,5,184.0
8:32.0,A. Sengun misses 2-pt hook shot from 6 ft,6-11, ,,1,11,6,5,208.0
8:28.0, ,6-11,Defensive rebound by B. Adebayo,,1,11,6,5,212.0
8:20.0, ,6-11,T. Herro misses 3-pt jump shot from 28 ft,,1,11,6,5,220.0
8:17.0,Defensive rebound by J. Green,6-11, ,,1,11,6,5,223.0
8:14.0,K. Martin misses 2-pt layup from 4 ft,6-11, ,,1,11,6,5,226.0
8:13.0, ,6-11,Defensive rebound by C. Martin,,1,11,6,5,227.0
8:09.0, ,6-11,C. Martin misses 2-pt layup from 4 ft,,1,11,6,5,231.0
8:09.0, ,6-11,Offensive rebound by B. Adebayo,,1,11,6,5,231.0
8:09.0, ,6-13,B. Adebayo makes 2-pt layup at rim,,1,13,6,7,231.0
7:46.0,Shooting foul by B. Adebayo (drawn by A. Sengun),6-13, ,,1,13,6,7,254.0
7:46.0,A. Sengun makes free throw 1 of 2,7-13, ,,1,13,7,6,254.0
7:46.0,A. Sengun makes free throw 2 of 2,8-13, ,,1,13,8,5,254.0
7:24.0, ,8-13,C. Martin misses 3-pt jump shot from 24 ft,,1,13,8,5,276.0
7:22.0,Defensive rebound by J. Smith,8-13, ,,1,13,8,5,278.0
7:12.0,J. Green makes 2-pt layup from 3 ft (assist by A. Sengun),10-13, ,,1,13,10,3,288.0
6:59.0, ,10-15,T. Herro makes 2-pt layup from 4 ft (assist by B. Adebayo),,1,15,10,5,301.0
6:59.0, ,10-15,Shooting foul by J. Tate (drawn by T. Herro),,1,15,10,5,301.0
6:59.0, ,10-15,Miami full timeout,,1,15,10,5,301.0
6:59.0, ,10-16,T. Herro makes free throw 1 of 1,,1,16,10,6,301.0
6:43.0,J. Tate misses 2-pt layup from 3 ft,10-16, ,,1,16,10,6,317.0
6:40.0, ,10-16,Defensive rebound by B. Adebayo,,1,16,10,6,320.0
6:34.0, ,10-16,C. Martin misses 2-pt jump shot from 10 ft,,1,16,10,6,326.0
6:30.0,Defensive rebound by J. Green,10-16, ,,1,16,10,6,330.0
6:23.0,Turnover by J. Green (lost ball; steal by G. Vincent),10-16, ,,1,16,10,6,337.0
6:04.0, ,10-16,Shooting foul by J. Smith (drawn by B. Adebayo),,1,16,10,6,356.0
6:04.0, ,10-16,B. Adebayo misses free throw 1 of 2,,1,16,10,6,356.0
6:04.0, ,10-16,Offensive rebound by Team,,1,16,10,6,356.0
6:04.0,D. Nix enters the game for J. Tate,10-16, ,,1,16,10,6,356.0
6:04.0, ,10-16,M. Strus enters the game for T. Herro,,1,16,10,6,356.0
6:04.0, ,10-17,B. Adebayo makes free throw 2 of 2,,1,17,10,7,356.0
5:43.0,Turnover by A. Sengun (lost ball; steal by B. Adebayo),10-17, ,,1,17,10,7,377.0
5:40.0, ,10-19,B. Adebayo makes 2-pt layup from 5 ft,,1,19,10,9,380.0
5:40.0, ,10-19,Shooting foul by K. Martin (drawn by B. Adebayo),,1,19,10,9,380.0
5:40.0, ,10-20,B. Adebayo makes free throw 1 of 1,,1,20,10,10,380.0
5:30.0,J. Green misses 3-pt jump shot from 26 ft,10-20, ,,1,20,10,10,390.0
5:26.0, ,10-20,Defensive rebound by C. Martin,,1,20,10,10,394.0
5:07.0, ,10-20,C. Martin misses 3-pt jump shot from 27 ft,,1,20,10,10,413.0
5:04.0,Defensive rebound by D. Nix,10-20, ,,1,20,10,10,416.0
4:57.0,J. Smith makes 3-pt jump shot from 26 ft (assist by D. Nix),13-20, ,,1,20,13,7,423.0
4:39.0, ,13-22,B. Adebayo makes 2-pt jump shot from 10 ft (assist by J. Butler),,1,22,13,9,441.0
4:26.0,Turnover by K. Martin (bad pass),13-22, ,,1,22,13,9,454.0
4:26.0, ,13-22,O. Robinson enters the game for B. Adebayo,,1,22,13,9,454.0
4:12.0, ,13-22,M. Strus misses 3-pt jump shot from 26 ft,,1,22,13,9,468.0
4:06.0, ,13-22,Offensive rebound by J. Butler,,1,22,13,9,474.0
4:02.0, ,13-22,Turnover by C. Martin (lost ball; steal by K. Martin),,1,22,13,9,478.0
3:56.0,J. Green makes 2-pt layup from 3 ft (assist by K. Martin),15-22, ,,1,22,15,7,484.0
3:56.0,Violation by Team (delay of game),15-22, ,,1,22,15,7,484.0
3:46.0, ,15-22,Offensive foul by O. Robinson (drawn by J. Green),,1,22,15,7,494.0
3:46.0, ,15-22,Turnover by O. Robinson (offensive foul),,1,22,15,7,494.0
3:46.0,T. Eason enters the game for K. Martin,15-22, ,,1,22,15,7,494.0
3:46.0, ,15-22,H. Highsmith enters the game for C. Martin,,1,22,15,7,494.0
3:20.0,A. Sengun makes 2-pt hook shot from 7 ft,17-22, ,,1,22,17,5,520.0
3:02.0, ,17-22,G. Vincent misses 3-pt jump shot from 27 ft,,1,22,17,5,538.0
2:58.0,Defensive rebound by J. Smith,17-22, ,,1,22,17,5,542.0
2:49.0,J. Smith makes 2-pt jump shot from 19 ft (assist by A. Sengun),19-22, ,,1,22,19,3,551.0
2:31.0, ,19-22,M. Strus misses 3-pt jump shot from 26 ft,,1,22,19,3,569.0
2:22.0, ,19-22,Offensive rebound by H. Highsmith,,1,22,19,3,578.0
2:20.0, ,19-22,J. Butler misses 2-pt layup from 5 ft,,1,22,19,3,580.0
2:16.0,Defensive rebound by T. Eason,19-22, ,,1,22,19,3,584.0
2:14.0,J. Smith makes 3-pt jump shot from 27 ft (assist by T. Eason),22-22, ,Tie,1,22,22,0,586.0
2:06.0, ,22-24,J. Butler makes 2-pt jump shot from 9 ft,,1,24,22,2,594.0
1:48.0,A. Sengun makes 2-pt layup from 3 ft (assist by T. Eason),24-24, ,Tie,1,24,24,0,612.0
1:39.0, ,24-24,Personal foul by D. Nix (drawn by J. Butler),,1,24,24,0,621.0
1:39.0,Houston full timeout,24-24, ,,1,24,24,0,621.0
1:39.0,T. Washington enters the game for J. Green,24-24, ,,1,24,24,0,621.0
1:39.0, ,24-24,J. Bouyea enters the game for J. Butler,,1,24,24,0,621.0
1:39.0, ,24-24,T. Herro enters the game for G. Vincent,,1,24,24,0,621.0
1:25.0, ,24-26,J. Bouyea makes 2-pt layup from 4 ft (assist by T. Herro),,1,26,24,2,635.0
1:15.0,Personal foul by O. Robinson (drawn by A. Sengun),24-26, ,,1,26,24,2,645.0
1:03.0,J. Smith misses 3-pt jump shot from 26 ft,24-26, ,,1,26,24,2,657.0
0:59.0,Offensive rebound by A. Sengun,24-26, ,,1,26,24,2,661.0
0:58.0,A. Sengun misses 2-pt layup from 5 ft,24-26, ,,1,26,24,2,662.0
0:55.0, ,24-26,Defensive rebound by O. Robinson,,1,26,24,2,665.0
0:42.0, ,24-26,T. Herro misses 2-pt jump shot from 12 ft,,1,26,24,2,678.0
0:39.0,Defensive rebound by T. Washington,24-26, ,,1,26,24,2,681.0
0:36.0,T. Eason makes 2-pt jump shot from 4 ft (assist by T. Washington),26-26, ,Tie,1,26,26,0,684.0
0:36.0,Shooting foul by J. Bouyea (drawn by T. Eason),26-26, ,,1,26,26,0,684.0
0:36.0,U. Garuba enters the game for A. Sengun,26-26, ,,1,26,26,0,684.0
0:36.0,K. Martin enters the game for J. Smith,26-26, ,,1,26,26,0,684.0
0:36.0,T. Eason misses free throw 1 of 1,26-26, ,,1,26,26,0,684.0
0:35.0,Offensive rebound by U. Garuba,26-26, ,,1,26,26,0,685.0
0:31.0,D. Nix misses 3-pt jump shot from 26 ft,26-26, ,,1,26,26,0,689.0
0:27.0, ,26-26,Defensive rebound by O. Robinson,,1,26,26,0,693.0
0:10.0, ,26-26,Shooting foul by D. Nix (drawn by T. Herro),,1,26,26,0,710.0
0:10.0, ,26-27,T. Herro makes free throw 1 of 2,,1,27,26,1,710.0
0:10.0,J. Green enters the game for D. Nix,26-27, ,,1,27,26,1,710.0
0:10.0, ,26-27,C. Martin enters the game for J. Bouyea,,1,27,26,1,710.0
0:10.0, ,26-28,T. Herro makes free throw 2 of 2,,1,28,26,2,710.0
0:00.0,T. Eason makes 3-pt jump shot from 26 ft (assist by J. Green),29-28, ,Lead change,1,28,29,-1,720.0
0:00.0,Instant Replay (Request: Ruling Stands),29-28, ,,1,28,29,-1,720.0
0:00.0,End of 1st quarter,29-28,,,1,28,29,-1,720.0
12:00.0,Start of 2nd quarter,29-28,,,2,28,29,-1,720.0
11:47.0,J. Green makes 2-pt jump shot from 15 ft (assist by T. Washington),31-28, ,,2,28,31,-3,733.0
11:30.0, ,31-31,M. Strus makes 3-pt jump shot from 27 ft (assist by B. Adebayo),Tie,2,31,31,0,750.0
11:17.0,K. Martin makes 2-pt dunk from 2 ft (assist by J. Green),33-31, ,,2,31,33,-2,763.0
11:02.0, ,33-31,B. Adebayo misses 2-pt jump shot from 13 ft,,2,31,33,-2,778.0
10:58.0,Defensive rebound by K. Martin,33-31, ,,2,31,33,-2,782.0
10:49.0,J. Green misses 3-pt jump shot from 25 ft,33-31, ,,2,31,33,-2,791.0
10:45.0, ,33-31,Defensive rebound by T. Herro,,2,31,33,-2,795.0
10:42.0, ,33-34,T. Herro makes 3-pt jump shot from 27 ft,Lead change,2,34,33,1,798.0
10:26.0,Turnover by K. Martin (lost ball; steal by J. Bouyea),33-34, ,,2,34,33,1,814.0
10:19.0, ,33-34,Personal foul by J. Green (drawn by B. Adebayo),,2,34,33,1,821.0
10:12.0, ,33-34,Turnover by T. Herro (bad pass; steal by U. Garuba),,2,34,33,1,828.0
10:08.0,K. Martin makes 2-pt layup from 4 ft,35-34, ,Lead change,2,34,35,-1,832.0
9:55.0, ,35-37,T. Herro makes 3-pt jump shot from 26 ft,Lead change,2,37,35,2,845.0
9:31.0,J. Green misses 3-pt jump shot from 26 ft,35-37, ,,2,37,35,2,869.0
9:30.0, ,35-37,Defensive rebound by Team,,2,37,35,2,870.0
9:16.0, ,35-37,H. Highsmith misses 3-pt jump shot from 23 ft,,2,37,35,2,884.0
9:13.0,Defensive rebound by T. Eason,35-37, ,,2,37,35,2,887.0
9:06.0,T. Washington misses 3-pt jump shot from 26 ft,35-37, ,,2,37,35,2,894.0
9:02.0, ,35-37,Defensive rebound by B. Adebayo,,2,37,35,2,898.0
