Time,Miami,Score,Milwaukee,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. B. Lopez (J. Carter gains possession),0-0,,,1,0,0,0,0.0
11:51.0,Shooting foul by J. Carter (drawn by T. Herro),0-0, ,,1,0,0,0,9.0
11:51.0,T. Herro makes free throw 1 of 2,1-0, ,,1,1,0,1,9.0
11:51.0,T. Herro misses free throw 2 of 2,1-0, ,,1,1,0,1,9.0
11:48.0, ,1-0,Defensive rebound by G. Antetokounmpo,,1,1,0,1,12.0
11:33.0, ,1-3,G. Allen makes 3-pt jump shot from 24 ft,Lead change,1,1,3,-2,27.0
11:15.0,J. Butler makes 2-pt jump shot from 9 ft (assist by K. Love),3-3, ,Tie,1,3,3,0,45.0
11:05.0, ,3-3,G. Antetokounmpo misses 2-pt jump shot from 15 ft,,1,3,3,0,55.0
11:02.0,Defensive rebound by B. Adebayo,3-3, ,,1,3,3,0,58.0
10:51.0,B. Adebayo makes 2-pt jump shot from 8 ft (assist by J. Butler),5-3, ,Lead change,1,5,3,2,69.0
10:38.0, ,5-3,J. Carter misses 3-pt jump shot from 23 ft,,1,5,3,2,82.0
10:33.0,Defensive rebound by K. Love,5-3, ,,1,5,3,2,87.0
10:23.0,B. Adebayo misses 2-pt jump shot from 9 ft,5-3, ,,1,5,3,2,97.0
10:20.0, ,5-3,Defensive rebound by J. Carter,,1,5,3,2,100.0
10:14.0, ,5-3,B. Lopez misses 3-pt jump shot from 30 ft,,1,5,3,2,106.0
10:11.0,Defensive rebound by K. Love,5-3, ,,1,5,3,2,109.0
9:56.0,G. Vincent misses 3-pt jump shot from 27 ft,5-3, ,,1,5,3,2,124.0
9:52.0, ,5-3,Defensive rebound by G. Antetokounmpo,,1,5,3,2,128.0
9:48.0, ,5-3,G. Antetokounmpo misses 2-pt layup from 2 ft,,1,5,3,2,132.0
9:45.0,Defensive rebound by K. Love,5-3, ,,1,5,3,2,135.0
9:42.0,G. Vincent misses 3-pt jump shot from 25 ft,5-3, ,,1,5,3,2,138.0
9:42.0,Offensive rebound by J. Butler,5-3, ,,1,5,3,2,138.0
9:37.0,J. Butler makes 2-pt layup from 1 ft,7-3, ,,1,7,3,4,143.0
9:19.0, ,7-6,J. Carter makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,1,7,6,1,161.0
9:07.0,T. Herro misses 2-pt jump shot from 13 ft,7-6, ,,1,7,6,1,173.0
9:04.0, ,7-6,Defensive rebound by G. Antetokounmpo,,1,7,6,1,176.0
