Time,Miami,Score,New York,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. M. Robinson (B. Adebayo gains possession),0-0,,,1,0,0,0,0.0
11:38.0,K. Love misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,22.0
11:36.0, ,0-0,Defensive rebound by J. Brunson,,1,0,0,0,24.0
11:25.0, ,0-0,Turnover by R. Barrett (lost ball; steal by G. Vincent),,1,0,0,0,35.0
11:16.0,T. Herro misses 2-pt jump shot from 10 ft,0-0, ,,1,0,0,0,44.0
11:14.0, ,0-0,Defensive rebound by Q. Grimes,,1,0,0,0,46.0
11:06.0, ,0-2,M. Robinson makes 2-pt dunk from 1 ft (assist by Q. Grimes),,1,0,2,-2,54.0
10:55.0,K. Love misses 3-pt jump shot from 25 ft,0-2, ,,1,0,2,-2,65.0
10:53.0, ,0-2,Defensive rebound by Q. Grimes,,1,0,2,-2,67.0
10:46.0, ,0-5,Q. Grimes makes 3-pt jump shot from 25 ft (assist by J. Randle),,1,0,5,-5,74.0
10:33.0,T. Herro misses 3-pt jump shot from 25 ft,0-5, ,,1,0,5,-5,87.0
10:31.0, ,0-5,Defensive rebound by Q. Grimes,,1,0,5,-5,89.0
10:21.0, ,0-8,Q. Grimes makes 3-pt jump shot from 25 ft (assist by J. Brunson),,1,0,8,-8,99.0
9:57.0,B. Adebayo misses 2-pt jump shot from 10 ft,0-8, ,,1,0,8,-8,123.0
9:55.0, ,0-8,Defensive rebound by Q. Grimes,,1,0,8,-8,125.0
9:49.0, ,0-8,Q. Grimes misses 3-pt jump shot from 26 ft,,1,0,8,-8,131.0
9:47.0,Defensive rebound by B. Adebayo,0-8, ,,1,0,8,-8,133.0
9:40.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by B. Adebayo),3-8, ,,1,3,8,-5,140.0
9:14.0, ,3-8,M. Robinson misses 2-pt layup from 2 ft,,1,3,8,-5,166.0
9:12.0,Defensive rebound by K. Love,3-8, ,,1,3,8,-5,168.0
8:58.0,B. Adebayo makes 2-pt hook shot from 6 ft (assist by K. Love),5-8, ,,1,5,8,-3,182.0
8:43.0, ,5-8,Turnover by Q. Grimes (bad pass; steal by G. Vincent),,1,5,8,-3,197.0
8:41.0,Shooting foul by Q. Grimes (drawn by T. Herro),5-8, ,,1,5,8,-3,199.0
8:41.0,T. Herro makes free throw 1 of 2,6-8, ,,1,6,8,-2,199.0
8:41.0,T. Herro makes free throw 2 of 2,7-8, ,,1,7,8,-1,199.0
8:26.0, ,7-8,J. Brunson misses 3-pt jump shot from 25 ft,,1,7,8,-1,214.0
8:24.0, ,7-8,Offensive rebound by R. Barrett,,1,7,8,-1,216.0
8:20.0, ,7-8,R. Barrett misses 2-pt hook shot from 4 ft,,1,7,8,-1,220.0
8:18.0,Defensive rebound by B. Adebayo,7-8, ,,1,7,8,-1,222.0
8:07.0,K. Love misses 3-pt jump shot from 25 ft,7-8, ,,1,7,8,-1,233.0
