Time,LA Clippers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: I. Zubac vs. B. Adebayo (D. Smith gains possession),0-0,,,1,0,0,0,0.0
11:42.0, ,0-0,B. Adebayo misses 2-pt jump shot from 10 ft,,1,0,0,0,18.0
11:37.0,Defensive rebound by P. George,0-0, ,,1,0,0,0,23.0
11:33.0,P. George makes 3-pt jump shot from 25 ft,3-0, ,,1,0,3,-3,27.0
11:14.0, ,3-0,D. Smith misses 2-pt jump shot from 20 ft,,1,0,3,-3,46.0
11:11.0, ,3-0,Offensive rebound by B. Adebayo,,1,0,3,-3,49.0
11:06.0, ,3-2,D. Smith makes 2-pt jump shot from 9 ft (assist by J. Butler),,1,2,3,-1,54.0
10:45.0,Turnover by I. Zubac (lost ball; steal by B. Adebayo),3-2, ,,1,2,3,-1,75.0
10:37.0, ,3-2,T. Herro misses 2-pt jump shot from 17 ft,,1,2,3,-1,83.0
10:33.0, ,3-2,Offensive rebound by J. Butler,,1,2,3,-1,87.0
10:30.0, ,3-4,T. Herro makes 2-pt jump shot from 9 ft (assist by J. Butler),Lead change,1,4,3,1,90.0
10:09.0,R. Jackson misses 3-pt jump shot from 24 ft,3-4, ,,1,4,3,1,111.0
10:09.0, ,3-4,Defensive rebound by T. Herro,,1,4,3,1,111.0
9:54.0, ,3-4,J. Butler misses 2-pt jump shot from 9 ft,,1,4,3,1,126.0
9:53.0, ,3-4,Offensive rebound by Team,,1,4,3,1,127.0
9:45.0, ,3-4,T. Herro misses 2-pt jump shot from 11 ft (block by N. Batum),,1,4,3,1,135.0
9:36.0,Defensive rebound by I. Zubac,3-4, ,,1,4,3,1,144.0
9:32.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by N. Batum),6-4, ,Lead change,1,4,6,-2,148.0
9:15.0, ,6-4,J. Butler misses 2-pt jump shot from 9 ft,,1,4,6,-2,165.0
9:11.0,Defensive rebound by I. Zubac,6-4, ,,1,4,6,-2,169.0
8:54.0,Turnover by R. Jackson (bad pass; steal by J. Butler),6-4, ,,1,4,6,-2,186.0
8:54.0, ,6-4,Shooting foul by P. George (drawn by J. Butler),,1,4,6,-2,186.0
8:54.0, ,6-5,J. Butler makes free throw 1 of 2,,1,5,6,-1,186.0
8:54.0, ,6-6,J. Butler makes free throw 2 of 2,Tie,1,6,6,0,186.0
8:34.0,M. Morris makes 3-pt jump shot from 24 ft (assist by P. George),9-6, ,,1,6,9,-3,206.0
8:19.0, ,9-8,J. Butler makes 2-pt layup from 3 ft (assist by B. Adebayo),,1,8,9,-1,221.0
8:00.0,M. Morris misses 2-pt jump shot from 16 ft,9-8, ,,1,8,9,-1,240.0
7:55.0,Offensive rebound by P. George,9-8, ,,1,8,9,-1,245.0
