Time,Milwaukee,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Lopez vs. B. Adebayo (B. Portis gains possession),0-0,,,1,0,0,0,0.0
11:44.0,Shooting foul by H. Highsmith (drawn by P. Connaughton),0-0, ,,1,0,0,0,16.0
11:44.0,P. Connaughton makes free throw 1 of 3,1-0, ,,1,0,1,-1,16.0
11:44.0,P. Connaughton misses free throw 2 of 3,1-0, ,,1,0,1,-1,16.0
11:44.0,Offensive rebound by Team,1-0, ,,1,0,1,-1,16.0
11:44.0,P. Connaughton misses free throw 3 of 3,1-0, ,,1,0,1,-1,16.0
11:42.0, ,1-0,Defensive rebound by B. Adebayo,,1,0,1,-1,18.0
11:26.0, ,1-2,B. Adebayo makes 2-pt jump shot from 6 ft (assist by M. Strus),Lead change,1,2,1,1,34.0
11:12.0,B. Lopez misses 2-pt jump shot from 15 ft,1-2, ,,1,2,1,1,48.0
11:08.0, ,1-2,Defensive rebound by H. Highsmith,,1,2,1,1,52.0
10:51.0, ,1-2,G. Vincent misses 3-pt jump shot from 24 ft,,1,2,1,1,69.0
10:48.0,Defensive rebound by B. Lopez,1-2, ,,1,2,1,1,72.0
10:39.0,M. Beauchamp misses 2-pt jump shot from 13 ft,1-2, ,,1,2,1,1,81.0
10:35.0, ,1-2,Defensive rebound by M. Strus,,1,2,1,1,85.0
10:21.0, ,1-4,M. Strus makes 2-pt layup from 5 ft,,1,4,1,3,99.0
10:10.0,J. Holiday makes 2-pt jump shot from 16 ft,3-4, ,,1,4,3,1,110.0
9:58.0, ,3-6,B. Adebayo makes 2-pt jump shot from 16 ft (assist by M. Strus),,1,6,3,3,122.0
9:43.0,P. Connaughton makes 3-pt jump shot from 28 ft (assist by B. Lopez),6-6, ,Tie,1,6,6,0,137.0
9:24.0, ,6-6,B. Adebayo misses 2-pt jump shot from 14 ft,,1,6,6,0,156.0
9:19.0,Defensive rebound by B. Portis,6-6, ,,1,6,6,0,161.0
9:03.0,B. Portis misses 2-pt jump shot from 12 ft,6-6, ,,1,6,6,0,177.0
9:00.0, ,6-6,Defensive rebound by J. Butler,,1,6,6,0,180.0
8:53.0, ,6-6,M. Strus misses 3-pt jump shot from 25 ft,,1,6,6,0,187.0
8:49.0, ,6-6,Offensive rebound by B. Adebayo,,1,6,6,0,191.0
8:43.0, ,6-8,J. Butler makes 2-pt hook shot from 3 ft,,1,8,6,2,197.0
8:16.0,B. Lopez misses 3-pt jump shot from 24 ft,6-8, ,,1,8,6,2,224.0
8:13.0, ,6-8,Defensive rebound by J. Butler,,1,8,6,2,227.0
8:03.0, ,6-8,H. Highsmith misses 3-pt jump shot from 26 ft,,1,8,6,2,237.0
8:03.0,Defensive rebound by Team,6-8, ,,1,8,6,2,237.0
7:52.0,Turnover by B. Portis (lost ball; steal by B. Adebayo),6-8, ,,1,8,6,2,248.0
7:36.0, ,6-8,H. Highsmith misses 3-pt jump shot from 24 ft,,1,8,6,2,264.0
7:33.0,Defensive rebound by P. Connaughton,6-8, ,,1,8,6,2,267.0
7:24.0,B. Portis misses 2-pt jump shot from 11 ft,6-8, ,,1,8,6,2,276.0
7:20.0, ,6-8,Defensive rebound by H. Highsmith,,1,8,6,2,280.0
7:10.0, ,6-8,J. Butler misses 2-pt jump shot from 11 ft,,1,8,6,2,290.0
7:07.0,Defensive rebound by B. Portis,6-8, ,,1,8,6,2,293.0
7:03.0,B. Portis misses 2-pt layup from 6 ft,6-8, ,,1,8,6,2,297.0
7:00.0, ,6-8,Defensive rebound by M. Strus,,1,8,6,2,300.0
6:56.0, ,6-8,M. Strus misses 3-pt jump shot from 25 ft,,1,8,6,2,304.0
6:52.0, ,6-8,Offensive rebound by G. Vincent,,1,8,6,2,308.0
6:45.0, ,6-10,J. Butler makes 2-pt jump shot from 8 ft,,1,10,6,4,315.0
6:45.0,Violation by Team (def goaltending),6-10, ,,1,10,6,4,315.0
6:45.0,Milwaukee full timeout,6-10, ,,1,10,6,4,315.0
6:45.0,J. Carter enters the game for J. Holiday,6-10, ,,1,10,6,4,315.0
6:45.0,S. Mamukelashvili enters the game for B. Portis,6-10, ,,1,10,6,4,315.0
6:45.0, ,6-10,O. Robinson enters the game for B. Adebayo,,1,10,6,4,315.0
6:31.0,P. Connaughton makes 2-pt jump shot from 6 ft,8-10, ,,1,10,8,2,329.0
6:06.0, ,8-10,Turnover by H. Highsmith (bad pass; steal by J. Carter),,1,10,8,2,354.0
6:02.0,J. Carter misses 3-pt jump shot from 26 ft,8-10, ,,1,10,8,2,358.0
5:58.0, ,8-10,Defensive rebound by O. Robinson,,1,10,8,2,362.0
5:49.0, ,8-10,Turnover by J. Butler (bad pass; steal by B. Lopez),,1,10,8,2,371.0
5:49.0,J. Holiday enters the game for M. Beauchamp,8-10, ,,1,10,8,2,371.0
5:49.0, ,8-10,J. Cain enters the game for M. Strus,,1,10,8,2,371.0
5:49.0, ,8-10,V. Oladipo enters the game for G. Vincent,,1,10,8,2,371.0
5:27.0,P. Connaughton misses 3-pt jump shot from 24 ft,8-10, ,,1,10,8,2,393.0
5:25.0,Offensive rebound by S. Mamukelashvili,8-10, ,,1,10,8,2,395.0
5:17.0,J. Carter makes 3-pt jump shot from 24 ft,11-10, ,Lead change,1,10,11,-1,403.0
4:56.0, ,11-10,O. Robinson misses 2-pt jump shot from 22 ft,,1,10,11,-1,424.0
4:49.0, ,11-10,Offensive rebound by H. Highsmith,,1,10,11,-1,431.0
4:49.0, ,11-10,H. Highsmith misses 2-pt layup at rim,,1,10,11,-1,431.0
4:48.0, ,11-10,J. Butler misses 3-pt jump shot from 27 ft,,1,10,11,-1,432.0
4:45.0,Defensive rebound by J. Holiday,11-10, ,,1,10,11,-1,435.0
4:43.0,P. Connaughton misses 3-pt jump shot from 27 ft,11-10, ,,1,10,11,-1,437.0
4:39.0, ,11-10,Defensive rebound by J. Cain,,1,10,11,-1,441.0
4:34.0, ,11-10,J. Butler misses 2-pt layup from 4 ft,,1,10,11,-1,446.0
4:33.0,Defensive rebound by B. Lopez,11-10, ,,1,10,11,-1,447.0
4:29.0,J. Carter misses 3-pt jump shot from 27 ft,11-10, ,,1,10,11,-1,451.0
4:23.0, ,11-10,Defensive rebound by O. Robinson,,1,10,11,-1,457.0
4:09.0, ,11-10,Shooting foul by B. Lopez (drawn by J. Butler),,1,10,11,-1,471.0
4:09.0, ,11-11,J. Butler makes free throw 1 of 2,Tie,1,11,11,0,471.0
4:09.0,J. Nwora enters the game for P. Connaughton,11-11, ,,1,11,11,0,471.0
4:09.0,B. Portis enters the game for B. Lopez,11-11, ,,1,11,11,0,471.0
4:09.0, ,11-11,M. Strus enters the game for H. Highsmith,,1,11,11,0,471.0
4:09.0, ,11-12,J. Butler makes free throw 2 of 2,Lead change,1,12,11,1,471.0
3:52.0,S. Mamukelashvili makes 2-pt hook shot from 9 ft,13-12, ,Lead change,1,12,13,-1,488.0
3:38.0, ,13-12,V. Oladipo misses 2-pt jump shot from 16 ft,,1,12,13,-1,502.0
3:38.0,Defensive rebound by J. Holiday,13-12, ,,1,12,13,-1,502.0
3:23.0,J. Holiday makes 2-pt jump shot from 22 ft (assist by J. Nwora),15-12, ,,1,12,15,-3,517.0
3:10.0, ,15-12,V. Oladipo misses 2-pt layup from 5 ft,,1,12,15,-3,530.0
3:10.0, ,15-12,Offensive rebound by V. Oladipo,,1,12,15,-3,530.0
3:04.0, ,15-12,J. Cain misses 2-pt layup from 6 ft,,1,12,15,-3,536.0
3:02.0,Defensive rebound by J. Holiday,15-12, ,,1,12,15,-3,538.0
2:56.0,J. Carter makes 3-pt jump shot from 23 ft (assist by J. Holiday),18-12, ,,1,12,18,-6,544.0
2:48.0, ,18-12,Miami full timeout,,1,12,18,-6,552.0
2:48.0,A. Green enters the game for J. Holiday,18-12, ,,1,12,18,-6,552.0
2:48.0, ,18-12,B. Adebayo enters the game for J. Butler,,1,12,18,-6,552.0
2:48.0, ,18-12,G. Vincent enters the game for O. Robinson,,1,12,18,-6,552.0
2:36.0, ,18-12,Turnover by M. Strus (bad pass),,1,12,18,-6,564.0
2:19.0,Turnover by S. Mamukelashvili (lost ball; steal by G. Vincent),18-12, ,,1,12,18,-6,581.0
2:15.0, ,18-12,V. Oladipo misses 3-pt jump shot from 26 ft,,1,12,18,-6,585.0
2:14.0,Defensive rebound by Team,18-12, ,,1,12,18,-6,586.0
1:51.0,J. Carter misses 2-pt jump shot from 10 ft (block by B. Adebayo),18-12, ,,1,12,18,-6,609.0
1:50.0,Offensive rebound by Team,18-12, ,,1,12,18,-6,610.0
1:50.0,Turnover by Team (shot clock),18-12, ,,1,12,18,-6,610.0
1:30.0, ,18-12,Turnover by J. Cain (lost ball; steal by S. Mamukelashvili),,1,12,18,-6,630.0
1:23.0,J. Carter misses 3-pt jump shot from 27 ft,18-12, ,,1,12,18,-6,637.0
1:19.0, ,18-12,Defensive rebound by Team,,1,12,18,-6,641.0
1:02.0, ,18-12,B. Adebayo misses 2-pt jump shot from 11 ft,,1,12,18,-6,658.0
0:57.0,Defensive rebound by S. Mamukelashvili,18-12, ,,1,12,18,-6,663.0
0:46.0,B. Portis makes 2-pt jump shot from 8 ft,20-12, ,,1,12,20,-8,674.0
0:29.0, ,20-14,G. Vincent makes 2-pt jump shot from 10 ft,,1,14,20,-6,691.0
