Time,Memphis,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Jackson vs. B. Adebayo (T. Jones gains possession),0-0,,,1,0,0,0,0.0
11:41.0,D. Bane misses 2-pt layup from 1 ft (block by B. Adebayo),0-0, ,,1,0,0,0,19.0
11:40.0,Offensive rebound by J. Jackson,0-0, ,,1,0,0,0,20.0
11:37.0,J. Jackson misses 2-pt layup from 4 ft,0-0, ,,1,0,0,0,23.0
11:36.0, ,0-0,Defensive rebound by K. Love,,1,0,0,0,24.0
11:18.0, ,0-0,K. Love misses 3-pt jump shot from 26 ft,,1,0,0,0,42.0
11:15.0,Defensive rebound by T. Jones,0-0, ,,1,0,0,0,45.0
11:11.0,Turnover by D. Bane (traveling),0-0, ,,1,0,0,0,49.0
10:58.0, ,0-0,G. Vincent misses 2-pt jump shot from 10 ft,,1,0,0,0,62.0
10:55.0,Defensive rebound by J. Jackson,0-0, ,,1,0,0,0,65.0
10:50.0,D. Brooks makes 2-pt jump shot from 10 ft,2-0, ,,1,0,2,-2,70.0
10:50.0,Shooting foul by G. Vincent (drawn by D. Brooks),2-0, ,,1,0,2,-2,70.0
10:50.0,D. Brooks misses free throw 1 of 1,2-0, ,,1,0,2,-2,70.0
10:46.0, ,2-0,Defensive rebound by K. Love,,1,0,2,-2,74.0
10:29.0, ,2-2,B. Adebayo makes 2-pt jump shot from 6 ft (assist by G. Vincent),Tie,1,2,2,0,91.0
10:20.0,D. Bane makes 2-pt layup from 3 ft (assist by X. Tillman),4-2, ,,1,2,4,-2,100.0
10:04.0, ,4-2,J. Butler misses 2-pt hook shot from 4 ft,,1,2,4,-2,116.0
10:02.0,Defensive rebound by X. Tillman,4-2, ,,1,2,4,-2,118.0
9:56.0,J. Jackson misses 3-pt jump shot from 26 ft,4-2, ,,1,2,4,-2,124.0
9:53.0, ,4-2,Defensive rebound by J. Butler,,1,2,4,-2,127.0
9:46.0, ,4-4,J. Butler makes 2-pt layup from 1 ft,Tie,1,4,4,0,134.0
9:36.0,X. Tillman misses 2-pt layup from 3 ft (block by B. Adebayo),4-4, ,,1,4,4,0,144.0
9:31.0,Offensive rebound by J. Jackson,4-4, ,,1,4,4,0,149.0
9:29.0,J. Jackson makes 2-pt hook shot from 8 ft,6-4, ,,1,4,6,-2,151.0
9:17.0, ,6-4,T. Herro misses 3-pt jump shot from 26 ft,,1,4,6,-2,163.0
9:16.0,Defensive rebound by T. Jones,6-4, ,,1,4,6,-2,164.0
9:09.0,T. Jones makes 2-pt layup from 2 ft,8-4, ,,1,4,8,-4,171.0
8:58.0, ,8-4,K. Love misses 3-pt jump shot from 26 ft,,1,4,8,-4,182.0
8:52.0,Defensive rebound by D. Brooks,8-4, ,,1,4,8,-4,188.0
8:49.0,D. Brooks misses 2-pt layup from 2 ft,8-4, ,,1,4,8,-4,191.0
8:46.0, ,8-4,Defensive rebound by K. Love,,1,4,8,-4,194.0
8:35.0, ,8-4,Offensive foul by B. Adebayo (drawn by D. Bane),,1,4,8,-4,205.0
8:35.0, ,8-4,Turnover by B. Adebayo (offensive foul),,1,4,8,-4,205.0
8:21.0,Turnover by D. Bane (lost ball; steal by J. Butler),8-4, ,,1,4,8,-4,219.0
8:18.0, ,8-6,J. Butler makes 2-pt layup from 1 ft,,1,6,8,-2,222.0
8:08.0,Turnover by J. Jackson (traveling),8-6, ,,1,6,8,-2,232.0
7:55.0, ,8-6,J. Butler misses 2-pt jump shot from 10 ft,,1,6,8,-2,245.0
7:54.0, ,8-6,Offensive rebound by J. Butler,,1,6,8,-2,246.0
7:52.0, ,8-6,Shooting foul by X. Tillman (drawn by J. Butler),,1,6,8,-2,248.0
7:52.0, ,8-6,J. Butler misses free throw 1 of 2,,1,6,8,-2,248.0
7:52.0, ,8-6,Offensive rebound by Team,,1,6,8,-2,248.0
7:52.0, ,8-7,J. Butler makes free throw 2 of 2,,1,7,8,-1,248.0
7:29.0,J. Jackson misses 2-pt jump shot from 5 ft,8-7, ,,1,7,8,-1,271.0
7:26.0, ,8-7,Defensive rebound by B. Adebayo,,1,7,8,-1,274.0
7:15.0, ,8-7,Turnover by K. Love (bad pass),,1,7,8,-1,285.0
6:59.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by T. Jones),11-7, ,,1,7,11,-4,301.0
6:48.0, ,11-7,T. Herro misses 3-pt jump shot from 28 ft,,1,7,11,-4,312.0
6:43.0,Defensive rebound by T. Jones,11-7, ,,1,7,11,-4,317.0
6:37.0,T. Jones misses 2-pt jump shot from 2 ft,11-7, ,,1,7,11,-4,323.0
6:35.0, ,11-7,Defensive rebound by K. Love,,1,7,11,-4,325.0
6:29.0, ,11-10,G. Vincent makes 3-pt jump shot from 27 ft (assist by K. Love),,1,10,11,-1,331.0
6:27.0,Memphis full timeout,11-10, ,,1,10,11,-1,333.0
