Time,Miami,Score,Washington,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Jović vs. K. Porziņģis (K. Kuzma gains possession),0-0,,,1,0,0,0,0.0
11:49.0, ,0-0,Turnover by K. Porziņģis (bad pass),,1,0,0,0,11.0
11:31.0,M. Strus misses 2-pt jump shot from 20 ft,0-0, ,,1,0,0,0,29.0
11:28.0, ,0-0,Defensive rebound by K. Kuzma,,1,0,0,0,32.0
11:19.0, ,0-0,K. Kuzma misses 3-pt jump shot from 26 ft,,1,0,0,0,41.0
11:16.0,Defensive rebound by N. Jović,0-0, ,,1,0,0,0,44.0
11:07.0,N. Jović makes 2-pt layup from 3 ft (assist by K. Lowry),2-0, ,,1,2,0,2,53.0
10:56.0, ,2-2,K. Porziņģis makes 2-pt jump shot from 14 ft (assist by B. Beal),Tie,1,2,2,0,64.0
10:45.0,K. Lowry misses 2-pt layup from 4 ft,2-2, ,,1,2,2,0,75.0
10:40.0,Offensive rebound by K. Lowry,2-2, ,,1,2,2,0,80.0
10:40.0,H. Highsmith misses 2-pt jump shot from 13 ft,2-2, ,,1,2,2,0,80.0
10:40.0,Offensive rebound by H. Highsmith,2-2, ,,1,2,2,0,80.0
10:40.0,Personal foul by K. Kuzma (drawn by H. Highsmith),2-2, ,,1,2,2,0,80.0
10:29.0,N. Jović makes 3-pt jump shot from 27 ft (assist by C. Martin),5-2, ,,1,5,2,3,91.0
10:20.0, ,5-2,Turnover by K. Kuzma (bad pass; steal by H. Highsmith),,1,5,2,3,100.0
10:10.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by H. Highsmith),8-2, ,,1,8,2,6,110.0
9:51.0, ,8-5,K. Porziņģis makes 3-pt jump shot from 29 ft (assist by M. Morris),,1,8,5,3,129.0
9:39.0,N. Jović misses 3-pt jump shot from 26 ft,8-5, ,,1,8,5,3,141.0
9:34.0, ,8-5,Defensive rebound by K. Kuzma,,1,8,5,3,146.0
9:26.0, ,8-8,B. Beal makes 3-pt jump shot from 28 ft (assist by K. Porziņģis),Tie,1,8,8,0,154.0
9:09.0,Turnover by H. Highsmith (bad pass; steal by K. Porziņģis),8-8, ,,1,8,8,0,171.0
8:50.0, ,8-8,K. Kuzma misses 2-pt jump shot from 17 ft,,1,8,8,0,190.0
8:46.0,Defensive rebound by K. Lowry,8-8, ,,1,8,8,0,194.0
8:44.0,K. Lowry misses 3-pt jump shot from 27 ft,8-8, ,,1,8,8,0,196.0
8:40.0, ,8-8,Defensive rebound by K. Kuzma,,1,8,8,0,200.0
8:34.0, ,8-8,K. Porziņģis misses 2-pt layup from 5 ft (block by K. Lowry),,1,8,8,0,206.0
8:34.0, ,8-8,Offensive rebound by Team,,1,8,8,0,206.0
8:34.0, ,8-10,K. Kuzma makes 2-pt hook shot from 9 ft (assist by M. Morris),Lead change,1,8,10,-2,206.0
8:34.0, ,8-10,Shooting foul by N. Jović (drawn by K. Kuzma),,1,8,10,-2,206.0
8:34.0, ,8-10,K. Kuzma misses free throw 1 of 1,,1,8,10,-2,206.0
8:30.0,Defensive rebound by M. Strus,8-10, ,,1,8,10,-2,210.0
8:22.0,M. Strus misses 2-pt layup from 3 ft,8-10, ,,1,8,10,-2,218.0
8:20.0, ,8-10,Defensive rebound by K. Porziņģis,,1,8,10,-2,220.0
8:18.0, ,8-12,K. Kuzma makes 2-pt layup from 2 ft,,1,8,12,-4,222.0
8:18.0,Violation by Team (def goaltending),8-12, ,,1,8,12,-4,222.0
8:01.0,H. Highsmith misses 2-pt hook shot from 9 ft,8-12, ,,1,8,12,-4,239.0
7:58.0, ,8-12,Defensive rebound by K. Porziņģis,,1,8,12,-4,242.0
7:42.0, ,8-14,K. Porziņģis makes 2-pt layup from 2 ft (assist by D. Avdija),,1,8,14,-6,258.0
7:24.0,C. Martin makes 3-pt jump shot from 28 ft (assist by K. Lowry),11-14, ,,1,11,14,-3,276.0
7:01.0, ,11-14,K. Kuzma misses 3-pt jump shot from 29 ft,,1,11,14,-3,299.0
6:58.0,Defensive rebound by K. Lowry,11-14, ,,1,11,14,-3,302.0
6:46.0,K. Lowry misses 2-pt hook shot from 7 ft,11-14, ,,1,11,14,-3,314.0
6:46.0, ,11-14,Defensive rebound by K. Porziņģis,,1,11,14,-3,314.0
6:46.0, ,11-14,Personal foul by K. Lowry (drawn by K. Porziņģis),,1,11,14,-3,314.0
6:46.0, ,11-14,Washington full timeout,,1,11,14,-3,314.0
