Time,Brooklyn,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Claxton vs. B. Adebayo (T. Herro gains possession),0-0,,,1,0,0,0,0.0
11:47.0, ,0-0,B. Adebayo misses 2-pt layup from 2 ft,,1,0,0,0,13.0
11:45.0,Defensive rebound by B. Simmons,0-0, ,,1,0,0,0,15.0
11:42.0,K. Durant misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,18.0
11:38.0,Offensive rebound by K. Irving,0-0, ,,1,0,0,0,22.0
11:35.0,B. Simmons misses 2-pt hook shot from 2 ft,0-0, ,,1,0,0,0,25.0
11:31.0,Offensive rebound by N. Claxton,0-0, ,,1,0,0,0,29.0
11:30.0,N. Claxton makes 2-pt layup from 2 ft,2-0, ,,1,0,2,-2,30.0
11:16.0, ,2-0,J. Butler misses 3-pt jump shot from 23 ft,,1,0,2,-2,44.0
11:13.0,Defensive rebound by N. Claxton,2-0, ,,1,0,2,-2,47.0
11:08.0,K. Irving makes 3-pt jump shot from 26 ft (assist by R. O'Neale),5-0, ,,1,0,5,-5,52.0
10:50.0, ,5-0,K. Lowry misses 2-pt hook shot from 2 ft,,1,0,5,-5,70.0
10:46.0, ,5-0,Offensive rebound by B. Adebayo,,1,0,5,-5,74.0
10:46.0, ,5-2,B. Adebayo makes 2-pt layup at rim,,1,2,5,-3,74.0
10:29.0,N. Claxton makes 2-pt jump shot from 5 ft (assist by B. Simmons),7-2, ,,1,2,7,-5,91.0
10:18.0, ,7-2,T. Herro misses 3-pt jump shot from 26 ft,,1,2,7,-5,102.0
10:16.0,Defensive rebound by R. O'Neale,7-2, ,,1,2,7,-5,104.0
10:12.0,Brooklyn full timeout,7-2, ,,1,2,7,-5,108.0
10:01.0,Offensive foul by R. O'Neale (drawn by K. Lowry),7-2, ,,1,2,7,-5,119.0
10:01.0,Turnover by R. O'Neale (offensive foul),7-2, ,,1,2,7,-5,119.0
9:39.0, ,7-2,T. Herro misses 2-pt jump shot from 15 ft (block by N. Claxton),,1,2,7,-5,141.0
9:38.0, ,7-2,Offensive rebound by Team,,1,2,7,-5,142.0
9:37.0, ,7-2,Turnover by Team (shot clock),,1,2,7,-5,143.0
9:12.0,K. Irving makes 3-pt jump shot from 24 ft (assist by R. O'Neale),10-2, ,,1,2,10,-8,168.0
8:57.0, ,10-4,B. Adebayo makes 2-pt jump shot from 15 ft,,1,4,10,-6,183.0
8:52.0,Personal foul by H. Highsmith (drawn by K. Durant),10-4, ,,1,4,10,-6,188.0
8:38.0,R. O'Neale misses 3-pt jump shot from 24 ft,10-4, ,,1,4,10,-6,202.0
8:37.0, ,10-4,Defensive rebound by Team,,1,4,10,-6,203.0
8:23.0, ,10-4,Turnover by K. Lowry (bad pass; steal by R. O'Neale),,1,4,10,-6,217.0
8:18.0,R. O'Neale misses 2-pt layup from 2 ft (block by H. Highsmith),10-4, ,,1,4,10,-6,222.0
8:18.0,Offensive rebound by Team,10-4, ,,1,4,10,-6,222.0
8:17.0,K. Durant makes 2-pt jump shot from 10 ft (assist by B. Simmons),12-4, ,,1,4,12,-8,223.0
8:17.0,Shooting foul by H. Highsmith (drawn by K. Durant),12-4, ,,1,4,12,-8,223.0
8:17.0,K. Durant makes free throw 1 of 1,13-4, ,,1,4,13,-9,223.0
8:03.0, ,13-4,Personal foul by N. Claxton (drawn by B. Adebayo),,1,4,13,-9,237.0
7:47.0, ,13-4,K. Lowry misses 3-pt jump shot from 28 ft,,1,4,13,-9,253.0
7:44.0, ,13-4,Offensive rebound by H. Highsmith,,1,4,13,-9,256.0
7:41.0, ,13-6,H. Highsmith makes 2-pt layup from 3 ft,,1,6,13,-7,259.0
7:24.0,K. Irving makes 2-pt jump shot from 11 ft,15-6, ,,1,6,15,-9,276.0
6:54.0, ,15-9,H. Highsmith makes 3-pt jump shot from 28 ft (assist by T. Herro),,1,9,15,-6,306.0
6:50.0,Turnover by B. Simmons (bad pass),15-9, ,,1,9,15,-6,310.0
6:44.0, ,15-11,K. Lowry makes 2-pt jump shot from 13 ft,,1,11,15,-4,316.0
6:36.0,Shooting foul by K. Lowry (drawn by N. Claxton),15-11, ,,1,11,15,-4,324.0
6:36.0,N. Claxton makes free throw 1 of 2,16-11, ,,1,11,16,-5,324.0
6:36.0,T. Warren enters the game for R. O'Neale,16-11, ,,1,11,16,-5,324.0
6:36.0,N. Claxton misses free throw 2 of 2,16-11, ,,1,11,16,-5,324.0
6:33.0, ,16-11,Defensive rebound by Team,,1,11,16,-5,327.0
6:15.0, ,16-13,H. Highsmith makes 2-pt layup from 2 ft,,1,13,16,-3,345.0
5:57.0,K. Durant makes 2-pt jump shot from 9 ft,18-13, ,,1,13,18,-5,363.0
5:47.0, ,18-13,B. Adebayo misses 2-pt jump shot from 1 ft,,1,13,18,-5,373.0
