Time,Dallas,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Powell vs. C. Zeller (R. Bullock gains possession),0-0,,,1,0,0,0,0.0
11:41.0,D. Powell makes 2-pt layup from 1 ft (assist by L. Dončić),2-0, ,,1,0,2,-2,19.0
11:22.0, ,2-0,G. Vincent misses 2-pt jump shot from 11 ft,,1,0,2,-2,38.0
11:20.0, ,2-0,Offensive rebound by G. Vincent,,1,0,2,-2,40.0
11:19.0, ,2-0,G. Vincent misses 2-pt jump shot from 5 ft,,1,0,2,-2,41.0
11:19.0, ,2-0,Offensive rebound by C. Zeller,,1,0,2,-2,41.0
11:11.0, ,2-2,J. Butler makes 2-pt jump shot from 5 ft,Tie,1,2,2,0,49.0
10:52.0,K. Irving misses 3-pt jump shot from 26 ft,2-2, ,,1,2,2,0,68.0
10:52.0, ,2-2,Defensive rebound by T. Herro,,1,2,2,0,68.0
10:41.0, ,2-2,G. Vincent misses 3-pt jump shot from 23 ft,,1,2,2,0,79.0
10:37.0,Defensive rebound by D. Powell,2-2, ,,1,2,2,0,83.0
10:23.0,K. Irving makes 2-pt jump shot from 10 ft (assist by R. Bullock),4-2, ,,1,2,4,-2,97.0
10:09.0, ,4-4,J. Butler makes 2-pt jump shot from 5 ft,Tie,1,4,4,0,111.0
9:53.0,L. Dončić misses 2-pt jump shot from 13 ft,4-4, ,,1,4,4,0,127.0
9:50.0, ,4-4,Defensive rebound by G. Vincent,,1,4,4,0,130.0
9:39.0, ,4-6,G. Vincent makes 2-pt jump shot from 9 ft,Lead change,1,6,4,2,141.0
9:39.0, ,4-6,Shooting foul by T. Hardaway (drawn by G. Vincent),,1,6,4,2,141.0
9:39.0, ,4-7,G. Vincent makes free throw 1 of 1,,1,7,4,3,141.0
9:32.0,L. Dončić makes 2-pt jump shot from 5 ft,6-7, ,,1,7,6,1,148.0
9:32.0,Shooting foul by J. Butler (drawn by L. Dončić),6-7, ,,1,7,6,1,148.0
9:32.0,L. Dončić makes free throw 1 of 1,7-7, ,Tie,1,7,7,0,148.0
9:23.0, ,7-7,T. Herro misses 3-pt jump shot from 25 ft,,1,7,7,0,157.0
9:21.0,Defensive rebound by L. Dončić,7-7, ,,1,7,7,0,159.0
9:09.0,Shooting foul by M. Strus (drawn by L. Dončić),7-7, ,,1,7,7,0,171.0
9:09.0,L. Dončić makes free throw 1 of 2,8-7, ,Lead change,1,7,8,-1,171.0
9:09.0,L. Dončić makes free throw 2 of 2,9-7, ,,1,7,9,-2,171.0
9:02.0, ,9-7,Shooting foul by D. Powell (drawn by J. Butler),,1,7,9,-2,178.0
9:02.0, ,9-8,J. Butler makes free throw 1 of 2,,1,8,9,-1,178.0
9:02.0, ,9-9,J. Butler makes free throw 2 of 2,Tie,1,9,9,0,178.0
8:51.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by L. Dončić),12-9, ,,1,9,12,-3,189.0
8:32.0, ,12-12,M. Strus makes 3-pt jump shot from 23 ft (assist by J. Butler),Tie,1,12,12,0,208.0
8:19.0,L. Dončić makes 2-pt jump shot from 3 ft,14-12, ,,1,12,14,-2,221.0
8:07.0, ,14-12,C. Zeller misses 2-pt layup from 5 ft,,1,12,14,-2,233.0
8:04.0,Defensive rebound by L. Dončić,14-12, ,,1,12,14,-2,236.0
7:51.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by L. Dončić),17-12, ,,1,12,17,-5,249.0
7:41.0, ,17-12,T. Herro misses 2-pt jump shot from 13 ft,,1,12,17,-5,259.0
7:38.0,Defensive rebound by K. Irving,17-12, ,,1,12,17,-5,262.0
7:36.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by K. Irving),20-12, ,,1,12,20,-8,264.0
7:36.0, ,20-12,Miami full timeout,,1,12,20,-8,264.0
7:16.0, ,20-15,J. Butler makes 3-pt jump shot from 24 ft (assist by T. Herro),,1,15,20,-5,284.0
7:01.0,T. Hardaway makes 2-pt dunk from 1 ft (assist by L. Dončić),22-15, ,,1,15,22,-7,299.0
6:50.0, ,22-17,J. Butler makes 2-pt jump shot from 17 ft,,1,17,22,-5,310.0
6:40.0,K. Irving misses 2-pt layup from 1 ft,22-17, ,,1,17,22,-5,320.0
6:38.0, ,22-17,Defensive rebound by C. Zeller,,1,17,22,-5,322.0
6:21.0, ,22-19,J. Butler makes 2-pt jump shot from 16 ft,,1,19,22,-3,339.0
6:21.0, ,22-19,Shooting foul by R. Bullock (drawn by J. Butler),,1,19,22,-3,339.0
6:21.0,M. Kleber enters the game for D. Powell,22-19, ,,1,19,22,-3,339.0
6:21.0, ,22-19,K. Lowry enters the game for T. Herro,,1,19,22,-3,339.0
6:21.0, ,22-20,J. Butler makes free throw 1 of 1,,1,20,22,-2,339.0
6:06.0,R. Bullock misses 3-pt jump shot from 24 ft,22-20, ,,1,20,22,-2,354.0
6:04.0, ,22-20,Defensive rebound by J. Butler,,1,20,22,-2,356.0
5:56.0, ,22-22,C. Zeller makes 2-pt layup from 1 ft (assist by J. Butler),Tie,1,22,22,0,364.0
5:39.0,Turnover by T. Hardaway (lost ball; steal by K. Lowry),22-22, ,,1,22,22,0,381.0
5:38.0, ,22-22,Turnover by M. Strus (bad pass; steal by L. Dončić),,1,22,22,0,382.0
5:38.0,L. Dončić makes 2-pt jump shot from 15 ft,24-22, ,,1,22,24,-2,382.0
5:23.0, ,24-25,G. Vincent makes 3-pt jump shot from 26 ft,Lead change,1,25,24,1,397.0
5:10.0,L. Dončić misses 3-pt jump shot from 26 ft,24-25, ,,1,25,24,1,410.0
5:08.0, ,24-25,Defensive rebound by C. Zeller,,1,25,24,1,412.0
4:51.0, ,24-25,J. Butler misses 3-pt jump shot from 25 ft,,1,25,24,1,429.0
4:47.0, ,24-25,Offensive rebound by G. Vincent,,1,25,24,1,433.0
4:44.0, ,24-25,G. Vincent misses 3-pt jump shot from 23 ft,,1,25,24,1,436.0
4:40.0, ,24-25,Offensive rebound by K. Lowry,,1,25,24,1,440.0
4:37.0, ,24-28,M. Strus makes 3-pt jump shot from 26 ft (assist by K. Lowry),,1,28,24,4,443.0
4:37.0,Dallas full timeout,24-28, ,,1,28,24,4,443.0
4:37.0,J. Green enters the game for R. Bullock,24-28, ,,1,28,24,4,443.0
4:37.0, ,24-28,K. Love enters the game for G. Vincent,,1,28,24,4,443.0
4:37.0, ,24-28,C. Martin enters the game for C. Zeller,,1,28,24,4,443.0
4:25.0,L. Dončić makes 2-pt layup from 3 ft (assist by K. Irving),26-28, ,,1,28,26,2,455.0
4:05.0, ,26-28,K. Lowry misses 2-pt jump shot from 9 ft,,1,28,26,2,475.0
4:04.0,Defensive rebound by M. Kleber,26-28, ,,1,28,26,2,476.0
3:57.0,L. Dončić misses 3-pt jump shot from 25 ft,26-28, ,,1,28,26,2,483.0
3:54.0, ,26-28,Defensive rebound by K. Lowry,,1,28,26,2,486.0
3:50.0, ,26-30,C. Martin makes 2-pt layup from 2 ft (assist by K. Lowry),,1,30,26,4,490.0
3:29.0,L. Dončić makes 2-pt jump shot from 10 ft,28-30, ,,1,30,28,2,511.0
3:12.0, ,28-30,K. Lowry misses 3-pt jump shot from 26 ft,,1,30,28,2,528.0
3:09.0,Defensive rebound by L. Dončić,28-30, ,,1,30,28,2,531.0
3:01.0,J. Green misses 3-pt jump shot from 23 ft,28-30, ,,1,30,28,2,539.0
3:01.0, ,28-30,Defensive rebound by Team,,1,30,28,2,539.0
3:01.0,J. Hardy enters the game for T. Hardaway,28-30, ,,1,30,28,2,539.0
3:01.0,C. Wood enters the game for K. Irving,28-30, ,,1,30,28,2,539.0
2:54.0, ,28-30,Personal foul by J. Hardy (drawn by M. Strus),,1,30,28,2,546.0
2:47.0, ,28-33,M. Strus makes 3-pt jump shot from 24 ft (assist by J. Butler),,1,33,28,5,553.0
2:32.0,M. Kleber makes 3-pt jump shot from 26 ft (assist by L. Dončić),31-33, ,,1,33,31,2,568.0
2:15.0, ,31-33,Shooting foul by M. Kleber (drawn by K. Lowry),,1,33,31,2,585.0
2:15.0, ,31-34,K. Lowry makes free throw 1 of 2,,1,34,31,3,585.0
2:15.0, ,31-34,D. Robinson enters the game for M. Strus,,1,34,31,3,585.0
2:15.0, ,31-35,K. Lowry makes free throw 2 of 2,,1,35,31,4,585.0
