Time,Detroit,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Bagley vs. B. Adebayo (I. Stewart gains possession),0-0,,,1,0,0,0,0.0
11:42.0,I. Stewart misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,18.0
11:36.0, ,0-0,Defensive rebound by M. Strus,,1,0,0,0,24.0
11:22.0, ,0-0,B. Adebayo misses 2-pt hook shot from 3 ft,,1,0,0,0,38.0
11:20.0,Defensive rebound by I. Stewart,0-0, ,,1,0,0,0,40.0
11:06.0,M. Bagley makes 2-pt hook shot from 6 ft (assist by J. Ivey),2-0, ,,1,0,2,-2,54.0
10:43.0, ,2-0,C. Martin misses 2-pt jump shot from 12 ft (block by K. Hayes),,1,0,2,-2,77.0
10:37.0,Defensive rebound by I. Stewart,2-0, ,,1,0,2,-2,83.0
10:36.0,Turnover by I. Stewart (bad pass; steal by K. Lowry),2-0, ,,1,0,2,-2,84.0
10:33.0, ,2-0,Offensive foul by B. Adebayo (drawn by K. Hayes),,1,0,2,-2,87.0
10:33.0, ,2-0,Turnover by B. Adebayo (offensive foul),,1,0,2,-2,87.0
10:19.0,K. Hayes misses 2-pt jump shot from 9 ft,2-0, ,,1,0,2,-2,101.0
10:16.0, ,2-0,Defensive rebound by B. Adebayo,,1,0,2,-2,104.0
10:08.0, ,2-3,M. Strus makes 3-pt jump shot from 26 ft (assist by T. Herro),Lead change,1,3,2,1,112.0
9:41.0,M. Bagley makes 2-pt jump shot from 13 ft (assist by B. Bogdanović),4-3, ,Lead change,1,3,4,-1,139.0
9:25.0, ,4-5,B. Adebayo makes 2-pt jump shot from 8 ft,Lead change,1,5,4,1,155.0
9:07.0,K. Hayes misses 2-pt jump shot from 14 ft,4-5, ,,1,5,4,1,173.0
9:07.0, ,4-5,Defensive rebound by B. Adebayo,,1,5,4,1,173.0
9:00.0, ,4-5,M. Strus misses 3-pt jump shot from 27 ft,,1,5,4,1,180.0
8:56.0,Defensive rebound by B. Bogdanović,4-5, ,,1,5,4,1,184.0
8:39.0,I. Stewart makes 2-pt jump shot from 20 ft (assist by B. Bogdanović),6-5, ,Lead change,1,5,6,-1,201.0
8:22.0, ,6-7,T. Herro makes 2-pt jump shot from 9 ft,Lead change,1,7,6,1,218.0
8:11.0,B. Bogdanović misses 3-pt jump shot from 26 ft,6-7, ,,1,7,6,1,229.0
8:11.0, ,6-7,Defensive rebound by B. Adebayo,,1,7,6,1,229.0
8:02.0, ,6-10,T. Herro makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,10,6,4,238.0
7:43.0,Personal foul by C. Martin (drawn by B. Bogdanović),6-10, ,,1,10,6,4,257.0
7:30.0,K. Hayes misses 3-pt jump shot from 25 ft,6-10, ,,1,10,6,4,270.0
7:24.0, ,6-10,Defensive rebound by K. Lowry,,1,10,6,4,276.0
7:12.0, ,6-12,B. Adebayo makes 2-pt dunk at rim (assist by K. Lowry),,1,12,6,6,288.0
6:49.0,B. Bogdanović misses 2-pt layup from 6 ft,6-12, ,,1,12,6,6,311.0
6:48.0, ,6-12,Defensive rebound by T. Herro,,1,12,6,6,312.0
6:37.0, ,6-14,T. Herro makes 2-pt jump shot from 10 ft (assist by K. Lowry),,1,14,6,8,323.0
