Time,Utah,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
3:51.0,W. Kessler makes 2-pt dunk from 3 ft (assist by K. Olynyk),113-111, ,,4,111,113,-2,2649.0
3:42.0, ,113-111,Miami full timeout,,4,111,113,-2,2658.0
3:34.0, ,113-114,J. Butler makes 3-pt jump shot from 26 ft (assist by B. Adebayo),Lead change,4,114,113,1,2666.0
3:20.0,S. Fontecchio misses 2-pt layup from 3 ft (block by J. Butler),113-114, ,,4,114,113,1,2680.0
3:19.0, ,113-114,Defensive rebound by T. Herro,,4,114,113,1,2681.0
3:05.0, ,113-114,J. Butler misses 3-pt jump shot from 27 ft,,4,114,113,1,2695.0
3:00.0,Defensive rebound by W. Kessler,113-114, ,,4,114,113,1,2700.0
2:50.0,Turnover by T. Horton-Tucker (bad pass; steal by C. Martin),113-114, ,,4,114,113,1,2710.0
2:46.0, ,113-114,Shooting foul by L. Markkanen (drawn by J. Butler),,4,114,113,1,2714.0
2:46.0, ,113-114,J. Butler misses free throw 1 of 2,,4,114,113,1,2714.0
2:46.0, ,113-114,Offensive rebound by Team,,4,114,113,1,2714.0
2:46.0, ,113-114,J. Butler misses free throw 2 of 2,,4,114,113,1,2714.0
2:42.0,Defensive rebound by W. Kessler,113-114, ,,4,114,113,1,2718.0
2:26.0,L. Markkanen misses 2-pt hook shot from 8 ft,113-114, ,,4,114,113,1,2734.0
2:26.0,Offensive rebound by L. Markkanen,113-114, ,,4,114,113,1,2734.0
2:26.0,L. Markkanen misses 2-pt layup at rim,113-114, ,,4,114,113,1,2734.0
2:26.0,Personal foul by J. Butler (drawn by L. Markkanen),113-114, ,,4,114,113,1,2734.0
2:26.0,O. Agbaji enters the game for K. Olynyk,113-114, ,,4,114,113,1,2734.0
2:17.0,L. Markkanen misses 2-pt jump shot from 7 ft (block by C. Martin),113-114, ,,4,114,113,1,2743.0
2:13.0, ,113-114,Defensive rebound by C. Martin,,4,114,113,1,2747.0
2:05.0, ,113-114,Turnover by B. Adebayo (traveling),,4,114,113,1,2755.0
1:51.0,L. Markkanen misses 2-pt jump shot from 17 ft,113-114, ,,4,114,113,1,2769.0
1:47.0, ,113-114,Defensive rebound by J. Butler,,4,114,113,1,2773.0
1:33.0, ,113-114,T. Herro misses 3-pt jump shot from 27 ft,,4,114,113,1,2787.0
1:30.0,Defensive rebound by T. Horton-Tucker,113-114, ,,4,114,113,1,2790.0
1:16.0,T. Horton-Tucker makes 2-pt jump shot from 10 ft,115-114, ,Lead change,4,114,115,-1,2804.0
0:55.0, ,115-117,T. Herro makes 3-pt jump shot from 28 ft (assist by J. Butler),Lead change,4,117,115,2,2825.0
0:46.0,Offensive foul by S. Fontecchio (drawn by G. Vincent),115-117, ,,4,117,115,2,2834.0
0:46.0,Turnover by S. Fontecchio (offensive foul),115-117, ,,4,117,115,2,2834.0
0:46.0, ,115-117,Miami full timeout,,4,117,115,2,2834.0
0:46.0, ,115-117,Instant Replay (Challenge: Ruling Stands),,4,117,115,2,2834.0
0:24.0, ,115-117,Turnover by T. Herro (lost ball; steal by O. Agbaji),,4,117,115,2,2856.0
0:06.0,O. Agbaji misses 2-pt layup from 5 ft (block by B. Adebayo),115-117, ,,4,117,115,2,2874.0
0:06.0, ,115-117,Defensive rebound by B. Adebayo,,4,117,115,2,2874.0
0:06.0, ,115-117,Personal take foul by S. Fontecchio (drawn by B. Adebayo),,4,117,115,2,2874.0
0:06.0, ,115-118,B. Adebayo makes free throw 1 of 2,,4,118,115,3,2874.0
0:06.0, ,115-118,V. Oladipo enters the game for T. Herro,,4,118,115,3,2874.0
0:06.0, ,115-119,B. Adebayo makes free throw 2 of 2,,4,119,115,4,2874.0
0:06.0,Utah full timeout,115-119, ,,4,119,115,4,2874.0
0:06.0,K. Olynyk enters the game for W. Kessler,115-119, ,,4,119,115,4,2874.0
0:00.0,L. Markkanen misses 2-pt jump shot from 22 ft,115-119, ,,4,119,115,4,2880.0
0:00.0,Offensive rebound by S. Fontecchio,115-119, ,,4,119,115,4,2880.0
0:00.0,End of 4th quarter,115-119,,,4,119,115,4,2880.0
