Time,Miami,Score,Indiana,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. M. Turner (T. Herro gains possession),0-0,,,1,0,0,0,0.0
11:45.0,Shooting foul by A. Nembhard (drawn by J. Butler),0-0, ,,1,0,0,0,15.0
11:45.0,J. Butler makes free throw 1 of 2,1-0, ,,1,1,0,1,15.0
11:45.0,J. Butler makes free throw 2 of 2,2-0, ,,1,2,0,2,15.0
11:32.0, ,2-3,A. Nesmith makes 3-pt jump shot from 23 ft (assist by A. Nembhard),Lead change,1,2,3,-1,28.0
11:19.0,K. Lowry misses 3-pt jump shot from 24 ft,2-3, ,,1,2,3,-1,41.0
11:16.0, ,2-3,Defensive rebound by M. Turner,,1,2,3,-1,44.0
11:08.0, ,2-3,Turnover by A. Nembhard (lost ball; steal by J. Butler),,1,2,3,-1,52.0
11:05.0,J. Butler misses 2-pt layup from 3 ft,2-3, ,,1,2,3,-1,55.0
11:02.0, ,2-3,Defensive rebound by T. Haliburton,,1,2,3,-1,58.0
10:57.0, ,2-3,M. Turner misses 2-pt layup from 4 ft,,1,2,3,-1,63.0
10:55.0,Defensive rebound by B. Adebayo,2-3, ,,1,2,3,-1,65.0
10:51.0,B. Adebayo misses 2-pt layup from 2 ft,2-3, ,,1,2,3,-1,69.0
10:48.0, ,2-3,Defensive rebound by B. Hield,,1,2,3,-1,72.0
10:41.0, ,2-3,B. Hield misses 3-pt jump shot from 24 ft,,1,2,3,-1,79.0
10:37.0,Defensive rebound by C. Martin,2-3, ,,1,2,3,-1,83.0
10:25.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by T. Herro),4-3, ,Lead change,1,4,3,1,95.0
10:08.0, ,4-5,A. Nesmith makes 2-pt jump shot from 12 ft,Lead change,1,4,5,-1,112.0
9:52.0,T. Herro misses 2-pt hook shot from 5 ft (block by A. Nesmith),4-5, ,,1,4,5,-1,128.0
9:52.0,Offensive rebound by Team,4-5, ,,1,4,5,-1,128.0
9:46.0,B. Adebayo makes 2-pt jump shot from 12 ft,6-5, ,Lead change,1,6,5,1,134.0
9:27.0, ,6-7,B. Hield makes 2-pt layup from 4 ft (assist by M. Turner),Lead change,1,6,7,-1,153.0
9:06.0,J. Butler makes 2-pt dunk at rim (assist by T. Herro),8-7, ,Lead change,1,8,7,1,174.0
8:53.0, ,8-9,B. Hield makes 2-pt jump shot from 18 ft (assist by T. Haliburton),Lead change,1,8,9,-1,187.0
8:34.0,B. Adebayo misses 2-pt jump shot from 7 ft,8-9, ,,1,8,9,-1,206.0
8:31.0, ,8-9,Defensive rebound by B. Hield,,1,8,9,-1,209.0
8:26.0, ,8-9,Turnover by T. Haliburton (traveling),,1,8,9,-1,214.0
8:07.0,T. Herro makes 3-pt jump shot from 28 ft (assist by J. Butler),11-9, ,Lead change,1,11,9,2,233.0
7:47.0, ,11-9,T. Haliburton misses 3-pt jump shot from 26 ft,,1,11,9,2,253.0
7:43.0,Defensive rebound by B. Adebayo,11-9, ,,1,11,9,2,257.0
7:40.0,Offensive foul by T. Herro (drawn by A. Nesmith),11-9, ,,1,11,9,2,260.0
7:40.0,Turnover by T. Herro (offensive foul),11-9, ,,1,11,9,2,260.0
7:19.0, ,11-11,M. Turner makes 2-pt jump shot from 10 ft,Tie,1,11,11,0,281.0
7:05.0,C. Martin misses 2-pt layup from 2 ft (block by T. Haliburton),11-11, ,,1,11,11,0,295.0
7:05.0, ,11-11,Defensive rebound by Team,,1,11,11,0,295.0
6:57.0, ,11-11,Turnover by T. Haliburton (bad pass; steal by C. Martin),,1,11,11,0,303.0
6:50.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by T. Herro),14-11, ,,1,14,11,3,310.0
6:49.0, ,14-11,Indiana full timeout,,1,14,11,3,311.0
6:49.0, ,14-11,B. Mathurin enters the game for B. Hield,,1,14,11,3,311.0
6:49.0, ,14-11,Violation by Team (delay of game),,1,14,11,3,311.0
