Time,Chicago,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Vučević vs. B. Adebayo (A. Caruso gains possession),0-0,,,1,0,0,0,0.0
11:48.0,Turnover by D. DeRozan (bad pass),0-0, ,,1,0,0,0,12.0
11:33.0, ,0-0,Turnover by G. Vincent (lost ball; steal by A. Caruso),,1,0,0,0,27.0
11:19.0,A. Caruso makes 2-pt layup from 5 ft (assist by P. Beverley),2-0, ,,1,0,2,-2,41.0
11:08.0, ,2-0,T. Herro misses 3-pt jump shot from 26 ft,,1,0,2,-2,52.0
11:06.0,Defensive rebound by N. Vučević,2-0, ,,1,0,2,-2,54.0
10:59.0,N. Vučević misses 3-pt jump shot from 25 ft,2-0, ,,1,0,2,-2,61.0
10:54.0, ,2-0,Defensive rebound by T. Herro,,1,0,2,-2,66.0
10:44.0, ,2-3,M. Strus makes 3-pt jump shot from 27 ft (assist by B. Adebayo),Lead change,1,3,2,1,76.0
10:28.0,Personal foul by B. Adebayo (drawn by A. Caruso),2-3, ,,1,3,2,1,92.0
10:21.0,Z. LaVine misses 3-pt jump shot from 26 ft,2-3, ,,1,3,2,1,99.0
10:15.0, ,2-3,Defensive rebound by B. Adebayo,,1,3,2,1,105.0
9:59.0, ,2-6,M. Strus makes 3-pt jump shot from 25 ft (assist by T. Herro),,1,6,2,4,121.0
9:47.0,Personal foul by T. Herro (drawn by P. Beverley),2-6, ,,1,6,2,4,133.0
9:35.0, ,2-6,Violation by Team (kicked ball),,1,6,2,4,145.0
9:27.0,A. Caruso makes 3-pt jump shot from 27 ft (assist by D. DeRozan),5-6, ,,1,6,5,1,153.0
9:09.0, ,5-6,B. Adebayo misses 2-pt jump shot from 12 ft,,1,6,5,1,171.0
9:04.0,Defensive rebound by Z. LaVine,5-6, ,,1,6,5,1,176.0
9:01.0,A. Caruso makes 3-pt jump shot from 24 ft (assist by Z. LaVine),8-6, ,Lead change,1,6,8,-2,179.0
8:43.0, ,8-9,M. Strus makes 3-pt jump shot from 23 ft (assist by B. Adebayo),Lead change,1,9,8,1,197.0
8:26.0,Z. LaVine misses 3-pt jump shot from 27 ft,8-9, ,,1,9,8,1,214.0
8:23.0, ,8-9,Defensive rebound by B. Adebayo,,1,9,8,1,217.0
8:09.0, ,8-9,M. Strus misses 3-pt jump shot from 26 ft,,1,9,8,1,231.0
8:06.0,Defensive rebound by N. Vučević,8-9, ,,1,9,8,1,234.0
7:56.0,P. Beverley misses 2-pt hook shot from 6 ft,8-9, ,,1,9,8,1,244.0
7:54.0,Offensive rebound by P. Beverley,8-9, ,,1,9,8,1,246.0
7:54.0,A. Caruso misses 3-pt jump shot from 27 ft,8-9, ,,1,9,8,1,246.0
7:50.0, ,8-9,Defensive rebound by J. Butler,,1,9,8,1,250.0
7:36.0, ,8-12,M. Strus makes 3-pt jump shot from 26 ft (assist by T. Herro),,1,12,8,4,264.0
7:18.0,Z. LaVine makes 2-pt layup from 6 ft (assist by D. DeRozan),10-12, ,,1,12,10,2,282.0
7:05.0, ,10-12,T. Herro misses 2-pt jump shot from 14 ft,,1,12,10,2,295.0
7:02.0,Defensive rebound by N. Vučević,10-12, ,,1,12,10,2,298.0
6:49.0,P. Beverley misses 3-pt jump shot from 27 ft,10-12, ,,1,12,10,2,311.0
