Time,Miami,Score,Philadelphia,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Embiid (J. Harden gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-3,D. Melton makes 3-pt jump shot from 26 ft (assist by J. Harden),,1,0,3,-3,20.0
11:19.0,G. Vincent makes 3-pt jump shot from 27 ft (assist by J. Butler),3-3, ,Tie,1,3,3,0,41.0
10:52.0, ,3-3,T. Harris misses 2-pt jump shot from 14 ft,,1,3,3,0,68.0
10:49.0,Defensive rebound by K. Love,3-3, ,,1,3,3,0,71.0
10:44.0,J. Butler misses 2-pt jump shot from 9 ft,3-3, ,,1,3,3,0,76.0
10:43.0,Offensive rebound by B. Adebayo,3-3, ,,1,3,3,0,77.0
10:43.0,B. Adebayo misses 2-pt layup at rim,3-3, ,,1,3,3,0,77.0
10:41.0, ,3-3,Defensive rebound by J. Embiid,,1,3,3,0,79.0
10:37.0, ,3-3,Shooting foul by T. Herro (drawn by J. Harden),,1,3,3,0,83.0
10:37.0, ,3-4,J. Harden makes free throw 1 of 2,,1,3,4,-1,83.0
10:37.0, ,3-4,J. Harden misses free throw 2 of 2,,1,3,4,-1,83.0
10:32.0,Defensive rebound by G. Vincent,3-4, ,,1,3,4,-1,88.0
10:30.0,Personal foul by T. Harris (drawn by G. Vincent),3-4, ,,1,3,4,-1,90.0
10:23.0,K. Love misses 3-pt jump shot from 26 ft,3-4, ,,1,3,4,-1,97.0
10:18.0, ,3-4,Defensive rebound by T. Harris,,1,3,4,-1,102.0
10:10.0, ,3-6,J. Harden makes 2-pt layup at rim,,1,3,6,-3,110.0
9:58.0,Personal foul by P. Tucker (drawn by J. Butler),3-6, ,,1,3,6,-3,122.0
9:45.0,J. Butler makes 3-pt jump shot from 26 ft (assist by B. Adebayo),6-6, ,Tie,1,6,6,0,135.0
9:30.0, ,6-8,J. Embiid makes 2-pt jump shot from 10 ft,,1,6,8,-2,150.0
9:10.0,T. Herro misses 2-pt jump shot from 12 ft,6-8, ,,1,6,8,-2,170.0
9:09.0,Offensive rebound by J. Butler,6-8, ,,1,6,8,-2,171.0
9:06.0,G. Vincent makes 3-pt jump shot from 27 ft (assist by J. Butler),9-8, ,Lead change,1,9,8,1,174.0
