Time,Miami,Score,Oklahoma City,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. D. Bazley (S. Gilgeous-Alexander gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-2,J. Williams makes 2-pt layup at rim (assist by S. Gilgeous-Alexander),,1,0,2,-2,19.0
11:23.0,M. Strus misses 3-pt jump shot from 24 ft,0-2, ,,1,0,2,-2,37.0
11:20.0, ,0-2,Defensive rebound by L. Dort,,1,0,2,-2,40.0
11:12.0, ,0-2,Turnover by J. Giddey (bad pass),,1,0,2,-2,48.0
10:58.0,B. Adebayo makes 2-pt jump shot from 7 ft (assist by C. Martin),2-2, ,Tie,1,2,2,0,62.0
10:42.0, ,2-2,J. Giddey misses 2-pt layup from 1 ft,,1,2,2,0,78.0
10:39.0,Defensive rebound by M. Strus,2-2, ,,1,2,2,0,81.0
10:32.0,K. Lowry misses 3-pt jump shot from 26 ft,2-2, ,,1,2,2,0,88.0
10:29.0, ,2-2,Defensive rebound by J. Williams,,1,2,2,0,91.0
10:13.0, ,2-4,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,,1,2,4,-2,107.0
9:55.0,B. Adebayo makes 2-pt jump shot from 13 ft,4-4, ,Tie,1,4,4,0,125.0
9:44.0, ,4-4,Turnover by S. Gilgeous-Alexander (bad pass; steal by M. Strus),,1,4,4,0,136.0
9:40.0,Shooting foul by D. Bazley (drawn by B. Adebayo),4-4, ,,1,4,4,0,140.0
9:40.0,B. Adebayo makes free throw 1 of 2,5-4, ,Lead change,1,5,4,1,140.0
9:40.0,B. Adebayo makes free throw 2 of 2,6-4, ,,1,6,4,2,140.0
9:27.0, ,6-6,S. Gilgeous-Alexander makes 2-pt jump shot from 8 ft,Tie,1,6,6,0,153.0
9:20.0,M. Strus makes 2-pt layup from 2 ft (assist by K. Lowry),8-6, ,,1,8,6,2,160.0
9:12.0, ,8-6,Turnover by S. Gilgeous-Alexander (bad pass),,1,8,6,2,168.0
8:57.0,B. Adebayo misses 2-pt layup from 3 ft,8-6, ,,1,8,6,2,183.0
8:54.0, ,8-6,Defensive rebound by S. Gilgeous-Alexander,,1,8,6,2,186.0
8:39.0, ,8-6,Shooting foul by K. Lowry (drawn by D. Bazley),,1,8,6,2,201.0
8:39.0, ,8-7,D. Bazley makes free throw 1 of 2,,1,8,7,1,201.0
8:39.0, ,8-7,D. Bazley misses free throw 2 of 2,,1,8,7,1,201.0
8:37.0,Defensive rebound by B. Adebayo,8-7, ,,1,8,7,1,203.0
8:20.0,Turnover by B. Adebayo (3 sec),8-7, ,,1,8,7,1,220.0
8:07.0, ,8-7,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,,1,8,7,1,233.0
8:05.0,Defensive rebound by M. Strus,8-7, ,,1,8,7,1,235.0
8:01.0,T. Herro misses 3-pt jump shot from 25 ft,8-7, ,,1,8,7,1,239.0
7:57.0, ,8-7,Defensive rebound by J. Giddey,,1,8,7,1,243.0
7:52.0, ,8-7,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,,1,8,7,1,248.0
7:51.0,Defensive rebound by B. Adebayo,8-7, ,,1,8,7,1,249.0
7:39.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by B. Adebayo),11-7, ,,1,11,7,4,261.0
7:22.0, ,11-9,L. Dort makes 2-pt jump shot from 7 ft,,1,11,9,2,278.0
7:14.0,Offensive foul by C. Martin (drawn by L. Dort),11-9, ,,1,11,9,2,286.0
7:14.0,Turnover by C. Martin (offensive foul),11-9, ,,1,11,9,2,286.0
7:04.0, ,11-12,L. Dort makes 3-pt jump shot from 23 ft (assist by J. Giddey),Lead change,1,11,12,-1,296.0
6:40.0,B. Adebayo misses 2-pt layup from 3 ft (block by D. Bazley),11-12, ,,1,11,12,-1,320.0
6:36.0,Offensive rebound by C. Martin,11-12, ,,1,11,12,-1,324.0
6:36.0,C. Martin misses 2-pt layup at rim,11-12, ,,1,11,12,-1,324.0
6:34.0, ,11-12,Defensive rebound by S. Gilgeous-Alexander,,1,11,12,-1,326.0
6:34.0, ,11-12,Shooting foul by T. Herro (drawn by S. Gilgeous-Alexander),,1,11,12,-1,326.0
6:34.0, ,11-12,Oklahoma City full timeout,,1,11,12,-1,326.0
6:34.0, ,11-13,S. Gilgeous-Alexander makes free throw 1 of 2,,1,11,13,-2,326.0
6:34.0, ,11-14,S. Gilgeous-Alexander makes free throw 2 of 2,,1,11,14,-3,326.0
6:13.0,T. Herro makes 3-pt jump shot from 26 ft (assist by C. Martin),14-14, ,Tie,1,14,14,0,347.0
5:52.0, ,14-16,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,1,14,16,-2,368.0
5:42.0,M. Strus makes 2-pt layup from 1 ft (assist by K. Lowry),16-16, ,Tie,1,16,16,0,378.0
5:27.0, ,16-18,J. Giddey makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),,1,16,18,-2,393.0
5:14.0,T. Herro misses 3-pt jump shot from 31 ft,16-18, ,,1,16,18,-2,406.0
5:10.0, ,16-18,Defensive rebound by J. Giddey,,1,16,18,-2,410.0
5:05.0, ,16-20,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft (assist by J. Giddey),,1,16,20,-4,415.0
5:04.0,Miami full timeout,16-20, ,,1,16,20,-4,416.0
5:04.0,V. Oladipo enters the game for T. Herro,16-20, ,,1,16,20,-4,416.0
5:04.0, ,16-20,A. Pokusevski enters the game for J. Williams,,1,16,20,-4,416.0
4:56.0,Personal foul by D. Bazley (drawn by K. Lowry),16-20, ,,1,16,20,-4,424.0
4:49.0,B. Adebayo misses 2-pt jump shot from 8 ft,16-20, ,,1,16,20,-4,431.0
4:47.0, ,16-20,Defensive rebound by D. Bazley,,1,16,20,-4,433.0
4:35.0, ,16-20,Turnover by L. Dort (step out of bounds),,1,16,20,-4,445.0
4:27.0,K. Lowry makes 3-pt jump shot from 26 ft,19-20, ,,1,19,20,-1,453.0
4:09.0, ,19-22,D. Bazley makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),,1,19,22,-3,471.0
4:02.0,Turnover by V. Oladipo (bad pass; steal by D. Bazley),19-22, ,,1,19,22,-3,478.0
3:58.0, ,19-22,Shooting foul by V. Oladipo (drawn by D. Bazley),,1,19,22,-3,482.0
3:58.0, ,19-22,D. Bazley misses free throw 1 of 2,,1,19,22,-3,482.0
3:58.0, ,19-22,Offensive rebound by Team,,1,19,22,-3,482.0
3:58.0,D. Dedmon enters the game for B. Adebayo,19-22, ,,1,19,22,-3,482.0
3:58.0,H. Highsmith enters the game for C. Martin,19-22, ,,1,19,22,-3,482.0
3:58.0, ,19-22,I. Joe enters the game for J. Giddey,,1,19,22,-3,482.0
3:58.0, ,19-23,D. Bazley makes free throw 2 of 2,,1,19,23,-4,482.0
3:47.0,Personal foul by I. Joe (drawn by K. Lowry),19-23, ,,1,19,23,-4,493.0
3:47.0, ,19-23,M. Muscala enters the game for D. Bazley,,1,19,23,-4,493.0
3:35.0,M. Strus misses 3-pt jump shot from 25 ft,19-23, ,,1,19,23,-4,505.0
3:31.0, ,19-23,Defensive rebound by A. Pokusevski,,1,19,23,-4,509.0
3:25.0, ,19-23,M. Muscala misses 3-pt jump shot from 29 ft,,1,19,23,-4,515.0
3:22.0,Defensive rebound by Team,19-23, ,,1,19,23,-4,518.0
3:08.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by V. Oladipo),22-23, ,,1,22,23,-1,532.0
2:49.0, ,22-23,I. Joe misses 2-pt jump shot from 16 ft,,1,22,23,-1,551.0
2:48.0, ,22-23,Offensive rebound by Team,,1,22,23,-1,552.0
2:48.0,T. Herro enters the game for K. Lowry,22-23, ,,1,22,23,-1,552.0
2:48.0,D. Robinson enters the game for M. Strus,22-23, ,,1,22,23,-1,552.0
2:48.0, ,22-23,A. Wiggins enters the game for L. Dort,,1,22,23,-1,552.0
2:37.0, ,22-25,A. Wiggins makes 2-pt layup from 1 ft (assist by A. Pokusevski),,1,22,25,-3,563.0
2:24.0,H. Highsmith misses 2-pt jump shot from 9 ft,22-25, ,,1,22,25,-3,576.0
2:22.0, ,22-25,Defensive rebound by M. Muscala,,1,22,25,-3,578.0
2:17.0, ,22-25,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,,1,22,25,-3,583.0
2:12.0, ,22-25,Offensive rebound by A. Pokusevski,,1,22,25,-3,588.0
2:12.0, ,22-25,A. Pokusevski misses 2-pt layup at rim,,1,22,25,-3,588.0
2:11.0,Defensive rebound by D. Dedmon,22-25, ,,1,22,25,-3,589.0
2:03.0,T. Herro makes 3-pt jump shot from 26 ft,25-25, ,Tie,1,25,25,0,597.0
1:46.0, ,25-25,Turnover by S. Gilgeous-Alexander (bad pass; steal by H. Highsmith),,1,25,25,0,614.0
1:38.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by D. Robinson),28-25, ,Lead change,1,28,25,3,622.0
1:17.0, ,28-25,A. Pokusevski misses 2-pt jump shot from 5 ft,,1,28,25,3,643.0
1:14.0, ,28-25,Offensive rebound by A. Wiggins,,1,28,25,3,646.0
1:11.0, ,28-25,Shooting foul by H. Highsmith (drawn by I. Joe),,1,28,25,3,649.0
1:11.0, ,28-26,I. Joe makes free throw 1 of 3,,1,28,26,2,649.0
1:11.0, ,28-27,I. Joe makes free throw 2 of 3,,1,28,27,1,649.0
1:11.0, ,28-28,I. Joe makes free throw 3 of 3,Tie,1,28,28,0,649.0
0:59.0,D. Dedmon misses 2-pt dunk from 2 ft (block by A. Pokusevski),28-28, ,,1,28,28,0,661.0
0:56.0, ,28-28,Defensive rebound by M. Muscala,,1,28,28,0,664.0
0:48.0, ,28-31,M. Muscala makes 3-pt jump shot from 27 ft (assist by S. Gilgeous-Alexander),Lead change,1,28,31,-3,672.0
0:28.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by T. Herro),31-31, ,Tie,1,31,31,0,692.0
0:09.0, ,31-31,S. Gilgeous-Alexander misses 2-pt jump shot from 6 ft,,1,31,31,0,711.0
0:04.0,Defensive rebound by H. Highsmith,31-31, ,,1,31,31,0,716.0
0:00.0,D. Dedmon misses 3-pt jump shot from 26 ft,31-31, ,,1,31,31,0,720.0
0:00.0,Offensive rebound by Team,31-31, ,,1,31,31,0,720.0
0:00.0,End of 1st quarter,31-31,,,1,31,31,0,720.0
12:00.0,Start of 2nd quarter,31-31,,,2,31,31,0,720.0
11:49.0,H. Highsmith misses 3-pt jump shot from 23 ft,31-31, ,,2,31,31,0,731.0
11:45.0,Offensive rebound by D. Robinson,31-31, ,,2,31,31,0,735.0
11:35.0,D. Robinson misses 3-pt jump shot from 26 ft,31-31, ,,2,31,31,0,745.0
11:31.0, ,31-31,Defensive rebound by A. Wiggins,,2,31,31,0,749.0
11:24.0, ,31-31,A. Pokusevski misses 2-pt jump shot from 4 ft,,2,31,31,0,756.0
11:24.0,Defensive rebound by Team,31-31, ,,2,31,31,0,756.0
11:02.0,T. Herro makes 3-pt jump shot from 28 ft (assist by D. Robinson),34-31, ,Lead change,2,34,31,3,778.0
10:34.0, ,34-31,Turnover by A. Pokusevski (bad pass; steal by V. Oladipo),,2,34,31,3,806.0
10:18.0,Shooting foul by E. Omoruyi (drawn by T. Herro),34-31, ,,2,34,31,3,822.0
10:18.0,T. Herro makes free throw 1 of 2,35-31, ,,2,35,31,4,822.0
10:18.0,T. Herro makes free throw 2 of 2,36-31, ,,2,36,31,5,822.0
10:11.0, ,36-31,E. Omoruyi misses 2-pt layup from 3 ft,,2,36,31,5,829.0
10:09.0,Defensive rebound by V. Oladipo,36-31, ,,2,36,31,5,831.0
10:03.0,T. Herro makes 3-pt jump shot from 23 ft (assist by V. Oladipo),39-31, ,,2,39,31,8,837.0
10:02.0, ,39-31,Oklahoma City full timeout,,2,39,31,8,838.0
9:55.0, ,39-31,Turnover by J. Williams (lost ball; steal by H. Highsmith),,2,39,31,8,845.0
9:42.0,T. Herro makes 3-pt jump shot from 23 ft (assist by H. Highsmith),42-31, ,,2,42,31,11,858.0
9:27.0, ,42-33,T. Mann makes 2-pt jump shot from 8 ft,,2,42,33,9,873.0
9:02.0,V. Oladipo misses 3-pt jump shot from 23 ft,42-33, ,,2,42,33,9,898.0
9:01.0, ,42-33,Defensive rebound by Team,,2,42,33,9,899.0
9:01.0,Loose ball foul by D. Dedmon (drawn by E. Omoruyi),42-33, ,,2,42,33,9,899.0
9:01.0, ,42-33,J. Giddey enters the game for A. Pokusevski,,2,42,33,9,899.0
8:51.0, ,42-33,T. Mann misses 3-pt jump shot from 26 ft,,2,42,33,9,909.0
8:47.0,Defensive rebound by D. Dedmon,42-33, ,,2,42,33,9,913.0
8:40.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by T. Herro),45-33, ,,2,45,33,12,920.0
8:40.0,B. Adebayo enters the game for D. Dedmon,45-33, ,,2,45,33,12,920.0
8:40.0,C. Martin enters the game for H. Highsmith,45-33, ,,2,45,33,12,920.0
8:14.0, ,45-33,Turnover by E. Omoruyi (bad pass; steal by V. Oladipo),,2,45,33,12,946.0
8:13.0,Jump ball: V. Oladipo vs. J. Williams (D. Robinson gains possession),45-33,,,2,45,33,12,947.0
8:07.0,T. Herro makes 3-pt jump shot from 25 ft,48-33, ,,2,48,33,15,953.0
7:51.0, ,48-33,J. Williams misses 3-pt jump shot from 26 ft,,2,48,33,15,969.0
7:48.0,Defensive rebound by B. Adebayo,48-33, ,,2,48,33,15,972.0
7:39.0,Turnover by B. Adebayo (lost ball; steal by A. Wiggins),48-33, ,,2,48,33,15,981.0
7:37.0,Violation by Team (kicked ball),48-33, ,,2,48,33,15,983.0
7:37.0, ,48-33,D. Bazley enters the game for E. Omoruyi,,2,48,33,15,983.0
7:29.0, ,48-33,J. Giddey misses 3-pt jump shot from 26 ft,,2,48,33,15,991.0
7:27.0,Defensive rebound by V. Oladipo,48-33, ,,2,48,33,15,993.0
7:13.0,C. Martin misses 3-pt jump shot from 23 ft,48-33, ,,2,48,33,15,1007.0
7:10.0, ,48-33,Defensive rebound by J. Williams,,2,48,33,15,1010.0
6:55.0, ,48-33,Turnover by J. Giddey (bad pass; steal by V. Oladipo),,2,48,33,15,1025.0
6:47.0,V. Oladipo makes 3-pt jump shot from 26 ft (assist by D. Robinson),51-33, ,,2,51,33,18,1033.0
6:46.0, ,51-33,Oklahoma City full timeout,,2,51,33,18,1034.0
6:46.0, ,51-33,L. Dort enters the game for T. Mann,,2,51,33,18,1034.0
6:46.0, ,51-33,S. Gilgeous-Alexander enters the game for J. Williams,,2,51,33,18,1034.0
6:24.0, ,51-33,L. Dort misses 3-pt jump shot from 24 ft,,2,51,33,18,1056.0
6:20.0,Defensive rebound by B. Adebayo,51-33, ,,2,51,33,18,1060.0
6:16.0,Turnover by B. Adebayo (step out of bounds),51-33, ,,2,51,33,18,1064.0
6:06.0, ,51-33,Personal foul by V. Oladipo (drawn by D. Bazley),,2,51,33,18,1074.0
5:54.0, ,51-35,J. Giddey makes 2-pt layup from 2 ft (assist by D. Bazley),,2,51,35,16,1086.0
5:28.0,V. Oladipo makes 3-pt jump shot from 24 ft,54-35, ,,2,54,35,19,1112.0
5:09.0, ,54-38,L. Dort makes 3-pt jump shot from 25 ft (assist by J. Giddey),,2,54,38,16,1131.0
4:57.0,Personal foul by L. Dort (drawn by T. Herro),54-38, ,,2,54,38,16,1143.0
4:57.0,H. Highsmith enters the game for T. Herro,54-38, ,,2,54,38,16,1143.0
4:57.0,K. Lowry enters the game for V. Oladipo,54-38, ,,2,54,38,16,1143.0
4:43.0,K. Lowry makes 2-pt jump shot from 14 ft,56-38, ,,2,56,38,18,1157.0
