Time,Miami,Score,Detroit,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Wiseman (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:42.0,Turnover by T. Herro (bad pass; steal by J. Ivey),0-0, ,,1,0,0,0,18.0
11:38.0, ,0-2,J. Ivey makes 2-pt dunk at rim,,1,0,2,-2,22.0
11:28.0,M. Strus makes 3-pt jump shot from 25 ft (assist by J. Butler),3-2, ,Lead change,1,3,2,1,32.0
11:12.0, ,3-2,J. Wiseman misses 2-pt layup from 6 ft,,1,3,2,1,48.0
11:09.0, ,3-2,Offensive rebound by J. Wiseman,,1,3,2,1,51.0
11:08.0, ,3-4,J. Wiseman makes 2-pt jump shot from 6 ft,Lead change,1,3,4,-1,52.0
10:53.0,T. Herro makes 2-pt jump shot from 21 ft (assist by B. Adebayo),5-4, ,Lead change,1,5,4,1,67.0
10:39.0, ,5-6,K. Hayes makes 2-pt jump shot from 10 ft,Lead change,1,5,6,-1,81.0
10:26.0,G. Vincent makes 3-pt jump shot from 24 ft (assist by J. Butler),8-6, ,Lead change,1,8,6,2,94.0
10:09.0, ,8-6,Turnover by I. Livers (bad pass; steal by J. Butler),,1,8,6,2,111.0
10:03.0,T. Herro makes 2-pt layup from 2 ft (assist by J. Butler),10-6, ,,1,10,6,4,117.0
9:49.0, ,10-6,K. Hayes misses 3-pt jump shot from 23 ft,,1,10,6,4,131.0
9:47.0,Defensive rebound by J. Butler,10-6, ,,1,10,6,4,133.0
9:37.0,B. Adebayo misses 2-pt hook shot from 7 ft,10-6, ,,1,10,6,4,143.0
9:36.0, ,10-6,Defensive rebound by I. Livers,,1,10,6,4,144.0
9:15.0, ,10-8,J. Wiseman makes 2-pt hook shot from 3 ft (assist by J. Duren),,1,10,8,2,165.0
9:00.0,T. Herro misses 3-pt jump shot from 26 ft,10-8, ,,1,10,8,2,180.0
8:58.0, ,10-8,Defensive rebound by J. Duren,,1,10,8,2,182.0
8:53.0, ,10-8,Turnover by J. Ivey (bad pass; steal by J. Butler),,1,10,8,2,187.0
8:47.0,M. Strus misses 3-pt jump shot from 26 ft,10-8, ,,1,10,8,2,193.0
8:45.0, ,10-8,Defensive rebound by J. Wiseman,,1,10,8,2,195.0
8:35.0, ,10-8,J. Wiseman misses 2-pt jump shot from 10 ft,,1,10,8,2,205.0
