Time,New York,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Robinson vs. B. Adebayo (J. Brunson gains possession),0-0,,,1,0,0,0,0.0
11:41.0,J. Randle makes 2-pt jump shot from 12 ft (assist by R. Barrett),2-0, ,,1,0,2,-2,19.0
11:23.0, ,2-2,B. Adebayo makes 2-pt jump shot from 13 ft (assist by J. Butler),Tie,1,2,2,0,37.0
11:05.0,Q. Grimes makes 3-pt jump shot from 24 ft (assist by J. Randle),5-2, ,,1,2,5,-3,55.0
10:44.0, ,5-2,J. Butler misses 2-pt jump shot from 10 ft,,1,2,5,-3,76.0
10:38.0,Defensive rebound by M. Robinson,5-2, ,,1,2,5,-3,82.0
10:28.0,J. Brunson makes 2-pt jump shot from 1 ft (assist by J. Randle),7-2, ,,1,2,7,-5,92.0
10:16.0, ,7-2,Personal foul by Q. Grimes (drawn by J. Butler),,1,2,7,-5,104.0
10:07.0, ,7-2,K. Love misses 3-pt jump shot from 26 ft,,1,2,7,-5,113.0
10:05.0,Defensive rebound by M. Robinson,7-2, ,,1,2,7,-5,115.0
9:53.0,J. Brunson misses 3-pt jump shot from 23 ft,7-2, ,,1,2,7,-5,127.0
9:53.0,Offensive rebound by M. Robinson,7-2, ,,1,2,7,-5,127.0
9:53.0,Shooting foul by K. Love (drawn by M. Robinson),7-2, ,,1,2,7,-5,127.0
9:53.0,M. Robinson misses free throw 1 of 2,7-2, ,,1,2,7,-5,127.0
9:53.0,Offensive rebound by Team,7-2, ,,1,2,7,-5,127.0
9:53.0,M. Robinson makes free throw 2 of 2,8-2, ,,1,2,8,-6,127.0
9:41.0, ,8-4,T. Herro makes 2-pt jump shot from 9 ft,,1,4,8,-4,139.0
9:21.0,J. Brunson makes 2-pt layup from 2 ft,10-4, ,,1,4,10,-6,159.0
9:14.0, ,10-4,Personal foul by R. Barrett (drawn by G. Vincent),,1,4,10,-6,166.0
9:06.0, ,10-7,K. Love makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,7,10,-3,174.0
8:53.0,R. Barrett misses 3-pt jump shot from 24 ft,10-7, ,,1,7,10,-3,187.0
8:48.0,Offensive rebound by M. Robinson,10-7, ,,1,7,10,-3,192.0
8:48.0,M. Robinson makes 2-pt layup at rim,12-7, ,,1,7,12,-5,192.0
8:47.0, ,12-7,Personal foul by J. Brunson (drawn by J. Butler),,1,7,12,-5,193.0
8:33.0, ,12-10,G. Vincent makes 3-pt jump shot from 24 ft (assist by J. Butler),,1,10,12,-2,207.0
8:15.0,Turnover by J. Brunson (bad pass; steal by B. Adebayo),12-10, ,,1,10,12,-2,225.0
8:10.0, ,12-12,B. Adebayo makes 2-pt layup from 2 ft (assist by K. Love),Tie,1,12,12,0,230.0
7:47.0,J. Randle misses 2-pt jump shot from 14 ft,12-12, ,,1,12,12,0,253.0
7:45.0, ,12-12,Defensive rebound by J. Butler,,1,12,12,0,255.0
7:41.0, ,12-15,G. Vincent makes 3-pt jump shot from 25 ft (assist by J. Butler),Lead change,1,15,12,3,259.0
7:17.0,M. Robinson makes 2-pt dunk at rim,14-15, ,,1,15,14,1,283.0
6:59.0, ,14-18,J. Butler makes 3-pt jump shot from 24 ft (assist by G. Vincent),,1,18,14,4,301.0
6:45.0,R. Barrett misses 2-pt jump shot from 6 ft,14-18, ,,1,18,14,4,315.0
6:42.0, ,14-18,Defensive rebound by K. Love,,1,18,14,4,318.0
6:39.0, ,14-20,J. Butler makes 2-pt layup from 1 ft (assist by K. Love),,1,20,14,6,321.0
6:31.0,New York full timeout,14-20, ,,1,20,14,6,329.0
6:12.0,J. Randle makes 3-pt jump shot from 23 ft (assist by J. Brunson),17-20, ,,1,20,17,3,348.0
5:47.0, ,17-20,B. Adebayo misses 2-pt jump shot from 12 ft,,1,20,17,3,373.0
5:44.0,Defensive rebound by J. Randle,17-20, ,,1,20,17,3,376.0
5:35.0,Q. Grimes misses 3-pt jump shot from 22 ft,17-20, ,,1,20,17,3,385.0
5:33.0,Offensive rebound by M. Robinson,17-20, ,,1,20,17,3,387.0
5:29.0,J. Randle misses 3-pt jump shot from 23 ft,17-20, ,,1,20,17,3,391.0
5:27.0, ,17-20,Defensive rebound by K. Love,,1,20,17,3,393.0
5:26.0, ,17-20,Turnover by B. Adebayo (lost ball; steal by J. Randle),,1,20,17,3,394.0
5:21.0,Q. Grimes misses 3-pt jump shot from 26 ft,17-20, ,,1,20,17,3,399.0
