Time,Miami,Score,LA Lakers,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. T. Bryant (D. Schröder gains possession),0-0,,,1,0,0,0,0.0
11:46.0, ,0-0,A. Reaves misses 3-pt jump shot from 23 ft,,1,0,0,0,14.0
11:42.0,Defensive rebound by T. Herro,0-0, ,,1,0,0,0,18.0
11:33.0,B. Adebayo misses 2-pt jump shot from 17 ft,0-0, ,,1,0,0,0,27.0
11:29.0, ,0-0,Defensive rebound by A. Reaves,,1,0,0,0,31.0
11:25.0, ,0-2,P. Beverley makes 2-pt layup from 5 ft,,1,0,2,-2,35.0
11:10.0,K. Lowry makes 2-pt jump shot from 9 ft (assist by B. Adebayo),2-2, ,Tie,1,2,2,0,50.0
10:54.0, ,2-2,T. Bryant misses 2-pt jump shot from 14 ft,,1,2,2,0,66.0
10:48.0,Defensive rebound by B. Adebayo,2-2, ,,1,2,2,0,72.0
10:41.0,B. Adebayo makes 2-pt jump shot from 8 ft (assist by K. Lowry),4-2, ,Lead change,1,4,2,2,79.0
10:26.0, ,4-2,D. Schröder misses 2-pt layup from 5 ft (block by B. Adebayo),,1,4,2,2,94.0
10:26.0, ,4-2,Offensive rebound by Team,,1,4,2,2,94.0
10:19.0, ,4-4,T. Bryant makes 2-pt dunk from 1 ft,Tie,1,4,4,0,101.0
10:06.0,T. Herro makes 2-pt layup from 3 ft (assist by B. Adebayo),6-4, ,,1,6,4,2,114.0
9:49.0, ,6-4,Offensive foul by J. Toscano-Anderson (drawn by K. Lowry),,1,6,4,2,131.0
9:49.0, ,6-4,Turnover by J. Toscano-Anderson (offensive foul),,1,6,4,2,131.0
9:30.0,B. Adebayo misses 2-pt jump shot from 9 ft,6-4, ,,1,6,4,2,150.0
9:27.0, ,6-4,Defensive rebound by P. Beverley,,1,6,4,2,153.0
9:13.0, ,6-4,A. Reaves misses 3-pt jump shot from 27 ft,,1,6,4,2,167.0
9:11.0,Defensive rebound by B. Adebayo,6-4, ,,1,6,4,2,169.0
8:58.0,T. Herro misses 3-pt jump shot from 26 ft,6-4, ,,1,6,4,2,182.0
8:55.0, ,6-4,Defensive rebound by D. Schröder,,1,6,4,2,185.0
8:33.0, ,6-4,Turnover by P. Beverley (bad pass; steal by J. Butler),,1,6,4,2,207.0
8:27.0,J. Butler makes 2-pt layup from 2 ft (assist by C. Martin),8-4, ,,1,8,4,4,213.0
8:07.0, ,8-6,D. Schröder makes 2-pt layup from 4 ft,,1,8,6,2,233.0
7:54.0,T. Herro misses 2-pt layup from 5 ft,8-6, ,,1,8,6,2,246.0
7:52.0,Offensive rebound by B. Adebayo,8-6, ,,1,8,6,2,248.0
7:51.0,B. Adebayo makes 2-pt layup from 2 ft,10-6, ,,1,10,6,4,249.0
7:34.0, ,10-9,D. Schröder makes 3-pt jump shot from 23 ft (assist by P. Beverley),,1,10,9,1,266.0
7:11.0,K. Lowry makes 2-pt layup from 3 ft (assist by J. Butler),12-9, ,,1,12,9,3,289.0
6:54.0, ,12-9,Shooting foul by B. Adebayo (drawn by A. Reaves),,1,12,9,3,306.0
6:54.0, ,12-9,LA Lakers full timeout,,1,12,9,3,306.0
6:54.0, ,12-9,R. Westbrook enters the game for J. Toscano-Anderson,,1,12,9,3,306.0
6:54.0, ,12-10,A. Reaves makes free throw 1 of 2,,1,12,10,2,306.0
6:54.0, ,12-11,A. Reaves makes free throw 2 of 2,,1,12,11,1,306.0
6:29.0,Turnover by J. Butler (bad pass; steal by D. Schröder),12-11, ,,1,12,11,1,331.0
6:25.0, ,12-11,A. Reaves misses 3-pt jump shot from 25 ft,,1,12,11,1,335.0
6:18.0, ,12-11,Offensive rebound by T. Bryant,,1,12,11,1,342.0
