Time,Miami,Score,Portland,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:24.0, ,90-76,J. Winslow misses 3-pt jump shot from 27 ft,,3,90,76,14,2016.0
2:24.0,Defensive rebound by Team,90-76, ,,3,90,76,14,2016.0
2:24.0, ,90-76,N. Little enters the game for J. Grant,,3,90,76,14,2016.0
2:00.0,K. Lowry misses 3-pt jump shot from 29 ft,90-76, ,,3,90,76,14,2040.0
2:00.0,Offensive rebound by Team,90-76, ,,3,90,76,14,2040.0
2:00.0,Turnover by Team (shot clock),90-76, ,,3,90,76,14,2040.0
2:00.0,G. Vincent enters the game for J. Butler,90-76, ,,3,90,76,14,2040.0
2:00.0, ,90-76,S. Sharpe enters the game for D. Eubanks,,3,90,76,14,2040.0
1:46.0, ,90-76,S. Sharpe misses 2-pt jump shot from 14 ft,,3,90,76,14,2054.0
1:43.0,Defensive rebound by T. Herro,90-76, ,,3,90,76,14,2057.0
1:41.0,T. Herro misses 3-pt jump shot from 26 ft,90-76, ,,3,90,76,14,2059.0
1:41.0, ,90-76,Defensive rebound by J. Winslow,,3,90,76,14,2059.0
1:32.0, ,90-76,Shooting foul by T. Herro (drawn by J. Hart),,3,90,76,14,2068.0
1:32.0, ,90-77,J. Hart makes free throw 1 of 2,,3,90,77,13,2068.0
1:32.0,B. Adebayo enters the game for N. Jović,90-77, ,,3,90,77,13,2068.0
1:32.0,C. Martin enters the game for K. Lowry,90-77, ,,3,90,77,13,2068.0
1:32.0, ,90-78,J. Hart makes free throw 2 of 2,,3,90,78,12,2068.0
1:16.0,T. Herro makes 2-pt jump shot from 6 ft (assist by G. Vincent),92-78, ,,3,92,78,14,2084.0
0:57.0, ,92-78,A. Simons misses 3-pt jump shot from 28 ft,,3,92,78,14,2103.0
0:54.0, ,92-78,Offensive rebound by S. Sharpe,,3,92,78,14,2106.0
0:52.0, ,92-80,S. Sharpe makes 2-pt layup from 5 ft,,3,92,80,12,2108.0
0:35.0,Personal foul by A. Simons (drawn by T. Herro),92-80, ,,3,92,80,12,2125.0
0:24.0,B. Adebayo misses 2-pt jump shot from 10 ft,92-80, ,,3,92,80,12,2136.0
0:19.0, ,92-80,Defensive rebound by J. Hart,,3,92,80,12,2141.0
0:04.0, ,92-80,Turnover by A. Simons (bad pass; steal by C. Martin),,3,92,80,12,2156.0
0:02.0,C. Martin makes 2-pt dunk from 2 ft,94-80, ,,3,94,80,14,2158.0
0:02.0,Technical foul by C. Martin,94-80, ,,3,94,80,14,2158.0
0:02.0, ,94-81,A. Simons makes technical free throw,,3,94,81,13,2158.0
0:00.0,End of 3rd quarter,94-81,,,3,94,81,13,2160.0
12:00.0,Start of 4th quarter,94-81,,,4,94,81,13,2160.0
11:46.0,G. Vincent misses 3-pt jump shot from 26 ft,94-81, ,,4,94,81,13,2174.0
11:42.0,Offensive rebound by C. Martin,94-81, ,,4,94,81,13,2178.0
11:34.0,C. Martin misses 2-pt layup from 3 ft,94-81, ,,4,94,81,13,2186.0
11:30.0,Offensive rebound by M. Strus,94-81, ,,4,94,81,13,2190.0
11:30.0,M. Strus misses 2-pt layup at rim,94-81, ,,4,94,81,13,2190.0
11:29.0,Offensive rebound by C. Martin,94-81, ,,4,94,81,13,2191.0
11:27.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by C. Martin),97-81, ,,4,97,81,16,2193.0
11:27.0, ,97-81,Portland full timeout,,4,97,81,16,2193.0
11:07.0, ,97-81,K. Johnson misses 3-pt jump shot from 26 ft,,4,97,81,16,2213.0
11:07.0,Defensive rebound by Team,97-81, ,,4,97,81,16,2213.0
10:48.0,D. Robinson misses 3-pt jump shot from 28 ft,97-81, ,,4,97,81,16,2232.0
10:46.0,Offensive rebound by M. Strus,97-81, ,,4,97,81,16,2234.0
10:42.0,M. Strus misses 3-pt jump shot from 24 ft,97-81, ,,4,97,81,16,2238.0
10:39.0, ,97-81,Defensive rebound by S. Sharpe,,4,97,81,16,2241.0
10:36.0, ,97-81,S. Sharpe misses 2-pt jump shot from 16 ft,,4,97,81,16,2244.0
10:33.0,Defensive rebound by D. Robinson,97-81, ,,4,97,81,16,2247.0
10:18.0,D. Robinson misses 2-pt jump shot from 9 ft,97-81, ,,4,97,81,16,2262.0
10:16.0, ,97-81,Defensive rebound by J. Nurkić,,4,97,81,16,2264.0
10:01.0, ,97-81,Turnover by K. Johnson (bad pass; steal by C. Martin),,4,97,81,16,2279.0
9:56.0,C. Martin makes 2-pt layup from 4 ft,99-81, ,,4,99,81,18,2284.0
9:30.0, ,99-81,J. Winslow misses 2-pt jump shot from 12 ft,,4,99,81,18,2310.0
9:25.0, ,99-81,Offensive rebound by S. Sharpe,,4,99,81,18,2315.0
9:25.0, ,99-81,S. Sharpe misses 2-pt layup at rim,,4,99,81,18,2315.0
9:25.0,Defensive rebound by B. Adebayo,99-81, ,,4,99,81,18,2315.0
9:20.0,Shooting foul by J. Nurkić (drawn by B. Adebayo),99-81, ,,4,99,81,18,2320.0
9:20.0,B. Adebayo makes free throw 1 of 2,100-81, ,,4,100,81,19,2320.0
9:20.0, ,100-81,J. Grant enters the game for K. Johnson,,4,100,81,19,2320.0
9:20.0, ,100-81,J. Hart enters the game for N. Little,,4,100,81,19,2320.0
9:20.0, ,100-81,A. Simons enters the game for S. Sharpe,,4,100,81,19,2320.0
9:20.0,B. Adebayo makes free throw 2 of 2,101-81, ,,4,101,81,20,2320.0
9:01.0, ,101-81,J. Nurkić misses 2-pt layup from 3 ft,,4,101,81,20,2339.0
8:59.0,Defensive rebound by B. Adebayo,101-81, ,,4,101,81,20,2341.0
8:56.0,Personal foul by J. Winslow (drawn by M. Strus),101-81, ,,4,101,81,20,2344.0
8:50.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by D. Robinson),103-81, ,,4,103,81,22,2350.0
8:25.0, ,103-81,J. Grant misses 3-pt jump shot from 24 ft,,4,103,81,22,2375.0
8:21.0,Defensive rebound by M. Strus,103-81, ,,4,103,81,22,2379.0
8:20.0,Turnover by M. Strus (bad pass; steal by J. Winslow),103-81, ,,4,103,81,22,2380.0
8:20.0, ,103-83,J. Winslow makes 2-pt layup from 3 ft,,4,103,83,20,2380.0
8:10.0,C. Martin makes 3-pt jump shot from 23 ft (assist by G. Vincent),106-83, ,,4,106,83,23,2390.0
7:58.0, ,106-85,J. Winslow makes 2-pt dunk from 4 ft (assist by J. Grant),,4,106,85,21,2402.0
7:48.0,Personal foul by J. Nurkić (drawn by B. Adebayo),106-85, ,,4,106,85,21,2412.0
7:48.0, ,106-85,G. Brown enters the game for J. Grant,,4,106,85,21,2412.0
7:48.0, ,106-85,D. Eubanks enters the game for J. Nurkić,,4,106,85,21,2412.0
7:48.0, ,106-85,J. Walker enters the game for J. Winslow,,4,106,85,21,2412.0
7:39.0,Shooting foul by D. Eubanks (drawn by B. Adebayo),106-85, ,,4,106,85,21,2421.0
7:39.0,B. Adebayo makes free throw 1 of 2,107-85, ,,4,107,85,22,2421.0
7:39.0,B. Adebayo makes free throw 2 of 2,108-85, ,,4,108,85,23,2421.0
7:22.0, ,108-85,A. Simons misses 3-pt jump shot from 26 ft,,4,108,85,23,2438.0
7:13.0, ,108-85,Offensive rebound by J. Walker,,4,108,85,23,2447.0
7:13.0, ,108-87,J. Walker makes 2-pt layup at rim,,4,108,87,21,2447.0
7:05.0,Turnover by D. Robinson (traveling),108-87, ,,4,108,87,21,2455.0
6:48.0, ,108-87,D. Eubanks misses 2-pt hook shot from 11 ft,,4,108,87,21,2472.0
6:46.0,Defensive rebound by B. Adebayo,108-87, ,,4,108,87,21,2474.0
6:33.0,B. Adebayo makes 2-pt jump shot from 15 ft,110-87, ,,4,110,87,23,2487.0
6:31.0, ,110-87,Turnover by G. Brown (traveling),,4,110,87,23,2489.0
6:11.0,M. Strus makes 3-pt jump shot from 23 ft (assist by G. Vincent),113-87, ,,4,113,87,26,2509.0
5:50.0, ,113-87,D. Eubanks misses 2-pt jump shot from 17 ft,,4,113,87,26,2530.0
5:47.0,Defensive rebound by B. Adebayo,113-87, ,,4,113,87,26,2533.0
5:41.0,D. Robinson misses 3-pt jump shot from 28 ft,113-87, ,,4,113,87,26,2539.0
5:37.0,Offensive rebound by G. Vincent,113-87, ,,4,113,87,26,2543.0
5:37.0,Miami full timeout,113-87, ,,4,113,87,26,2543.0
5:37.0,H. Highsmith enters the game for B. Adebayo,113-87, ,,4,113,87,26,2543.0
5:37.0,N. Jović enters the game for C. Martin,113-87, ,,4,113,87,26,2543.0
5:37.0,D. Smith enters the game for M. Strus,113-87, ,,4,113,87,26,2543.0
5:37.0, ,113-87,K. Johnson enters the game for D. Eubanks,,4,113,87,26,2543.0
5:37.0, ,113-87,N. Little enters the game for J. Hart,,4,113,87,26,2543.0
5:37.0, ,113-87,S. Sharpe enters the game for A. Simons,,4,113,87,26,2543.0
5:31.0,D. Robinson misses 3-pt jump shot from 27 ft,113-87, ,,4,113,87,26,2549.0
5:28.0, ,113-87,Defensive rebound by S. Sharpe,,4,113,87,26,2552.0
5:23.0, ,113-89,K. Johnson makes 2-pt layup from 3 ft,,4,113,89,24,2557.0
5:00.0,G. Vincent misses 3-pt jump shot from 27 ft,113-89, ,,4,113,89,24,2580.0
4:58.0, ,113-89,Defensive rebound by S. Sharpe,,4,113,89,24,2582.0
4:52.0, ,113-89,S. Sharpe misses 2-pt layup from 7 ft,,4,113,89,24,2588.0
4:47.0, ,113-89,Offensive rebound by S. Sharpe,,4,113,89,24,2593.0
4:47.0, ,113-91,S. Sharpe makes 2-pt dunk at rim,,4,113,91,22,2593.0
4:26.0,D. Smith misses 3-pt jump shot from 23 ft,113-91, ,,4,113,91,22,2614.0
4:23.0, ,113-91,Defensive rebound by K. Johnson,,4,113,91,22,2617.0
4:14.0, ,113-91,S. Sharpe misses 3-pt jump shot from 29 ft,,4,113,91,22,2626.0
4:10.0,Defensive rebound by N. Jović,113-91, ,,4,113,91,22,2630.0
3:59.0,Turnover by G. Vincent (bad pass; steal by G. Brown),113-91, ,,4,113,91,22,2641.0
3:54.0, ,113-93,G. Brown makes 2-pt dunk from 3 ft (assist by J. Walker),,4,113,93,20,2646.0
3:41.0,Personal foul by K. Johnson (drawn by G. Vincent),113-93, ,,4,113,93,20,2659.0
3:41.0,G. Vincent makes free throw 1 of 2,114-93, ,,4,114,93,21,2659.0
3:41.0,G. Vincent makes free throw 2 of 2,115-93, ,,4,115,93,22,2659.0
3:30.0, ,115-93,N. Little misses 3-pt jump shot from 27 ft,,4,115,93,22,2670.0
3:25.0,Defensive rebound by H. Highsmith,115-93, ,,4,115,93,22,2675.0
3:17.0,N. Jović misses 3-pt jump shot from 23 ft,115-93, ,,4,115,93,22,2683.0
3:15.0, ,115-93,Defensive rebound by J. Walker,,4,115,93,22,2685.0
3:01.0, ,115-95,N. Little makes 2-pt dunk from 2 ft (assist by K. Johnson),,4,115,95,20,2699.0
2:43.0,G. Vincent misses 2-pt layup from 5 ft (block by G. Brown),115-95, ,,4,115,95,20,2717.0
2:41.0, ,115-95,Defensive rebound by K. Johnson,,4,115,95,20,2719.0
2:37.0, ,115-95,Turnover by N. Little (bad pass; steal by H. Highsmith),,4,115,95,20,2723.0
2:32.0,H. Highsmith makes 2-pt dunk from 2 ft (assist by G. Vincent),117-95, ,,4,117,95,22,2728.0
2:16.0, ,117-95,Personal foul by D. Smith (drawn by S. Sharpe),,4,117,95,22,2744.0
2:16.0,U. Haslem enters the game for G. Vincent,117-95, ,,4,117,95,22,2744.0
2:09.0, ,117-98,S. Sharpe makes 3-pt jump shot from 23 ft (assist by J. Walker),,4,117,98,19,2751.0
1:54.0,D. Smith makes 2-pt layup from 3 ft (assist by D. Robinson),119-98, ,,4,119,98,21,2766.0
1:42.0, ,119-98,N. Little misses 3-pt jump shot from 26 ft,,4,119,98,21,2778.0
1:39.0,Defensive rebound by U. Haslem,119-98, ,,4,119,98,21,2781.0
1:20.0,D. Smith misses 3-pt jump shot from 27 ft,119-98, ,,4,119,98,21,2800.0
1:15.0, ,119-98,Defensive rebound by J. Walker,,4,119,98,21,2805.0
1:13.0, ,119-98,G. Brown misses 2-pt layup from 5 ft (block by U. Haslem),,4,119,98,21,2807.0
1:13.0, ,119-98,Offensive rebound by Team,,4,119,98,21,2807.0
1:07.0, ,119-98,Shooting foul by N. Jović (drawn by G. Brown),,4,119,98,21,2813.0
1:07.0, ,119-98,G. Brown misses free throw 1 of 2,,4,119,98,21,2813.0
1:07.0, ,119-98,Offensive rebound by Team,,4,119,98,21,2813.0
1:07.0, ,119-98,G. Brown misses free throw 2 of 2,,4,119,98,21,2813.0
1:04.0,Defensive rebound by D. Smith,119-98, ,,4,119,98,21,2816.0
0:43.0,U. Haslem misses 2-pt jump shot from 12 ft,119-98, ,,4,119,98,21,2837.0
0:39.0, ,119-98,Defensive rebound by K. Johnson,,4,119,98,21,2841.0
0:30.0, ,119-98,Turnover by K. Johnson (bad pass; steal by D. Smith),,4,119,98,21,2850.0
0:06.0,Turnover by Team (shot clock),119-98, ,,4,119,98,21,2874.0
0:00.0,End of 4th quarter,119-98,,,4,119,98,21,2880.0
