Time,Miami,Score,Golden State,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:59.0,J. Butler makes technical free throw,100-103, ,,4,100,103,-3,2461.0
6:39.0,J. Butler misses 3-pt jump shot from 24 ft,100-103, ,,4,100,103,-3,2481.0
6:36.0, ,100-103,Defensive rebound by A. Wiggins,,4,100,103,-3,2484.0
6:20.0, ,100-103,K. Thompson misses 2-pt layup from 6 ft,,4,100,103,-3,2500.0
6:18.0,Defensive rebound by M. Strus,100-103, ,,4,100,103,-3,2502.0
6:11.0,K. Lowry misses 3-pt jump shot from 29 ft,100-103, ,,4,100,103,-3,2509.0
6:08.0, ,100-103,Defensive rebound by S. Curry,,4,100,103,-3,2512.0
5:59.0, ,100-105,K. Looney makes 2-pt dunk from 4 ft (assist by D. Green),,4,100,105,-5,2521.0
5:48.0,G. Vincent misses 3-pt jump shot from 26 ft,100-105, ,,4,100,105,-5,2532.0
5:45.0, ,100-105,Defensive rebound by S. Curry,,4,100,105,-5,2535.0
5:41.0, ,100-105,A. Wiggins misses 2-pt layup from 6 ft,,4,100,105,-5,2539.0
5:40.0, ,100-105,Offensive rebound by Team,,4,100,105,-5,2540.0
5:40.0,B. Adebayo enters the game for C. Martin,100-105, ,,4,100,105,-5,2540.0
5:40.0,T. Herro enters the game for G. Vincent,100-105, ,,4,100,105,-5,2540.0
5:32.0, ,100-108,S. Curry makes 3-pt jump shot from 25 ft,,4,100,108,-8,2548.0
5:31.0,Miami full timeout,100-108, ,,4,100,108,-8,2549.0
5:07.0,B. Adebayo makes 2-pt jump shot from 15 ft (assist by K. Lowry),102-108, ,,4,102,108,-6,2573.0
4:52.0, ,102-108,Turnover by D. Green (bad pass; steal by B. Adebayo),,4,102,108,-6,2588.0
4:28.0,B. Adebayo misses 2-pt jump shot from 18 ft,102-108, ,,4,102,108,-6,2612.0
4:25.0, ,102-108,Defensive rebound by Team,,4,102,108,-6,2615.0
4:14.0, ,102-111,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),,4,102,111,-9,2626.0
3:58.0,M. Strus makes 3-pt jump shot from 22 ft (assist by T. Herro),105-111, ,,4,105,111,-6,2642.0
3:36.0, ,105-111,S. Curry misses 2-pt layup from 7 ft (block by B. Adebayo),,4,105,111,-6,2664.0
3:35.0, ,105-111,Offensive rebound by Team,,4,105,111,-6,2665.0
3:31.0, ,105-111,K. Thompson misses 3-pt jump shot from 23 ft,,4,105,111,-6,2669.0
3:30.0, ,105-111,Offensive rebound by Team,,4,105,111,-6,2670.0
3:30.0,Loose ball foul by K. Lowry (drawn by D. Green),105-111, ,,4,105,111,-6,2670.0
3:28.0, ,105-111,Personal foul by K. Lowry (drawn by D. Green),,4,105,111,-6,2672.0
3:15.0, ,105-113,S. Curry makes 2-pt layup from 8 ft,,4,105,113,-8,2685.0
3:15.0,Miami full timeout,105-113, ,,4,105,113,-8,2685.0
3:02.0,M. Strus misses 3-pt jump shot from 28 ft,105-113, ,,4,105,113,-8,2698.0
3:00.0, ,105-113,Defensive rebound by D. Green,,4,105,113,-8,2700.0
2:46.0, ,105-113,S. Curry misses 3-pt jump shot from 22 ft,,4,105,113,-8,2714.0
2:43.0, ,105-113,Offensive rebound by D. Green,,4,105,113,-8,2717.0
2:40.0, ,105-116,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Thompson),,4,105,116,-11,2720.0
2:25.0,K. Lowry makes 2-pt layup from 4 ft,107-116, ,,4,107,116,-9,2735.0
2:04.0, ,107-118,S. Curry makes 2-pt jump shot from 19 ft,,4,107,118,-11,2756.0
1:49.0,Shooting foul by D. Green (drawn by M. Strus),107-118, ,,4,107,118,-11,2771.0
1:49.0,M. Strus misses free throw 1 of 2,107-118, ,,4,107,118,-11,2771.0
1:49.0,Offensive rebound by Team,107-118, ,,4,107,118,-11,2771.0
1:49.0,M. Strus makes free throw 2 of 2,108-118, ,,4,108,118,-10,2771.0
1:34.0, ,108-121,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,4,108,121,-13,2786.0
1:24.0,Turnover by K. Lowry (bad pass; steal by A. Wiggins),108-121, ,,4,108,121,-13,2796.0
1:19.0, ,108-121,K. Thompson misses 2-pt layup from 4 ft (block by M. Strus),,4,108,121,-13,2801.0
1:16.0,Defensive rebound by M. Strus,108-121, ,,4,108,121,-13,2804.0
1:09.0, ,108-121,Violation by Team (kicked ball),,4,108,121,-13,2811.0
1:03.0,B. Adebayo makes 2-pt dunk from 5 ft (assist by J. Butler),110-121, ,,4,110,121,-11,2817.0
0:42.0, ,110-121,D. Green misses 2-pt jump shot from 9 ft,,4,110,121,-11,2838.0
0:40.0, ,110-121,Offensive rebound by D. Green,,4,110,121,-11,2840.0
0:40.0, ,110-123,D. Green makes 2-pt layup at rim,,4,110,123,-13,2840.0
0:33.0,K. Lowry misses 3-pt jump shot from 30 ft,110-123, ,,4,110,123,-13,2847.0
0:29.0, ,110-123,Defensive rebound by A. Wiggins,,4,110,123,-13,2851.0
0:06.0, ,110-123,Turnover by Team (shot clock),,4,110,123,-13,2874.0
0:00.0,End of 4th quarter,110-123,,,4,110,123,-13,2880.0
