Time,Miami,Score,Utah,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. K. Olynyk (M. Strus gains possession),0-0,,,1,0,0,0,0.0
11:39.0,H. Highsmith makes 2-pt layup from 3 ft (assist by M. Strus),2-0, ,,1,2,0,2,21.0
11:16.0, ,2-0,Turnover by J. Clarkson (bad pass; steal by T. Herro),,1,2,0,2,44.0
11:07.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by M. Strus),4-0, ,,1,4,0,4,53.0
10:50.0, ,4-0,Personal foul by H. Highsmith (drawn by L. Markkanen),,1,4,0,4,70.0
10:40.0, ,4-2,M. Conley makes 2-pt jump shot from 11 ft (assist by J. Clarkson),,1,4,2,2,80.0
10:28.0,Turnover by B. Adebayo (lost ball; steal by K. Olynyk),4-2, ,,1,4,2,2,92.0
10:22.0, ,4-2,K. Olynyk misses 2-pt layup from 4 ft,,1,4,2,2,98.0
10:20.0, ,4-2,Offensive rebound by J. Vanderbilt,,1,4,2,2,100.0
10:20.0, ,4-4,J. Vanderbilt makes 2-pt dunk at rim,Tie,1,4,4,0,100.0
10:06.0,K. Lowry misses 3-pt jump shot from 25 ft,4-4, ,,1,4,4,0,114.0
10:03.0, ,4-4,Defensive rebound by J. Vanderbilt,,1,4,4,0,117.0
9:58.0, ,4-7,J. Clarkson makes 3-pt jump shot from 30 ft (assist by J. Vanderbilt),Lead change,1,4,7,-3,122.0
9:42.0,Flagrant foul type 1 by M. Conley (drawn by T. Herro),4-7, ,,1,4,7,-3,138.0
9:42.0,Instant Replay (Request: Ruling Stands),4-7, ,,1,4,7,-3,138.0
9:42.0,T. Herro misses flagrant free throw 1 of 3,4-7, ,,1,4,7,-3,138.0
9:42.0,Offensive rebound by Team,4-7, ,,1,4,7,-3,138.0
9:42.0,T. Herro makes flagrant free throw 2 of 3,5-7, ,,1,5,7,-2,138.0
9:42.0,T. Herro makes flagrant free throw 3 of 3,6-7, ,,1,6,7,-1,138.0
9:27.0,M. Strus misses 3-pt jump shot from 25 ft,6-7, ,,1,6,7,-1,153.0
9:22.0, ,6-7,Defensive rebound by Team,,1,6,7,-1,158.0
9:16.0, ,6-7,L. Markkanen misses 3-pt jump shot from 26 ft,,1,6,7,-1,164.0
9:12.0,Defensive rebound by T. Herro,6-7, ,,1,6,7,-1,168.0
9:07.0,Shooting foul by K. Olynyk (drawn by T. Herro),6-7, ,,1,6,7,-1,173.0
9:07.0,T. Herro makes free throw 1 of 2,7-7, ,Tie,1,7,7,0,173.0
9:07.0,T. Herro makes free throw 2 of 2,8-7, ,Lead change,1,8,7,1,173.0
8:53.0, ,8-7,M. Conley misses 3-pt jump shot from 25 ft,,1,8,7,1,187.0
8:48.0,Defensive rebound by T. Herro,8-7, ,,1,8,7,1,192.0
8:45.0,Personal foul by M. Conley (drawn by M. Strus),8-7, ,,1,8,7,1,195.0
8:41.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by B. Adebayo),11-7, ,,1,11,7,4,199.0
8:34.0, ,11-7,Personal foul by M. Strus (drawn by M. Conley),,1,11,7,4,206.0
8:27.0, ,11-10,J. Clarkson makes 3-pt jump shot from 27 ft (assist by M. Conley),,1,11,10,1,213.0
8:12.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by T. Herro),13-10, ,,1,13,10,3,228.0
7:57.0, ,13-10,Turnover by M. Conley (step out of bounds),,1,13,10,3,243.0
7:40.0,T. Herro misses 3-pt jump shot from 26 ft,13-10, ,,1,13,10,3,260.0
7:38.0, ,13-10,Defensive rebound by J. Vanderbilt,,1,13,10,3,262.0
7:32.0, ,13-10,J. Clarkson misses 3-pt jump shot from 27 ft,,1,13,10,3,268.0
7:29.0,Defensive rebound by T. Herro,13-10, ,,1,13,10,3,271.0
7:25.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Herro),15-10, ,,1,15,10,5,275.0
7:01.0, ,15-12,J. Clarkson makes 2-pt jump shot from 15 ft (assist by M. Conley),,1,15,12,3,299.0
6:50.0,Turnover by T. Herro (lost ball; steal by L. Markkanen),15-12, ,,1,15,12,3,310.0
6:37.0, ,15-12,L. Markkanen misses 3-pt jump shot from 28 ft,,1,15,12,3,323.0
6:34.0, ,15-12,Offensive rebound by J. Vanderbilt,,1,15,12,3,326.0
6:31.0, ,15-12,Offensive foul by L. Markkanen (drawn by K. Lowry),,1,15,12,3,329.0
6:31.0, ,15-12,Turnover by L. Markkanen (offensive foul),,1,15,12,3,329.0
6:31.0, ,15-12,Utah full timeout,,1,15,12,3,329.0
6:31.0, ,15-12,W. Kessler enters the game for M. Conley,,1,15,12,3,329.0
6:31.0, ,15-12,C. Sexton enters the game for J. Vanderbilt,,1,15,12,3,329.0
6:19.0,K. Lowry makes 2-pt layup from 3 ft (assist by B. Adebayo),17-12, ,,1,17,12,5,341.0
5:56.0, ,17-12,Personal foul by T. Herro (drawn by J. Clarkson),,1,17,12,5,364.0
5:56.0,V. Oladipo enters the game for B. Adebayo,17-12, ,,1,17,12,5,364.0
5:56.0,O. Robinson enters the game for M. Strus,17-12, ,,1,17,12,5,364.0
5:47.0, ,17-14,K. Olynyk makes 2-pt layup from 4 ft (assist by C. Sexton),,1,17,14,3,373.0
5:34.0,O. Robinson makes 2-pt jump shot from 6 ft (assist by K. Lowry),19-14, ,,1,19,14,5,386.0
5:15.0, ,19-14,Personal foul by H. Highsmith (drawn by L. Markkanen),,1,19,14,5,405.0
5:08.0, ,19-14,K. Olynyk misses 2-pt jump shot from 12 ft,,1,19,14,5,412.0
5:06.0,Defensive rebound by O. Robinson,19-14, ,,1,19,14,5,414.0
5:02.0,Turnover by K. Lowry (traveling),19-14, ,,1,19,14,5,418.0
5:02.0,J. Cain enters the game for H. Highsmith,19-14, ,,1,19,14,5,418.0
4:43.0, ,19-14,J. Clarkson misses 3-pt jump shot from 26 ft,,1,19,14,5,437.0
4:42.0, ,19-14,Offensive rebound by Team,,1,19,14,5,438.0
4:42.0,Loose ball foul by K. Lowry (drawn by K. Olynyk),19-14, ,,1,19,14,5,438.0
4:42.0, ,19-14,K. Olynyk misses free throw 1 of 2,,1,19,14,5,438.0
4:42.0, ,19-15,K. Olynyk makes free throw 2 of 2,,1,19,15,4,438.0
4:42.0, ,19-15,R. Gay enters the game for K. Olynyk,,1,19,15,4,438.0
4:22.0,V. Oladipo misses 3-pt jump shot from 26 ft,19-15, ,,1,19,15,4,458.0
4:20.0,Offensive rebound by J. Cain,19-15, ,,1,19,15,4,460.0
4:20.0,J. Cain makes 2-pt layup at rim,21-15, ,,1,21,15,6,460.0
4:20.0,Shooting foul by R. Gay (drawn by J. Cain),21-15, ,,1,21,15,6,460.0
4:20.0,J. Cain misses free throw 1 of 1,21-15, ,,1,21,15,6,460.0
4:16.0, ,21-15,Defensive rebound by L. Markkanen,,1,21,15,6,464.0
4:10.0, ,21-15,R. Gay misses 3-pt jump shot from 23 ft,,1,21,15,6,470.0
4:07.0,Defensive rebound by O. Robinson,21-15, ,,1,21,15,6,473.0
4:01.0,Turnover by V. Oladipo (bad pass),21-15, ,,1,21,15,6,479.0
3:48.0, ,21-18,R. Gay makes 3-pt jump shot from 23 ft (assist by J. Clarkson),,1,21,18,3,492.0
3:29.0,K. Lowry misses 3-pt jump shot from 26 ft,21-18, ,,1,21,18,3,511.0
3:28.0, ,21-18,Defensive rebound by L. Markkanen,,1,21,18,3,512.0
3:23.0, ,21-18,L. Markkanen misses 2-pt layup from 3 ft,,1,21,18,3,517.0
3:19.0, ,21-18,Offensive rebound by W. Kessler,,1,21,18,3,521.0
3:19.0, ,21-20,W. Kessler makes 2-pt layup at rim,,1,21,20,1,521.0
3:19.0,Miami full timeout,21-20, ,,1,21,20,1,521.0
3:19.0,G. Vincent enters the game for K. Lowry,21-20, ,,1,21,20,1,521.0
3:19.0, ,21-20,M. Beasley enters the game for J. Clarkson,,1,21,20,1,521.0
3:03.0,G. Vincent misses 3-pt jump shot from 25 ft,21-20, ,,1,21,20,1,537.0
2:58.0, ,21-20,Defensive rebound by L. Markkanen,,1,21,20,1,542.0
2:53.0, ,21-20,Shooting foul by O. Robinson (drawn by L. Markkanen),,1,21,20,1,547.0
2:53.0, ,21-21,L. Markkanen makes free throw 1 of 3,Tie,1,21,21,0,547.0
2:53.0, ,21-22,L. Markkanen makes free throw 2 of 3,Lead change,1,21,22,-1,547.0
2:53.0,B. Adebayo enters the game for T. Herro,21-22, ,,1,21,22,-1,547.0
2:53.0,D. Robinson enters the game for O. Robinson,21-22, ,,1,21,22,-1,547.0
2:53.0, ,21-23,L. Markkanen makes free throw 3 of 3,,1,21,23,-2,547.0
2:45.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by B. Adebayo),24-23, ,Lead change,1,24,23,1,555.0
2:29.0, ,24-23,C. Sexton misses 2-pt jump shot from 7 ft,,1,24,23,1,571.0
2:25.0,Defensive rebound by B. Adebayo,24-23, ,,1,24,23,1,575.0
2:19.0,B. Adebayo misses 2-pt layup from 5 ft,24-23, ,,1,24,23,1,581.0
2:17.0, ,24-23,Defensive rebound by C. Sexton,,1,24,23,1,583.0
2:08.0, ,24-23,W. Kessler misses 2-pt layup from 4 ft,,1,24,23,1,592.0
2:06.0, ,24-23,Offensive rebound by W. Kessler,,1,24,23,1,594.0
2:06.0, ,24-25,W. Kessler makes 2-pt layup at rim,Lead change,1,24,25,-1,594.0
1:53.0,B. Adebayo misses 2-pt jump shot from 3 ft (block by W. Kessler),24-25, ,,1,24,25,-1,607.0
1:50.0,Offensive rebound by B. Adebayo,24-25, ,,1,24,25,-1,610.0
1:48.0,B. Adebayo misses 2-pt jump shot from 7 ft (block by W. Kessler),24-25, ,,1,24,25,-1,612.0
1:46.0,Offensive rebound by B. Adebayo,24-25, ,,1,24,25,-1,614.0
1:44.0,D. Robinson misses 3-pt jump shot from 22 ft,24-25, ,,1,24,25,-1,616.0
1:41.0, ,24-25,Defensive rebound by W. Kessler,,1,24,25,-1,619.0
1:35.0, ,24-25,C. Sexton misses 2-pt jump shot from 9 ft,,1,24,25,-1,625.0
1:33.0,Defensive rebound by D. Robinson,24-25, ,,1,24,25,-1,627.0
1:19.0,B. Adebayo makes 2-pt dunk from 3 ft (assist by G. Vincent),26-25, ,Lead change,1,26,25,1,641.0
0:58.0, ,26-27,R. Gay makes 2-pt layup from 6 ft,Lead change,1,26,27,-1,662.0
0:53.0,Shooting foul by C. Sexton (drawn by V. Oladipo),26-27, ,,1,26,27,-1,667.0
0:53.0,V. Oladipo makes free throw 1 of 2,27-27, ,Tie,1,27,27,0,667.0
0:53.0,M. Strus enters the game for J. Cain,27-27, ,,1,27,27,0,667.0
0:53.0,V. Oladipo misses free throw 2 of 2,27-27, ,,1,27,27,0,667.0
0:51.0, ,27-27,Defensive rebound by W. Kessler,,1,27,27,0,669.0
0:29.0, ,27-30,M. Beasley makes 3-pt jump shot from 24 ft (assist by C. Sexton),,1,27,30,-3,691.0
0:08.0,V. Oladipo makes 2-pt layup from 5 ft,29-30, ,,1,29,30,-1,712.0
0:07.0, ,29-30,Turnover by W. Kessler (bad pass; steal by V. Oladipo),,1,29,30,-1,713.0
0:01.0,M. Strus makes 2-pt layup from 2 ft (assist by V. Oladipo),31-30, ,Lead change,1,31,30,1,719.0
0:00.0,End of 1st quarter,31-30,,,1,31,30,1,720.0
12:00.0,Start of 2nd quarter,31-30,,,2,31,30,1,720.0
11:46.0, ,31-33,M. Beasley makes 3-pt jump shot from 25 ft (assist by M. Conley),Lead change,2,31,33,-2,734.0
11:32.0,Turnover by M. Strus (out of bounds lost ball),31-33, ,,2,31,33,-2,748.0
11:21.0, ,31-36,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Conley),,2,31,36,-5,759.0
11:05.0,B. Adebayo makes 2-pt layup from 2 ft (assist by M. Strus),33-36, ,,2,33,36,-3,775.0
10:53.0, ,33-36,Personal foul by B. Adebayo (drawn by J. Vanderbilt),,2,33,36,-3,787.0
10:39.0, ,33-36,Shooting foul by V. Oladipo (drawn by R. Gay),,2,33,36,-3,801.0
10:39.0, ,33-37,R. Gay makes free throw 1 of 2,,2,33,37,-4,801.0
10:39.0, ,33-38,R. Gay makes free throw 2 of 2,,2,33,38,-5,801.0
10:23.0,G. Vincent makes 2-pt jump shot from 13 ft,35-38, ,,2,35,38,-3,817.0
10:02.0, ,35-38,J. Clarkson misses 3-pt jump shot from 26 ft,,2,35,38,-3,838.0
10:00.0,Defensive rebound by Team,35-38, ,,2,35,38,-3,840.0
9:48.0,V. Oladipo misses 3-pt jump shot from 25 ft,35-38, ,,2,35,38,-3,852.0
9:43.0,Offensive rebound by B. Adebayo,35-38, ,,2,35,38,-3,857.0
9:42.0,V. Oladipo misses 2-pt jump shot from 14 ft,35-38, ,,2,35,38,-3,858.0
9:39.0,Offensive rebound by B. Adebayo,35-38, ,,2,35,38,-3,861.0
9:39.0,Shooting foul by J. Vanderbilt (drawn by B. Adebayo),35-38, ,,2,35,38,-3,861.0
9:39.0,B. Adebayo makes free throw 1 of 2,36-38, ,,2,36,38,-2,861.0
9:39.0,B. Adebayo makes free throw 2 of 2,37-38, ,,2,37,38,-1,861.0
9:18.0, ,37-38,M. Beasley misses 3-pt jump shot from 26 ft,,2,37,38,-1,882.0
9:14.0,Defensive rebound by V. Oladipo,37-38, ,,2,37,38,-1,886.0
9:08.0,D. Robinson misses 2-pt jump shot from 9 ft,37-38, ,,2,37,38,-1,892.0
9:06.0,Offensive rebound by D. Robinson,37-38, ,,2,37,38,-1,894.0
9:05.0,M. Strus makes 3-pt jump shot from 25 ft (assist by D. Robinson),40-38, ,Lead change,2,40,38,2,895.0
9:03.0, ,40-38,Utah full timeout,,2,40,38,2,897.0
9:03.0, ,40-38,K. Olynyk enters the game for R. Gay,,2,40,38,2,897.0
8:48.0, ,40-40,M. Beasley makes 2-pt jump shot from 8 ft (assist by K. Olynyk),Tie,2,40,40,0,912.0
8:30.0,D. Robinson makes 2-pt layup from 3 ft (assist by B. Adebayo),42-40, ,,2,42,40,2,930.0
8:30.0,Shooting foul by J. Clarkson (drawn by D. Robinson),42-40, ,,2,42,40,2,930.0
8:30.0,D. Robinson makes free throw 1 of 1,43-40, ,,2,43,40,3,930.0
8:17.0, ,43-43,M. Beasley makes 3-pt jump shot from 25 ft (assist by M. Conley),Tie,2,43,43,0,943.0
8:04.0,G. Vincent misses 3-pt jump shot from 28 ft,43-43, ,,2,43,43,0,956.0
8:02.0, ,43-43,Defensive rebound by M. Conley,,2,43,43,0,958.0
7:58.0, ,43-43,Personal foul by G. Vincent (drawn by J. Vanderbilt),,2,43,43,0,962.0
7:58.0,T. Herro enters the game for M. Strus,43-43, ,,2,43,43,0,962.0
7:52.0, ,43-43,Offensive foul by K. Olynyk (drawn by G. Vincent),,2,43,43,0,968.0
7:52.0, ,43-43,Turnover by K. Olynyk (offensive foul),,2,43,43,0,968.0
7:43.0,D. Robinson makes 2-pt jump shot from 8 ft (assist by G. Vincent),45-43, ,,2,45,43,2,977.0
7:33.0, ,45-43,Shooting foul by D. Robinson (drawn by M. Conley),,2,45,43,2,987.0
7:33.0, ,45-44,M. Conley makes free throw 1 of 2,,2,45,44,1,987.0
7:33.0,K. Lowry enters the game for G. Vincent,45-44, ,,2,45,44,1,987.0
7:33.0, ,45-45,M. Conley makes free throw 2 of 2,Tie,2,45,45,0,987.0
7:27.0,Shooting foul by J. Vanderbilt (drawn by V. Oladipo),45-45, ,,2,45,45,0,993.0
7:27.0,V. Oladipo makes free throw 1 of 2,46-45, ,,2,46,45,1,993.0
7:27.0,V. Oladipo makes free throw 2 of 2,47-45, ,,2,47,45,2,993.0
7:05.0, ,47-45,Personal foul by K. Lowry (drawn by M. Conley),,2,47,45,2,1015.0
7:05.0, ,47-46,M. Conley makes free throw 1 of 2,,2,47,46,1,1015.0
7:05.0,O. Robinson enters the game for B. Adebayo,47-46, ,,2,47,46,1,1015.0
7:05.0, ,47-46,L. Markkanen enters the game for J. Clarkson,,2,47,46,1,1015.0
7:05.0, ,47-47,M. Conley makes free throw 2 of 2,Tie,2,47,47,0,1015.0
6:44.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by T. Herro),50-47, ,,2,50,47,3,1036.0
6:15.0, ,50-49,L. Markkanen makes 2-pt jump shot from 21 ft (assist by M. Beasley),,2,50,49,1,1065.0
6:01.0,T. Herro makes 2-pt jump shot from 12 ft,52-49, ,,2,52,49,3,1079.0
5:48.0, ,52-52,K. Olynyk makes 3-pt jump shot from 26 ft (assist by M. Conley),Tie,2,52,52,0,1092.0
5:31.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by T. Herro),55-52, ,,2,55,52,3,1109.0
5:13.0, ,55-52,K. Olynyk misses 2-pt hook shot from 5 ft,,2,55,52,3,1127.0
5:10.0,Defensive rebound by V. Oladipo,55-52, ,,2,55,52,3,1130.0
5:08.0,T. Herro makes 3-pt jump shot from 26 ft (assist by V. Oladipo),58-52, ,,2,58,52,6,1132.0
4:50.0, ,58-52,M. Beasley misses 2-pt jump shot from 16 ft,,2,58,52,6,1150.0
4:46.0,Defensive rebound by K. Lowry,58-52, ,,2,58,52,6,1154.0
4:39.0,V. Oladipo makes 2-pt jump shot from 17 ft,60-52, ,,2,60,52,8,1161.0
4:17.0, ,60-52,Turnover by K. Olynyk (lost ball; steal by V. Oladipo),,2,60,52,8,1183.0
4:10.0,V. Oladipo misses 2-pt layup from 3 ft,60-52, ,,2,60,52,8,1190.0
4:09.0,Offensive rebound by Team,60-52, ,,2,60,52,8,1191.0
