Time,Denver,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:23.0, ,108-103,Offensive rebound by Team,,4,103,108,-5,2737.0
2:23.0, ,108-104,M. Strus makes free throw 2 of 2,,4,104,108,-4,2737.0
2:02.0,N. Jokić makes 2-pt jump shot from 6 ft,110-104, ,,4,104,110,-6,2758.0
1:41.0, ,110-104,Turnover by J. Butler (off goaltending),,4,104,110,-6,2779.0
1:41.0, ,110-104,Instant Replay (Request: Stands),,4,104,110,-6,2779.0
1:31.0,Personal foul by B. Adebayo (drawn by V. Čančar),110-104, ,,4,104,110,-6,2789.0
1:23.0,B. Brown misses 3-pt jump shot from 25 ft,110-104, ,,4,104,110,-6,2797.0
1:17.0, ,110-104,Defensive rebound by J. Butler,,4,104,110,-6,2803.0
1:06.0, ,110-106,B. Adebayo makes 2-pt jump shot from 7 ft,,4,106,110,-4,2814.0
0:50.0,B. Brown misses 2-pt layup from 3 ft (block by B. Adebayo),110-106, ,,4,106,110,-4,2830.0
0:47.0, ,110-106,Defensive rebound by G. Vincent,,4,106,110,-4,2833.0
0:34.0, ,110-106,M. Strus misses 2-pt jump shot from 8 ft,,4,106,110,-4,2846.0
0:31.0,Defensive rebound by M. Porter,110-106, ,,4,106,110,-4,2849.0
0:19.0,M. Porter misses 3-pt jump shot from 26 ft,110-106, ,,4,106,110,-4,2861.0
0:16.0, ,110-106,Defensive rebound by C. Martin,,4,106,110,-4,2864.0
0:16.0, ,110-106,Miami full timeout,,4,106,110,-4,2864.0
0:16.0,C. Braun enters the game for M. Porter,110-106, ,,4,106,110,-4,2864.0
0:13.0, ,110-106,J. Butler misses 2-pt layup from 2 ft,,4,106,110,-4,2867.0
0:13.0, ,110-106,Offensive rebound by Team,,4,106,110,-4,2867.0
0:11.0, ,110-106,M. Strus misses 3-pt jump shot from 22 ft,,4,106,110,-4,2869.0
0:08.0,Defensive rebound by C. Braun,110-106, ,,4,106,110,-4,2872.0
0:07.0,Personal take foul by G. Vincent (drawn by C. Braun),110-106, ,,4,106,110,-4,2873.0
0:07.0,C. Braun makes free throw 1 of 2,111-106, ,,4,106,111,-5,2873.0
0:07.0,C. Braun misses free throw 2 of 2,111-106, ,,4,106,111,-5,2873.0
0:06.0, ,111-106,Defensive rebound by M. Strus,,4,106,111,-5,2874.0
0:06.0, ,111-106,Miami full timeout,,4,106,111,-5,2874.0
0:05.0, ,111-106,Shooting foul by B. Brown (drawn by M. Strus),,4,106,111,-5,2875.0
0:05.0, ,111-107,M. Strus makes free throw 1 of 3,,4,107,111,-4,2875.0
0:05.0, ,111-108,M. Strus makes free throw 2 of 3,,4,108,111,-3,2875.0
0:05.0,T. Bryant enters the game for C. Braun,111-108, ,,4,108,111,-3,2875.0
0:05.0, ,111-108,M. Strus misses free throw 3 of 3,,4,108,111,-3,2875.0
0:03.0,Defensive rebound by V. Čančar,111-108, ,,4,108,111,-3,2877.0
0:03.0,Denver full timeout,111-108, ,,4,108,111,-3,2877.0
0:03.0,M. Porter enters the game for T. Bryant,111-108, ,,4,108,111,-3,2877.0
0:01.0,Personal take foul by G. Vincent (drawn by B. Brown),111-108, ,,4,108,111,-3,2879.0
0:01.0, ,111-108,J. Bouyea enters the game for G. Vincent,,4,108,111,-3,2879.0
0:01.0,B. Brown makes free throw 1 of 2,112-108, ,,4,108,112,-4,2879.0
0:01.0,B. Brown misses free throw 2 of 2,112-108, ,,4,108,112,-4,2879.0
0:01.0, ,112-108,Defensive rebound by J. Butler,,4,108,112,-4,2879.0
0:00.0,End of 4th quarter,112-108,,,4,108,112,-4,2880.0
