Time,Charlotte,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Plumlee vs. B. Adebayo (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:47.0, ,0-0,Personal foul by D. Smith (drawn by B. Adebayo),,1,0,0,0,13.0
11:38.0, ,0-0,B. Adebayo misses 2-pt jump shot from 18 ft,,1,0,0,0,22.0
11:35.0,Defensive rebound by K. Oubre,0-0, ,,1,0,0,0,25.0
11:18.0,K. Oubre makes 3-pt jump shot from 27 ft,3-0, ,,1,0,3,-3,42.0
11:04.0, ,3-3,C. Martin makes 3-pt jump shot from 28 ft (assist by B. Adebayo),Tie,1,3,3,0,56.0
10:44.0,D. Smith misses 3-pt jump shot from 25 ft,3-3, ,,1,3,3,0,76.0
10:41.0, ,3-3,Defensive rebound by J. Butler,,1,3,3,0,79.0
10:29.0, ,3-3,Shooting foul by K. Oubre (drawn by B. Adebayo),,1,3,3,0,91.0
10:29.0, ,3-4,B. Adebayo makes free throw 1 of 2,Lead change,1,4,3,1,91.0
10:29.0, ,3-5,B. Adebayo makes free throw 2 of 2,,1,5,3,2,91.0
10:14.0,Turnover by D. Smith (bad pass; steal by M. Strus),3-5, ,,1,5,3,2,106.0
10:07.0, ,3-7,M. Strus makes 2-pt layup from 1 ft,,1,7,3,4,113.0
9:51.0,T. Rozier misses 2-pt layup from 2 ft,3-7, ,,1,7,3,4,129.0
9:49.0, ,3-7,Defensive rebound by B. Adebayo,,1,7,3,4,131.0
9:45.0, ,3-7,J. Butler misses 2-pt layup from 1 ft,,1,7,3,4,135.0
9:42.0,Defensive rebound by K. Oubre,3-7, ,,1,7,3,4,138.0
9:42.0,Personal foul by J. Butler (drawn by K. Oubre),3-7, ,,1,7,3,4,138.0
9:26.0,Turnover by D. Smith (bad pass),3-7, ,,1,7,3,4,154.0
9:24.0, ,3-7,M. Strus misses 3-pt jump shot from 24 ft,,1,7,3,4,156.0
9:20.0,Defensive rebound by P. Washington,3-7, ,,1,7,3,4,160.0
9:15.0,P. Washington misses 3-pt jump shot from 28 ft,3-7, ,,1,7,3,4,165.0
9:08.0,Offensive rebound by M. Plumlee,3-7, ,,1,7,3,4,172.0
9:08.0,M. Plumlee makes 2-pt layup at rim,5-7, ,,1,7,5,2,172.0
8:54.0, ,5-10,M. Strus makes 3-pt jump shot from 25 ft (assist by K. Lowry),,1,10,5,5,186.0
8:42.0,K. Oubre makes 2-pt dunk from 1 ft (assist by M. Plumlee),7-10, ,,1,10,7,3,198.0
8:22.0, ,7-10,K. Lowry misses 3-pt jump shot from 23 ft,,1,10,7,3,218.0
8:18.0, ,7-10,Offensive rebound by B. Adebayo,,1,10,7,3,222.0
8:15.0, ,7-10,B. Adebayo misses 2-pt hook shot from 4 ft,,1,10,7,3,225.0
8:14.0, ,7-10,Offensive rebound by Team,,1,10,7,3,226.0
8:07.0, ,7-10,M. Strus misses 3-pt jump shot from 26 ft,,1,10,7,3,233.0
8:07.0,Defensive rebound by Team,7-10, ,,1,10,7,3,233.0
7:53.0,T. Rozier makes 2-pt jump shot from 8 ft,9-10, ,,1,10,9,1,247.0
7:39.0, ,9-10,J. Butler misses 2-pt layup from 2 ft (block by K. Oubre),,1,10,9,1,261.0
7:37.0,Defensive rebound by K. Oubre,9-10, ,,1,10,9,1,263.0
7:34.0,K. Oubre misses 2-pt layup from 3 ft,9-10, ,,1,10,9,1,266.0
7:32.0, ,9-10,Defensive rebound by K. Lowry,,1,10,9,1,268.0
7:21.0, ,9-13,C. Martin makes 3-pt jump shot from 23 ft (assist by J. Butler),,1,13,9,4,279.0
7:03.0,T. Rozier misses 2-pt jump shot from 11 ft,9-13, ,,1,13,9,4,297.0
7:01.0,Offensive rebound by T. Rozier,9-13, ,,1,13,9,4,299.0
6:59.0,T. Rozier makes 3-pt jump shot from 24 ft,12-13, ,,1,13,12,1,301.0
6:38.0, ,12-13,Miami full timeout,,1,13,12,1,322.0
6:30.0, ,12-13,M. Strus misses 3-pt jump shot from 26 ft,,1,13,12,1,330.0
6:29.0,Defensive rebound by K. Oubre,12-13, ,,1,13,12,1,331.0
6:20.0,Turnover by K. Oubre (bad pass; steal by J. Butler),12-13, ,,1,13,12,1,340.0
6:12.0, ,12-16,K. Lowry makes 3-pt jump shot from 25 ft (assist by C. Martin),,1,16,12,4,348.0
5:56.0,P. Washington misses 2-pt hook shot from 5 ft,12-16, ,,1,16,12,4,364.0
5:56.0, ,12-16,Defensive rebound by Team,,1,16,12,4,364.0
5:56.0,J. Bouknight enters the game for T. Rozier,12-16, ,,1,16,12,4,364.0
5:56.0,J. McDaniels enters the game for P. Washington,12-16, ,,1,16,12,4,364.0
5:56.0, ,12-16,D. Dedmon enters the game for B. Adebayo,,1,16,12,4,364.0
5:56.0, ,12-16,D. Robinson enters the game for C. Martin,,1,16,12,4,364.0
5:56.0, ,12-16,G. Vincent enters the game for M. Strus,,1,16,12,4,364.0
5:42.0, ,12-19,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),,1,19,12,7,378.0
5:27.0,J. McDaniels misses 2-pt layup from 3 ft,12-19, ,,1,19,12,7,393.0
5:26.0, ,12-19,Defensive rebound by J. Butler,,1,19,12,7,394.0
5:23.0, ,12-19,Turnover by J. Butler (bad pass; steal by D. Smith),,1,19,12,7,397.0
5:16.0,Turnover by J. McDaniels (step out of bounds),12-19, ,,1,19,12,7,404.0
4:56.0, ,12-21,D. Dedmon makes 2-pt jump shot from 10 ft (assist by D. Robinson),,1,21,12,9,424.0
4:39.0,K. Oubre misses 3-pt jump shot from 25 ft,12-21, ,,1,21,12,9,441.0
4:38.0,Offensive rebound by Team,12-21, ,,1,21,12,9,442.0
4:36.0, ,12-21,Loose ball foul by D. Robinson (drawn by K. Oubre),,1,21,12,9,444.0
4:36.0,N. Richards enters the game for M. Plumlee,12-21, ,,1,21,12,9,444.0
4:26.0,K. Oubre makes 2-pt jump shot from 2 ft,14-21, ,,1,21,14,7,454.0
4:07.0, ,14-21,D. Dedmon misses 3-pt jump shot from 26 ft,,1,21,14,7,473.0
4:05.0,Defensive rebound by J. McDaniels,14-21, ,,1,21,14,7,475.0
3:57.0,K. Oubre makes 3-pt jump shot from 24 ft (assist by D. Smith),17-21, ,,1,21,17,4,483.0
3:27.0, ,17-21,G. Vincent misses 2-pt jump shot from 13 ft,,1,21,17,4,513.0
3:25.0,Defensive rebound by D. Smith,17-21, ,,1,21,17,4,515.0
3:16.0,J. Bouknight misses 3-pt jump shot from 24 ft,17-21, ,,1,21,17,4,524.0
3:13.0, ,17-21,Defensive rebound by J. Butler,,1,21,17,4,527.0
3:11.0, ,17-21,Personal foul by N. Richards (drawn by D. Dedmon),,1,21,17,4,529.0
3:11.0,P. Washington enters the game for K. Oubre,17-21, ,,1,21,17,4,529.0
2:55.0, ,17-24,G. Vincent makes 3-pt jump shot from 23 ft (assist by J. Butler),,1,24,17,7,545.0
2:38.0,D. Smith makes 2-pt jump shot from 10 ft,19-24, ,,1,24,19,5,562.0
2:27.0, ,19-26,J. Butler makes 2-pt layup from 4 ft,,1,26,19,7,573.0
2:27.0, ,19-26,Shooting foul by N. Richards (drawn by J. Butler),,1,26,19,7,573.0
2:27.0,Charlotte full timeout,19-26, ,,1,26,19,7,573.0
