Time,Miami,Score,Washington,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Zeller vs. D. Gafford (A. Gill gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-2,D. Gafford makes 2-pt layup from 2 ft,,1,0,2,-2,19.0
11:21.0,D. Robinson misses 3-pt jump shot from 27 ft,0-2, ,,1,0,2,-2,39.0
11:16.0,Offensive rebound by M. Strus,0-2, ,,1,0,2,-2,44.0
11:12.0,G. Vincent makes 2-pt jump shot from 23 ft (assist by H. Highsmith),2-2, ,Tie,1,2,2,0,48.0
10:57.0, ,2-2,Turnover by D. Gafford (bad pass),,1,2,2,0,63.0
10:47.0,H. Highsmith misses 3-pt jump shot from 26 ft,2-2, ,,1,2,2,0,73.0
10:43.0, ,2-2,Defensive rebound by J. Davis,,1,2,2,0,77.0
10:35.0, ,2-2,D. Wright misses 3-pt jump shot from 26 ft,,1,2,2,0,85.0
10:32.0,Defensive rebound by D. Robinson,2-2, ,,1,2,2,0,88.0
10:27.0,M. Strus misses 2-pt jump shot from 12 ft,2-2, ,,1,2,2,0,93.0
10:24.0, ,2-2,Defensive rebound by D. Wright,,1,2,2,0,96.0
10:10.0, ,2-2,J. Davis misses 2-pt jump shot from 7 ft,,1,2,2,0,110.0
10:08.0,Defensive rebound by C. Zeller,2-2, ,,1,2,2,0,112.0
10:03.0,G. Vincent misses 3-pt jump shot from 27 ft,2-2, ,,1,2,2,0,117.0
10:00.0, ,2-2,Defensive rebound by D. Wright,,1,2,2,0,120.0
9:52.0, ,2-2,Turnover by C. Kispert (bad pass; steal by G. Vincent),,1,2,2,0,128.0
9:48.0,H. Highsmith makes 2-pt layup from 1 ft (assist by M. Strus),4-2, ,Lead change,1,4,2,2,132.0
9:33.0, ,4-2,C. Kispert misses 3-pt jump shot from 26 ft,,1,4,2,2,147.0
9:30.0,Defensive rebound by D. Robinson,4-2, ,,1,4,2,2,150.0
9:18.0,M. Strus makes 3-pt jump shot from 22 ft (assist by G. Vincent),7-2, ,,1,7,2,5,162.0
9:02.0, ,7-4,J. Davis makes 2-pt jump shot from 13 ft,,1,7,4,3,178.0
8:44.0,C. Zeller makes 2-pt jump shot from 7 ft (assist by G. Vincent),9-4, ,,1,9,4,5,196.0
8:34.0, ,9-6,J. Davis makes 2-pt layup from 2 ft (assist by D. Wright),,1,9,6,3,206.0
8:22.0,H. Highsmith makes 3-pt jump shot from 27 ft (assist by G. Vincent),12-6, ,,1,12,6,6,218.0
8:04.0, ,12-6,Shooting foul by D. Robinson (drawn by D. Wright),,1,12,6,6,236.0
8:04.0, ,12-7,D. Wright makes free throw 1 of 2,,1,12,7,5,236.0
8:04.0, ,12-8,D. Wright makes free throw 2 of 2,,1,12,8,4,236.0
7:53.0,H. Highsmith misses 3-pt jump shot from 24 ft,12-8, ,,1,12,8,4,247.0
7:51.0, ,12-8,Defensive rebound by J. Davis,,1,12,8,4,249.0
7:43.0, ,12-8,A. Gill misses 2-pt jump shot from 6 ft (block by H. Highsmith),,1,12,8,4,257.0
7:42.0, ,12-8,Offensive rebound by D. Gafford,,1,12,8,4,258.0
7:40.0, ,12-10,D. Gafford makes 2-pt layup from 2 ft,,1,12,10,2,260.0
7:40.0, ,12-10,Shooting foul by C. Zeller (drawn by D. Gafford),,1,12,10,2,260.0
7:40.0, ,12-11,D. Gafford makes free throw 1 of 1,,1,12,11,1,260.0
7:29.0,C. Zeller makes 2-pt jump shot from 13 ft (assist by G. Vincent),14-11, ,,1,14,11,3,271.0
7:14.0, ,14-11,D. Wright misses 3-pt jump shot from 28 ft,,1,14,11,3,286.0
7:11.0,Defensive rebound by M. Strus,14-11, ,,1,14,11,3,289.0
7:03.0,G. Vincent misses 3-pt jump shot from 27 ft,14-11, ,,1,14,11,3,297.0
7:00.0, ,14-11,Defensive rebound by C. Kispert,,1,14,11,3,300.0
6:52.0, ,14-11,J. Davis misses 3-pt jump shot from 24 ft,,1,14,11,3,308.0
6:50.0,Defensive rebound by D. Robinson,14-11, ,,1,14,11,3,310.0
6:34.0,D. Robinson misses 3-pt jump shot from 25 ft,14-11, ,,1,14,11,3,326.0
6:32.0, ,14-11,Defensive rebound by Team,,1,14,11,3,328.0
6:32.0, ,14-11,Washington full timeout,,1,14,11,3,328.0
6:18.0, ,14-13,D. Gafford makes 2-pt jump shot from 15 ft (assist by D. Wright),,1,14,13,1,342.0
5:58.0,C. Zeller makes 2-pt layup from 4 ft (assist by G. Vincent),16-13, ,,1,16,13,3,362.0
5:43.0, ,16-15,D. Gafford makes 2-pt dunk from 2 ft (assist by A. Gill),,1,16,15,1,377.0
5:28.0,Shooting foul by D. Gafford (drawn by H. Highsmith),16-15, ,,1,16,15,1,392.0
5:28.0,H. Highsmith misses free throw 1 of 2,16-15, ,,1,16,15,1,392.0
5:28.0,Offensive rebound by Team,16-15, ,,1,16,15,1,392.0
5:28.0, ,16-15,J. Goodwin enters the game for C. Kispert,,1,16,15,1,392.0
5:28.0,H. Highsmith makes free throw 2 of 2,17-15, ,,1,17,15,2,392.0
5:09.0, ,17-17,D. Wright makes 2-pt jump shot from 7 ft,Tie,1,17,17,0,411.0
4:57.0,M. Strus misses 3-pt jump shot from 27 ft,17-17, ,,1,17,17,0,423.0
4:55.0, ,17-17,Defensive rebound by D. Wright,,1,17,17,0,425.0
4:41.0, ,17-19,A. Gill makes 2-pt layup from 1 ft (assist by D. Gafford),Lead change,1,17,19,-2,439.0
4:33.0,G. Vincent misses 3-pt jump shot from 26 ft,17-19, ,,1,17,19,-2,447.0
4:33.0, ,17-19,Defensive rebound by J. Goodwin,,1,17,19,-2,447.0
4:10.0, ,17-21,D. Gafford makes 2-pt jump shot from 14 ft (assist by D. Wright),,1,17,21,-4,470.0
3:49.0,M. Strus misses 3-pt jump shot from 27 ft,17-21, ,,1,17,21,-4,491.0
3:46.0, ,17-21,Defensive rebound by A. Gill,,1,17,21,-4,494.0
3:39.0, ,17-21,Turnover by A. Gill (traveling),,1,17,21,-4,501.0
3:39.0,C. Martin enters the game for D. Robinson,17-21, ,,1,17,21,-4,501.0
3:39.0, ,17-21,K. Nunn enters the game for D. Wright,,1,17,21,-4,501.0
3:25.0,C. Martin misses 2-pt hook shot from 9 ft,17-21, ,,1,17,21,-4,515.0
3:22.0, ,17-21,Defensive rebound by D. Gafford,,1,17,21,-4,518.0
3:11.0, ,17-23,A. Gill makes 2-pt jump shot from 9 ft (assist by D. Gafford),,1,17,23,-6,529.0
3:10.0,Miami full timeout,17-23, ,,1,17,23,-6,530.0
3:10.0,V. Oladipo enters the game for G. Vincent,17-23, ,,1,17,23,-6,530.0
3:10.0,O. Yurtseven enters the game for C. Zeller,17-23, ,,1,17,23,-6,530.0
3:10.0, ,17-23,J. Huff enters the game for D. Gafford,,1,17,23,-6,530.0
2:49.0,H. Highsmith misses 2-pt jump shot from 10 ft,17-23, ,,1,17,23,-6,551.0
2:45.0, ,17-23,Defensive rebound by K. Nunn,,1,17,23,-6,555.0
2:36.0, ,17-23,A. Gill misses 3-pt jump shot from 23 ft,,1,17,23,-6,564.0
2:34.0,Defensive rebound by O. Yurtseven,17-23, ,,1,17,23,-6,566.0
2:23.0,Shooting foul by J. Davis (drawn by V. Oladipo),17-23, ,,1,17,23,-6,577.0
2:23.0,V. Oladipo misses free throw 1 of 2,17-23, ,,1,17,23,-6,577.0
2:23.0,Offensive rebound by Team,17-23, ,,1,17,23,-6,577.0
2:23.0,J. Cain enters the game for H. Highsmith,17-23, ,,1,17,23,-6,577.0
2:23.0,D. Robinson enters the game for M. Strus,17-23, ,,1,17,23,-6,577.0
2:23.0, ,17-23,C. Kispert enters the game for J. Davis,,1,17,23,-6,577.0
2:23.0,V. Oladipo misses free throw 2 of 2,17-23, ,,1,17,23,-6,577.0
2:14.0, ,17-23,Defensive rebound by J. Goodwin,,1,17,23,-6,586.0
2:14.0, ,17-23,X. Cooks enters the game for A. Gill,,1,17,23,-6,586.0
2:01.0, ,17-23,Shooting foul by O. Yurtseven (drawn by J. Huff),,1,17,23,-6,599.0
2:01.0, ,17-24,J. Huff makes free throw 1 of 2,,1,17,24,-7,599.0
2:01.0, ,17-25,J. Huff makes free throw 2 of 2,,1,17,25,-8,599.0
1:44.0,D. Robinson misses 2-pt jump shot from 6 ft,17-25, ,,1,17,25,-8,616.0
1:41.0, ,17-25,Defensive rebound by J. Goodwin,,1,17,25,-8,619.0
1:38.0, ,17-25,K. Nunn misses 3-pt jump shot from 28 ft,,1,17,25,-8,622.0
1:36.0,Defensive rebound by C. Martin,17-25, ,,1,17,25,-8,624.0
1:29.0,O. Yurtseven misses 2-pt hook shot from 8 ft,17-25, ,,1,17,25,-8,631.0
1:26.0, ,17-25,Defensive rebound by X. Cooks,,1,17,25,-8,634.0
1:17.0, ,17-25,J. Goodwin misses 2-pt jump shot from 7 ft,,1,17,25,-8,643.0
1:14.0,Defensive rebound by C. Martin,17-25, ,,1,17,25,-8,646.0
1:09.0,C. Martin misses 2-pt layup from 3 ft,17-25, ,,1,17,25,-8,651.0
1:06.0, ,17-25,Defensive rebound by J. Huff,,1,17,25,-8,654.0
0:55.0, ,17-25,Turnover by K. Nunn (bad pass; steal by J. Cain),,1,17,25,-8,665.0
0:51.0,J. Cain makes 2-pt layup from 2 ft,19-25, ,,1,19,25,-6,669.0
0:51.0,Shooting foul by J. Huff (drawn by J. Cain),19-25, ,,1,19,25,-6,669.0
0:51.0,J. Cain makes free throw 1 of 1,20-25, ,,1,20,25,-5,669.0
0:37.0, ,20-25,J. Huff misses 3-pt jump shot from 29 ft,,1,20,25,-5,683.0
0:33.0,Defensive rebound by C. Martin,20-25, ,,1,20,25,-5,687.0
0:28.0,J. Cain makes 3-pt jump shot from 24 ft (assist by V. Oladipo),23-25, ,,1,23,25,-2,692.0
0:08.0, ,23-25,Shooting foul by D. Robinson (drawn by X. Cooks),,1,23,25,-2,712.0
0:08.0, ,23-26,X. Cooks makes free throw 1 of 2,,1,23,26,-3,712.0
0:08.0, ,23-26,X. Cooks misses free throw 2 of 2,,1,23,26,-3,712.0
0:06.0,Defensive rebound by Team,23-26, ,,1,23,26,-3,714.0
0:00.0,Turnover by V. Oladipo (lost ball; steal by X. Cooks),23-26, ,,1,23,26,-3,720.0
0:00.0, ,23-26,X. Cooks misses 3-pt jump shot from 71 ft,,1,23,26,-3,720.0
0:00.0, ,23-26,Offensive rebound by Team,,1,23,26,-3,720.0
0:00.0,End of 1st quarter,23-26,,,1,23,26,-3,720.0
12:00.0,Start of 2nd quarter,23-26,,,2,23,26,-3,720.0
11:40.0,C. Martin misses 3-pt jump shot from 24 ft,23-26, ,,2,23,26,-3,740.0
11:36.0, ,23-26,Defensive rebound by X. Cooks,,2,23,26,-3,744.0
11:32.0, ,23-26,J. Goodwin misses 3-pt jump shot from 25 ft,,2,23,26,-3,748.0
11:27.0, ,23-26,Offensive rebound by K. Nunn,,2,23,26,-3,753.0
11:20.0, ,23-28,J. Huff makes 2-pt dunk from 2 ft (assist by J. Goodwin),,2,23,28,-5,760.0
11:07.0,V. Oladipo misses 3-pt jump shot from 28 ft,23-28, ,,2,23,28,-5,773.0
11:06.0,Offensive rebound by Team,23-28, ,,2,23,28,-5,774.0
11:06.0, ,23-28,Loose ball foul by J. Huff (drawn by O. Yurtseven),,2,23,28,-5,774.0
11:00.0,D. Robinson makes 2-pt jump shot from 8 ft (assist by O. Yurtseven),25-28, ,,2,25,28,-3,780.0
10:39.0, ,25-28,K. Nunn misses 3-pt jump shot from 28 ft,,2,25,28,-3,801.0
10:36.0,Defensive rebound by D. Robinson,25-28, ,,2,25,28,-3,804.0
10:29.0,V. Oladipo misses 2-pt jump shot from 11 ft,25-28, ,,2,25,28,-3,811.0
10:27.0,Offensive rebound by J. Cain,25-28, ,,2,25,28,-3,813.0
10:25.0,J. Cain makes 2-pt layup from 2 ft,27-28, ,,2,27,28,-1,815.0
10:08.0, ,27-28,Personal foul by D. Robinson (drawn by J. Huff),,2,27,28,-1,832.0
10:08.0, ,27-28,Q. Jackson enters the game for K. Nunn,,2,27,28,-1,832.0
9:56.0, ,27-28,J. Goodwin misses 2-pt jump shot from 14 ft,,2,27,28,-1,844.0
9:54.0, ,27-28,Offensive rebound by X. Cooks,,2,27,28,-1,846.0
9:53.0, ,27-31,C. Kispert makes 3-pt jump shot from 29 ft (assist by Q. Jackson),,2,27,31,-4,847.0
9:42.0,O. Yurtseven makes 3-pt jump shot from 27 ft (assist by V. Oladipo),30-31, ,,2,30,31,-1,858.0
9:25.0, ,30-31,Turnover by Q. Jackson (traveling),,2,30,31,-1,875.0
9:01.0,C. Martin misses 3-pt jump shot from 23 ft,30-31, ,,2,30,31,-1,899.0
8:58.0, ,30-31,Defensive rebound by J. Goodwin,,2,30,31,-1,902.0
8:53.0, ,30-33,J. Goodwin makes 2-pt layup from 5 ft,,2,30,33,-3,907.0
8:41.0,O. Yurtseven misses 3-pt jump shot from 26 ft,30-33, ,,2,30,33,-3,919.0
8:35.0,Offensive rebound by J. Cain,30-33, ,,2,30,33,-3,925.0
8:35.0,J. Cain makes 2-pt layup at rim,32-33, ,,2,32,33,-1,925.0
8:20.0, ,32-33,C. Kispert misses 3-pt jump shot from 26 ft,,2,32,33,-1,940.0
8:17.0,Defensive rebound by O. Yurtseven,32-33, ,,2,32,33,-1,943.0
8:08.0,V. Oladipo misses 3-pt jump shot from 28 ft,32-33, ,,2,32,33,-1,952.0
8:05.0, ,32-33,Defensive rebound by J. Goodwin,,2,32,33,-1,955.0
8:00.0, ,32-33,Shooting foul by O. Yurtseven (drawn by X. Cooks),,2,32,33,-1,960.0
8:00.0, ,32-33,X. Cooks misses free throw 1 of 2,,2,32,33,-1,960.0
8:00.0, ,32-33,Offensive rebound by Team,,2,32,33,-1,960.0
8:00.0,H. Highsmith enters the game for D. Robinson,32-33, ,,2,32,33,-1,960.0
8:00.0, ,32-33,D. Gafford enters the game for J. Huff,,2,32,33,-1,960.0
8:00.0, ,32-34,X. Cooks makes free throw 2 of 2,,2,32,34,-2,960.0
7:45.0,V. Oladipo makes 3-pt jump shot from 29 ft (assist by J. Cain),35-34, ,Lead change,2,35,34,1,975.0
7:34.0, ,35-34,Personal foul by H. Highsmith (drawn by D. Gafford),,2,35,34,1,986.0
7:27.0, ,35-36,D. Gafford makes 2-pt jump shot from 11 ft (assist by J. Goodwin),Lead change,2,35,36,-1,993.0
7:18.0,Turnover by V. Oladipo (out of bounds lost ball),35-36, ,,2,35,36,-1,1002.0
7:02.0, ,35-36,Turnover by C. Kispert (traveling),,2,35,36,-1,1018.0
6:43.0,O. Yurtseven misses 2-pt hook shot from 7 ft,35-36, ,,2,35,36,-1,1037.0
