Time,Miami,Score,Phoenix,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
5:15.0, ,19-15,D. Ayton misses 2-pt hook shot from 6 ft,,1,19,15,4,405.0
5:14.0,Defensive rebound by B. Adebayo,19-15, ,,1,19,15,4,406.0
5:03.0,Turnover by V. Oladipo (bad pass; steal by M. Bridges),19-15, ,,1,19,15,4,417.0
4:54.0, ,19-15,D. Ayton misses 2-pt jump shot from 3 ft (block by M. Strus),,1,19,15,4,426.0
4:54.0, ,19-15,Offensive rebound by Team,,1,19,15,4,426.0
4:54.0,D. Dedmon enters the game for B. Adebayo,19-15, ,,1,19,15,4,426.0
4:54.0,G. Vincent enters the game for M. Strus,19-15, ,,1,19,15,4,426.0
4:54.0, ,19-15,D. Lee enters the game for L. Shamet,,1,19,15,4,426.0
4:51.0, ,19-15,D. Ayton misses 2-pt jump shot from 15 ft,,1,19,15,4,429.0
4:49.0,Defensive rebound by Team,19-15, ,,1,19,15,4,431.0
4:25.0,G. Vincent misses 3-pt jump shot from 23 ft,19-15, ,,1,19,15,4,455.0
4:23.0, ,19-15,Defensive rebound by D. Lee,,1,19,15,4,457.0
4:10.0, ,19-17,D. Ayton makes 2-pt jump shot from 8 ft,,1,19,17,2,470.0
3:52.0,J. Butler misses 2-pt jump shot from 10 ft,19-17, ,,1,19,17,2,488.0
3:49.0, ,19-17,Defensive rebound by D. Lee,,1,19,17,2,491.0
3:43.0, ,19-17,D. Ayton misses 3-pt jump shot from 27 ft,,1,19,17,2,497.0
3:39.0,Defensive rebound by K. Lowry,19-17, ,,1,19,17,2,501.0
3:22.0,D. Dedmon misses 2-pt jump shot from 4 ft,19-17, ,,1,19,17,2,518.0
3:20.0, ,19-17,Defensive rebound by D. Ayton,,1,19,17,2,520.0
3:13.0, ,19-19,C. Paul makes 2-pt jump shot from 16 ft,Tie,1,19,19,0,527.0
2:50.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by J. Butler),22-19, ,,1,22,19,3,550.0
2:30.0,Miami full timeout,22-19, ,,1,22,19,3,570.0
2:30.0,B. Adebayo enters the game for J. Butler,22-19, ,,1,22,19,3,570.0
2:30.0,H. Highsmith enters the game for D. Dedmon,22-19, ,,1,22,19,3,570.0
2:30.0,M. Strus enters the game for K. Lowry,22-19, ,,1,22,19,3,570.0
2:30.0, ,22-19,J. Landale enters the game for D. Ayton,,1,22,19,3,570.0
2:30.0, ,22-19,I. Wainright enters the game for T. Craig,,1,22,19,3,570.0
2:30.0, ,22-19,D. Washington enters the game for C. Paul,,1,22,19,3,570.0
2:26.0,Jump ball: M. Bridges vs. V. Oladipo (D. Washington gains possession),22-19,,,1,22,19,3,574.0
2:22.0, ,22-19,D. Washington misses 2-pt jump shot from 8 ft,,1,22,19,3,578.0
2:22.0, ,22-19,Offensive rebound by Team,,1,22,19,3,578.0
2:12.0, ,22-19,J. Landale misses 2-pt jump shot from 11 ft,,1,22,19,3,588.0
2:09.0,Defensive rebound by B. Adebayo,22-19, ,,1,22,19,3,591.0
1:48.0,B. Adebayo misses 2-pt jump shot from 9 ft,22-19, ,,1,22,19,3,612.0
1:45.0, ,22-19,Defensive rebound by D. Washington,,1,22,19,3,615.0
1:41.0, ,22-19,I. Wainright misses 3-pt jump shot from 23 ft,,1,22,19,3,619.0
1:38.0,Defensive rebound by G. Vincent,22-19, ,,1,22,19,3,622.0
1:32.0,B. Adebayo makes 2-pt jump shot from 11 ft (assist by G. Vincent),24-19, ,,1,24,19,5,628.0
1:15.0, ,24-19,D. Washington misses 2-pt jump shot from 10 ft,,1,24,19,5,645.0
1:14.0,Defensive rebound by H. Highsmith,24-19, ,,1,24,19,5,646.0
1:14.0,Turnover by H. Highsmith (step out of bounds),24-19, ,,1,24,19,5,646.0
1:14.0, ,24-19,J. Okogie enters the game for M. Bridges,,1,24,19,5,646.0
1:11.0, ,24-21,J. Landale makes 2-pt hook shot from 8 ft (assist by D. Washington),,1,24,21,3,649.0
